seen february 15 , 1998 on home video ( borrowed from chris wessell ) . 	Translation	Positive	Negative	EmotionRationale
the first act works as a guided to ot of rhetoric about wiseguy honor , a brief history of the mob , definitions of their slang , and where their money comes from and who it goes to . 	the first act works as a guided to ot of rhetoric about wiseguy honor , a brief history of the mob , definitions of their slang , and where their money comes from and who it goes to .	1	-1	 the[0] first[0] act[0] works[0] as[0] a[0] guided[0] to[0] ot[0] of[0] rhetoric[0] about[0] wiseguy[0] honor[0] a[0] brief[0] history[0] of[0] the[0] mob[0] definitions[0] of[0] their[0] slang[0] and[0] where[0] their[0] money[0] comes[0] from[0] and[0] who[0] it[0] goes[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the screenplay is rather sketchy on the details surrounding these elements , however , the fact they are mentioned at all is quite original . 	the screenplay is rather sketchy on the details surrounding these elements , however , the fact they are mentioned at all is quite original .	1	-2	 the[0] screenplay[0] is[0] rather[0] sketchy[-1] on[0] the[0] details[0] surrounding[0] these[0] elements[0] however[0] the[0] fact[0] they[0] are[0] mentioned[0] at[0] all[0] is[0] quite[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most gangster movies seem to be made with the notion the viewer already knows how the mob works ( probably from watching other gangster movies ) , and although this attitude comes across , the film tries to fill in all the holes where and when it can and the effort is appreciable . 	most gangster movies seem to be made with the notion the viewer already knows how the mob works ( probably from watching other gangster movies ) , and although this attitude comes across , the film tries to fill in all the holes where and when it can and the effort is appreciable .	1	-1	 most[0] gangster[0] movies[0] seem[0] to[0] be[0] made[0] with[0] the[0] notion[0] the[0] viewer[0] already[0] knows[0] how[0] the[0] mob[0] works[0] probably[0] from[0] watching[0] other[0] gangster[0] movies[0] and[0] although[0] this[0] attitude[0] comes[0] across[0] the[0] film[0] tries[0] to[0] fill[0] in[0] all[0] the[0] holes[0] where[0] and[0] when[0] it[0] can[0] and[0] the[0] effort[0] is[0] appreciable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully the film doesn't become too caught up in the tedious details of organized crime , and instead opts for character development . 	thankfully the film doesn't become too caught up in the tedious details of organized crime , and instead opts for character development .	2	-3	 thankfully[1] the[0] film[0] doesn't[0] become[0] too[0] caught[0] up[0] in[0] the[0] tedious[-2] details[0] of[0] organized[0] crime[-1] and[0] instead[0] opts[0] for[0] character[0] development[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
much of the story is told simply through the interaction between lefty and donnie . 	much of the story is told simply through the interaction between lefty and donnie .	1	-1	 much[0] of[0] the[0] story[0] is[0] told[0] simply[0] through[0] the[0] interaction[0] between[0] lefty[0] and[0] donnie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pacino is outstanding here as the pathetic hood who speaks of his job in the same manner any blue collar worker would . 	pacino is outstanding here as the pathetic hood who speaks of his job in the same manner any blue collar worker would .	3	-3	 pacino[0] is[0] outstanding[2] here[0] as[0] the[0] pathetic[-2] hood[0] who[0] speaks[0] of[0] his[0] job[0] in[0] the[0] same[0] manner[0] any[0] blue[0] collar[0] worker[0] would[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's old and exhausted but seems to enjoy what he does , just as anyone loyal to the same employer for over 30 years might be . 	he's old and exhausted but seems to enjoy what he does , just as anyone loyal to the same employer for over 30 years might be .	3	-2	 he's[0] old[0] and[0] exhausted[-1] but[0] seems[0] to[0] enjoy[2] what[0] he[0] does[0] just[0] as[0] anyone[0] loyal[1] to[0] the[0] same[0] employer[0] for[0] over[0] 30[0] years[0] might[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we learn of his accomplishments , which are quite impressive within their context , and when he complains about not being made top boss , it's easy to sympathize with him . 	we learn of his accomplishments , which are quite impressive within their context , and when he complains about not being made top boss , it's easy to sympathize with him .	2	-2	 we[0] learn[0] of[0] his[0] accomplishments[1] which[0] are[0] quite[0] impressive[1] within[0] their[0] context[0] and[0] when[0] he[0] complains[-1] about[0] not[0] being[0] made[0] top[0] boss[0] it's[0] easy[0] to[0] sympathize[0] with[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
newell constantly plays up this aspect , making it a major theme which works well in the long run . 	newell constantly plays up this aspect , making it a major theme which works well in the long run .	2	-1	 newell[0] constantly[0] plays[1] up[0] this[0] aspect[0] making[0] it[0] a[0] major[0] theme[0] which[0] works[0] well[0] in[0] the[0] long[0] run[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as donnie is constantly impressing and even one-upping lefty , it's hard to tell which emotion is more powerful : the fact donnie is getting closer to nailing the mob ; or the fact lefty has once again been over shadowed . 	as donnie is constantly impressing and even one-upping lefty , it's hard to tell which emotion is more powerful : the fact donnie is getting closer to nailing the mob ; or the fact lefty has once again been over shadowed .	2	-1	 as[0] donnie[0] is[0] constantly[0] impressing[1] and[0] even[0] one[0] upping[0] lefty[0] it's[0] hard[0] to[0] tell[0] which[0] emotion[0] is[0] more[0] powerful[0] the[0] fact[0] donnie[0] is[0] getting[0] closer[0] to[0] nailing[0] the[0] mob[0] or[0] the[0] fact[0] lefty[0] has[0] once[0] again[0] been[0] over[0] shadowed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the film tells the story of donnie's life in mafia , which creates for many sub-plots and individual conflicts , but doesn't always seem to come together as a whole . 	most of the film tells the story of donnie's life in mafia , which creates for many sub-plots and individual conflicts , but doesn't always seem to come together as a whole .	1	-2	 most[0] of[0] the[0] film[0] tells[0] the[0] story[0] of[0] donnie's[0] life[0] in[0] mafia[0] which[0] creates[0] for[0] many[0] sub[0] plots[0] and[0] individual[0] conflicts[-1] but[0] doesn't[0] always[0] seem[0] to[0] come[0] together[0] as[0] a[0] whole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the storytelling is genuinely interesting throughout , even when the motions the characters go through seem familiar . 	the storytelling is genuinely interesting throughout , even when the motions the characters go through seem familiar .	2	-1	 the[0] storytelling[0] is[0] genuinely[0] interesting[1] throughout[0] even[0] when[0] the[0] motions[0] the[0] characters[0] go[0] through[0] seem[0] familiar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the resonance to donnie's actual assignment varies , he often reports back to the feds with detail of his progress , but it doesn't always seem to have much meaning . 	the resonance to donnie's actual assignment varies , he often reports back to the feds with detail of his progress , but it doesn't always seem to have much meaning .	1	-1	 the[0] resonance[0] to[0] donnie's[0] actual[0] assignment[0] varies[0] he[0] often[0] reports[0] back[0] to[0] the[0] feds[0] with[0] detail[0] of[0] his[0] progress[0] but[0] it[0] doesn't[0] always[0] seem[0] to[0] have[0] much[0] meaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
back home , his wife maggie ( heche ) is ready to divorce him because he's never a and the family is suffering . 	back home , his wife maggie ( heche ) is ready to divorce him because he's never a and the family is suffering .	1	-4	 back[0] home[0] his[0] wife[0] maggie[0] heche[0] is[0] ready[0] to[0] divorce[-1] him[0] because[0] he's[0] never[0] a[0] and[0] the[0] family[0] is[0] suffering[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since this is based on a true story i wouldn't doubt this would happen , although the way it is handled often borders on the melodramatic . 	since this is based on a true story i wouldn't doubt this would happen , although the way it is handled often borders on the melodramatic .	2	-2	 since[0] this[0] is[0] based[0] on[0] a[0] true[1] story[0] i[0] wouldn't[0] doubt[-1][NegatedDueToPreviousWord] this[0] would[0] happen[0] although[0] the[0] way[0] it[0] is[0] handled[0] often[0] borders[0] on[0] the[0] melodramatic[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my only major complaint is the film seems to have no final act , or at least any real sense of closure . 	my only major complaint is the film seems to have no final act , or at least any real sense of closure .	1	-2	 my[0] only[0] major[0] complaint[-1] is[0] the[0] film[0] seems[0] to[0] have[0] no[0] final[0] act[0] or[0] at[0] least[0] any[0] real[0] sense[0] of[0] closure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a climax of sorts does occur , but there's little feeling of a payoff . 	a climax of sorts does occur , but there's little feeling of a payoff .	1	-1	 a[0] climax[0] of[0] sorts[0] does[0] occur[0] but[0] there's[0] little[0] feeling[0] of[0] a[0] payoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get a happy ending , which is good , but perhaps a sad ending would have been more powerful . 	we get a happy ending , which is good , but perhaps a sad ending would have been more powerful .	2	-4	 we[0] get[0] a[0] happy[1] ending[0] which[0] is[0] good[1] but[0] perhaps[0] a[0] sad[-3] ending[0] would[0] have[0] been[0] more[0] powerful[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
aside from a few minor , general flaws , " donnie brasco " manages to be a solid piece of storytelling and character development . 	aside from a few minor , general flaws , " donnie brasco " manages to be a solid piece of storytelling and character development .	1	-1	 aside[0] from[0] a[0] few[0] minor[0] general[0] flaws[0] donnie[0] brasco[0] manages[0] to[0] be[0] a[0] solid[0] piece[0] of[0] storytelling[0] and[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may be routine , but it's good , and that's respectful . 	it may be routine , but it's good , and that's respectful .	3	-1	 it[0] may[0] be[0] routine[0] but[0] it's[0] good[1] and[0] that's[0] respectful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
