capsule : this is a harrowing look at a rarely dramatized chapter of wwii , life in a japanese prison camp . 	Translation	Positive	Negative	EmotionRationale
the best thing for the war effort was working prisoners nearly to death on the thailand to burma railroad . 	the best thing for the war effort was working prisoners nearly to death on the thailand to burma railroad .	2	-3	 the[0] best[1] thing[0] for[0] the[0] war[-2] effort[0] was[0] working[0] prisoners[-1] nearly[0] to[0] death[-2] on[0] the[0] thailand[0] to[0] burma[0] railroad[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that railroad was needed if japan was to attack india as it planned to do . 	that railroad was needed if japan was to attack india as it planned to do .	1	-3	 that[0] railroad[0] was[0] needed[0] if[0] japan[0] was[0] to[0] attack[-2] india[0] as[0] it[0] planned[0] to[0] do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the best thing for the effort was not to waste much food on the prisoners so short and amazingly wretched food was the order of the day . 	the best thing for the effort was not to waste much food on the prisoners so short and amazingly wretched food was the order of the day .	3	-3	 the[0] best[1] thing[0] for[0] the[0] effort[0] was[0] not[0] to[0] waste[-1][NegatedDueToPreviousWord] much[0] food[0] on[0] the[0] prisoners[-1] so[0] short[0] and[0] amazingly[2] wretched[-2] food[0] was[0] the[0] order[0] of[0] the[0] day[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and just being in the jungle without proper medical aid took its toll . 	and just being in the jungle without proper medical aid took its toll .	1	-1	 and[0] just[0] being[0] in[0] the[0] jungle[0] without[0] proper[0] medical[0] aid[0] took[0] its[0] toll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the public mind japan has never been held as accountable for war atrocities as was germany . 	in the public mind japan has never been held as accountable for war atrocities as was germany .	1	-3	 in[0] the[0] public[0] mind[0] japan[0] has[0] never[0] been[0] held[0] as[0] accountable[0] for[0] war[-2] atrocities[0] as[0] was[0] germany[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
filmmakers have been reticent to tell the story , perhaps for fear of offending the japanese . 	filmmakers have been reticent to tell the story , perhaps for fear of offending the japanese .	1	-4	 filmmakers[0] have[0] been[0] reticent[0] to[0] tell[0] the[0] story[0] perhaps[0] for[0] fear[-3] of[0] offending[-2] the[0] japanese[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are comparatively few films about the japanese pow camps . 	there are comparatively few films about the japanese pow camps .	1	-1	 there[0] are[0] comparatively[0] few[0] films[0] about[0] the[0] japanese[0] pow[0] camps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
certainly there was david lean's the bridge on the river kwai . 	certainly there was david lean's the bridge on the river kwai .	1	-1	 certainly[0] there[0] was[0] david[0] lean's[0] the[0] bridge[0] on[0] the[0] river[0] kwai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there were some low-budget british exploitation films and that was about it . 	there were some low-budget british exploitation films and that was about it .	1	-1	 there[0] were[0] some[0] low[-1][--1 LastWordBoosterStrength] budget[0] british[0] exploitation[0] films[0] and[0] that[0] was[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there were tv series " a town like alice " and " tenko . " 	then there were tv series " a town like alice " and " tenko .<br> "	2	-1	 then[0] there[0] were[0] tv[0] series[0] a[0] town[0] like[1] alice[0] and[0] tenko[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lest the experience be forgotten we have a new film to end all wars directed by david cunningham and written by brian godawa . 	lest the experience be forgotten we have a new film to end all wars directed by david cunningham and written by brian godawa .	1	-3	 lest[0] the[0] experience[0] be[0] forgotten[0] we[0] have[0] a[0] new[0] film[0] to[0] end[0] all[0] wars[-2] directed[0] by[0] david[0] cunningham[0] and[0] written[0] by[0] brian[0] godawa[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is based on the account of ernest gordan who survived the horror of that world war ii prison camp and went on to become for 26 years the dean of the chapel at princeton university . 	it is based on the account of ernest gordan who survived the horror of that world war i prison camp and went on to become for 26 years the dean of the chapel at princeton university .	1	-4	 it[0] is[0] based[0] on[0] the[0] account[0] of[0] ernest[0] gordan[0] who[0] survived[0] the[0] horror[-3] of[0] that[0] world[0] war[-2] ii/i[0] prison[-1] camp[0] and[0] went[0] on[0] to[0] become[0] for[0] 26[0] years[0] the[0] dean[0] of[0] the[0] chapel[0] at[0] princeton[0] university[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film while realistic shows the conditions in the camp as being considerably more brutal and sadistic than bridge on the river kwai portrayed them . 	the film while realistic shows the conditions in the camp as being considerably more brutal and sadistic than bridge on the river kwai portrayed them .	1	-3	 the[0] film[0] while[0] realistic[0] shows[0] the[0] conditions[0] in[0] the[0] camp[0] as[0] being[0] considerably[0] more[0] brutal[-2] and[0] sadistic[0] than[0] bridge[0] on[0] the[0] river[0] kwai[0] portrayed[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story opens with six or so soldiers being marched into the prison camp only to be immediately placed in front of a firing squad . 	the story opens with six or so soldiers being marched into the prison camp only to be immediately placed in front of a firing squad .	1	-2	 the[0] story[0] opens[0] with[0] six[0] or[0] so[0] soldiers[0] being[0] marched[0] into[0] the[0] prison[-1] camp[0] only[0] to[0] be[0] immediately[0] placed[0] in[0] front[0] of[0] a[0] firing[0] squad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turns out to be a grim joke , one of many that the sadistic japanese play to amuse themselves . 	it turns out to be a grim joke , one of many that the sadistic japanese play to amuse themselves .	2	-3	 it[0] turns[0] out[0] to[0] be[0] a[0] grim[-2] joke[1] one[0] of[0] many[0] that[0] the[0] sadistic[0] japanese[0] play[0] to[0] amuse[1] themselves[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
beating and torture are commonplace events . 	beating and torture are commonplace events .	1	-4	 beating[0] and[0] torture[-3] are[0] commonplace[0] events[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
men already imprisoned tell the new arrivals to enjoy the last of their health ; it will not last long with parasites and disease almost inevitable . 	men already imprisoned tell the new arrivals to enjoy the last of their health ; it will not last long with parasites and disease almost inevitable .	3	-3	 men[0] already[0] imprisoned[-1] tell[0] the[0] new[0] arrivals[0] to[0] enjoy[2] the[0] last[0] of[0] their[0] health[0] it[0] will[0] not[0] last[0] long[0] with[0] parasites[-2] and[0] disease[-2] almost[0] inevitable[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , unlike as in kwai , the prisoners want to avoid going to the hospital , called by the prisoners the death house . 	however , unlike as in kwai , the prisoners want to avoid going to the hospital , called by the prisoners the death house .	1	-3	 however[0] unlike[0] as[0] in[0] kwai[0] the[0] prisoners[-1] want[0] to[0] avoid[-1] going[0] to[0] the[0] hospital[0] called[0] by[0] the[0] prisoners[-1] the[0] death[-2] house[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so goes a war within a war with the prisoners trying to maintain their humanity and with the japanese trying to make them interchangeable and highly expendable cogs in a rail-laying machine . 	so goes a war within a war with the prisoners trying to maintain their humanity and with the japanese trying to make them interchangeable and highly expendable cogs in a rail-laying machine .	1	-3	 so[0] goes[0] a[0] war[-2] within[0] a[0] war[-2] with[0] the[0] prisoners[-1] trying[0] to[0] maintain[0] their[0] humanity[0] and[0] with[0] the[0] japanese[0] trying[0] to[0] make[0] them[0] interchangeable[0] and[0] highly[0] expendable[0] cogs[0] in[0] a[0] rail[0] laying[0] machine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is more than just a battle of who will win the war but a battle of ideologies . 	this is more than just a battle of who will win the war but a battle of ideologies .	1	-3	 this[0] is[0] more[0] than[0] just[0] a[0] battle[-1] of[0] who[0] will[0] win[0] the[0] war[-2] but[0] a[0] battle[-1] of[0] ideologies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the japanese believe that the individual is nothing , that conformity to group's norms is all that gives a life meaning . 	the japanese believe that the individual is nothing , that conformity to group's norms is all that gives a life meaning .	1	-1	 the[0] japanese[0] believe[0] that[0] the[0] individual[0] is[0] nothing[0] that[0] conformity[0] to[0] group's[0] norms[0] is[0] all[0] that[0] gives[0] a[0] life[0] meaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conformity is purpose . 	conformity is purpose .	1	-1	 conformity[0] is[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before the film is over there will be some surprising revelations about the character of the prisoners and the character of those running the camp . 	before the film is over there will be some surprising revelations about the character of the prisoners and the character of those running the camp .	1	-2	 before[0] the[0] film[0] is[0] over[0] there[0] will[0] be[0] some[0] surprising[0] revelations[0] about[0] the[0] character[0] of[0] the[0] prisoners[-1] and[0] the[0] character[0] of[0] those[0] running[0] the[0] camp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if this story showed nothing but sadism from the japanese it would be one kind of story . 	if this story showed nothing but sadism from the japanese it would be one kind of story .	2	-1	 if[0] this[0] story[0] showed[0] nothing[0] but[0] sadism[0] from[0] the[0] japanese[0] it[0] would[0] be[0] one[0] kind[1] of[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the british ( with one american , by the way ) and the japanese learned to respect each other it would be another kind of story . 	if the british ( with one american , by the way ) and the japanese learned to respect each other it would be another kind of story .	3	-1	 if[0] the[0] british[0] with[0] one[0] american[0] by[0] the[0] way[0] and[0] the[0] japanese[0] learned[0] to[0] respect[2] each[0] other[0] it[0] would[0] be[0] another[0] kind[1] of[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is neither . 	it is neither .	1	-1	 it[0] is[0] neither[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a stirring and believable account of camp life . 	it is a stirring and believable account of camp life .	1	-1	 it[0] is[0] a[0] stirring[0] and[0] believable[0] account[0] of[0] camp[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the color has been distorted in the film to give a washed out yellow . 	the color has been distorted in the film to give a washed out yellow .	1	-2	 the[0] color[0] has[0] been[0] distorted[-1] in[0] the[0] film[0] to[0] give[0] a[0] washed[0] out[0] yellow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this serves a double purpose for cunningham . 	this serves a double purpose for cunningham .	1	-1	 this[0] serves[0] a[0] double[0] purpose[0] for[0] cunningham[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gives an effect of technicolor film that has been left in heat . 	it gives an effect of technicolor film that has been left in heat .	1	-1	 it[0] gives[0] an[0] effect[0] of[0] technicolor[0] film[0] that[0] has[0] been[0] left[0] in[0] heat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also creates a distancing effect . 	it also creates a distancing effect .	1	-1	 it[0] also[0] creates[0] a[0] distancing[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only touch that seems a little out of place is the use of gaelic music . 	the only touch that seems a little out of place is the use of gaelic music .	1	-1	 the[0] only[0] touch[0] that[0] seems[0] a[0] little[0] out[0] of[0] place[0] is[0] the[0] use[0] of[0] gaelic[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a powerful and philosophical view of the prison camp experience . 	this is a powerful and philosophical view of the prison camp experience .	1	-2	 this[0] is[0] a[0] powerful[0] and[0] philosophical[0] view[0] of[0] the[0] prison[-1] camp[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i rate it a 9 on the 0 to 10 scale and a  3 on the -4 to  4 scale . 	i rate it a 9 on the 0 to 10 scale and a  3 on the -4 to  4 scale .	1	-1	 i[0] rate[0] it[0] a[0] 9[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 3[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
