 " stuart little " is one of the best family films to come out this year . 	Translation	Positive	Negative	EmotionRationale
the littles try and find his parents and one day they show up on the doorstep wanting stuart back . 	the littles try and find his parents and one day they show up on the doorstep wanting stuart back .	1	-1	 the[0] littles[0] try[0] and[0] find[0] his[0] parents[0] and[0] one[0] day[0] they[0] show[0] up[0] on[0] the[0] doorstep[0] wanting[0] stuart[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hesitating the littles know what's best for stuart and so does snowball the pet cat , he and his friends try to get stuart but in the end we find out the truth about stuart's past ending up to a sentimental and very heart-warming ending . 	hesitating the littles know what's best for stuart and so does snowball the pet cat , he and his friends try to get stuart but in the end we find out the truth about stuart's past ending up to a sentimental and very heart-warming ending .	3	-1	 hesitating[0] the[0] littles[0] know[0] what's[0] best[1] for[0] stuart[0] and[0] so[0] does[0] snowball[0] the[0] pet[0] cat[0] he[0] and[0] his[0] friends[1] try[0] to[0] get[0] stuart[0] but[0] in[0] the[0] end[0] we[0] find[0] out[0] the[0] truth[1] about[0] stuart's[0] past[0] ending[0] up[0] to[0] a[0] sentimental[2] and[0] very[0] heart[0] warming[0] ending[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one thing i noticed about the film instantly was the fantastic special effects . 	one thing i noticed about the film instantly was the fantastic special effects .	3	-1	 one[0] thing[0] i[0] noticed[0] about[0] the[0] film[0] instantly[0] was[0] the[0] fantastic[2] special[1] effects[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
just like in " star wars : episode 1--the phantom menace " stuart little and his family are all computer generated and they look fantastically real . 	just like in " star wars : episode 1-the phantom menace " stuart little and his family are all computer generated and they look fantastically real .	1	-3	 just[0] like[1][-1 LastWordBoosterStrength] in[0] star[0] wars[-2] episode[0] 1[0] the[0] phantom[0] menace[-2] stuart[0] little[0] and[0] his[0] family[0] are[0] all[0] computer[0] generated[0] and[0] they[0] look[0] fantastically[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from the detail of their fur , to the detail of the way the walk ; the special effects team put a lot of time and effort on this  90 million dollar film and it shows . 	from the detail of their fur , to the detail of the way the walk ; the special effects team put a lot of time and effort on this  90 million dollar film and it shows .	2	-1	 from[0] the[0] detail[0] of[0] their[0] fur[0] to[0] the[0] detail[0] of[0] the[0] way[0] the[0] walk[0] the[0] special[1] effects[0] team[0] put[0] a[0] lot[0] of[0] time[0] and[0] effort[0] on[0] this[0] 90[0] million[0] dollar[0] film[0] and[0] it[0] shows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another movie that this has in common with is " babe " with it's talking animals and people understanding them . 	another movie that this has in common with is " babe " with it's talking animals and people understanding them .	1	-1	 another[0] movie[0] that[0] this[0] has[0] in[0] common[0] with[0] is[0] babe[0] with[0] it's[0] talking[0] animals[0] and[0] people[0] understanding[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has a family friendly atmosphere and is never really scary or suspenseful enough to even scare the youngest of kids . 	it has a family friendly atmosphere and is never really scary or suspenseful enough to even scare the youngest of kids .	5	-4	 it[0] has[0] a[0] family[0] friendly[1] atmosphere[0] and[0] is[0] never[0] really[0] scary[-3][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] or[0] suspenseful[0] enough[0] to[0] even[0] scare[-3] the[0] youngest[0] of[0] kids[0] [[Sentence=-4,5=word max, 1-5]][[[5,-4 max of sentences]]]
michael j . fox does the voice of stuart himself and just like in the " homeward bound " movies does a fantastic job and brings more out of stuart than anyone else could . 	michael j .<br> fox does the voice of stuart himself and just like in the " homeward bound " movies does a fantastic job and brings more out of stuart than anyone else could .	3	-1	 michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] does[0] the[0] voice[0] of[0] stuart[0] himself[0] and[0] just[0] like[1][-1 LastWordBoosterStrength] in[0] the[0] homeward[0] bound[0] movies[0] does[0] a[0] fantastic[2] job[0] and[0] brings[0] more[0] out[0] of[0] stuart[0] than[0] anyone[0] else[0] could[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he to me fits the character perfectly and ends up making stuart even more lovable . 	he to me fits the character perfectly and ends up making stuart even more lovable .	2	-1	 he[0] to[0] me[0] fits[0] the[0] character[0] perfectly[1] and[0] ends[0] up[0] making[0] stuart[0] even[0] more[0] lovable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another gem of the film is nathan lane as snowball . 	another gem of the film is nathan lane as snowball .	1	-1	 another[0] gem[0] of[0] the[0] film[0] is[0] nathan[0] lane[0] as[0] snowball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he was timon in 1994's " the lion king " i would have sworn he was a comedian , and now in " stuart little " he brings the most out of snowball and makes him one of those characters we love to dislike . 	when he was timon in 1994's " the lion king " i would have sworn he was a comedian , and now in " stuart little " he brings the most out of snowball and makes him one of those characters we love to dislike .	3	-3	 when[0] he[0] was[0] timon[0] in[0] 1994's[0] the[0] lion[0] king[0] i[0] would[0] have[0] sworn[0] he[0] was[0] a[0] comedian[0] and[0] now[0] in[0] stuart[0] little[0] he[0] brings[0] the[0] most[0] out[0] of[0] snowball[0] and[0] makes[0] him[0] one[0] of[0] those[0] characters[0] we[0] love[2] to[0] dislike[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for the human actors geena davis who never gives a bad performance does not disappoint here as well . 	for the human actors geena davis who never gives a bad performance does not disappoint here as well .	2	-2	 for[0] the[0] human[0] actors[0] geena[0] davis[0] who[0] never[0] gives[0] a[0] bad[-1] performance[0] does[0] not[0] disappoint[-1][NegatedDueToPreviousWord] here[0] as[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she fits nicely in her character and there is a good chemistry between her and hugh laurie who plays mr . little . 	she fits nicely in her character and there is a good chemistry between her and hugh laurie who plays mr .<br> little .	2	-1	 she[0] fits[0] nicely[1] in[0] her[0] character[0] and[0] there[0] is[0] a[0] good[1] chemistry[0] between[0] her[0] and[0] hugh[0] laurie[0] who[0] plays[1] mr[0] [[Sentence=-1,2=word max, 1-5]] little[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
both make us believe they are happily in love and married and jonathan lipnicki as their song is even more adorable than he was in 1996's " jerry maguire " . 	both make us believe they are happily in love and married and jonathan lipnicki as their song is even more adorable than he was in 1996's " jerry maguire " .	4	-1	 both[0] make[0] us[0] believe[0] they[0] are[0] happily[2] in[0] love[2] and[0] married[0] and[0] jonathan[0] lipnicki[0] as[0] their[0] song[0] is[0] even[0] more[0] adorable[3] than[0] he[0] was[0] in[0] 1996's[0] jerry[0] maguire[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even though stuart little is completely cgi , the human characters and stuart have a nice chemistry together and even makes us believe they really do care for each other . 	even though stuart little is completely cgi , the human characters and stuart have a nice chemistry together and even makes us believe they really do care for each other .	2	-1	 even[0] though[0] stuart[0] little[0] is[0] completely[0] cgi[0] the[0] human[0] characters[0] and[0] stuart[0] have[0] a[0] nice[1] chemistry[0] together[0] and[0] even[0] makes[0] us[0] believe[0] they[0] really[0] do[0] care[1] for[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " stuart little " is ideal family entertainment for this holiday season and will not disappoint youngsters or adults for that matter . 	 " stuart little " is ideal family entertainment for this holiday season and will not disappoint youngsters or adults for that matter .	2	-1	 stuart[0] little[0] is[0] ideal[0] family[0] entertainment[0] for[0] this[0] holiday[0] season[0] and[0] will[0] not[0] disappoint[-1][NegatedDueToPreviousWord] youngsters[0] or[0] adults[0] for[0] that[0] matter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we get entertainment , laughs , cries and more fun at the movies this season than probably any other movie . 	we get entertainment , laughs , cries and more fun at the movies this season than probably any other movie .	2	-3	 we[0] get[0] entertainment[0] laughs[1] cries[-2] and[0] more[0] fun[1] at[0] the[0] movies[0] this[0] season[0] than[0] probably[0] any[0] other[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
its nice to see a pg rated movie out at christmas that everyone can see . 	its nice to see a pg rated movie out at christmas that everyone can see .	2	-1	 its[0] nice[1] to[0] see[0] a[0] pg[0] rated[0] movie[0] out[0] at[0] christmas[0] that[0] everyone[0] can[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even though it has a  90 million dollar budget i'm sure it will make over that or just below it respectively . 	even though it has a  90 million dollar budget i'm sure it will make over that or just below it respectively .	3	-1	 even[0] though[0] it[0] has[0] a[0] 90[0] million[0] dollar[0] budget[0] i'm[0] sure[0] it[0] will[0] make[0] over[0] that[0] or[0] just[0] below[0] it[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for all you parents out there trying to find a good family movie , i have yet to see bicentennial man as i write this but as far as i know " stuart little " and " toy story 2 " are by far the best family films this year . 	for all you parents out there trying to find a good family movie , i have yet to see bicentennial man as i write this but as far as i know " stuart little " and " toy story 2 " are by far the best family films this year .	2	-1	 for[0] all[0] you[0] parents[0] out[0] there[0] trying[0] to[0] find[0] a[0] good[1] family[0] movie[0] i[0] have[0] yet[0] to[0] see[0] bicentennial[0] man[0] as[0] i[0] write[0] this[0] but[0] as[0] far[0] as[0] i[0] know[0] stuart[0] little[0] and[0] toy[0] story[0] 2[0] are[0] by[0] far[0] the[0] best[1] family[0] films[0] this[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a winner . ? 	a winner .<br> ?	2	-1	 a[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
