titanic is so close to being the perfect movie it's upsetting that it isn't . 	Translation	Positive	Negative	EmotionRationale
the story is full of cliched characters , ( the creepy man who the nice girl has to marry , the poor boy with heart , the stuck-up mother ) and poor dialogue ( the script consists of lots of in-jokes of how the boat won't sink , and most of the dialogue is pretty basic ) it's a shame really , as the audience does have to sit through 3 hours of this film . 	the story is full of cliched characters , ( the creepy man who the nice girl has to marry , the poor boy with heart , the stuck-up mother ) and poor dialogue ( the script consists of lots of in-jokes of how the boat won't sink , and most of the dialogue is pretty basic ) it's a shame really , as the audience does have to sit through 3 hours of this film .	3	-3	 the[0] story[0] is[0] full[0] of[0] cliched[0] characters[0] the[0] creepy[0] man[0] who[0] the[0] nice[1] girl[0] has[0] to[0] marry[0] the[0] poor[-1] boy[0] with[0] heart[0] the[0] stuck[0] up[0] mother[0] and[0] poor[-1] dialogue[0] the[0] script[0] consists[0] of[0] lots[0] of[0] in[0] jokes[1] of[0] how[0] the[0] boat[0] won't[0] sink[0] and[0] most[0] of[0] the[0] dialogue[0] is[0] pretty[2] basic[0] it's[0] a[0] shame[-2] really[0] as[0] the[0] audience[0] does[0] have[0] to[0] sit[0] through[0] 3[0] hours[0] of[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
without good dialogue , a film could become a very long , very boring film ( like camerons own terminator 2 , 1992 ) but , luckily , there are some redeeming features that make the story and dialogue problems just disappear . 	without good dialogue , a film could become a very long , very boring film ( like camerons own terminator 2 , 1992 ) but , luckily , there are some redeeming features that make the story and dialogue problems just disappear .	3	-3	 without[0] good[1] dialogue[0] a[0] film[0] could[0] become[0] a[0] very[0] long[0] very[0] boring[-1][-1 LastWordBoosterStrength] film[0] like[1] camerons[0] own[0] terminator[0] 2[0] 1992[0] but[0] luckily[2] there[0] are[0] some[0] redeeming[0] features[0] that[0] make[0] the[0] story[0] and[0] dialogue[0] problems[-1] just[0] disappear[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
firstly , there's cameron's direction . 	firstly , there's cameron's direction .	1	-1	 firstly[0] there's[0] cameron's[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some great sweeping shots of the titanic , and some clever fades between the flashback titanic and the ruined titanic . 	there are some great sweeping shots of the titanic , and some clever fades between the flashback titanic and the ruined titanic .	2	-2	 there[0] are[0] some[0] great[2][-1 LastWordBoosterStrength] sweeping[0] shots[0] of[0] the[0] titanic[0] and[0] some[0] clever[0] fades[0] between[0] the[0] flashback[0] titanic[0] and[0] the[0] ruined[-1] titanic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the scenes cameron directs especially well are the disaster scenes at the end . 	but the scenes cameron directs especially well are the disaster scenes at the end .	1	-2	 but[0] the[0] scenes[0] cameron[0] directs[0] especially[0] well[0] are[0] the[0] disaster[-1] scenes[0] at[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a lot of mayhem and panic , all done very well by cameron . 	there is a lot of mayhem and panic , all done very well by cameron .	1	-3	 there[0] is[0] a[0] lot[0] of[0] mayhem[0] and[0] panic[-2] all[0] done[0] very[0] well[0] by[0] cameron[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a scary sight , watching bodies fall from great heights into the watery depths below . 	it's a scary sight , watching bodies fall from great heights into the watery depths below .	3	-4	 it's[0] a[0] scary[-3] sight[0] watching[0] bodies[0] fall[0] from[0] great[2] heights[0] into[0] the[0] watery[0] depths[0] below[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
thanks to cameron's direction , then , the audiences attention is held for the full 3 hours 15 minutes . 	thanks to cameron's direction , then , the audiences attention is held for the full 3 hours 15 minutes .	2	-1	 thanks[1] to[0] cameron's[0] direction[0] then[0] the[0] audiences[0] attention[0] is[0] held[0] for[0] the[0] full[0] 3[0] hours[0] 15[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to support the directing are the excellent cast , working very well with their underwritten characters . 	to support the directing are the excellent cast , working very well with their underwritten characters .	4	-1	 to[0] support[1] the[0] directing[0] are[0] the[0] excellent[3] cast[0] working[0] very[0] well[0] with[0] their[0] underwritten[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
dicaprio is good , although he only looks 16-17 years old . 	dicaprio is good , although he only looks 16-17 years old .	2	-1	 dicaprio[0] is[0] good[1] although[0] he[0] only[0] looks[0] 16[0] -17[0] years[0] old[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his performance of a over excitiable , yet also well mannered boy is excellent , and he also has some funny lines . 	his performance of a over excitiable , yet also well mannered boy is excellent , and he also has some funny lines .	4	-1	 his[0] performance[0] of[0] a[0] over[0] excitiable[2] yet[0] also[0] well[0] mannered[0] boy[0] is[0] excellent[3] and[0] he[0] also[0] has[0] some[0] funny[1][-1 LastWordBoosterStrength] lines[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
winslet is great also , and her transistion from a well mannered rich girl to a rebelous young adult is pretty smooth . 	winslet is great also , and her transistion from a well mannered rich girl to a rebelous young adult is pretty smooth .	3	-2	 winslet[0] is[0] great[2] also[0] and[0] her[0] transistion[0] from[0] a[0] well[0] mannered[0] rich[0] girl[0] to[0] a[0] rebelous[-1] young[0] adult[0] is[0] pretty[2] smooth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
zane is deliciously evil as cal , saying every line with a sneer and a flicker of the eye lash . 	zane is deliciously evil as cal , saying every line with a sneer and a flicker of the eye lash .	3	-3	 zane[0] is[0] deliciously[2] evil[-2] as[0] cal[0] saying[0] every[0] line[0] with[0] a[0] sneer[-1] and[0] a[0] flicker[0] of[0] the[0] eye[0] lash[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the audience really does come to hate him . 	the audience really does come to hate him .	1	-4	 the[0] audience[0] really[0] does[0] come[0] to[0] hate[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he may be playing the same character he plays in every film he's in ( like dead calm , 1988 ) but he does it really , really well . 	he may be playing the same character he plays in every film he's in ( like dead calm , 1988 ) but he does it really , really well .	2	-3	 he[0] may[0] be[0] playing[1] the[0] same[0] character[0] he[0] plays[1] in[0] every[0] film[0] he's[0] in[0] like[1] dead[-2] calm[1] 1988[0] but[0] he[0] does[0] it[0] really[0] really[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also worthy of note is kathy bates ( edward scissorhands , 1990 ) as a loud mouthed american . 	also worthy of note is kathy bates ( edward scissorhands , 1990 ) as a loud mouthed american .	1	-1	 also[0] worthy[0] of[0] note[0] is[0] kathy[0] bates[0] edward[0] scissorhands[0] 1990[0] as[0] a[0] loud[0] mouthed[0] american[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , the icing on the 'great things' cake are the special effects . 	finally , the icing on the 'great things' cake are the special effects .	2	-1	 finally[0] the[0] icing[0] on[0] the[0] 'great[0] things'[0] cake[0] are[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cameron is a whiz with effects ( just watch aliens ( 1988 ) , terminator 2 and true lies , 1994 ) and they are used very well throughout . 	cameron is a whiz with effects ( just watch aliens ( 1988 ) , terminator 2 and true lies , 1994 ) and they are used very well throughout .	2	-3	 cameron[0] is[0] a[0] whiz[0] with[0] effects[0] just[0] watch[0] aliens[0] 1988[0] terminator[0] 2[0] and[0] true[1] lies[-2] 1994[0] and[0] they[0] are[0] used[0] very[0] well[0] throughout[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the sweeps of the ships are awesome , although digital domain , who did the effects , cannot animate human movement too well . 	the sweeps of the ships are awesome , although digital domain , who did the effects , cannot animate human movement too well .	3	-1	 the[0] sweeps[0] of[0] the[0] ships[0] are[0] awesome[2] although[0] digital[0] domain[0] who[0] did[0] the[0] effects[0] cannot[0] animate[0] human[0] movement[0] too[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the humans seem to move to 'smoothly' , there's just something odd about them . 	the humans seem to move to 'smoothly' , there's just something odd about them .	1	-1	 the[0] humans[0] seem[0] to[0] move[0] to[0] 'smoothly'[0] there's[0] just[0] something[0] odd[0] about[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can tell that they have been animated on a computer . 	you can tell that they have been animated on a computer .	1	-1	 you[0] can[0] tell[0] that[0] they[0] have[0] been[0] animated[0] on[0] a[0] computer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , the ship sinking scenes are awesome , with bodies flying all over the place , and the scene where the ship splits in half has to be seen to be believed . 	of course , the ship sinking scenes are awesome , with bodies flying all over the place , and the scene where the ship splits in half has to be seen to be believed .	3	-1	 of[0] course[0] the[0] ship[0] sinking[0] scenes[0] are[0] awesome[2] with[0] bodies[0] flying[0] all[0] over[0] the[0] place[0] and[0] the[0] scene[0] where[0] the[0] ship[0] splits[0] in[0] half[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
titanic is one of the only films where effects have reinforced the film . 	titanic is one of the only films where effects have reinforced the film .	1	-1	 titanic[0] is[0] one[0] of[0] the[0] only[0] films[0] where[0] effects[0] have[0] reinforced[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
titanic , then , is a wonder of directing , acting and cgi , but not writing and story . 	titanic , then , is a wonder of directing , acting and cgi , but not writing and story .	1	-1	 titanic[0] then[0] is[0] a[0] wonder[0] of[0] directing[0] acting[0] and[0] cgi[0] but[0] not[0] writing[0] and[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again , like most of camerons films , the editing is loose ( cameron edits himself ) , and the film could of come in under three hours with a few more cuts . 	again , like most of camerons films , the editing is loose ( cameron edits himself ) , and the film could of come in under three hours with a few more cuts .	2	-1	 again[0] like[1] most[0] of[0] camerons[0] films[0] the[0] editing[0] is[0] loose[0] cameron[0] edits[0] himself[0] and[0] the[0] film[0] could[0] of[0] come[0] in[0] under[0] three[0] hours[0] with[0] a[0] few[0] more[0] cuts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
titanic , then , although not the godfather of movies it could of been , is a wonderful attempt at creating a work of genius . 	titanic , then , although not the godfather of movies it could of been , is a wonderful attempt at creating a work of genius .	3	-1	 titanic[0] then[0] although[0] not[0] the[0] godfather[0] of[0] movies[0] it[0] could[0] of[0] been[0] is[0] a[0] wonderful[2] attempt[0] at[0] creating[0] a[0] work[0] of[0] genius[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
enjoyable , scary , and even sad , titanic is a film cinema was invented for , filling the screen with incredible images , and assaulting the ears with awesome sound . 	enjoyable , scary , and even sad , titanic is a film cinema was invented for , filling the screen with incredible images , and assaulting the ears with awesome sound .	3	-4	 enjoyable[2] scary[-3] and[0] even[0] sad[-3] titanic[0] is[0] a[0] film[0] cinema[0] was[0] invented[0] for[0] filling[0] the[0] screen[0] with[0] incredible[0] images[0] and[0] assaulting[-2] the[0] ears[0] with[0] awesome[2] sound[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a superb film , but sadly not perfect . 	a superb film , but sadly not perfect .	1	-2	 a[0] superb[0] film[0] but[0] sadly[-1] not[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
overall rating  ( 	overall rating  (	1	-1	 overall[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
