this is a film about secrets , some that are innocent like those of a cute little farm girl , frances boyd ( ashley ) . 	Translation	Positive	Negative	EmotionRationale
geoffrey is already suspicious of alex and considers him an enemy , and the marriage seems to be coming apart and all his cunning tricks to possess her are no longer working , as it is now impossible to see any good in him and there becomes no reason why she would remain with him . 	geoffrey is already suspicious of alex and considers him an enemy , and the marriage seems to be coming apart and all his cunning tricks to possess her are no longer working , as it is now impossible to see any good in him and there becomes no reason why she would remain with him .	2	-2	 geoffrey[0] is[0] already[0] suspicious[-1] of[0] alex[0] and[0] considers[0] him[0] an[0] enemy[-1] and[0] the[0] marriage[0] seems[0] to[0] be[0] coming[0] apart[0] and[0] all[0] his[0] cunning[0] tricks[-1] to[0] possess[0] her[0] are[0] no[0] longer[0] working[0] as[0] it[0] is[0] now[0] impossible[0] to[0] see[0] any[0] good[1] in[0] him[0] and[0] there[0] becomes[0] no[0] reason[0] why[0] she[0] would[0] remain[0] with[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the relationship has disintegrated way beyond the point of her just feeling lonely . 	the relationship has disintegrated way beyond the point of her just feeling lonely .	1	-2	 the[0] relationship[0] has[0] disintegrated[0] way[0] beyond[0] the[0] point[0] of[0] her[0] just[0] feeling[0] lonely[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dog is discovered by alex and her in a deplorable state after geoffrey is seen by them electrically shocking it , and mercifully the dog dies . 	the dog is discovered by alex and her in a deplorable state after geoffrey is seen by them electrically shocking it , and mercifully the dog dies .	1	-3	 the[0] dog[0] is[0] discovered[0] by[0] alex[0] and[0] her[0] in[0] a[0] deplorable[-1] state[0] after[0] geoffrey[0] is[0] seen[0] by[0] them[0] electrically[0] shocking[-2] it[0] and[0] mercifully[0] the[0] dog[0] dies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only thing left for her to do is walk out of the marriage , but she also fails to respond to david's loving gesture for her to stay with him , instead opting to head back to the city . 	the only thing left for her to do is walk out of the marriage , but she also fails to respond to david's loving gesture for her to stay with him , instead opting to head back to the city .	4	-3	 the[0] only[0] thing[0] left[0] for[0] her[0] to[0] do[0] is[0] walk[0] out[0] of[0] the[0] marriage[0] but[0] she[0] also[0] fails[-2] to[0] respond[0] to[0] david's[0] loving[3] gesture[0] for[0] her[0] to[0] stay[0] with[0] him[0] instead[0] opting[0] to[0] head[0] back[0] to[0] the[0] city[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the farmer whose dog was tortured to death comes into the scientist's lab and knocks him cold while he was in the middle of a phone conversation with one of the higher-ups who told him all the animals he needs are on the way . 	the farmer whose dog was tortured to death comes into the scientist's lab and knocks him cold while he was in the middle of a phone conversation with one of the higher-ups who told him all the animals he needs are on the way .	1	-4	 the[0] farmer[0] whose[0] dog[0] was[0] tortured[-3] to[0] death[-2] comes[0] into[0] the[0] scientist's[0] lab[0] and[0] knocks[0] him[0] cold[-1] while[0] he[0] was[0] in[0] the[0] middle[0] of[0] a[0] phone[0] conversation[0] with[0] one[0] of[0] the[0] higher[0] ups[0] who[0] told[0] him[0] all[0] the[0] animals[0] he[0] needs[0] are[0] on[0] the[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what is progress ? 	what is progress ?	1	-1	 what[0] is[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what can one expect out of life ? 	what can one expect out of life ?	1	-1	 what[0] can[0] one[0] expect[0] out[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is the small farmer about to become extinct ? 	is the small farmer about to become extinct ?	1	-2	 is[0] the[0] small[0] farmer[0] about[0] to[0] become[0] extinct[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the answers to these questions can best be answered by either good science or art , which are both closely related to the american natives vision of a world entrusted to mankind so that he can respect it and take care of it and enrich it with his creations to benefit mankind in a peaceful way . 	the answers to these questions can best be answered by either good science or art , which are both closely related to the american natives vision of a world entrusted to mankind so that he can respect it and take care of it and enrich it with his creations to benefit mankind in a peaceful way .	3	-1	 the[0] answers[0] to[0] these[0] questions[0] can[0] best[1] be[0] answered[0] by[0] either[0] good[1] science[0] or[0] art[0] which[0] are[0] both[0] closely[0] related[0] to[0] the[0] american[0] natives[0] vision[0] of[0] a[0] world[0] entrusted[0] to[0] mankind[0] so[0] that[0] he[0] can[0] respect[2] it[0] and[0] take[0] care[1] of[0] it[0] and[0] enrich[0] it[0] with[0] his[0] creations[0] to[0] benefit[0] mankind[0] in[0] a[0] peaceful[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that this work fails to be subtle and polarizes opinions , leaving no room for deeper arguments , is the shame of this decent and smart film , that tried so hard to say what it felt it had to say but said it so loudly without trusting its audience to catch on to its message by not making everything seem so black and white . 	that this work fails to be subtle and polarizes opinions , leaving no room for deeper arguments , is the shame of this decent and smart film , that tried so hard to say what it felt it had to say but said it so loudly without trusting its audience to catch on to its message by not making everything seem so black and white .	2	-3	 that[0] this[0] work[0] fails[-2] to[0] be[0] subtle[0] and[0] polarizes[0] opinions[0] leaving[0] no[0] room[0] for[0] deeper[0] arguments[-1] is[0] the[0] shame[-2] of[0] this[0] decent[0] and[0] smart[1] film[0] that[0] tried[0] so[0] hard[0] to[0] say[0] what[0] it[0] felt[0] it[0] had[0] to[0] say[0] but[0] said[0] it[0] so[0] loudly[0] without[0] trusting[1] its[0] audience[0] to[0] catch[0] on[0] to[0] its[0] message[0] by[0] not[0] making[0] everything[0] seem[0] so[0] black[0] and[0] white[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no telling said a lot about the harmful trends it sees science going in ; it probably said too much and would have been better off if its vision was more poetical and less didactic . 	no telling said a lot about the harmful trends it sees science going in ; it probably said too much and would have been better off if its vision was more poetical and less didactic .	1	-2	 no[0] telling[0] said[0] a[0] lot[0] about[0] the[0] harmful[-1] trends[0] it[0] sees[0] science[0] going[0] in[0] it[0] probably[0] said[0] too[0] much[0] and[0] would[0] have[0] been[0] better[0] off[0] if[0] its[0] vision[0] was[0] more[0] poetical[0] and[0] less[0] didactic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is something about listening to a lecture that turns off the rebel in me , as i don't like being hit in the head with the truth but prefer to have it presented in the form that leads to inspiration or told metaphorically . 	there is something about listening to a lecture that turns off the rebel in me , as i don't like being hit in the head with the truth but prefer to have it presented in the form that leads to inspiration or told metaphorically .	3	-2	 there[0] is[0] something[0] about[0] listening[0] to[0] a[0] lecture[0] that[0] turns[0] off[0] the[0] rebel[-1] in[0] me[0] as[0] i[0] don't[0] like[1][NegatedDueToPreviousWord] being[0] hit[0] in[0] the[0] head[0] with[0] the[0] truth[1] but[0] prefer[0] to[0] have[0] it[0] presented[0] in[0] the[0] form[0] that[0] leads[0] to[0] inspiration[2] or[0] told[0] metaphorically[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that is not to say that i found the film without considerable merit , that inspite of its shortcomings , it was worth seeing because of its visual statements , though they were also not too subtle , they were at least effective in setting up the intense mood that the film needed to show that there is a mental war going on currently , of those who believe one way is right and others who differ with them , and that anyone who is neutral must be considered an enemy because of their indifference . 	that is not to say that i found the film without considerable merit , that inspite of its shortcomings , it was worth seeing because of its visual statements , though they were also not too subtle , they were at least effective in setting up the intense mood that the film needed to show that there is a mental war going on currently , of those who believe one way is right and others who differ with them , and that anyone who is neutral must be considered an enemy because of their indifference .	2	-3	 that[0] is[0] not[0] to[0] say[0] that[0] i[0] found[0] the[0] film[0] without[0] considerable[0] merit[1] that[0] inspite[0] of[0] its[0] shortcomings[-1] it[0] was[0] worth[0] seeing[0] because[0] of[0] its[0] visual[0] statements[0] though[0] they[0] were[0] also[0] not[0] too[0] subtle[0] they[0] were[0] at[0] least[0] effective[0] in[0] setting[0] up[0] the[0] intense[0] mood[0] that[0] the[0] film[0] needed[0] to[0] show[0] that[0] there[0] is[0] a[0] mental[0] war[-2] going[0] on[0] currently[0] of[0] those[0] who[0] believe[0] one[0] way[0] is[0] right[0] and[0] others[0] who[0] differ[-1] with[0] them[0] and[0] that[0] anyone[0] who[0] is[0] neutral[0] must[0] be[0] considered[0] an[0] enemy[-1] because[0] of[0] their[0] indifference[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the stakes in this ecological struggle are that high . 	the stakes in this ecological struggle are that high .	1	-2	 the[0] stakes[0] in[0] this[0] ecological[0] struggle[-1] are[0] that[0] high[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the most powerful visual statement in the film , was the dead cow from pesticides shown in the opening scene . 	perhaps the most powerful visual statement in the film , was the dead cow from pesticides shown in the opening scene .	1	-3	 perhaps[0] the[0] most[0] powerful[0] visual[0] statement[0] in[0] the[0] film[0] was[0] the[0] dead[-2] cow[0] from[0] pesticides[0] shown[0] in[0] the[0] opening[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was the image that lillian spent her time painting all summer and had the same affect for her as did the animal faces in picasso's guernica had for him . 	it was the image that lillian spent her time painting all summer and had the same affect for her as did the animal faces in picasso's guernica had for him .	1	-1	 it[0] was[0] the[0] image[0] that[0] lillian[0] spent[0] her[0] time[0] painting[0] all[0] summer[0] and[0] had[0] the[0] same[0] affect[0] for[0] her[0] as[0] did[0] the[0] animal[0] faces[0] in[0] picasso's[0] guernica[0] had[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both artists envisioned the horrors that man could do against the world , and represented this unspoken pain on the faces of the animals so that anyone who cares to really see what is going on , will not mistake which side of the fence he or she should be on . 	both artists envisioned the horrors that man could do against the world , and represented this unspoken pain on the faces of the animals so that anyone who cares to really see what is going on , will not mistake which side of the fence he or she should be on .	2	-4	 both[0] artists[0] envisioned[0] the[0] horrors[-3] that[0] man[0] could[0] do[0] against[-1] the[0] world[0] and[0] represented[0] this[0] unspoken[0] pain[-3] on[0] the[0] faces[0] of[0] the[0] animals[0] so[0] that[0] anyone[0] who[0] cares[1] to[0] really[0] see[0] what[0] is[0] going[0] on[0] will[0] not[0] mistake[-1][NegatedDueToPreviousWord] which[0] side[0] of[0] the[0] fence[0] he[0] or[0] she[0] should[0] be[0] on[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the pain that lillian feels , as she forgets about her desires to raise a family , and she stares at her painting of the cow and the song , " make the world go away " blares out from the background , after she has learned that frances' beautiful and loving dog has been brutalized by her monster of a husband , all in the name of science , had a raw power to it that personalizes the dangers of bad science . 	the pain that lillian feels , as she forgets about her desires to raise a family , and she stares at her painting of the cow and the song , " make the world go away " blares out from the background , after she has learned that frances' beautiful and loving dog has been brutalized by her monster of a husband , all in the name of science , had a raw power to it that personalizes the dangers of bad science .	4	-4	 the[0] pain[-3] that[0] lillian[0] feels[0] as[0] she[0] forgets[0] about[0] her[0] desires[0] to[0] raise[0] a[0] family[0] and[0] she[0] stares[0] at[0] her[0] painting[0] of[0] the[0] cow[0] and[0] the[0] song[0] make[0] the[0] world[0] go[0] away[0] blares[0] out[0] from[0] the[0] background[0] after[0] she[0] has[0] learned[0] that[0] frances'[0] beautiful[2] and[0] loving[3] dog[0] has[0] been[0] brutalized[-2] by[0] her[0] monster[-1] of[0] a[0] husband[0] all[0] in[0] the[0] name[0] of[0] science[0] had[0] a[0] raw[0] power[0] to[0] it[0] that[0] personalizes[0] the[0] dangers[-1] of[0] bad[-1] science[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
