it has been 20 years since a terrence malick film hit theaters . 	Translation	Positive	Negative	EmotionRationale
he has often been called " the j . d . salinger of cinema . " 	he has often been called " the j .<br> d .<br> salinger of cinema .<br> "	1	-1	 he[0] has[0] often[0] been[0] called[0] the[0] j[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] salinger[0] of[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his two previous films , badlands and days of heaven , are spectacularly beautiful and obscure motion pictures . 	his two previous films , badlands and days of heaven , are spectacularly beautiful and obscure motion pictures .	3	-1	 his[0] two[0] previous[0] films[0] badlands[0] and[0] days[0] of[0] heaven[1] are[0] spectacularly[0] beautiful[2] and[0] obscure[0] motion[0] pictures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after he made them , he disappeared for 20 years . 	after he made them , he disappeared for 20 years .	1	-1	 after[0] he[0] made[0] them[0] he[0] disappeared[0] for[0] 20[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film marks his return . 	this film marks his return .	1	-1	 this[0] film[0] marks[0] his[0] return[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what he's made with the thin red line is a film that seems less concerned with plot than with the emotion of the moment . 	what he's made with the thin red line is a film that seems less concerned with plot than with the emotion of the moment .	1	-2	 what[0] he's[0] made[0] with[0] the[0] thin[0] red[0] line[0] is[0] a[0] film[0] that[0] seems[0] less[0] concerned[-1] with[0] plot[0] than[0] with[0] the[0] emotion[0] of[0] the[0] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the narration which fills the film ( and perplexes many ) not only lets us hear the narrators ( the characters themselves ) pontificate , but also lets us hear such of-the-moment thoughts as " i'm scared . " 	the narration which fills the film ( and perplexes many ) not only lets us hear the narrators ( the characters themselves ) pontificate , but also lets us hear such of-the-moment thoughts as " i'm scared .<br> "	1	-4	 the[0] narration[0] which[0] fills[0] the[0] film[0] and[0] perplexes[-1] many[0] not[0] only[0] lets[0] us[0] hear[0] the[0] narrators[0] the[0] characters[0] themselves[0] pontificate[0] but[0] also[0] lets[0] us[0] hear[0] such[0] of[0] the[0] moment[0] thoughts[0] as[0] i'm[0] scared[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the rather simple plot of the thin red line is used as a canvas on which many stories are painted . 	the rather simple plot of the thin red line is used as a canvas on which many stories are painted .	1	-1	 the[0] rather[0] simple[0] plot[0] of[0] the[0] thin[0] red[0] line[0] is[0] used[0] as[0] a[0] canvas[0] on[0] which[0] many[0] stories[0] are[0] painted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot couldly simply be boiled down to an assault on a hill . 	the plot couldly simply be boiled down to an assault on a hill .	1	-3	 the[0] plot[0] couldly[0] simply[0] be[0] boiled[0] down[0] to[0] an[0] assault[-2] on[0] a[0] hill[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a plot synopsis for the thin red line is difficult , because the story is fractured . 	a plot synopsis for the thin red line is difficult , because the story is fractured .	1	-2	 a[0] plot[0] synopsis[0] for[0] the[0] thin[0] red[0] line[0] is[0] difficult[-1] because[0] the[0] story[0] is[0] fractured[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many stories are here , from the clash between the lieutenant ( elias koteas ) and the savage colonel ( a voracious nick nolte ) to the private ( ben chaplin ) who uses his love for the woman he left behind to keep him going . 	many stories are here , from the clash between the lieutenant ( elias koteas ) and the savage colonel ( a voracious nick nolte ) to the private ( ben chaplin ) who uses his love for the woman he left behind to keep him going .	3	-3	 many[0] stories[0] are[0] here[0] from[0] the[0] clash[-1] between[0] the[0] lieutenant[0] elias[0] koteas[0] and[0] the[0] savage[-2] colonel[0] a[0] voracious[0] nick[0] nolte[0] to[0] the[0] private[0] ben[0] chaplin[0] who[0] uses[0] his[0] love[2] for[0] the[0] woman[0] he[0] left[0] behind[0] to[0] keep[0] him[0] going[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the fracturing of the story is ultimately a fault . 	the fracturing of the story is ultimately a fault .	1	-2	 the[0] fracturing[0] of[0] the[0] story[0] is[0] ultimately[0] a[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is as if an artist spent an incredible amount of time artfully sculpting tiny statues and then threw them into a box , shook the box , and poured the results onto a table . 	it is as if an artist spent an incredible amount of time artfully sculpting tiny statues and then threw them into a box , shook the box , and poured the results onto a table .	1	-2	 it[0] is[0] as[0] if[0] an[0] artist[0] spent[0] an[0] incredible[0] amount[0] of[0] time[0] artfully[0] sculpting[0] tiny[0] statues[0] and[0] then[0] threw[0] them[0] into[0] a[0] box[0] shook[-1] the[0] box[0] and[0] poured[0] the[0] results[0] onto[0] a[0] table[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this basically creates a mess , but the stories can be discerned and enjoyed . 	this basically creates a mess , but the stories can be discerned and enjoyed .	3	-1	 this[0] basically[0] creates[0] a[0] mess[0] but[0] the[0] stories[0] can[0] be[0] discerned[0] and[0] enjoyed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm not declaring that the film has no structure . 	i'm not declaring that the film has no structure .	1	-1	 i'm[0] not[0] declaring[0] that[0] the[0] film[0] has[0] no[0] structure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while saving private ryan used warfare to bookend the plot , malick uses reflection and glorious shots of nature to bookend about 90 minutes of combat . 	while saving private ryan used warfare to bookend the plot , malick uses reflection and glorious shots of nature to bookend about 90 minutes of combat .	2	-3	 while[0] saving[0] private[0] ryan[0] used[0] warfare[-2] to[0] bookend[0] the[0] plot[0] malick[0] uses[0] reflection[0] and[0] glorious[1] shots[0] of[0] nature[0] to[0] bookend[0] about[0] 90[0] minutes[0] of[0] combat[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the battles in the thin red line are astonishing and display a mastery of filmmaking . 	the battles in the thin red line are astonishing and display a mastery of filmmaking .	1	-2	 the[0] battles[-1] in[0] the[0] thin[0] red[0] line[0] are[0] astonishing[0] and[0] display[0] a[0] mastery[0] of[0] filmmaking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the astounding cinematography in this film must also be given notice . 	the astounding cinematography in this film must also be given notice .	1	-1	 the[0] astounding[0] cinematography[0] in[0] this[0] film[0] must[0] also[0] be[0] given[0] notice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film uses color and light in such a fantastic way , that it will be sad to see it degraded when it has to bee transferred to video . 	this film uses color and light in such a fantastic way , that it will be sad to see it degraded when it has to bee transferred to video .	3	-4	 this[0] film[0] uses[0] color[0] and[0] light[0] in[0] such[0] a[0] fantastic[2] way[0] that[0] it[0] will[0] be[0] sad[-3] to[0] see[0] it[0] degraded[-2] when[0] it[0] has[0] to[0] bee[0] transferred[0] to[0] video[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ultimately , malick has crafted a film that is a movie that enjoys looking through the treetops more than regarding the war that rages below them . 	ultimately , malick has crafted a film that is a movie that enjoys looking through the treetops more than regarding the war that rages below them .	3	-4	 ultimately[0] malick[0] has[0] crafted[0] a[0] film[0] that[0] is[0] a[0] movie[0] that[0] enjoys[2] looking[0] through[0] the[0] treetops[0] more[0] than[0] regarding[0] the[0] war[-2] that[0] rages[-3] below[0] them[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film is filled with nature photography and the regarding of nature . 	the film is filled with nature photography and the regarding of nature .	1	-1	 the[0] film[0] is[0] filled[0] with[0] nature[0] photography[0] and[0] the[0] regarding[0] of[0] nature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while some have said that the anti-war message and pro-nature tubthumping was juvenile , it was done with so much complexity and thought , that it cannot ever honestly be called childish . 	while some have said that the anti-war message and pro-nature tubthumping was juvenile , it was done with so much complexity and thought , that it cannot ever honestly be called childish .	1	-3	 while[0] some[0] have[0] said[0] that[0] the[0] anti[0] war[-2] message[0] and[0] pro[0] nature[0] tubthumping[0] was[0] juvenile[0] it[0] was[0] done[0] with[0] so[0] much[0] complexity[0] and[0] thought[0] that[0] it[0] cannot[0] ever[0] honestly[0] be[0] called[0] childish[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after seeing the thin red line , i was haunted by it and am quite ready to see it again . 	after seeing the thin red line , i was haunted by it and am quite ready to see it again .	1	-1	 after[0] seeing[0] the[0] thin[0] red[0] line[0] i[0] was[0] haunted[0] by[0] it[0] and[0] am[0] quite[0] ready[0] to[0] see[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
