an entertaining 2 hours awaits the audience in this film set in the early 80's . 	Translation	Positive	Negative	EmotionRationale
the disco tunes playing in the background also make sure that this admittedly long film is good fun . 	the disco tunes playing in the background also make sure that this admittedly long film is good fun .	2	-1	 the[0] disco[0] tunes[0] playing[1] in[0] the[0] background[0] also[0] make[0] sure[0] that[0] this[0] admittedly[0] long[0] film[0] is[0] good[1] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the direction is good , bringing out the drama and comedy in the scenes . 	the direction is good , bringing out the drama and comedy in the scenes .	2	-1	 the[0] direction[0] is[0] good[1] bringing[0] out[0] the[0] drama[0] and[0] comedy[0] in[0] the[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but their are slight flaws with the movie . 	but their are slight flaws with the movie .	1	-1	 but[0] their[0] are[0] slight[0] flaws[0] with[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
firstly , although it is supposedly set in the 80's , the characters are very , very 90's . 	firstly , although it is supposedly set in the 80's , the characters are very , very 90's .	1	-1	 firstly[0] although[0] it[0] is[0] supposedly[0] set[0] in[0] the[0] 80's[0] the[0] characters[0] are[0] very[0] very[0] 90's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the way they dress and act have a very 90's feel to them . 	the way they dress and act have a very 90's feel to them .	1	-1	 the[0] way[0] they[0] dress[0] and[0] act[0] have[0] a[0] very[0] 90's[0] feel[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the male hairstyles look slightly 80's , frankly the 80's atmosphere just wasn't conveyed , which is a shame . 	although the male hairstyles look slightly 80's , frankly the 80's atmosphere just wasn't conveyed , which is a shame .	1	-3	 although[0] the[0] male[0] hairstyles[0] look[0] slightly[0] 80's[0] frankly[0] the[0] 80's[0] atmosphere[0] just[0] wasn't[0] conveyed[0] which[0] is[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , as mentioned above , the film is too long , and some parts do lag . 	also , as mentioned above , the film is too long , and some parts do lag .	1	-1	 also[0] as[0] mentioned[0] above[0] the[0] film[0] is[0] too[0] long[0] and[0] some[0] parts[0] do[0] lag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the charm of the characters do help these moments , but generally the editing could of been a bit tighter . 	the charm of the characters do help these moments , but generally the editing could of been a bit tighter .	2	-1	 the[0] charm[1] of[0] the[0] characters[0] do[0] help[0] these[0] moments[0] but[0] generally[0] the[0] editing[0] could[0] of[0] been[0] a[0] bit[0] tighter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot also side-tracks into a silly cocaine dealing bust , which seemed out of place in this movie . 	the plot also side-tracks into a silly cocaine dealing bust , which seemed out of place in this movie .	1	-2	 the[0] plot[0] also[0] side[0] tracks[0] into[0] a[0] silly[-1] cocaine[0] dealing[0] bust[0] which[0] seemed[0] out[0] of[0] place[0] in[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , their are almost too many characters in the film , and despite the running time , the film never really spends enough time on them . 	finally , their are almost too many characters in the film , and despite the running time , the film never really spends enough time on them .	1	-1	 finally[0] their[0] are[0] almost[0] too[0] many[0] characters[0] in[0] the[0] film[0] and[0] despite[0] the[0] running[0] time[0] the[0] film[0] never[0] really[0] spends[0] enough[0] time[0] on[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the characters are very slight , which is a shame . 	some of the characters are very slight , which is a shame .	1	-3	 some[0] of[0] the[0] characters[0] are[0] very[0] slight[0] which[0] is[0] a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the conclusion , while funny , is also surprisingly weak , and certainly not strong enough . 	the conclusion , while funny , is also surprisingly weak , and certainly not strong enough .	2	-2	 the[0] conclusion[0] while[0] funny[1] is[0] also[0] surprisingly[0] weak[-1] and[0] certainly[0] not[0] strong[0] enough[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but despite these qualms , the last days of disco is a funny , warm movie , which is certainly worth seeing , and is a fitting homage to the disco era of the 80's . 	but despite these qualms , the last days of disco is a funny , warm movie , which is certainly worth seeing , and is a fitting homage to the disco era of the 80's .	2	-1	 but[0] despite[0] these[0] qualms[0] the[0] last[0] days[0] of[0] disco[0] is[0] a[0] funny[1] warm[0] movie[0] which[0] is[0] certainly[0] worth[0] seeing[0] and[0] is[0] a[0] fitting[0] homage[0] to[0] the[0] disco[0] era[0] of[0] the[0] 80's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
worth a look . 	worth a look .	1	-1	 worth[0] a[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall rating  	overall rating 	1	-1	 overall[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review by david wilcock ? 1998 	review by david wilcock ?<br> 1998	1	-1	 review[0] by[0] david[0] wilcock[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
