david lynch's " blue velvet " begins and ends with colorful , bright shots of flowers and happy americans mowing their lawns in a seemingly perfect american town . 	Translation	Positive	Negative	EmotionRationale
from this point maclachlan finds himself involved with a lounge singer ( isabella rossellinia ) who has lost her son and husband to a kidnapping . 	from this point maclachlan finds himself involved with a lounge singer ( isabella rossellinia ) who has lost her son and husband to a kidnapping .	1	-1	 from[0] this[0] point[0] maclachlan[0] finds[0] himself[0] involved[0] with[0] a[0] lounge[0] singer[0] isabella[0] rossellinia[0] who[0] has[0] lost[0] her[0] son[0] and[0] husband[0] to[0] a[0] kidnapping[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is much more detailed than the aforementioned and this is what makes david lynch's story telling so amazing . 	the plot is much more detailed than the aforementioned and this is what makes david lynch's story telling so amazing .	3	-1	 the[0] plot[0] is[0] much[0] more[0] detailed[0] than[0] the[0] aforementioned[0] and[0] this[0] is[0] what[0] makes[0] david[0] lynch's[0] story[0] telling[0] so[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
maclachlan becomes involved in a forbidden relationship , in another relationship that could have been taken straight out of a high school flick , and he is put into the shoes of a drug dealer who has some wild adventures with some wild friends . 	maclachlan becomes involved in a forbidden relationship , in another relationship that could have been taken straight out of a high school flick , and he is put into the shoes of a drug dealer who has some wild adventures with some wild friends .	2	-2	 maclachlan[0] becomes[0] involved[0] in[0] a[0] forbidden[-1] relationship[0] in[0] another[0] relationship[0] that[0] could[0] have[0] been[0] taken[0] straight[0] out[0] of[0] a[0] high[0] school[0] flick[0] and[0] he[0] is[0] put[0] into[0] the[0] shoes[0] of[0] a[0] drug[0] dealer[0] who[0] has[0] some[0] wild[0] adventures[0] with[0] some[0] wild[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
through these multiple stories , maclachlan lives multiple lives and as we follow maclachlan , we are introduced to a variety of interesting subplots . 	through these multiple stories , maclachlan lives multiple lives and as we follow maclachlan , we are introduced to a variety of interesting subplots .	2	-1	 through[0] these[0] multiple[0] stories[0] maclachlan[0] lives[0] multiple[0] lives[0] and[0] as[0] we[0] follow[0] maclachlan[0] we[0] are[0] introduced[0] to[0] a[0] variety[0] of[0] interesting[1] subplots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lynch masterfully builds these subplots but he does not piece them all together in the very end and make a convenient crowd pleasing conclusion . 	lynch masterfully builds these subplots but he does not piece them all together in the very end and make a convenient crowd pleasing conclusion .	3	-1	 lynch[0] masterfully[0] builds[0] these[0] subplots[0] but[0] he[0] does[0] not[0] piece[0] them[0] all[0] together[0] in[0] the[0] very[0] end[0] and[0] make[0] a[0] convenient[0] crowd[0] pleasing[2] conclusion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead he leaves some ambiguity and forces those curious enough to get the real meaning to watch the film several several times . 	instead he leaves some ambiguity and forces those curious enough to get the real meaning to watch the film several several times .	1	-1	 instead[0] he[0] leaves[0] some[0] ambiguity[-1][--1 LastWordBoosterStrength] and[0] forces[0] those[0] curious[0] enough[0] to[0] get[0] the[0] real[0] meaning[0] to[0] watch[0] the[0] film[0] several[0] several[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lynch has been known to do this with a number of his films meaning he may be too esoteric for some hoping to get a hollywood ending where the good guy gets the girl and everything turns out fine . 	lynch has been known to do this with a number of his films meaning he may be too esoteric for some hoping to get a hollywood ending where the good guy gets the girl and everything turns out fine .	3	-2	 lynch[0] has[0] been[0] known[0] to[0] do[0] this[0] with[0] a[0] number[0] of[0] his[0] films[0] meaning[0] he[0] may[0] be[0] too[0] esoteric[-1] for[0] some[0] hoping[1][-1 LastWordBoosterStrength] to[0] get[0] a[0] hollywood[0] ending[0] where[0] the[0] good[1] guy[0] gets[0] the[0] girl[0] and[0] everything[0] turns[0] out[0] fine[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , for fans of odd difficult indies , " blue velvet " could be just what they are looking for . 	however , for fans of odd difficult indies , " blue velvet " could be just what they are looking for .	1	-2	 however[0] for[0] fans[0] of[0] odd[0] difficult[-1] indies[0] blue[0] velvet[0] could[0] be[0] just[0] what[0] they[0] are[0] looking[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is very hard to discuss " blue velvet " without discussing the performance of dennis hopper's sadistic frank . 	it is very hard to discuss " blue velvet " without discussing the performance of dennis hopper's sadistic frank .	1	-1	 it[0] is[0] very[0] hard[0] to[0] discuss[0] blue[0] velvet[0] without[0] discussing[0] the[0] performance[0] of[0] dennis[0] hopper's[0] sadistic[0] frank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the other actors in the film were not very memorable . 	most of the other actors in the film were not very memorable .	1	-1	 most[0] of[0] the[0] other[0] actors[0] in[0] the[0] film[0] were[0] not[0] very[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kyle maclachlan lacked one important aspect for his role , a personality . 	kyle maclachlan lacked one important aspect for his role , a personality .	1	-1	 kyle[0] maclachlan[0] lacked[0] one[0] important[0] aspect[0] for[0] his[0] role[0] a[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
laura dern was consistently annoying . 	laura dern was consistently annoying .	1	-3	 laura[0] dern[0] was[0] consistently[0] annoying[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but dennis hopper stole every scene he was in . 	but dennis hopper stole every scene he was in .	1	-2	 but[0] dennis[0] hopper[0] stole[-1] every[0] scene[0] he[0] was[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his evil character was just plain old frightening in his mannerisms from his obsession to velvet to his incessant breathing from a gas mask . 	his evil character was just plain old frightening in his mannerisms from his obsession to velvet to his incessant breathing from a gas mask .	1	-4	 his[0] evil[-2] character[0] was[0] just[0] plain[0] old[0] frightening[-3] in[0] his[0] mannerisms[0] from[0] his[0] obsession[-2] to[0] velvet[0] to[0] his[0] incessant[-1] breathing[0] from[0] a[0] gas[0] mask[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
frank is a character that comes along once in a blue moon . 	frank is a character that comes along once in a blue moon .	1	-1	 frank[0] is[0] a[0] character[0] that[0] comes[0] along[0] once[0] in[0] a[0] blue[0] moon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many producers know this and have inevitably begun to typecast hopper as the bad guy . 	many producers know this and have inevitably begun to typecast hopper as the bad guy .	1	-2	 many[0] producers[0] know[0] this[0] and[0] have[0] inevitably[0] begun[0] to[0] typecast[0] hopper[0] as[0] the[0] bad[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just like his villain in " speed " , hopper is over the edge with cursing and screaming every chance he has to speak . 	just like his villain in " speed " , hopper is over the edge with cursing and screaming every chance he has to speak .	1	-4	 just[0] like[1][-1 LastWordBoosterStrength] his[0] villain[-2] in[0] speed[0] hopper[0] is[0] over[0] the[0] edge[0] with[0] cursing[0] and[0] screaming[-3] every[0] chance[0] he[0] has[0] to[0] speak[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this harshness is exactly what frank is , so weird and twisted that it is hard not to look at him , even if he theatens you to look away . 	this harshness is exactly what frank is , so weird and twisted that it is hard not to look at him , even if he theatens you to look away .	1	-2	 this[0] harshness[0] is[0] exactly[0] what[0] frank[0] is[0] so[0] weird[-1] and[0] twisted[0] that[0] it[0] is[0] hard[0] not[0] to[0] look[0] at[0] him[0] even[0] if[0] he[0] theatens[0] you[0] to[0] look[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " blue velvet " has characters and stories you will never see in a movie again . 	 " blue velvet " has characters and stories you will never see in a movie again .	1	-1	 blue[0] velvet[0] has[0] characters[0] and[0] stories[0] you[0] will[0] never[0] see[0] in[0] a[0] movie[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for this sole reason it is recommended . 	for this sole reason it is recommended .	1	-1	 for[0] this[0] sole[0] reason[0] it[0] is[0] recommended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but also see it to admire lynch's obsession to avoid the norm . 	but also see it to admire lynch's obsession to avoid the norm .	3	-3	 but[0] also[0] see[0] it[0] to[0] admire[2] lynch's[0] obsession[-2] to[0] avoid[-1] the[0] norm[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even if this film is a little too weird for you , it's hard not to congratulate a guy for trying something new and sticking to it . 	even if this film is a little too weird for you , it's hard not to congratulate a guy for trying something new and sticking to it .	1	-2	 even[0] if[0] this[0] film[0] is[0] a[0] little[0] too[0] weird[-1] for[0] you[0] it's[0] hard[0] not[0] to[0] congratulate[1][NegatedDueToPreviousWord] a[0] guy[0] for[0] trying[0] something[0] new[0] and[0] sticking[0] to[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
