when i saw the trailer for this film , i laughed harder than i had in quite some time . 	Translation	Positive	Negative	EmotionRationale
with the help of his friend dom ( chris elliott ) , ted hires slimy private investigator pat healy ( matt dillon ) to track down his only love . 	with the help of his friend dom ( chris elliott ) , ted hires slimy private investigator pat healy ( matt dillon ) to track down his only love .	3	-1	 with[0] the[0] help[0] of[0] his[0] friend[1] dom[0] chris[0] elliott[0] ted[0] hires[0] slimy[0] private[0] investigator[0] pat[0] healy[0] matt[0] dillon[0] to[0] track[0] down[0] his[0] only[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , when pat finds mary , he falls for her too , and soon the both of them are competing for her affections . 	however , when pat finds mary , he falls for her too , and soon the both of them are competing for her affections .	3	-1	 however[0] when[0] pat[0] finds[0] mary[0] he[0] falls[0] for[0] her[0] too[0] and[0] soon[0] the[0] both[0] of[0] them[0] are[0] competing[0] for[0] her[0] affections[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's something about mary is directed by bobby and peter farrelly , who brought us dumb and dumber and kingpin . 	there's something about mary is directed by bobby and peter farrelly , who brought us dumb and dumber and kingpin .	1	-2	 there's[0] something[0] about[0] mary[0] is[0] directed[0] by[0] bobby[0] and[0] peter[0] farrelly[0] who[0] brought[0] us[0] dumb[-1] and[0] dumber[-1] and[0] kingpin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not exactly intelligent comedies , they are of the guilty pleasure variety where you might not want your friends or co-workers to think you had such a great time watching them . 	not exactly intelligent comedies , they are of the guilty pleasure variety where you might not want your friends or co-workers to think you had such a great time watching them .	3	-4	 not[0] exactly[0] intelligent[1][NegatedDueToPreviousWord] comedies[0] they[0] are[0] of[0] the[0] guilty[-3] pleasure[2] variety[0] where[0] you[0] might[0] not[0] want[0] your[0] friends[1] or[0] co[0] workers[0] to[0] think[0] you[0] had[0] such[0] a[0] great[2] time[0] watching[0] them[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
with their current film , the farrelly brothers have come up with something you'll not only enjoy , but also won't mind talking about the next day at the water cooler . 	with their current film , the farrelly brothers have come up with something you'll not only enjoy , but also won't mind talking about the next day at the water cooler .	1	-3	 with[0] their[0] current[0] film[0] the[0] farrelly[0] brothers[0] have[0] come[0] up[0] with[0] something[0] you'll[0] not[0] only[0] enjoy[2][NegatedDueToPreviousWord] but[0] also[0] won't[0] mind[0] talking[0] about[0] the[0] next[0] day[0] at[0] the[0] water[0] cooler[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film succeeds in employing a pretty wide range of comedic styles , from the subtle to the ridiculous , and while a few of the gags might be offensive to some ( seeming like residuals from the farrelly brothers' last two films ) they almost all work . 	the film succeeds in employing a pretty wide range of comedic styles , from the subtle to the ridiculous , and while a few of the gags might be offensive to some ( seeming like residuals from the farrelly brothers' last two films ) they almost all work .	3	-3	 the[0] film[0] succeeds[2] in[0] employing[0] a[0] pretty[2] wide[0] range[0] of[0] comedic[0] styles[0] from[0] the[0] subtle[0] to[0] the[0] ridiculous[-2] and[0] while[0] a[0] few[0] of[0] the[0] gags[0] might[0] be[0] offensive[-2] to[0] some[0] seeming[0] like[1] residuals[0] from[0] the[0] farrelly[0] brothers'[0] last[0] two[0] films[0] they[0] almost[0] all[0] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i have not seen many movies in the recent past that shoot for the mark and so often hit it dead on . 	i have not seen many movies in the recent past that shoot for the mark and so often hit it dead on .	1	-3	 i[0] have[0] not[0] seen[0] many[0] movies[0] in[0] the[0] recent[0] past[0] that[0] shoot[-1] for[0] the[0] mark[0] and[0] so[0] often[0] hit[0] it[0] dead[-2] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one minute you'll be laughing at something ted says , and the next you'll be howling at the sight of a dog dragging him across the floor of mary's apartment . 	one minute you'll be laughing at something ted says , and the next you'll be howling at the sight of a dog dragging him across the floor of mary's apartment .	2	-1	 one[0] minute[0] you'll[0] be[0] laughing[1] at[0] something[0] ted[0] says[0] and[0] the[0] next[0] you'll[0] be[0] howling[0] at[0] the[0] sight[0] of[0] a[0] dog[0] dragging[0] him[0] across[0] the[0] floor[0] of[0] mary's[0] apartment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the great things this film has going for it is ben stiller . 	one of the great things this film has going for it is ben stiller .	3	-1	 one[0] of[0] the[0] great[2] things[0] this[0] film[0] has[0] going[0] for[0] it[0] is[0] ben[0] stiller[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is perfectly cast in the role of ted , because he's a guy who just looks awkward in almost every situation . 	he is perfectly cast in the role of ted , because he's a guy who just looks awkward in almost every situation .	2	-2	 he[0] is[0] perfectly[1] cast[0] in[0] the[0] role[0] of[0] ted[0] because[0] he's[0] a[0] guy[0] who[0] just[0] looks[0] awkward[-1] in[0] almost[0] every[0] situation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ted's a nice fellow and tries to do his best , but for some reason or another things just don't always work out . 	ted's a nice fellow and tries to do his best , but for some reason or another things just don't always work out .	2	-1	 ted's[0] a[0] nice[1] fellow[0] and[0] tries[0] to[0] do[0] his[0] best[1] but[0] for[0] some[0] reason[0] or[0] another[0] things[0] just[0] don't[0] always[0] work[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's comical , but also has that kind of appeal where you really feel for the him and want him to come out on top . 	it's comical , but also has that kind of appeal where you really feel for the him and want him to come out on top .	2	-1	 it's[0] comical[0] but[0] also[0] has[0] that[0] kind[1] of[0] appeal[0] where[0] you[0] really[0] feel[0] for[0] the[0] him[0] and[0] want[0] him[0] to[0] come[0] out[0] on[0] top[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , i've liked stiller since he did a short which aired on saturday night live back in the mid-eighties . 	actually , i've liked stiller since he did a short which aired on saturday night live back in the mid-eighties .	3	-1	 actually[0] i've[0] liked[2] stiller[0] since[0] he[0] did[0] a[0] short[0] which[0] aired[0] on[0] saturday[0] night[0] live[0] back[0] in[0] the[0] mid[0] eighties[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film was like a theatrical trailer for a spoof on the tom cruise/paul newman film the color of money , entitled the hustler of money . 	the film was like a theatrical trailer for a spoof on the tom cruise/paul newman film the color of money , entitled the hustler of money .	2	-2	 the[0] film[0] was[0] like[1] a[0] theatrical[0] trailer[0] for[0] a[0] spoof[0] on[0] the[0] tom[0] cruise/paul[0] newman[0] film[0] the[0] color[0] of[0] money[0] entitled[0] the[0] hustler[-1] of[0] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in it , stiller played wince ( not vince ) who is taken under the wing of an older man ( played by john mahoney ) to become a big-time bowling hustler . 	in it , stiller played wince ( not vince ) who is taken under the wing of an older man ( played by john mahoney ) to become a big-time bowling hustler .	1	-2	 in[0] it[0] stiller[0] played[0] wince[-1] not[0] vince[0] who[0] is[0] taken[0] under[0] the[0] wing[0] of[0] an[0] older[0] man[0] played[0] by[0] john[0] mahoney[0] to[0] become[0] a[0] big[0] time[0] bowling[0] hustler[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was parody at its finest , more of which showed up in the short-lived " the ben stiller show " on the fox network in late '92/early '93 . 	it was parody at its finest , more of which showed up in the short-lived " the ben stiller show " on the fox network in late '92/early '93 .	1	-1	 it[0] was[0] parody[0] at[0] its[0] finest[0] more[0] of[0] which[0] showed[0] up[0] in[0] the[0] short[0] lived[0] the[0] ben[0] stiller[0] show[0] on[0] the[0] fox[0] network[0] in[0] late[0] '92/early[0] '93[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like " the critic " ( which aired on abc , then fox ) , i still mourn that show's cancellation . 	like " the critic " ( which aired on abc , then fox ) , i still mourn that show's cancellation .	2	-3	 like[1] the[0] critic[-1] which[0] aired[0] on[0] abc[0] then[0] fox[0] i[0] still[0] mourn[-2] that[0] show's[0] cancellation[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
cameron diaz is absolutely enchanting for most of the film , although her character seems obsessed with perfection in the men she dates , and some of the qualities she looks for make mary look paper-thin at times . 	cameron diaz is absolutely enchanting for most of the film , although her character seems obsessed with perfection in the men she dates , and some of the qualities she looks for make mary look paper-thin at times .	2	-3	 cameron[0] diaz[0] is[0] absolutely[0] enchanting[0] for[0] most[0] of[0] the[0] film[0] although[0] her[0] character[0] seems[0] obsessed[-2] with[0] perfection[1] in[0] the[0] men[0] she[0] dates[0] and[0] some[0] of[0] the[0] qualities[0] she[0] looks[0] for[0] make[0] mary[0] look[0] paper[0] thin[0] at[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , diaz pulls the role off with such panache and charm , that you can still see why she's got guys just falling over each other to be with her . 	however , diaz pulls the role off with such panache and charm , that you can still see why she's got guys just falling over each other to be with her .	2	-1	 however[0] diaz[0] pulls[0] the[0] role[0] off[0] with[0] such[0] panache[0] and[0] charm[1] that[0] you[0] can[0] still[0] see[0] why[0] she's[0] got[0] guys[0] just[0] falling[0] over[0] each[0] other[0] to[0] be[0] with[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
heck , i even found her laugh to be cute , even though i thought it was annoying during an appearance she made on the tonight show last week . 	heck , i even found her laugh to be cute , even though i thought it was annoying during an appearance she made on the tonight show last week .	2	-3	 heck[0] i[0] even[0] found[0] her[0] laugh[1] to[0] be[0] cute[1] even[0] though[0] i[0] thought[0] it[0] was[0] annoying[-2] during[0] an[0] appearance[0] she[0] made[0] on[0] the[0] tonight[0] show[0] last[0] week[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my girlfriend remarked that matt dillon doesn't change , and you know , it's really true . 	my girlfriend remarked that matt dillon doesn't change , and you know , it's really true .	3	-1	 my[0] girlfriend[0] remarked[0] that[0] matt[0] dillon[0] doesn't[0] change[0] and[0] you[0] know[0] it's[0] really[0] true[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he and ralph macchio must hang out or something . 	he and ralph macchio must hang out or something .	1	-2	 he[0] and[0] ralph[0] macchio[0] must[0] hang[-1] out[0] or[0] something[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe they live in dick clark's pool house . 	maybe they live in dick clark's pool house .	1	-1	 maybe[0] they[0] live[0] in[0] dick[0] clark's[0] pool[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , here's another good piece of casting , as dillon slips beautifully into the role of the guy who tries to worm his way into mary's heart . 	anyway , here's another good piece of casting , as dillon slips beautifully into the role of the guy who tries to worm his way into mary's heart .	3	-1	 anyway[0] here's[0] another[0] good[1] piece[0] of[0] casting[0] as[0] dillon[0] slips[0] beautifully[2] into[0] the[0] role[0] of[0] the[0] guy[0] who[0] tries[0] to[0] worm[0] his[0] way[0] into[0] mary's[0] heart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the supporting performances are also good . 	the supporting performances are also good .	2	-1	 the[0] supporting[1] performances[0] are[0] also[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chris elliott has a bigger part than in the abyss ( yes , check it out next time ) , and less annoying than in cabin boy . 	chris elliott has a bigger part than in the abyss ( yes , check it out next time ) , and less annoying than in cabin boy .	1	-3	 chris[0] elliott[0] has[0] a[0] bigger[0] part[0] than[0] in[0] the[0] abyss[-1] yes[0] check[0] it[0] out[0] next[0] time[0] and[0] less[0] annoying[-2] than[0] in[0] cabin[0] boy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lin shae , who plays mary's neighbor magda ( and also appeared as the landlady in kingpin ) , provides some good laughs , especially in scenes with her benji-like dog , which acts as the focal point for a few of the funniest moments of the film . 	lin shae , who plays mary's neighbor magda ( and also appeared as the landlady in kingpin ) , provides some good laughs , especially in scenes with her benji-like dog , which acts as the focal point for a few of the funniest moments of the film .	2	-1	 lin[0] shae[0] who[0] plays[1] mary's[0] neighbor[0] magda[0] and[0] also[0] appeared[0] as[0] the[0] landlady[0] in[0] kingpin[0] provides[0] some[0] good[1][-1 LastWordBoosterStrength] laughs[1] especially[0] in[0] scenes[0] with[0] her[0] benji[0] like[1] dog[0] which[0] acts[0] as[0] the[0] focal[0] point[0] for[0] a[0] few[0] of[0] the[0] funniest[1] moments[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lee evans , as mary's friend tucker , displays a flexibility in acting and accents which surprises and contributes to an interesting plot twist . 	lee evans , as mary's friend tucker , displays a flexibility in acting and accents which surprises and contributes to an interesting plot twist .	2	-1	 lee[0] evans[0] as[0] mary's[0] friend[1] tucker[0] displays[0] a[0] flexibility[0] in[0] acting[0] and[0] accents[0] which[0] surprises[0] and[0] contributes[0] to[0] an[0] interesting[1] plot[0] twist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the farrelly brothers and scriptwriters ed decter and john j . strauss keep the comedic pacing going so that there aren't any noticeable times where the film drags . 	the farrelly brothers and scriptwriters ed decter and john j .<br> strauss keep the comedic pacing going so that there aren't any noticeable times where the film drags .	1	-1	 the[0] farrelly[0] brothers[0] and[0] scriptwriters[0] ed[0] decter[0] and[0] john[0] j[0] [[Sentence=-1,1=word max, 1-5]] strauss[0] keep[0] the[0] comedic[0] pacing[0] going[0] so[0] that[0] there[0] aren't[0] any[0] noticeable[0] times[0] where[0] the[0] film[0] drags[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only problem i saw was their use of a couple of musicians who provide segues between several key scenes . 	the only problem i saw was their use of a couple of musicians who provide segues between several key scenes .	1	-2	 the[0] only[0] problem[-1] i[0] saw[0] was[0] their[0] use[0] of[0] a[0] couple[0] of[0] musicians[0] who[0] provide[0] segues[0] between[0] several[0] key[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they appear out of nowhere and actually sing plot-relevant information right toward the camera . 	they appear out of nowhere and actually sing plot-relevant information right toward the camera .	1	-1	 they[0] appear[0] out[0] of[0] nowhere[0] and[0] actually[0] sing[0] plot[0] relevant[0] information[0] right[0] toward[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a device which was amusing for about three seconds when they opened the film . 	it's a device which was amusing for about three seconds when they opened the film .	2	-1	 it's[0] a[0] device[0] which[0] was[0] amusing[1] for[0] about[0] three[0] seconds[0] when[0] they[0] opened[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after that it got a little annoying , and it's unfortunate that those spots interrupt what would otherwise be a smooth flow . 	after that it got a little annoying , and it's unfortunate that those spots interrupt what would otherwise be a smooth flow .	1	-3	 after[0] that[0] it[0] got[0] a[0] little[0] annoying[-2] and[0] it's[0] unfortunate[-1] that[0] those[0] spots[0] interrupt[-1] what[0] would[0] otherwise[0] be[0] a[0] smooth[0] flow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fortunately , filled with sight gags , humorous lines , and solid comedic acting , there's something about mary will still have you laughing after you leave the theater . 	fortunately , filled with sight gags , humorous lines , and solid comedic acting , there's something about mary will still have you laughing after you leave the theater .	3	-1	 fortunately[0] filled[0] with[0] sight[0] gags[0] humorous[2] lines[0] and[0] solid[0] comedic[0] acting[0] there's[0] something[0] about[0] mary[0] will[0] still[0] have[0] you[0] laughing[1] after[0] you[0] leave[0] the[0] theater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
