dark city is such a rare treat : it ? s a stunning , hyperkinetic vision of a place where our reality is fused with noir , science fiction and the darkest nights in manhattan and london . 	Translation	Positive	Negative	EmotionRationale
it ? s a pleasure to watch the characters develop through the cinematography . 	it ?<br> s a pleasure to watch the characters develop through the cinematography .	3	-1	 it[0] [[Sentence=-1,1=word max, 1-5]] s[0] a[0] pleasure[2] to[0] watch[0] the[0] characters[0] develop[0] through[0] the[0] cinematography[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
murdoch ? s wife , anna , is introduced through a stunning beam of light : she is a lounge singer who sings into a bright spotlight . 	murdoch ?<br> s wife , anna , is introduced through a stunning beam of light : she is a lounge singer who sings into a bright spotlight .	1	-1	 murdoch[0] [[Sentence=-1,1=word max, 1-5]] s[0] wife[0] anna[0] is[0] introduced[0] through[0] a[0] stunning[0] beam[0] of[0] light[0] she[0] is[0] a[0] lounge[0] singer[0] who[0] sings[0] into[0] a[0] bright[0] spotlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shadows , outlines of men in hats watch , as she gently curves through the shine . 	shadows , outlines of men in hats watch , as she gently curves through the shine .	2	-1	 shadows[0] outlines[0] of[0] men[0] in[0] hats[0] watch[0] as[0] she[0] gently[1] curves[0] through[0] the[0] shine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we see the outline of her body from behind , an hourglass , as she sings a slow , rhythmic song . 	we see the outline of her body from behind , an hourglass , as she sings a slow , rhythmic song .	1	-1	 we[0] see[0] the[0] outline[0] of[0] her[0] body[0] from[0] behind[0] an[0] hourglass[0] as[0] she[0] sings[0] a[0] slow[0] rhythmic[0] song[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a great entrance . 	a great entrance .	3	-1	 a[0] great[2] entrance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , a film such as this is only successful if the morals and themes behind it are strong enough to leave the viewer satisfied . 	however , a film such as this is only successful if the morals and themes behind it are strong enough to leave the viewer satisfied .	3	-1	 however[0] a[0] film[0] such[0] as[0] this[0] is[0] only[0] successful[2] if[0] the[0] morals[0] and[0] themes[0] behind[0] it[0] are[0] strong[0] enough[0] to[0] leave[0] the[0] viewer[0] satisfied[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the city is nice to look at , but if it ? s a poor story then it ? s not worth watching . 	the city is nice to look at , but if it ?<br> s a poor story then it ?<br> s not worth watching .	2	-2	 the[0] city[0] is[0] nice[1] to[0] look[0] at[0] but[0] if[0] it[0] [[Sentence=-1,2=word max, 1-5]] s[0] a[0] poor[-1] story[0] then[0] it[0] [[Sentence=-2,1=word max, 1-5]] s[0] not[0] worth[0] watching[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
blade runner was popular not only because it ? s visuals , but it ? s story and themes were thought out and provoked strong response from the audience . 	blade runner was popular not only because it ?<br> s visuals , but it ?<br> s story and themes were thought out and provoked strong response from the audience .	1	-1	 blade[0] runner[0] was[0] popular[0] not[0] only[0] because[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] visuals[0] but[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] story[0] and[0] themes[0] were[0] thought[0] out[0] and[0] provoked[0] strong[0] response[0] from[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is discussed it and argued , therefore a success . 	it is discussed it and argued , therefore a success .	3	-2	 it[0] is[0] discussed[0] it[0] and[0] argued[-1] therefore[0] a[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
other science fiction films of recent times , such as the fifth element , are nice to look at , but are dropped and forgotten because the cookie cutter moral behind them is so flimsy . 	other science fiction films of recent times , such as the fifth element , are nice to look at , but are dropped and forgotten because the cookie cutter moral behind them is so flimsy .	2	-2	 other[0] science[0] fiction[0] films[0] of[0] recent[0] times[0] such[0] as[0] the[0] fifth[0] element[0] are[0] nice[1] to[0] look[0] at[0] but[0] are[0] dropped[0] and[0] forgotten[0] because[0] the[0] cookie[0] cutter[0] moral[0] behind[0] them[0] is[0] so[0] flimsy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we ? re left with ? love conquers all ? after finishing the fifth element . 	we ?<br> re left with ?<br> love conquers all ?<br> after finishing the fifth element .	3	-1	 we[0] [[Sentence=-1,1=word max, 1-5]] re[0] left[0] with[0] [[Sentence=-1,1=word max, 1-5]] love[2] conquers[0] all[0] [[Sentence=-1,3=word max, 1-5]] after[0] finishing[0] the[0] fifth[0] element[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
dark city is not so easily explained away . 	dark city is not so easily explained away .	1	-1	 dark[0] city[0] is[0] not[0] so[0] easily[0] explained[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the strangers discovered , locating the human soul and discovering what makes us survive is not such an easy task . 	as the strangers discovered , locating the human soul and discovering what makes us survive is not such an easy task .	1	-1	 as[0] the[0] strangers[0] discovered[0] locating[0] the[0] human[0] soul[0] and[0] discovering[0] what[0] makes[0] us[0] survive[0] is[0] not[0] such[0] an[0] easy[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where is reality ? 	where is reality ?	1	-1	 where[0] is[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dark city is certainly the best science fiction film of the 90 ? s , and ranks along with the best made in the 80s , such as blade runner and the two aliens films . 	dark city is certainly the best science fiction film of the 90 ?<br> s , and ranks along with the best made in the 80s , such as blade runner and the two aliens films .	2	-1	 dark[0] city[0] is[0] certainly[0] the[0] best[1] science[0] fiction[0] film[0] of[0] the[0] 90[0] [[Sentence=-1,2=word max, 1-5]] s[0] and[0] ranks[0] along[0] with[0] the[0] best[1] made[0] in[0] the[0] 80s[0] such[0] as[0] blade[0] runner[0] and[0] the[0] two[0] aliens[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps it ? s the best of the both decades ; it had the darkness of the aliens films , as well as the visuals and compelling story of blade runner , but moved beyond , i think , because the themes behind it were much stronger . 	perhaps it ?<br> s the best of the both decades ; it had the darkness of the aliens films , as well as the visuals and compelling story of blade runner , but moved beyond , i think , because the themes behind it were much stronger .	2	-1	 perhaps[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] the[0] best[1] of[0] the[0] both[0] decades[0] it[0] had[0] the[0] darkness[0] of[0] the[0] aliens[0] films[0] as[0] well[0] as[0] the[0] visuals[0] and[0] compelling[0] story[0] of[0] blade[0] runner[0] but[0] moved[0] beyond[0] i[0] think[0] because[0] the[0] themes[0] behind[0] it[0] were[0] much[0] stronger[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyone who wants to make an argument for better science fiction films please feel free to write , i ? d love to hear it . 	anyone who wants to make an argument for better science fiction films please feel free to write , i ?<br> d love to hear it .	3	-2	 anyone[0] who[0] wants[0] to[0] make[0] an[0] argument[-1] for[0] better[0] science[0] fiction[0] films[0] please[1] feel[0] free[0] to[0] write[0] i[0] [[Sentence=-2,2=word max, 1-5]] d[0] love[2] to[0] hear[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
