contact is a nobly intentioned but ultimately unsatisfying adaptation of carl sagan's only novel . 	Translation	Positive	Negative	EmotionRationale
of course , the big question becomes " who gets to ride it ? " 	of course , the big question becomes " who gets to ride it ?<br> "	1	-1	 of[0] course[0] the[0] big[0] question[0] becomes[0] who[0] gets[0] to[0] ride[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( right after " who's gonna pay for this thing ? " ) . 	 ( right after " who's gonna pay for this thing ?<br> " ) .	1	-1	 right[0] after[0] who's[0] gonna[0] pay[0] for[0] this[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to boil it down , ellie gets denied the seat in the machine because she bluntly acknowledges her atheism , while drumlin gets to go because he rather insincerely professes his deep religious faith . 	to boil it down , ellie gets denied the seat in the machine because she bluntly acknowledges her atheism , while drumlin gets to go because he rather insincerely professes his deep religious faith .	2	-3	 to[0] boil[0] it[0] down[0] ellie[0] gets[0] denied[-1] the[0] seat[0] in[0] the[0] machine[0] because[0] she[0] bluntly[-1] acknowledges[0] her[0] atheism[0] while[0] drumlin[0] gets[0] to[0] go[0] because[0] he[0] rather[0] insincerely[-2] professes[0] his[0] deep[0] religious[0] faith[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
drumlin is killed and the machine destroyed when religious fanatics bomb the launch platform ( apparently to keep " godless science " from talking to god , or something like that ) . 	drumlin is killed and the machine destroyed when religious fanatics bomb the launch platform ( apparently to keep " godless science " from talking to god , or something like that ) .	2	-4	 drumlin[0] is[0] killed[-3] and[0] the[0] machine[0] destroyed[-2] when[0] religious[0] fanatics[-1] bomb[-1] the[0] launch[0] platform[0] apparently[0] to[0] keep[0] godless[0] science[0] from[0] talking[0] to[0] god[0] or[0] something[0] like[1] that[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
then hadden reappears with startling news . 	then hadden reappears with startling news .	1	-2	 then[0] hadden[0] reappears[0] with[0] startling[-1] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has secretly constructed a second machine off the coast of japan and has reserved the ride for ellie , in whom he has taken a rather paternal interest . 	he has secretly constructed a second machine off the coast of japan and has reserved the ride for ellie , in whom he has taken a rather paternal interest .	2	-1	 he[0] has[0] secretly[0] constructed[0] a[0] second[0] machine[0] off[0] the[0] coast[0] of[0] japan[0] and[0] has[0] reserved[0] the[0] ride[0] for[0] ellie[0] in[0] whom[0] he[0] has[0] taken[0] a[0] rather[0] paternal[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ellie boards the machine and is transported through some kind of wormhole to a dream-like place that looks a lot like waikiki beach before they built the hotels , where she meets the aliens who take the form of her late father ( david morse ) . 	ellie boards the machine and is transported through some kind of wormhole to a dream-like place that looks a lot like waikiki beach before they built the hotels , where she meets the aliens who take the form of her late father ( david morse ) .	2	-1	 ellie[0] boards[0] the[0] machine[0] and[0] is[0] transported[0] through[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] wormhole[0] to[0] a[0] dream[0] like[1] place[0] that[0] looks[0] a[0] lot[0] like[1] waikiki[0] beach[0] before[0] they[0] built[0] the[0] hotels[0] where[0] she[0] meets[0] the[0] aliens[0] who[0] take[0] the[0] form[0] of[0] her[0] late[0] father[0] david[0] morse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when she returns home , no one believes her . 	when she returns home , no one believes her .	1	-1	 when[0] she[0] returns[0] home[0] no[0] one[0] believes[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was not even gone for one second , they say , even though she remembers being gone for 18 hours . 	she was not even gone for one second , they say , even though she remembers being gone for 18 hours .	1	-1	 she[0] was[0] not[0] even[0] gone[0] for[0] one[0] second[0] they[0] say[0] even[0] though[0] she[0] remembers[0] being[0] gone[0] for[0] 18[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her story is officially discredited , although believed by a large segment of the public ( who don't even have to know that her computer records of the trip contain nothing but static . 	her story is officially discredited , although believed by a large segment of the public ( who don't even have to know that her computer records of the trip contain nothing but static .	1	-2	 her[0] story[0] is[0] officially[0] discredited[-1] although[0] believed[0] by[0] a[0] large[0] segment[0] of[0] the[0] public[0] who[0] don't[0] even[0] have[0] to[0] know[0] that[0] her[0] computer[0] records[0] of[0] the[0] trip[0] contain[0] nothing[0] but[0] static[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
eighteen hours worth of static ) . 	eighteen hours worth of static ) .	1	-2	 eighteen[0] hours[0] worth[0] of[0] static[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a lot to like about contact so i will highlight those points first . 	there is a lot to like about contact so i will highlight those points first .	2	-1	 there[0] is[0] a[0] lot[0] to[0] like[1] about[0] contact[0] so[0] i[0] will[0] highlight[0] those[0] points[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ellie arroway is a well-rounded character portrayed by one of the best actresses currently working . 	ellie arroway is a well-rounded character portrayed by one of the best actresses currently working .	2	-1	 ellie[0] arroway[0] is[0] a[0] well[0] rounded[0] character[0] portrayed[0] by[0] one[0] of[0] the[0] best[1] actresses[0] currently[0] working[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neither the character nor the performance has the same depth as clarice starling in silence of the lambs , but that's a tough standard to meet . 	neither the character nor the performance has the same depth as clarice starling in silence of the lambs , but that's a tough standard to meet .	1	-2	 neither[0] the[0] character[0] nor[0] the[0] performance[0] has[0] the[0] same[0] depth[0] as[0] clarice[0] starling[0] in[0] silence[0] of[0] the[0] lambs[0] but[0] that's[0] a[0] tough[-1] standard[0] to[0] meet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ellie is interesting in that she is woman defined by a strange array of father figures . 	ellie is interesting in that she is woman defined by a strange array of father figures .	2	-1	 ellie[0] is[0] interesting[1] in[0] that[0] she[0] is[0] woman[0] defined[0] by[0] a[0] strange[0] array[0] of[0] father[0] figures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her real father is an idealized movie dad who does nothing in the film but love his daughter unconditionally . 	her real father is an idealized movie dad who does nothing in the film but love his daughter unconditionally .	3	-1	 her[0] real[0] father[0] is[0] an[0] idealized[0] movie[0] dad[0] who[0] does[0] nothing[0] in[0] the[0] film[0] but[0] love[2] his[0] daughter[0] unconditionally[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
drumlin comes across as a distant stepfather to whom ellie is like an irritating teenager who wants to use his toys to get into trouble . 	drumlin comes across as a distant stepfather to whom ellie is like an irritating teenager who wants to use his toys to get into trouble .	2	-3	 drumlin[0] comes[0] across[0] as[0] a[0] distant[0] stepfather[0] to[0] whom[0] ellie[0] is[0] like[1] an[0] irritating[-2] teenager[0] who[0] wants[0] to[0] use[0] his[0] toys[0] to[0] get[0] into[0] trouble[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hadden obviously has affection for ellie , but in the end he seems to see her as his creation , nothing more than his favorite piece on the chess board . 	hadden obviously has affection for ellie , but in the end he seems to see her as his creation , nothing more than his favorite piece on the chess board .	3	-1	 hadden[0] obviously[0] has[0] affection[2] for[0] ellie[0] but[0] in[0] the[0] end[0] he[0] seems[0] to[0] see[0] her[0] as[0] his[0] creation[0] nothing[0] more[0] than[0] his[0] favorite[1] piece[0] on[0] the[0] chess[0] board[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even palmer joss ( matthew mcconaughey ) , ellie's love interest , takes a paternalistic interest in ellie , seeing her as a misguided person who needs protection from her own impulses . 	even palmer joss ( matthew mcconaughey ) , ellie's love interest , takes a paternalistic interest in ellie , seeing her as a misguided person who needs protection from her own impulses .	3	-1	 even[0] palmer[0] joss[0] matthew[0] mcconaughey[0] ellie's[0] love[2] interest[1] takes[0] a[0] paternalistic[0] interest[1] in[0] ellie[0] seeing[0] her[0] as[0] a[0] misguided[0] person[0] who[0] needs[0] protection[0] from[0] her[0] own[0] impulses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is technically impressive , especially in the scenes where the message is first received and during the destruction of the first machine . 	the film is technically impressive , especially in the scenes where the message is first received and during the destruction of the first machine .	2	-2	 the[0] film[0] is[0] technically[0] impressive[1] especially[0] in[0] the[0] scenes[0] where[0] the[0] message[0] is[0] first[0] received[0] and[0] during[0] the[0] destruction[-1] of[0] the[0] first[0] machine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the part of the film dealing with the message has the best presentation of real science in a film since the andromeda strain . 	the part of the film dealing with the message has the best presentation of real science in a film since the andromeda strain .	2	-2	 the[0] part[0] of[0] the[0] film[0] dealing[0] with[0] the[0] message[0] has[0] the[0] best[1] presentation[0] of[0] real[0] science[0] in[0] a[0] film[0] since[0] the[0] andromeda[0] strain[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film falls apart when dealing with its central theme , the dichotomy between science and religion . 	the film falls apart when dealing with its central theme , the dichotomy between science and religion .	1	-1	 the[0] film[0] falls[0] apart[0] when[0] dealing[0] with[0] its[0] central[0] theme[0] the[0] dichotomy[0] between[0] science[0] and[0] religion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a very real debate but contact boils it down to a simplistic level that never really touches on the actual issues involved . 	this is a very real debate but contact boils it down to a simplistic level that never really touches on the actual issues involved .	1	-2	 this[0] is[0] a[0] very[0] real[0] debate[0] but[0] contact[0] boils[0] it[0] down[0] to[0] a[0] simplistic[-1] level[0] that[0] never[0] really[0] touches[0] on[0] the[0] actual[0] issues[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film presents science pretty well ( until the end ) so the real problem stems from it presentation of religious faith . 	the film presents science pretty well ( until the end ) so the real problem stems from it presentation of religious faith .	3	-2	 the[0] film[0] presents[0] science[0] pretty[2] well[0] until[0] the[0] end[0] so[0] the[0] real[0] problem[-1] stems[0] from[0] it[0] presentation[0] of[0] religious[0] faith[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
religious people are presented as shallow caricatures . 	religious people are presented as shallow caricatures .	1	-2	 religious[0] people[0] are[0] presented[0] as[0] shallow[-1] caricatures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rob lowe plays a ralph reed clone named richard rank ( very subtle , guys ) , the voice of the religious right . 	rob lowe plays a ralph reed clone named richard rank ( very subtle , guys ) , the voice of the religious right .	2	-2	 rob[0] lowe[-1] plays[1] a[0] ralph[0] reed[0] clone[0] named[0] richard[0] rank[0] very[0] subtle[0] guys[0] the[0] voice[0] of[0] the[0] religious[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
another religious figure is the fanatic who blows up the first machine ( jake busey ) . 	another religious figure is the fanatic who blows up the first machine ( jake busey ) .	1	-2	 another[0] religious[0] figure[0] is[0] the[0] fanatic[-1] who[0] blows[0] up[0] the[0] first[0] machine[0] jake[0] busey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only really fleshed-out religious person , palmer joss , is supposed to be a minister of some sort , but his actual faith is left pretty vague . 	the only really fleshed-out religious person , palmer joss , is supposed to be a minister of some sort , but his actual faith is left pretty vague .	3	-2	 the[0] only[0] really[0] fleshed[0] out[0] religious[0] person[0] palmer[0] joss[0] is[0] supposed[0] to[0] be[0] a[0] minister[0] of[0] some[0] sort[0] but[0] his[0] actual[0] faith[1] is[0] left[0] pretty[2] vague[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i can't even say for certain that he was supposed to be a christian . 	i can't even say for certain that he was supposed to be a christian .	1	-1	 i[0] can't[0] even[0] say[0] for[0] certain[0] that[0] he[0] was[0] supposed[0] to[0] be[0] a[0] christian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all we know is that he dropped out of the seminary and obviously has no qualms about pre-marital sex . 	all we know is that he dropped out of the seminary and obviously has no qualms about pre-marital sex .	1	-1	 all[0] we[0] know[0] is[0] that[0] he[0] dropped[0] out[0] of[0] the[0] seminary[0] and[0] obviously[0] has[0] no[0] qualms[0] about[0] pre[0] marital[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film drops the science ball at the very end , when ellie appears to assert that there are some things even scientists must take on faith . 	the film drops the science ball at the very end , when ellie appears to assert that there are some things even scientists must take on faith .	2	-1	 the[0] film[0] drops[0] the[0] science[0] ball[0] at[0] the[0] very[0] end[0] when[0] ellie[0] appears[0] to[0] assert[0] that[0] there[0] are[0] some[0] things[0] even[0] scientists[0] must[0] take[0] on[0] faith[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a day and age when the theory of evolution is denounced by the religion right as an atheist " religious " doctrine , this is exactly the wrong message to send . 	in a day and age when the theory of evolution is denounced by the religion right as an atheist " religious " doctrine , this is exactly the wrong message to send .	1	-2	 in[0] a[0] day[0] and[0] age[0] when[0] the[0] theory[0] of[0] evolution[0] is[0] denounced[0] by[0] the[0] religion[0] right[0] as[0] an[0] atheist[0] religious[0] doctrine[0] this[0] is[0] exactly[0] the[0] wrong[-1] message[0] to[0] send[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a movie dealing with issues of science and faith , the last thing you want your scientist character to do is abandon the principle of scientific skepticism . 	in a movie dealing with issues of science and faith , the last thing you want your scientist character to do is abandon the principle of scientific skepticism .	2	-2	 in[0] a[0] movie[0] dealing[0] with[0] issues[0] of[0] science[0] and[0] faith[1] the[0] last[0] thing[0] you[0] want[0] your[0] scientist[0] character[0] to[0] do[0] is[0] abandon[-1] the[0] principle[0] of[0] scientific[0] skepticism[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what ellie should have said was , " you shouldn't believe me . 	what ellie should have said was , " you shouldn't believe me .	1	-1	 what[0] ellie[0] should[0] have[0] said[0] was[0] you[0] shouldn't[0] believe[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not without evidence , and i don't have the evidence . 	not without evidence , and i don't have the evidence .	1	-1	 not[0] without[0] evidence[0] and[0] i[0] don't[0] have[0] the[0] evidence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know what happened but you shouldn't take my word alone . " 	i know what happened but you shouldn't take my word alone .<br> "	1	-1	 i[0] know[0] what[0] happened[0] but[0] you[0] shouldn't[0] take[0] my[0] word[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is the voice of science speaking . 	that is the voice of science speaking .	1	-1	 that[0] is[0] the[0] voice[0] of[0] science[0] speaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character of david drumlin is another problem with this film . 	the character of david drumlin is another problem with this film .	1	-2	 the[0] character[0] of[0] david[0] drumlin[0] is[0] another[0] problem[-1] with[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his attitudes toward pure research project seem out of place for a person in his position . 	his attitudes toward pure research project seem out of place for a person in his position .	1	-1	 his[0] attitudes[0] toward[0] pure[0] research[0] project[0] seem[0] out[0] of[0] place[0] for[0] a[0] person[0] in[0] his[0] position[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , his profession of " faith " before the selection committee is so nakedly and transparently insincere that only a pack of idiots should have fallen for it . 	also , his profession of " faith " before the selection committee is so nakedly and transparently insincere that only a pack of idiots should have fallen for it .	2	-3	 also[0] his[0] profession[0] of[0] faith[1] before[0] the[0] selection[0] committee[0] is[0] so[0] nakedly[0] and[0] transparently[0] insincere[-2] that[0] only[0] a[0] pack[0] of[0] idiots[-2] should[0] have[0] fallen[0] for[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the last big problem is with the use of real personalities in various roles . 	the last big problem is with the use of real personalities in various roles .	1	-2	 the[0] last[0] big[0] problem[-1] is[0] with[0] the[0] use[0] of[0] real[0] personalities[0] in[0] various[0] roles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the media figures , such as bernard shaw and jay leno aren't so bad , in as much as their participation was voluntary . 	the media figures , such as bernard shaw and jay leno aren't so bad , in as much as their participation was voluntary .	2	-1	 the[0] media[0] figures[0] such[0] as[0] bernard[0] shaw[0] and[0] jay[0] leno[0] aren't[0] so[0] bad[-1][NegatedDueToPreviousWord] in[0] as[0] much[0] as[0] their[0] participation[0] was[0] voluntary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the use of bill clinton , however , should give anyone pause . 	the use of bill clinton , however , should give anyone pause .	1	-1	 the[0] use[0] of[0] bill[0] clinton[0] however[0] should[0] give[0] anyone[0] pause[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first of all , lifting the image of a sitting head of state and inserting him into a fictional story line , thus using his words outside of the context in which they were spoken , is just plain creepy . 	first of all , lifting the image of a sitting head of state and inserting him into a fictional story line , thus using his words outside of the context in which they were spoken , is just plain creepy .	1	-1	 first[0] of[0] all[0] lifting[0] the[0] image[0] of[0] a[0] sitting[0] head[0] of[0] state[0] and[0] inserting[0] him[0] into[0] a[0] fictional[0] story[0] line[0] thus[0] using[0] his[0] words[0] outside[0] of[0] the[0] context[0] in[0] which[0] they[0] were[0] spoken[0] is[0] just[0] plain[0] creepy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , using the real president places this film between 1993 and 2001 , forever dating it . 	also , using the real president places this film between 1993 and 2001 , forever dating it .	1	-1	 also[0] using[0] the[0] real[0] president[0] places[0] this[0] film[0] between[0] 1993[0] and[0] 2001[0] forever[0] dating[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people watching this film in the future will say , " hey , this never took place during clinton's term . " 	people watching this film in the future will say , " hey , this never took place during clinton's term .<br> "	2	-1	 people[0] watching[0] this[0] film[0] in[0] the[0] future[0] will[0] say[0] hey[1] this[0] never[0] took[0] place[0] during[0] clinton's[0] term[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this bit of unreality will jar people out of their suspension of disbelief . 	this bit of unreality will jar people out of their suspension of disbelief .	1	-2	 this[0] bit[0] of[0] unreality[0] will[0] jar[0] people[0] out[0] of[0] their[0] suspension[-1] of[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , the level of technology portrayed in the film is too advanced to take place before the first decade of the next century . 	also , the level of technology portrayed in the film is too advanced to take place before the first decade of the next century .	1	-1	 also[0] the[0] level[0] of[0] technology[0] portrayed[0] in[0] the[0] film[0] is[0] too[0] advanced[0] to[0] take[0] place[0] before[0] the[0] first[0] decade[0] of[0] the[0] next[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better to have had a fictitious president played by an actor or no president at all . 	better to have had a fictitious president played by an actor or no president at all .	1	-1	 better[0] to[0] have[0] had[0] a[0] fictitious[0] president[0] played[0] by[0] an[0] actor[0] or[0] no[0] president[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film does raise an interesting question , although it never develops it in a satisfying way . 	the film does raise an interesting question , although it never develops it in a satisfying way .	2	-1	 the[0] film[0] does[0] raise[0] an[0] interesting[1] question[0] although[0] it[0] never[0] develops[0] it[0] in[0] a[0] satisfying[1] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if we were picking an emissary to send to an alien culture , would an atheist be automatically disqualified just because ninety percent of the population of the world professes a belief in god , or at least some form of supernatural creator ? 	if we were picking an emissary to send to an alien culture , would an atheist be automatically disqualified just because ninety percent of the population of the world professes a belief in god , or at least some form of supernatural creator ?	1	-2	 if[0] we[0] were[0] picking[0] an[0] emissary[0] to[0] send[0] to[0] an[0] alien[-1] culture[0] would[0] an[0] atheist[0] be[0] automatically[0] disqualified[0] just[0] because[0] ninety[0] percent[0] of[0] the[0] population[0] of[0] the[0] world[0] professes[0] a[0] belief[0] in[0] god[0] or[0] at[0] least[0] some[0] form[0] of[0] supernatural[0] creator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
personally , i would hope not , since religion is basically an opinion , a form of ideology . 	personally , i would hope not , since religion is basically an opinion , a form of ideology .	2	-1	 personally[0] i[0] would[0] hope[2][-1 LastWordBoosterStrength] not[0] since[0] religion[0] is[0] basically[0] an[0] opinion[0] a[0] form[0] of[0] ideology[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would not want any form of ideological test for such an import task . 	i would not want any form of ideological test for such an import task .	1	-1	 i[0] would[0] not[0] want[0] any[0] form[0] of[0] ideological[0] test[0] for[0] such[0] an[0] import[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
