i have to say it . 	Translation	Positive	Negative	EmotionRationale
lines that hearken back to the original movie are sprinkled throughout : the first words spoken by an ape to davidson as the astronaut is regaining consciousness and grabs the simian's foot to try righting himself are : " take your stinking hand off of me , you damned , dirty human . " 	lines that hearken back to the original movie are sprinkled throughout : the first words spoken by an ape to davidson as the astronaut is regaining consciousness and grabs the simian's foot to try righting himself are : " take your stinking hand off of me , you damned , dirty human .<br> "	1	-3	 lines[0] that[0] hearken[0] back[0] to[0] the[0] original[0] movie[0] are[0] sprinkled[0] throughout[0] the[0] first[0] words[0] spoken[0] by[0] an[0] ape[0] to[0] davidson[0] as[0] the[0] astronaut[0] is[0] regaining[0] consciousness[0] and[0] grabs[-1] the[0] simian's[0] foot[0] to[0] try[0] righting[0] himself[0] are[0] take[0] your[0] stinking[-2] hand[0] off[0] of[0] me[0] you[0] damned[-1] dirty[-1] human[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyone familiar with the first version of the film will , of course , recognize the irony in that piece of dialogue . 	anyone familiar with the first version of the film will , of course , recognize the irony in that piece of dialogue .	1	-2	 anyone[0] familiar[0] with[0] the[0] first[0] version[0] of[0] the[0] film[0] will[0] of[0] course[0] recognize[0] the[0] irony[-1] in[0] that[0] piece[0] of[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another of burton's in-jokes is to have charlton heston , star of the original , play the chimpanzee father of tim roth's gen . thade . 	another of burton's in-jokes is to have charlton heston , star of the original , play the chimpanzee father of tim roth's gen .<br> thade .	2	-1	 another[0] of[0] burton's[0] in[0] jokes[1] is[0] to[0] have[0] charlton[0] heston[0] star[0] of[0] the[0] original[0] play[0] the[0] chimpanzee[0] father[0] of[0] tim[0] roth's[0] gen[0] [[Sentence=-1,2=word max, 1-5]] thade[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the young chimp goes to visit his dying father . 	the young chimp goes to visit his dying father .	1	-2	 the[0] young[0] chimp[0] goes[0] to[0] visit[0] his[0] dying[-1] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both have one thing in common , a hatred of humans . 	both have one thing in common , a hatred of humans .	1	-4	 both[0] have[0] one[0] thing[0] in[0] common[0] a[0] hatred[-3] of[0] humans[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with his dying breath , the elder spews out his vile : " damn them , damn them all to hell , " he says before expiring . 	with his dying breath , the elder spews out his vile : " damn them , damn them all to hell , " he says before expiring .	1	-4	 with[0] his[0] dying[-1] breath[0] the[0] elder[0] spews[-1] out[0] his[0] vile[-3] damn[-1] them[0] damn[-1] them[0] all[0] to[0] hell[-1] he[0] says[0] before[0] expiring[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is the famous line heston's taylor shouted at the conclusion of the original after discovering the planet's terrible secret . 	that is the famous line heston's taylor shouted at the conclusion of the original after discovering the planet's terrible secret .	1	-4	 that[0] is[0] the[0] famous[0] line[0] heston's[0] taylor[0] shouted[0] at[0] the[0] conclusion[0] of[0] the[0] original[0] after[0] discovering[0] the[0] planet's[0] terrible[-3] secret[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the performances throughout are top-notch . 	the performances throughout are top-notch .	1	-1	 the[0] performances[0] throughout[0] are[0] top[0] notch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wahlberg plays davidson not as some gung-ho hero , but as a confused and somewhat frightened explorer who only wants to return home . 	wahlberg plays davidson not as some gung-ho hero , but as a confused and somewhat frightened explorer who only wants to return home .	3	-4	 wahlberg[0] plays[1] davidson[0] not[0] as[0] some[0] gung[-1][--1 LastWordBoosterStrength] ho[0] hero[2] but[0] as[0] a[0] confused[-1] and[0] somewhat[0] frightened[-3] explorer[0] who[0] only[0] wants[0] to[0] return[0] home[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he is reluctant to lead the human rebellion ; his only objective being to find a way off this upside-down planet . 	he is reluctant to lead the human rebellion ; his only objective being to find a way off this upside-down planet .	1	-2	 he[0] is[0] reluctant[-1] to[0] lead[0] the[0] human[0] rebellion[-1] his[0] only[0] objective[0] being[0] to[0] find[0] a[0] way[0] off[0] this[0] upside[0] down[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this hesitation is what makes his character believable and vulnerable . 	this hesitation is what makes his character believable and vulnerable .	1	-3	 this[0] hesitation[0] is[0] what[0] makes[0] his[0] character[0] believable[0] and[0] vulnerable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
roth is ferocious , cunning , cruel and savage as the fascist chimp who wants to rid his planet of all vestiges of humanity . 	roth is ferocious , cunning , cruel and savage as the fascist chimp who wants to rid his planet of all vestiges of humanity .	1	-4	 roth[0] is[0] ferocious[-3] cunning[0] cruel[-3] and[0] savage[-2] as[0] the[0] fascist[-1] chimp[0] who[0] wants[0] to[0] rid[-1] his[0] planet[0] of[0] all[0] vestiges[0] of[0] humanity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he leaps and bounds as if he had springs on his feet . 	he leaps and bounds as if he had springs on his feet .	1	-1	 he[0] leaps[0] and[0] bounds[0] as[0] if[0] he[0] had[0] springs[0] on[0] his[0] feet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a masterful turn . 	it is a masterful turn .	1	-1	 it[0] is[0] a[0] masterful[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
helena bonham carter is ari , the chimp who believes that apes and humans can live in peace and as equals . 	helena bonham carter is ari , the chimp who believes that apes and humans can live in peace and as equals .	1	-1	 helena[0] bonham[0] carter[0] is[0] ari[0] the[0] chimp[0] who[0] believes[0] that[0] apes[0] and[0] humans[0] can[0] live[0] in[0] peace[0] and[0] as[0] equals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hers is a smart , compassionate characterization . 	hers is a smart , compassionate characterization .	2	-1	 hers[0] is[0] a[0] smart[1] compassionate[1] characterization[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael clarke duncan is big and brutal as attar the gorilla aid to thade who blindly follows his leader until his faith is shaken . 	michael clarke duncan is big and brutal as attar the gorilla aid to thade who blindly follows his leader until his faith is shaken .	2	-3	 michael[0] clarke[0] duncan[0] is[0] big[0] and[0] brutal[-2] as[0] attar[0] the[0] gorilla[0] aid[0] to[0] thade[0] who[0] blindly[-1] follows[0] his[0] leader[0] until[0] his[0] faith[1] is[0] shaken[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a fine comic outing is given by paul giamatti as limbo , the ape slave trader making a living off the misery of the humans he captures . 	a fine comic outing is given by paul giamatti as limbo , the ape slave trader making a living off the misery of the humans he captures .	3	-3	 a[0] fine[2] comic[0] outing[0] is[0] given[0] by[0] paul[0] giamatti[0] as[0] limbo[0] the[0] ape[0] slave[0] trader[0] making[0] a[0] living[0] off[0] the[0] misery[-2] of[0] the[0] humans[0] he[0] captures[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as the battle between apes and humans looms , the cowardly limbo pleads , " can't we all just get along , " echoing the words of rodney king . 	as the battle between apes and humans looms , the cowardly limbo pleads , " can't we all just get along , " echoing the words of rodney king .	1	-2	 as[0] the[0] battle[-1] between[0] apes[0] and[0] humans[0] looms[0] the[0] cowardly[-1] limbo[0] pleads[0] can't[0] we[0] all[0] just[0] get[0] along[0] echoing[0] the[0] words[0] of[0] rodney[0] king[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of the success of planet of the apes goes to burton's technical crew , especially production designer rick heinrichs and the legendary rick baker who created the ape makeup . 	much of the success of planet of the apes goes to burton's technical crew , especially production designer rick heinrichs and the legendary rick baker who created the ape makeup .	3	-1	 much[0] of[0] the[0] success[2] of[0] planet[0] of[0] the[0] apes[0] goes[0] to[0] burton's[0] technical[0] crew[0] especially[0] production[0] designer[0] rick[0] heinrichs[0] and[0] the[0] legendary[0] rick[0] baker[0] who[0] created[0] the[0] ape[0] makeup[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
burton's musical collaborator , danny elfman , provides another fine score , though it is not as memorable as his work on batman or sleepy hollow . 	burton's musical collaborator , danny elfman , provides another fine score , though it is not as memorable as his work on batman or sleepy hollow .	3	-2	 burton's[0] musical[0] collaborator[0] danny[0] elfman[0] provides[0] another[0] fine[2] score[0] though[0] it[0] is[0] not[0] as[0] memorable[0] as[0] his[0] work[0] on[0] batman[0] or[0] sleepy[0] hollow[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie's only letdown comes at the very end where burton tries to outshock the finale from the 1968 original . 	the movie's only letdown comes at the very end where burton tries to outshock the finale from the 1968 original .	1	-1	 the[0] movie's[0] only[0] letdown[0] comes[0] at[0] the[0] very[0] end[0] where[0] burton[0] tries[0] to[0] outshock[0] the[0] finale[0] from[0] the[0] 1968[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he comes close , but falls short . 	he comes close , but falls short .	1	-1	 he[0] comes[0] close[0] but[0] falls[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise , planet of the apes is what a summer movie should be : an amusement park ride filled with lots of action , stunts and a few laughs . 	otherwise , planet of the apes is what a summer movie should be : an amusement park ride filled with lots of action , stunts and a few laughs .	2	-1	 otherwise[0] planet[0] of[0] the[0] apes[0] is[0] what[0] a[0] summer[0] movie[0] should[0] be[0] an[0] amusement[1] park[0] ride[0] filled[0] with[0] lots[0] of[0] action[0] stunts[0] and[0] a[0] few[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is one feature in which the expectations lived up to the pre-release hype . 	this is one feature in which the expectations lived up to the pre-release hype .	1	-1	 this[0] is[0] one[0] feature[0] in[0] which[0] the[0] expectations[0] lived[0] up[0] to[0] the[0] pre[0] release[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
