when quentin tarantino made " pulp fiction " , he was not only making the greatest film of the 90s ; he was also making what i believe to be the most influential movie of all time . 	Translation	Positive	Negative	EmotionRationale
previously in the film ( like i said , it's told in non-linear form ) , he had made a deal with marcellus wallace that he would take a fall in a match . 	previously in the film ( like i said , it's told in non-linear form ) , he had made a deal with marcellus wallace that he would take a fall in a match .	2	-1	 previously[0] in[0] the[0] film[0] like[1] i[0] said[0] it's[0] told[0] in[0] non[0] linear[0] form[0] he[0] had[0] made[0] a[0] deal[0] with[0] marcellus[0] wallace[0] that[0] he[0] would[0] take[0] a[0] fall[0] in[0] a[0] match[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it turns out , he not only doesn't take the fall , but he ends up actually killing his opponent . 	as it turns out , he not only doesn't take the fall , but he ends up actually killing his opponent .	1	-2	 as[0] it[0] turns[0] out[0] he[0] not[0] only[0] doesn't[0] take[0] the[0] fall[0] but[0] he[0] ends[0] up[0] actually[0] killing[-1] his[0] opponent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he takes a cab to his half-witted girlfriend's apartment , and to make a long story short , ends up going back to his own place to retrieve a gold watch , sort of a family heirloom explained by christopher walken in a hilarious flash-back sequence . 	he takes a cab to his half-witted girlfriend's apartment , and to make a long story short , ends up going back to his own place to retrieve a gold watch , sort of a family heirloom explained by christopher walken in a hilarious flash-back sequence .	3	-1	 he[0] takes[0] a[0] cab[0] to[0] his[0] half[0] witted[0] girlfriend's[0] apartment[0] and[0] to[0] make[0] a[0] long[0] story[0] short[0] ends[0] up[0] going[0] back[0] to[0] his[0] own[0] place[0] to[0] retrieve[0] a[0] gold[0] watch[0] sort[0] of[0] a[0] family[0] heirloom[0] explained[0] by[0] christopher[0] walken[0] in[0] a[0] hilarious[2] flash[0] back[0] sequence[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on his way home , he bumps into ( literally ) marcellus . 	on his way home , he bumps into ( literally ) marcellus .	1	-1	 on[0] his[0] way[0] home[0] he[0] bumps[0] into[0] literally[0] marcellus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two winde up prisoner to two hillbilly sex murderers , which results in the infamous " gimp " scene , which is very reminicent of the " squeal like a pig ! " 	the two winde up prisoner to two hillbilly sex murderers , which results in the infamous " gimp " scene , which is very reminicent of the " squeal like a pig !<br> "	2	-4	 the[0] two[0] winde[0] up[0] prisoner[-1] to[0] two[0] hillbilly[0] sex[0] murderers[-3] which[0] results[0] in[0] the[0] infamous[-1] gimp[0] scene[0] which[0] is[0] very[0] reminicent[0] of[0] the[0] squeal[0] like[1] a[0] pig[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
scene from " deliverance " . 	scene from " deliverance " .	1	-1	 scene[0] from[0] deliverance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last ( and best , in my opinion ) of the episodes features john travolta ( again ) and samuel l . jackson ( in the best performance of any supporting actor ever ) as two slightly off-kilter hitmen trying to rid themselves of a bloody car . 	the last ( and best , in my opinion ) of the episodes features john travolta ( again ) and samuel l .<br> jackson ( in the best performance of any supporting actor ever ) as two slightly off-kilter hitmen trying to rid themselves of a bloody car .	2	-2	 the[0] last[0] and[0] best[1] in[0] my[0] opinion[0] of[0] the[0] episodes[0] features[0] john[0] travolta[0] again[0] and[0] samuel[0] l[0] [[Sentence=-1,2=word max, 1-5]] jackson[0] in[0] the[0] best[1] performance[0] of[0] any[0] supporting[1] actor[0] ever[0] as[0] two[0] slightly[0] off[0] kilter[0] hitmen[0] trying[0] to[0] rid[-1] themselves[0] of[0] a[0] bloody[-1] car[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they seek help with a friend of jackson's ( played by the q-man himself ) , desperately in need of a stress ball . 	they seek help with a friend of jackson's ( played by the q-man himself ) , desperately in need of a stress ball .	2	-3	 they[0] seek[0] help[0] with[0] a[0] friend[1] of[0] jackson's[0] played[0] by[0] the[0] q[0] man[0] himself[0] desperately[-2] in[0] need[0] of[0] a[0] stress[-1] ball[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they end up calling a " cleaner " of sorts , played by the god among men harvey keitel , to help them out . 	they end up calling a " cleaner " of sorts , played by the god among men harvey keitel , to help them out .	1	-1	 they[0] end[0] up[0] calling[0] a[0] cleaner[0] of[0] sorts[0] played[0] by[0] the[0] god[0] among[0] men[0] harvey[0] keitel[0] to[0] help[0] them[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end , the story brilliantly loops around itself , actually ending where it began . 	in the end , the story brilliantly loops around itself , actually ending where it began .	2	-1	 in[0] the[0] end[0] the[0] story[0] brilliantly[1] loops[0] around[0] itself[0] actually[0] ending[0] where[0] it[0] began[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you haven't already seen the film ( or even if you have , for that matter ) , i suggest you invest your money in a copy of the letterbox collectors edition . 	if you haven't already seen the film ( or even if you have , for that matter ) , i suggest you invest your money in a copy of the letterbox collectors edition .	1	-1	 if[0] you[0] haven't[0] already[0] seen[0] the[0] film[0] or[0] even[0] if[0] you[0] have[0] for[0] that[0] matter[0] i[0] suggest[0] you[0] invest[0] your[0] money[0] in[0] a[0] copy[0] of[0] the[0] letterbox[0] collectors[0] edition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it features two previously unreleased scenes and the original film restored how it was originally meant to be seen . 	it features two previously unreleased scenes and the original film restored how it was originally meant to be seen .	1	-1	 it[0] features[0] two[0] previously[0] unreleased[0] scenes[0] and[0] the[0] original[0] film[0] restored[0] how[0] it[0] was[0] originally[0] meant[0] to[0] be[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
earlier today , i bought this version and watched it a few hours ago . 	earlier today , i bought this version and watched it a few hours ago .	1	-1	 earlier[0] today[0] i[0] bought[0] this[0] version[0] and[0] watched[0] it[0] a[0] few[0] hours[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what the pan-and-scan did to this movie is inexcusable . 	what the pan-and-scan did to this movie is inexcusable .	1	-1	 what[0] the[0] pan[0] and[0] scan[0] did[0] to[0] this[0] movie[0] is[0] inexcusable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that version cut out , like , half the movie . 	that version cut out , like , half the movie .	2	-1	 that[0] version[0] cut[0] out[0] like[1] half[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what i have missed in the past years of viewing this flick is amazing . 	what i have missed in the past years of viewing this flick is amazing .	3	-2	 what[0] i[0] have[0] missed[-1] in[0] the[0] past[0] years[0] of[0] viewing[0] this[0] flick[0] is[0] amazing[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for instance , when travolta and jackson are in the apartment near the end , the widescreen version allows you to see that several things on the walls make crosses . 	for instance , when travolta and jackson are in the apartment near the end , the widescreen version allows you to see that several things on the walls make crosses .	1	-1	 for[0] instance[0] when[0] travolta[0] and[0] jackson[0] are[0] in[0] the[0] apartment[0] near[0] the[0] end[0] the[0] widescreen[0] version[0] allows[0] you[0] to[0] see[0] that[0] several[0] things[0] on[0] the[0] walls[0] make[0] crosses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this might help explain the divine intervention that takes place . 	this might help explain the divine intervention that takes place .	2	-1	 this[0] might[0] help[0] explain[0] the[0] divine[1] intervention[0] that[0] takes[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just a theory . . . 	just a theory .<br> .<br> .	1	-1	 just[0] a[0] theory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the things that pisses people off so much about this movie is that tarantino borrowed alot of scenes from other movies ( i . e . 	one of the things that pisses people off so much about this movie is that tarantino borrowed alot of scenes from other movies ( i .<br> e .	1	-3	 one[0] of[0] the[0] things[0] that[0] pisses[-2] people[0] off[0] so[0] much[0] about[0] this[0] movie[0] is[0] that[0] tarantino[0] borrowed[0] alot[0] of[0] scenes[0] from[0] other[0] movies[0] i[0] [[Sentence=-3,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " psycho " " kiss me deadly " , " deliverance " , etc . ) . 	 " psycho " " kiss me deadly " , " deliverance " , etc .<br> ) .	3	-2	 psycho[0] kiss[2] me[0] deadly[-1] deliverance[0] etc[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but why shouldn't he ? 	but why shouldn't he ?	1	-1	 but[0] why[0] shouldn't[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not like he out-right and blatantly stole . 	it's not like he out-right and blatantly stole .	1	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] he[0] out[0] right[0] and[0] blatantly[-1] stole[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
give the guy a break . 	give the guy a break .	1	-1	 give[0] the[0] guy[0] a[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in case you haven't already noticed , i believe " pulp fiction " is a supremely excellent film and one of the best of all time ( up there with such greats as " casablanca " and " the godfather " ) . 	in case you haven't already noticed , i believe " pulp fiction " is a supremely excellent film and one of the best of all time ( up there with such greats as " casablanca " and " the godfather " ) .	5	-1	 in[0] case[0] you[0] haven't[0] already[0] noticed[0] i[0] believe[0] pulp[0] fiction[0] is[0] a[0] supremely[2] excellent[3][+1 MultiplePositiveWords] film[0] and[0] one[0] of[0] the[0] best[1] of[0] all[0] time[0] up[0] there[0] with[0] such[0] greats[2] as[0] casablanca[0] and[0] the[0] godfather[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
trust me , you will not see a better film come out of the 90s . 	trust me , you will not see a better film come out of the 90s .	2	-1	 trust[1] me[0] you[0] will[0] not[0] see[0] a[0] better[0] film[0] come[0] out[0] of[0] the[0] 90s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and besides , it's one hell of a ride . 	and besides , it's one hell of a ride .	1	-2	 and[0] besides[0] it's[0] one[0] hell[-1] of[0] a[0] ride[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
note : if anyone knows how i could get a " bad motherfucker " wallet , please e-mail me . 	note : if anyone knows how i could get a " bad motherfucker " wallet , please e-mail me .	2	-4	 note[0] if[0] anyone[0] knows[0] how[0] i[0] could[0] get[0] a[0] bad[-1] motherfucker[-3] wallet[0] please[1] e[0] mail[0] me[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
any help would be greatly appreciated . 	any help would be greatly appreciated .	3	-1	 any[0] help[0] would[0] be[0] greatly[2] appreciated[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
