capsule : a short punchy action sequel to the two dinosaur films made by steven spielberg . 	Translation	Positive	Negative	EmotionRationale
jp2 was an adventure , as doyle said , " for the boy who's half man or the man who's half boy . " 	jp2 was an adventure , as doyle said , " for the boy who's half man or the man who's half boy .<br> "	1	-1	 jp2[0] was[0] an[0] adventure[0] as[0] doyle[0] said[0] for[0] the[0] boy[0] who's[0] half[0] man[0] or[0] the[0] man[0] who's[0] half[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is what all the jurassic park films are . 	that is what all the jurassic park films are .	1	-1	 that[0] is[0] what[0] all[0] the[0] jurassic[0] park[0] films[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
expecting them to give the viewer insights into the human condition is like expecting your car to vacuum your house . 	expecting them to give the viewer insights into the human condition is like expecting your car to vacum your house .	2	-1	 expecting[0] them[0] to[0] give[0] the[0] viewer[0] insights[0] into[0] the[0] human[0] condition[0] is[0] like[1] expecting[0] your[0] car[0] to[0] vacuum/vacum[0] your[0] house[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the classic adventure films like gunga din or king solomon's mines had under-written characters also . 	the classic adventure films like gunga din or king solomon's mines had under-written characters also .	2	-2	 the[0] classic[0] adventure[0] films[0] like[1] gunga[-1] din[-1] or[0] king[0] solomon's[0] mines[0] had[0] under[0] written[0] characters[0] also[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jurassic park iii is an all out adventure on an island inhabited by dinosaurs . 	jurassic park i is an all out adventure on an island inhabited by dinosaurs .	2	-1	 jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] is[0] an[0] all[0] out[0] adventure[0] on[0] an[0] island[0] inhabited[0] by[0] dinosaurs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters are a little more complex than they at first appear to be , and even that is a little more complex than i was expecting . 	the characters are a little more complex than they at first appear to be , and even that is a little more complex than i was expecting .	1	-1	 the[0] characters[0] are[0] a[0] little[0] more[0] complex[0] than[0] they[0] at[0] first[0] appear[0] to[0] be[0] and[0] even[0] that[0] is[0] a[0] little[0] more[0] complex[0] than[0] i[0] was[0] expecting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the characters who start out looking stupid and useless prove to be neither as the film proceeds . 	some of the characters who start out looking stupid and useless prove to be neither as the film proceeds .	1	-3	 some[0] of[0] the[0] characters[0] who[0] start[0] out[0] looking[0] stupid[-1] and[0] useless[-2] prove[0] to[0] be[0] neither[0] as[0] the[0] film[0] proceeds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that degree of complexity combined with those very realistic looking dinosaur effects is just about as much as i require . 	that degree of complexity combined with those very realistic looking dinosaur effects is just about as much as i require .	1	-1	 that[0] degree[0] of[0] complexity[0] combined[0] with[0] those[0] very[0] realistic[0] looking[0] dinosaur[0] effects[0] is[0] just[0] about[0] as[0] much[0] as[0] i[0] require[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i feel i got my money's worth . 	i feel i got my money's worth .	1	-1	 i[0] feel[0] i[0] got[0] my[0] money's[0] worth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story opens with eric ( played by trevor morgan ) and friend parasailing near the forbidden island of isla sorna off costa rica . 	the story opens with eric ( played by trevor morgan ) and friend parasailing near the forbidden island of isla sorna off costa rica .	2	-2	 the[0] story[0] opens[0] with[0] eric[0] played[0] by[0] trevor[0] morgan[0] and[0] friend[1] parasailing[0] near[0] the[0] forbidden[-1] island[0] of[0] isla[0] sorna[0] off[0] costa[0] rica[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this was the research island where the dinosaurs were created for the now defunct jurassic park . 	this was the research island where the dinosaurs were created for the now defunct jurassic park .	1	-1	 this[0] was[0] the[0] research[0] island[0] where[0] the[0] dinosaurs[0] were[0] created[0] for[0] the[0] now[0] defunct[0] jurassic[0] park[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they hope , no doubt , to get a look at the island's dinosaurs from a safe height . 	they hope , no doubt , to get a look at the island's dinosaurs from a safe height .	3	-2	 they[0] hope[2] no[0] doubt[-1] to[0] get[0] a[0] look[0] at[0] the[0] island's[0] dinosaurs[0] from[0] a[0] safe[1] height[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the height is safe , but driving the boat in the water is not . 	the height is safe , but driving the boat in the water is not .	2	-1	 the[0] height[0] is[0] safe[1] but[0] driving[0] the[0] boat[0] in[0] the[0] water[0] is[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two soon find themselves in trouble and have to ditch their parasail onto the island where they do indeed get a better look at the dinosaurs than they had intended . 	the two soon find themselves in trouble and have to ditch their parasail onto the island where they do indeed get a better look at the dinosaurs than they had intended .	1	-2	 the[0] two[0] soon[0] find[0] themselves[0] in[0] trouble[-1] and[0] have[0] to[0] ditch[0] their[0] parasail[0] onto[0] the[0] island[0] where[0] they[0] do[0] indeed[0] get[0] a[0] better[0] look[0] at[0] the[0] dinosaurs[0] than[0] they[0] had[0] intended[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
flash to the united states and someone is offering to fund paleontologist alan grant ( sam neill ) in his research if he will go and fly over isla sorna and act as a guide . 	flash to the united states and someone is offering to fund paleontologist alan grant ( sam neill ) in his research if he will go and fly over isla sorna and act as a guide .	1	-1	 flash[0] to[0] the[0] united[0] states[0] and[0] someone[0] is[0] offering[0] to[0] fund[0] paleontologist[0] alan[0] grant[0] sam[0] neill[0] in[0] his[0] research[0] if[0] he[0] will[0] go[0] and[0] fly[0] over[0] isla[0] sorna[0] and[0] act[0] as[0] a[0] guide[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has said that no force on earth or heaven could get him back near real dinosaurs . 	he has said that no force on earth or heaven could get him back near real dinosaurs .	2	-2	 he[0] has[0] said[0] that[0] no[0] force[-1] on[0] earth[0] or[0] heaven[1] could[0] get[0] him[0] back[0] near[0] real[0] dinosaurs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but again money convinces him to drop what he is doing and go . 	but again money convinces him to drop what he is doing and go .	1	-2	 but[0] again[0] money[0] convinces[0] him[0] to[0] drop[-1] what[0] he[0] is[0] doing[0] and[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doing the convincing is a wealthy and eccentric couple ( william h . macy and tea leoni ) who has been just about everywhere else in the world and wants the adventure of seeing real dinosaurs . 	doing the convincing is a wealthy and eccentric couple ( william h .<br> macy and tea leoni ) who has been just about everywhere else in the world and wants the adventure of seeing real dinosaurs .	1	-2	 doing[0] the[0] convincing[0] is[0] a[0] wealthy[0] and[0] eccentric[-1] couple[0] william[0] h[0] [[Sentence=-2,1=word max, 1-5]] macy[0] and[0] tea[0] leoni[0] who[0] has[0] been[0] just[0] about[0] everywhere[0] else[0] in[0] the[0] world[0] and[0] wants[0] the[0] adventure[0] of[0] seeing[0] real[0] dinosaurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
they too plan to see the island from a safe height grant is relieved to learn . 	they too plan to see the island from a safe height grant is relieved to learn .	2	-1	 they[0] too[0] plan[0] to[0] see[0] the[0] island[0] from[0] a[0] safe[1] height[0] grant[0] is[0] relieved[1] to[0] learn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he will fly over this island at a safe altitude just this once . 	he will fly over this island at a safe altitude just this once .	2	-1	 he[0] will[0] fly[0] over[0] this[0] island[0] at[0] a[0] safe[1] altitude[0] just[0] this[0] once[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right . 	right .	1	-1	 right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guess what happens next ? 	guess what happens next ?	1	-1	 guess[0] what[0] happens[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jp3 probably functions better as a sequel than jp2 . 	jp3 probably functions better as a sequel than jp2 .	1	-1	 jp3[0] probably[0] functions[0] better[0] as[0] a[0] sequel[0] than[0] jp2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first it has alan grant and ellie sattler ( laura dern ) back rather than the much less appealing ian malcolm . 	first it has alan grant and ellie sattler ( laura dern ) back rather than the much less appealing ian malcolm .	1	-1	 first[0] it[0] has[0] alan[0] grant[0] and[0] ellie[0] sattler[0] laura[0] dern[0] back[0] rather[0] than[0] the[0] much[0] less[0] appealing[0] ian[0] malcolm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sattler has a much smaller part in jp3 , but is still present to tie this story to the first . 	sattler has a much smaller part in jp3 , but is still present to tie this story to the first .	1	-1	 sattler[0] has[0] a[0] much[0] smaller[0] part[0] in[0] jp3[0] but[0] is[0] still[0] present[0] to[0] tie[0] this[0] story[0] to[0] the[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
curiously each film seems to arrange to have a signature scene with characters holding on to some large metal object that is about to fall some great distance . 	curiously each film seems to arrange to have a signature scene with characters holding on to some large metal object that is about to fall some great distance .	2	-1	 curiously[0] each[0] film[0] seems[0] to[0] arrange[0] to[0] have[0] a[0] signature[0] scene[0] with[0] characters[0] holding[0] on[0] to[0] some[0] large[0] metal[0] object[0] that[0] is[0] about[0] to[0] fall[0] some[0] great[2][-1 LastWordBoosterStrength] distance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one thing that does not quite fit with the earlier films is just as grant discovers that raptors may be able to talk to each other , suddenly they seem to be doing it all the time . 	one thing that does not quite fit with the earlier films is just as grant discovers that raptors may be able to talk to each other , suddenly they seem to be doing it all the time .	1	-1	 one[0] thing[0] that[0] does[0] not[0] quite[0] fit[0] with[0] the[0] earlier[0] films[0] is[0] just[0] as[0] grant[0] discovers[0] that[0] raptors[0] may[0] be[0] able[0] to[0] talk[0] to[0] each[0] other[0] suddenly[0] they[0] seem[0] to[0] be[0] doing[0] it[0] all[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they did not appear to be conversing in the previous films . 	they did not appear to be conversing in the previous films .	1	-1	 they[0] did[0] not[0] appear[0] to[0] be[0] conversing[0] in[0] the[0] previous[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , these raptors look a little different also , so perhaps they are a different related species . 	of course , these raptors look a little different also , so perhaps they are a different related species .	1	-1	 of[0] course[0] these[0] raptors[0] look[0] a[0] little[0] different[0] also[0] so[0] perhaps[0] they[0] are[0] a[0] different[0] related[0] species[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only are they more intelligent than in the past films , they are also more sympathetic . 	not only are they more intelligent than in the past films , they are also more sympathetic .	2	-1	 not[0] only[0] are[0] they[0] more[0] intelligent[1] than[0] in[0] the[0] past[0] films[0] they[0] are[0] also[0] more[0] sympathetic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this story they are not just killing machines , they have reasonable motives for what they do beyond nutrition . 	in this story they are not just killing machines , they have reasonable motives for what they do beyond nutrition .	1	-1	 in[0] this[0] story[0] they[0] are[0] not[0] just[0] killing[-1][--1 LastWordBoosterStrength] machines[0] they[0] have[0] reasonable[0] motives[0] for[0] what[0] they[0] do[0] beyond[0] nutrition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time around they may be a little too anthropomorphized . 	this time around they may be a little too anthropomorphized .	1	-1	 this[0] time[0] around[0] they[0] may[0] be[0] a[0] little[0] too[0] anthropomorphized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each new film in the series introduces us to some new dinosaurs , of course . 	each new film in the series introduces us to some new dinosaurs , of course .	1	-1	 each[0] new[0] film[0] in[0] the[0] series[0] introduces[0] us[0] to[0] some[0] new[0] dinosaurs[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this film a major threat is from a spinosaurus , not as common or as popularly known as a tyrannosaurus , but larger and presumably more nasty . 	in this film a major threat is from a spinosaurus , not as common or as popularly known as a tyrannosaurus , but larger and presumably more nasty .	1	-3	 in[0] this[0] film[0] a[0] major[0] threat[-2] is[0] from[0] a[0] spinosaurus[0] not[0] as[0] common[0] or[0] as[0] popularly[0] known[0] as[0] a[0] tyrannosaurus[0] but[0] larger[0] and[0] presumably[0] more[0] nasty[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has a crocodile's head and the body that looks like a dimetrodon walking upright . 	it has a crocodile's head and the body that looks like a dimetrodon walking upright .	2	-1	 it[0] has[0] a[0] crocodile's[0] head[0] and[0] the[0] body[0] that[0] looks[0] like[1] a[0] dimetrodon[0] walking[0] upright[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps as an economy measure or just to create a mood the visual effects team frequently obscures our view of the dinosaurs . 	perhaps as an economy measure or just to create a mood the visual effects team frequently obscures our view of the dinosaurs .	1	-1	 perhaps[0] as[0] an[0] economy[0] measure[0] or[0] just[0] to[0] create[0] a[0] mood[0] the[0] visual[0] effects[0] team[0] frequently[0] obscures[0] our[0] view[0] of[0] the[0] dinosaurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes they just move too fast to see . 	sometimes they just move too fast to see .	1	-1	 sometimes[0] they[0] just[0] move[0] too[0] fast[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
occasionally darkness or fog obscures our vision . 	occasionally darkness or fog obscures our vision .	1	-1	 occasionally[0] darkness[0] or[0] fog[0] obscures[0] our[0] vision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few times we get unconvincing matte shot , particularly of the laboratory . 	a few times we get unconvincing matte shot , particularly of the laboratory .	1	-2	 a[0] few[0] times[0] we[0] get[0] unconvincing[0] matte[0] shot[-1] particularly[0] of[0] the[0] laboratory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there is less money on the screen in terms of dinosaur effects than in the two previous films . 	but there is less money on the screen in terms of dinosaur effects than in the two previous films .	1	-1	 but[0] there[0] is[0] less[0] money[0] on[0] the[0] screen[0] in[0] terms[0] of[0] dinosaur[0] effects[0] than[0] in[0] the[0] two[0] previous[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the musical score by don davis borrows heavily from john williams's score for the first film . 	the musical score by don davis borrows heavily from john williams's score for the first film .	1	-1	 the[0] musical[0] score[0] by[0] don[0] davis[0] borrows[0] heavily[0] from[0] john[0] williams's[0] score[0] for[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe johnston , who directs , already has to his credit two very good films i recommend the rocketeer and october sky . 	joe johnston , who directs , already has to his credit two very good films i recommend the rocketeer and october sky .	3	-1	 joe[0] johnston[0] who[0] directs[0] already[0] has[0] to[0] his[0] credit[0] two[0] very[0] good[1][1 LastWordBoosterStrength] films[0] i[0] recommend[0] the[0] rocketeer[0] and[0] october[0] sky[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a team including alexander payne and jim taylor known for election writes the screenplay . 	a team including alexander payne and jim taylor known for election writes the screenplay .	1	-1	 a[0] team[0] including[0] alexander[0] payne[0] and[0] jim[0] taylor[0] known[0] for[0] election[0] writes[0] the[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film they have made is a long way from great cinema , but it still is fun . 	the film they have made is a long way from great cinema , but it still is fun .	3	-1	 the[0] film[0] they[0] have[0] made[0] is[0] a[0] long[0] way[0] from[0] great[2] cinema[0] but[0] it[0] still[0] is[0] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you get a thrill from seeing what look very much like live dinosaurs alive today , the film is for you . 	if you get a thrill from seeing what look very much like live dinosaurs alive today , the film is for you .	4	-1	 if[0] you[0] get[0] a[0] thrill[3] from[0] seeing[0] what[0] look[0] very[0] much[0] like[1] live[0] dinosaurs[0] alive[0] today[0] the[0] film[0] is[0] for[0] you[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale . 	i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale .	1	-2	 i[0] rate[0] it[0] a[0] 7[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 2[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
