have you ever wondered if death is something that simply happens naturally , at any given moment , in life ? 	Translation	Positive	Negative	EmotionRationale
alex's best friend , tod ( chad e . donella ) , wants to stand by him but can't because of his fearful parents . 	alex's best friend , tod ( chad e .<br> donella ) , wants to stand by him but can't because of his fearful parents .	2	-3	 alex's[0] best[1] friend[1] tod[0] chad[0] e[0] [[Sentence=-1,2=word max, 1-5]] donella[0] wants[0] to[0] stand[0] by[0] him[0] but[0] can't[0] because[0] of[0] his[0] fearful[-2] parents[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
the teacher , mrs . lewton ( kristen cloke ) , is frightened by him , believing that it was he who somehow caused the disaster , as well as in a state of guilt for giving up her seat on the plane to a fellow coworker . 	the teacher , mrs .<br> lewton ( kristen cloke ) , is frightened by him , believing that it was he who somehow caused the disaster , as well as in a state of guilt for giving up her seat on the plane to a fellow coworker .	1	-4	 the[0] teacher[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] lewton[0] kristen[0] cloke[0] is[0] frightened[-3] by[0] him[0] believing[0] that[0] it[0] was[0] he[0] who[0] somehow[0] caused[0] the[0] disaster[-1] as[0] well[0] as[0] in[0] a[0] state[0] of[0] guilt[-3] for[0] giving[0] up[0] her[0] seat[0] on[0] the[0] plane[0] to[0] a[0] fellow[0] coworker[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only outsider clear rivers ( ali larter ) , who unboarded the plane due to a sudden connection to alex's premonition even though she had never even spoken to him before , is sympathetic and thankful to him for saving her life . 	only outsider clear rivers ( ali larter ) , who unboarded the plane due to a sudden connection to alex's premonition even though she had never even spoken to him before , is sympathetic and thankful to him for saving her life .	2	-2	 only[0] outsider[-1] clear[0] rivers[0] ali[0] larter[0] who[0] unboarded[0] the[0] plane[0] due[0] to[0] a[0] sudden[0] connection[0] to[0] alex's[0] premonition[0] even[0] though[0] she[0] had[0] never[0] even[0] spoken[0] to[0] him[0] before[0] is[0] sympathetic[0] and[0] thankful[1] to[0] him[0] for[0] saving[0] her[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is only the setup of " final destination , " and the less said about what follows , the better . 	that is only the setup of " final destination , " and the less said about what follows , the better .	1	-1	 that[0] is[0] only[0] the[0] setup[0] of[0] final[0] destination[0] and[0] the[0] less[0] said[0] about[0] what[0] follows[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suffice to say , the film does , indeed , turn into a slasher film , albeit one that is more thoughtful than most , and replaces a knife-wielding maniac for the never-seen granddaddy killer of them all , the grim reaper itself . 	suffice to say , the film does , indeed , turn into a slasher film , albeit one that is more thoughtful than most , and replaces a knife-wielding maniac for the never-seen granddaddy killer of them all , the grim reaper itself .	2	-3	 suffice[0] to[0] say[0] the[0] film[0] does[0] indeed[0] turn[0] into[0] a[0] slasher[-1] film[0] albeit[0] one[0] that[0] is[0] more[0] thoughtful[1] than[0] most[0] and[0] replaces[0] a[0] knife[-1] wielding[0] maniac[-2] for[0] the[0] never[0] seen[0] granddaddy[0] killer[-1] of[0] them[0] all[0] the[0] grim[-2] reaper[0] itself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the setpieces in any horror movie are the death scenes , and " final destination " surely boosts some of the most inventive ones to grace the silver screen in years . 	the setpieces in any horror movie are the death scenes , and " final destination " surely boosts some of the most inventive ones to grace the silver screen in years .	3	-4	 the[0] setpieces[0] in[0] any[0] horror[-3] movie[0] are[0] the[0] death[-2] scenes[0] and[0] final[0] destination[0] surely[0] boosts[0] some[0] of[0] the[0] most[0] inventive[0] ones[0] to[0] grace[2] the[0] silver[0] screen[0] in[0] years[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
graphic and brilliantly orchestrated in a rube goldbergesque manner , they manage to occasionally be so intense you don't know whether to shrink down in your seat , tap your feet in nervousness , or turn away . 	graphic and brilliantly orchestrated in a rube goldbergesque manner , they manage to occasionally be so intense you don't know whether to shrink down in your seat , tap your feet in nervousness , or turn away .	2	-3	 graphic[0] and[0] brilliantly[1] orchestrated[0] in[0] a[0] rube[0] goldbergesque[0] manner[0] they[0] manage[0] to[0] occasionally[0] be[0] so[0] intense[0] you[0] don't[0] know[0] whether[0] to[0] shrink[0] down[0] in[0] your[0] seat[0] tap[0] your[0] feet[0] in[0] nervousness[-2] or[0] turn[0] away[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
devon sawa , a rising star who put his physical comedy skills to good use in 1999's underseen slasher-comedy , " idle hands , " is even more of a charismatic presence here . 	devon sawa , a rising star who put his physical comedy skills to good use in 199's underseen slasher-comedy , " idle hands , " is even more of a charismatic presence here .	2	-2	 devon[0] sawa[0] a[0] rising[0] star[0] who[0] put[0] his[0] physical[0] comedy[0] skills[0] to[0] good[1] use[0] in[0] 1999's/199's[0] underseen[0] slasher[-1] comedy[0] idle[0] hands[0] is[0] even[0] more[0] of[0] a[0] charismatic[0] presence[0] here[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the conflicting emotions he feels for his survival , which he comes to believe he wasn't meant to do , as well as the loss of the other passengers , is superbly and subtly acted on his part . 	the conflicting emotions he feels for his survival , which he comes to believe he wasn't meant to do , as well as the loss of the other passengers , is superbly and subtly acted on his part .	1	-3	 the[0] conflicting[-1] emotions[0] he[0] feels[0] for[0] his[0] survival[0] which[0] he[0] comes[0] to[0] believe[0] he[0] wasn't[0] meant[0] to[0] do[0] as[0] well[0] as[0] the[0] loss[-2] of[0] the[0] other[0] passengers[0] is[0] superbly[0] and[0] subtly[0] acted[0] on[0] his[0] part[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one scene , in which he is watching a news report on the crash and slowly begins to break down is especially realistic and powerful . 	one scene , in which he is watching a news report on the crash and slowly begins to break down is especially realistic and powerful .	1	-1	 one[0] scene[0] in[0] which[0] he[0] is[0] watching[0] a[0] news[0] report[0] on[0] the[0] crash[0] and[0] slowly[0] begins[0] to[0] break[0] down[0] is[0] especially[0] realistic[0] and[0] powerful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ali larter ( 1999's " varsity blues " ) , in the other central role , is also effective , as a girl whose life was going well until her father died in a convenience store shooting years before , leaving her stuck with an increasingly uncaring mother who married a loutish man--the exact opposite of her now-deceased father . 	ali larter ( 199's " varsity blues " ) , in the other central role , is also effective , as a girl whose life was going well until her father died in a convenience store shooting years before , leaving her stuck with an increasingly uncaring mother who married a loutish man-the exact opposite of her now-deceased father .	1	-2	 ali[0] larter[0] 1999's/199's[0] varsity[0] blues[0] in[0] the[0] other[0] central[0] role[0] is[0] also[0] effective[0] as[0] a[0] girl[0] whose[0] life[0] was[0] going[0] well[0] until[0] her[0] father[0] died[0] in[0] a[0] convenience[0] store[0] shooting[-1] years[0] before[0] leaving[0] her[0] stuck[0] with[0] an[0] increasingly[0] uncaring[0] mother[0] who[0] married[0] a[0] loutish[0] man[0] the[0] exact[0] opposite[0] of[0] her[0] now[0] deceased[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other roles are not as fully written , and most remain rather one-dimensional . 	the other roles are not as fully written , and most remain rather one-dimensional .	1	-1	 the[0] other[0] roles[0] are[0] not[0] as[0] fully[0] written[0] and[0] most[0] remain[0] rather[0] one[0] dimensional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is mainly sawa's , however , and the rest of the actors equip themselves well in limited roles . 	the movie is mainly sawa's , however , and the rest of the actors equip themselves well in limited roles .	1	-1	 the[0] movie[0] is[0] mainly[0] sawa's[0] however[0] and[0] the[0] rest[0] of[0] the[0] actors[0] equip[0] themselves[0] well[0] in[0] limited[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tony todd ( 1992's " candyman " ) , as an arcane morgue attendant , pops up for a five-minute cameo , but his appearance is rather supererogatory . 	tony todd ( 1992's " candyman " ) , as an arcane morgue attendant , pops up for a five-minute cameo , but his appearance is rather supererogatory .	1	-1	 tony[0] todd[0] 1992's[0] candyman[0] as[0] an[0] arcane[0] morgue[0] attendant[0] pops[0] up[0] for[0] a[0] five[0] minute[0] cameo[0] but[0] his[0] appearance[0] is[0] rather[0] supererogatory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the aforementioned dialogue occasionally hits the bullseye , while at other times it hovers over being just a little too stilted and campy . 	and the aforementioned dialogue occasionally hits the bullseye , while at other times it hovers over being just a little too stilted and campy .	1	-1	 and[0] the[0] aforementioned[0] dialogue[0] occasionally[0] hits[0] the[0] bullseye[0] while[0] at[0] other[0] times[0] it[0] hovers[0] over[0] being[0] just[0] a[0] little[0] too[0] stilted[0] and[0] campy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , what is so good about " final destination " is that , within the confines of the slasher genre , writer-director wong and screenwriters glen morgan and jeffrey reddick have created a premise that has never been seen before in this manner , and a film that has the ability to both surprise and frighten--two things that are rarely found in today's horror films . 	ultimately , what is so good about " final destination " is that , within the confines of the slasher genre , writer-director wong and screenwriters glen morgan and jeffrey reddick have created a premise that has never been seen before in this manner , and a film that has the ability to both surprise and frighten-two things that are rarely found in today's horror films .	2	-4	 ultimately[0] what[0] is[0] so[0] good[1] about[0] final[0] destination[0] is[0] that[0] within[0] the[0] confines[0] of[0] the[0] slasher[-1] genre[0] writer[0] director[0] wong[0] and[0] screenwriters[0] glen[0] morgan[0] and[0] jeffrey[0] reddick[0] have[0] created[0] a[0] premise[0] that[0] has[0] never[0] been[0] seen[0] before[0] in[0] this[0] manner[0] and[0] a[0] film[0] that[0] has[0] the[0] ability[0] to[0] both[0] surprise[0] and[0] frighten[-3] two[0] things[0] that[0] are[0] rarely[0] found[0] in[0] today's[0] horror[-3] films[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if anything , it's safe to say you will never ever look at flying in airplanes the same way again . 	if anything , it's safe to say you will never ever look at flying in airplanes the same way again .	2	-1	 if[0] anything[0] it's[0] safe[1] to[0] say[0] you[0] will[0] never[0] ever[0] look[0] at[0] flying[0] in[0] airplanes[0] the[0] same[0] way[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
