good films are hard to find these days . 	Translation	Positive	Negative	EmotionRationale
but when things go wrong -- as they always do in these situations -- terry and his team ( which includes the most surprising casting choice of the year : david caruso ) take matters into their own hands . 	but when things go wrong - as they always do in these situations - terry and his team ( which includes the most surprising casting choice of the year : david caruso ) take matters into their own hands .	1	-2	 but[0] when[0] things[0] go[0] wrong[-1] as[0] they[0] always[0] do[0] in[0] these[0] situations[0] terry[0] and[0] his[0] team[0] which[0] includes[0] the[0] most[0] surprising[0] casting[0] choice[0] of[0] the[0] year[0] david[0] caruso[0] take[0] matters[0] into[0] their[0] own[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is notable in that it takes this very simple story line and creates a complex and intelligent character-driven vehicle filled with well-written dialogue , shades of motivation , and convincing acting by all the actors . 	the film is notable in that it takes this very simple story line and creates a complex and intelligent character-driven vehicle filled with well-written dialogue , shades of motivation , and convincing acting by all the actors .	2	-1	 the[0] film[0] is[0] notable[0] in[0] that[0] it[0] takes[0] this[0] very[0] simple[0] story[0] line[0] and[0] creates[0] a[0] complex[0] and[0] intelligent[1] character[0] driven[0] vehicle[0] filled[0] with[0] well[0] written[0] dialogue[0] shades[0] of[0] motivation[0] and[0] convincing[0] acting[0] by[0] all[0] the[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is based on both a book ( the long march to freedom ) and a magazine article pertaining to kidnap/ransom situations , and the story has been sharply pieced together by tony gilroy , screenwriter of the devil's advocate and dolores claiborne . 	the script is based on both a book ( the long march to freedom ) and a magazine article pertaining to kidnap/ransom situations , and the story has been sharply pieced together by tony gilroy , screenwriter of the devil's advocate and dolores claiborne .	1	-2	 the[0] script[0] is[0] based[0] on[0] both[0] a[0] book[0] the[0] long[0] march[0] to[0] freedom[0] and[0] a[0] magazine[0] article[0] pertaining[0] to[0] kidnap/ransom[0] situations[0] and[0] the[0] story[0] has[0] been[0] sharply[0] pieced[0] together[0] by[0] tony[0] gilroy[0] screenwriter[0] of[0] the[0] devil's[-1] advocate[0] and[0] dolores[0] claiborne[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the biggest surprise for me was not the chemistry between crowe and ryan , but that between crowe and david caruso . 	the biggest surprise for me was not the chemistry between crowe and ryan , but that between crowe and david caruso .	1	-1	 the[0] biggest[0] surprise[0] for[0] me[0] was[0] not[0] the[0] chemistry[0] between[0] crowe[0] and[0] ryan[0] but[0] that[0] between[0] crowe[0] and[0] david[0] caruso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dug out from b-movie hell , caruso pulls off a gutsy performance as crowe's right hand gun while providing most of the film's humor . 	dug out from b-movie hell , caruso pulls off a gutsy performance as crowe's right hand gun while providing most of the film's humor .	3	-2	 dug[0] out[0] from[0] b[0] movie[0] hell[-1] caruso[0] pulls[0] off[0] a[0] gutsy[0] performance[0] as[0] crowe's[0] right[0] hand[0] gun[-1] while[0] providing[0] most[0] of[0] the[0] film's[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ryan cries a lot and smokes too many cigarettes , david morse ends up getting everyone at the guerilla camp to hate him , and crowe provides another memorable acting turn as the stoic , gunslinger character of terry thorne . 	ryan cries a lot and smokes too many cigarettes , david morse ends up getting everyone at the guerilla camp to hate him , and crowe provides another memorable acting turn as the stoic , gunslinger character of terry thorne .	1	-4	 ryan[0] cries[-2] a[0] lot[0] and[0] smokes[0] too[0] many[0] cigarettes[0] david[0] morse[0] ends[0] up[0] getting[0] everyone[0] at[0] the[0] guerilla[0] camp[0] to[0] hate[-3] him[0] and[0] crowe[0] provides[0] another[0] memorable[0] acting[0] turn[0] as[0] the[0] stoic[0] gunslinger[-1] character[0] of[0] terry[0] thorne[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the most memorable pieces of the film lie in its action scenes . 	the most memorable pieces of the film lie in its action scenes .	1	-1	 the[0] most[0] memorable[0] pieces[0] of[0] the[0] film[0] lie[0] in[0] its[0] action[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bulk of those scenes , which bookend the movie , work extremely well as establishment and closure devices for all of the story's characters . 	the bulk of those scenes , which bookend the movie , work extremely well as establishment and closure devices for all of the story's characters .	1	-1	 the[0] bulk[0] of[0] those[0] scenes[0] which[0] bookend[0] the[0] movie[0] work[0] extremely[0] well[0] as[0] establishment[0] and[0] closure[0] devices[0] for[0] all[0] of[0] the[0] story's[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes are skillfully crafted and executed with amazing accuracy and poise . 	the scenes are skilfully crafted and executed with amazing accuracy and poise .	3	-2	 the[0] scenes[0] are[0] skillfully/skilfully[0] crafted[0] and[0] executed[-1] with[0] amazing[2] accuracy[0] and[0] poise[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director taylor hackford mixes both his old-school style of filmmaking with the dizziness of a lars von trier film . 	director taylor hackford mixes both his old-school style of filmmaking with the diziness of a lars von trier film .	1	-1	 director[0] taylor[0] hackford[0] mixes[0] both[0] his[0] old[0] school[0] style[0] of[0] filmmaking[0] with[0] the[0] dizziness/diziness[0] of[0] a[0] lars[0] von[0] trier[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
proof of life is a thinking man's action movie . 	proof of life is a thinking man's action movie .	1	-1	 proof[0] of[0] life[0] is[0] a[0] thinking[0] man's[0] action[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a film about the choices men and women make in the face of love and war , and the sacrifices one makes for those choices -- the sacrifices that help you sleep at night . 	it is a film about the choices men and women make in the face of love and war , and the sacrifices one makes for those choices - the sacrifices that help you sleep at night .	3	-3	 it[0] is[0] a[0] film[0] about[0] the[0] choices[0] men[0] and[0] women[0] make[0] in[0] the[0] face[0] of[0] love[2] and[0] war[-2] and[0] the[0] sacrifices[0] one[0] makes[0] for[0] those[0] choices[0] the[0] sacrifices[0] that[0] help[0] you[0] sleep[0] at[0] night[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
