mars attacks ! 	Translation	Positive	Negative	EmotionRationale
this time however , it's the goofy aliens versus the equally goofy humans . 	this time however , it's the goofy aliens versus the equally goofy humans .	1	-1	 this[0] time[0] however[0] it's[0] the[0] goofy[0] aliens[0] versus[0] the[0] equally[0] goofy[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the martians , who are all computer generated , are just about the funniest things i've seen in a long time . 	the martians , who are all computer generated , are just about the funniest things i've seen in a long time .	2	-1	 the[0] martians[0] who[0] are[0] all[0] computer[0] generated[0] are[0] just[0] about[0] the[0] funniest[1] things[0] i've[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they look funny , they move funny , and their " language " is hilarious . 	they look funny , they move funny , and their " language " is hilarious .	3	-1	 they[0] look[0] funny[1] they[0] move[0] funny[1] and[0] their[0] language[0] is[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and about the special effects . 	and about the special effects .	2	-1	 and[0] about[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the effects in mars attacks ! 	the effects in mars attacks !	1	-3	 the[0] effects[0] in[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
are just about the most flawless ones i've seen to date . 	are just about the most flawless ones i've seen to date .	2	-1	 are[0] just[0] about[0] the[0] most[0] flawless[1] ones[0] i've[0] seen[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the computer animation of the martians combined with the goofy personalities they are given makes them seem 100% real . 	the computer animation of the martians combined with the goofy personalities they are given makes them seem 100% real .	1	-1	 the[0] computer[0] animation[0] of[0] the[0] martians[0] combined[0] with[0] the[0] goofy[0] personalities[0] they[0] are[0] given[0] makes[0] them[0] seem[0] 100%[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are just a couple of scenes that don't work , mainly those involving sarah jessica parker and pierce brosnan on board an alien ship . 	there are just a couple of scenes that don't work , mainly those involving sarah jessica parker and pierce brosnan on board an alien ship .	1	-2	 there[0] are[0] just[0] a[0] couple[0] of[0] scenes[0] that[0] don't[0] work[0] mainly[0] those[0] involving[0] sarah[0] jessica[0] parker[0] and[0] pierce[0] brosnan[0] on[0] board[0] an[0] alien[-1] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , glenn close overacts tremendously in her ( thankfully ) very limited screen time , so much so that i actually applauded silently when her character meets her demise . 	also , glen close overacts tremendously in her ( thankfully ) very limited screen time , so much so that i actually applauded silently when her character meets her demise .	2	-2	 also[0] glenn/glen[0] close[0] overacts[0] tremendously[0] in[0] her[0] thankfully[1] very[0] limited[0] screen[0] time[0] so[0] much[0] so[0] that[0] i[0] actually[0] applauded[1] silently[0] when[0] her[0] character[0] meets[0] her[0] demise[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but there are many big laughs in the film , as i said , if you are in the right mood . 	but there are many big laughs in the film , as i said , if you are in the right mood .	2	-1	 but[0] there[0] are[0] many[0] big[0] laughs[1] in[0] the[0] film[0] as[0] i[0] said[0] if[0] you[0] are[0] in[0] the[0] right[0] mood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
could it have been funnier ? 	could it have been funnier ?	2	-1	 could[0] it[0] have[0] been[0] funnier[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
certainly . 	certainly .	1	-1	 certainly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was it funny enough ? 	was it funny enough ?	2	-1	 was[0] it[0] funny[1] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes . 	yes .	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was i entertained ? 	was i entertained ?	1	-1	 was[0] i[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
absolutely . 	absolutely .	1	-1	 absolutely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a personal note , i'd like to thank whomever cast rod steiger ( my favorite actor ) in the film as war-crazy general decker . 	on a personal note , i'd like to thank whomever cast rod steiger ( my favorite actor ) in the film as war-crazy general decker .	2	-3	 on[0] a[0] personal[0] note[0] i'd[0] like[1] to[0] thank[1] whomever[0] cast[0] rod[0] steiger[0] my[0] favorite[1] actor[0] in[0] the[0] film[0] as[0] war[-2] crazy[-1] general[0] decker[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
finally , after many very small parts in direct to video garbage and minor tv roles , steiger is back on the big screen in a real movie that many people will see . 	finally , after many very small parts in direct to video garbage and minor tv roles , steiger is back on the big screen in a real movie that many people will see .	1	-3	 finally[0] after[0] many[0] very[0] small[0] parts[0] in[0] direct[0] to[0] video[0] garbage[-2] and[0] minor[0] tv[0] roles[0] steiger[0] is[0] back[0] on[0] the[0] big[0] screen[0] in[0] a[0] real[0] movie[0] that[0] many[0] people[0] will[0] see[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while he's not given the type of role that you can give a real " performance " in , he does the job well and has some good lines of dialogue . 	while he's not given the type of role that you can give a real " performance " in , he does the job well and has some good lines of dialogue .	1	-1	 while[0] he's[0] not[0] given[0] the[0] type[0] of[0] role[0] that[0] you[0] can[0] give[0] a[0] real[0] performance[0] in[0] he[0] does[0] the[0] job[0] well[0] and[0] has[0] some[0] good[1][-1 LastWordBoosterStrength] lines[0] of[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the preview audience i saw the film with really seemed to enjoy him . 	the preview audience i saw the film with really seemed to enjoy him .	3	-1	 the[0] preview[0] audience[0] i[0] saw[0] the[0] film[0] with[0] really[0] seemed[0] to[0] enjoy[2] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
