an astonishingly difficult movie to watch , the last temptation of = christ may be scorsese's most important film , and yet his most = impossibly abstract as well . 	Translation	Positive	Negative	EmotionRationale
 20 	 20	1	-1	 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is eventually captured , and crucified as per the bibile . 	he is eventually captured , and crucified as per the bibile .	1	-2	 he[0] is[0] eventually[0] captured[-1] and[0] crucified[0] as[0] per[0] the[0] bibile[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
  however , as he is about to die on the cross , he is saved by a girl , who   brings him to his marriage with mary magdelene . 	  however , as he is about to die on the cross , he is saved by a girl , who   brings him to his marriage with mary magdelene .	2	-2	 however[0] as[0] he[0] is[0] about[0] to[0] die[0] on[0] the[0] cross[-1] he[0] is[0] saved[1] by[0] a[0] girl[0] who[0] brings[0] him[0] to[0] his[0] marriage[0] with[0] mary[0] magdelene[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the girl is a guardian   angel who is from god , and who has saved him from his death . 	the girl is a guardian   angel who is from god , and who has saved him from his death .	2	-3	 the[0] girl[0] is[0] a[0] guardian[0] angel[0] who[0] is[0] from[0] god[0] and[0] who[0] has[0] saved[1] him[0] from[0] his[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jesus goes   on to live a life as a man , as a carpenter , and does not die on the   cross . 	jesus goes   on to live a life as a man , as a carpenter , and does not die on the   cross .	1	-2	 jesus[0] goes[0] on[0] to[0] live[0] a[0] life[0] as[0] a[0] man[0] as[0] a[0] carpenter[0] and[0] does[0] not[0] die[0] on[0] the[0] cross[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on his deathbed , in the final moments of his life , he is visited   by the prophets , and by judas , who denounces his master for " not keeping   his end of the bargain . " 	on his deathbed , in the final moments of his life , he is visited   by the prophets , and by judas , who denounces his master for " not keeping   his end of the bargain .<br> "	1	-3	 on[0] his[0] deathbed[-2] in[0] the[0] final[0] moments[0] of[0] his[0] life[0] he[0] is[0] visited[0] by[0] the[0] prophets[0] and[0] by[0] judas[0] who[0] denounces[0] his[0] master[0] for[0] not[0] keeping[0] his[0] end[0] of[0] the[0] bargain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
judas reveals the angel to truly be the devil ,   and the life jesus had lived to be the ultimate selfish act . 	judas reveals the angel to truly be the devil ,   and the life jesus had lived to be the ultimate selfish act .	2	-4	 judas[0] reveals[0] the[0] angel[0] to[0] truly[1] be[0] the[0] devil[-1] and[0] the[0] life[0] jesus[0] had[0] lived[0] to[0] be[0] the[0] ultimate[0] selfish[-3] act[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jesus   escapes from his deathbed , and asks his father for forgiveness , for   succumbing to his last temptation . 	jesus   escapes from his deathbed , and asks his father for forgiveness , for   succumbing to his last temptation .	2	-3	 jesus[0] escapes[0] from[0] his[0] deathbed[-2] and[0] asks[0] his[0] father[0] for[0] forgiveness[1] for[0] succumbing[-1] to[0] his[0] last[0] temptation[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
visually and aurally , the film is absolutely breathtaking . 	visually and aurally , the film is absolutely breathtaking .	1	-1	 visually[0] and[0] aurally[0] the[0] film[0] is[0] absolutely[0] breathtaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no other   director has even come close to realizing jerusalem during the time of   christ's life to the screen . 	no other   director has even come close to realizing jerusalem during the time of   christ's life to the screen .	1	-1	 no[0] other[0] director[0] has[0] even[0] come[0] close[0] to[0] realizing[0] jerusalem[0] during[0] the[0] time[0] of[0] christ's[0] life[0] to[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter gabriel contributes a score than is   simply astonishing , with pulsing rhythms that capture the viewer . 	peter gabriel contributes a score than is   simply astonishing , with pulsing rhythms that capture the viewer .	1	-2	 peter[0] gabriel[0] contributes[0] a[0] score[0] than[0] is[0] simply[0] astonishing[0] with[0] pulsing[0] rhythms[0] that[0] capture[-1] the[0] viewer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the   performances are simply exquisite , with dafoe leading the way with a   mesmerizing turn as jesus . 	the   performances are simply exquisite , with dafoe leading the way with a   mesmerizing turn as jesus .	1	-1	 the[0] performances[0] are[0] simply[0] exquisite[0] with[0] dafoe[0] leading[0] the[0] way[0] with[0] a[0] mesmerizing[0] turn[0] as[0] jesus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keitel , although his accent is a problem , is   passionately brilliant , fighting through language to bring the character   to life . 	keitel , although his accent is a problem , is   passionately brilliant , fighting through language to bring the character   to life .	3	-3	 keitel[0] although[0] his[0] accent[0] is[0] a[0] problem[-1] is[0] passionately[2] brilliant[1] fighting[-2] through[0] language[0] to[0] bring[0] the[0] character[0] to[0] life[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the visuals are also amazing . 	the visuals are also amazing .	3	-1	 the[0] visuals[0] are[0] also[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scorsese frames his movie in a   harsh tone , leaving the impression that jesus truly is a man who is   having human frailties . 	scorsese frames his movie in a   harsh tone , leaving the impression that jesus truly is a man who is   having human frailties .	2	-2	 scorsese[0] frames[0] his[0] movie[0] in[0] a[0] harsh[-1] tone[0] leaving[0] the[0] impression[0] that[0] jesus[0] truly[1] is[0] a[0] man[0] who[0] is[0] having[0] human[0] frailties[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film , though , has many trouble spots . 	the film , though , has many trouble spots .	1	-2	 the[0] film[0] though[0] has[0] many[0] trouble[-1] spots[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paul schrader's script is   one . 	paul schrader's script is   one .	1	-1	 paul[0] schrader's[0] script[0] is[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schrader uses modern-day new york english to tell the story , along   with new york words , new york mannerisms , and new york slang speech . 	schrader uses modern-day new york english to tell the story , along   with new york words , new york mannerisms , and new york slang speech .	1	-1	 schrader[0] uses[0] modern[0] day[0] new[0] york[0] english[0] to[0] tell[0] the[0] story[0] along[0] with[0] new[0] york[0] words[0] new[0] york[0] mannerisms[0] and[0] new[0] york[0] slang[0] speech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  the film also does not focus on the godly aspects of christ . 	  the film also does not focus on the godly aspects of christ .	1	-1	 the[0] film[0] also[0] does[0] not[0] focus[0] on[0] the[0] godly[0] aspects[0] of[0] christ[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is   no underlying message behind the man's words . 	there is   no underlying message behind the man's words .	1	-1	 there[0] is[0] no[0] underlying[0] message[0] behind[0] the[0] man's[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film fails to capture   the glory and splendor of christ . 	the film fails to capture   the glory and splendor of christ .	3	-3	 the[0] film[0] fails[-2] to[0] capture[-1] the[0] glory[1] and[0] splendor[2] of[0] christ[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
had it faithfully explored that   aspect , than the dichotomy of jesus' soul , his frailties and doubt mixed   with his unmistakable glory , would have been simply spectacular . 	had it faithfully explored that   aspect , than the dichotomy of jesus' soul , his frailties and doubt mixed   with his unmistakable glory , would have been simply spectacular .	2	-2	 had[0] it[0] faithfully[1] explored[0] that[0] aspect[0] than[0] the[0] dichotomy[0] of[0] jesus'[0] soul[0] his[0] frailties[0] and[0] doubt[-1] mixed[0] with[0] his[0] unmistakable[0] glory[1] would[0] have[0] been[0] simply[0] spectacular[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the   message of christ is confused between love and violence , and the film   merely tells us jesus is great , instead of showing us his greatness . 	the   message of christ is confused between love and violence , and the film   merely tells us jesus is great , instead of showing us his greatness .	3	-4	 the[0] message[0] of[0] christ[0] is[0] confused[-1] between[0] love[2] and[0] violence[-3] and[0] the[0] film[0] merely[0] tells[0] us[0] jesus[0] is[0] great[2] instead[0] of[0] showing[0] us[0] his[0] greatness[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film is also overlong . 	the film is also overlong .	1	-1	 the[0] film[0] is[0] also[0] overlong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just drags in the middle , with   nothing truly happening . 	it just drags in the middle , with   nothing truly happening .	2	-1	 it[0] just[0] drags[0] in[0] the[0] middle[0] with[0] nothing[0] truly[1] happening[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
christ is a confused figure , in the sense that   the audience doesn't know who he really is . 	christ is a confused figure , in the sense that   the audience doesn't know who he really is .	1	-2	 christ[0] is[0] a[0] confused[-1] figure[0] in[0] the[0] sense[0] that[0] the[0] audience[0] doesn't[0] know[0] who[0] he[0] really[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
schrader forgets to give   jesus a message , to show that he truly is the messiah , to give him the   divinity . 	schrader forgets to give   jesus a message , to show that he truly is the messiah , to give him the   divinity .	2	-1	 schrader[0] forgets[0] to[0] give[0] jesus[0] a[0] message[0] to[0] show[0] that[0] he[0] truly[1] is[0] the[0] messiah[0] to[0] give[0] him[0] the[0] divinity[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without that , he is a rambling prophet , who the audience   themselves do not believe . 	without that , he is a rambling prophet , who the audience   themselves do not believe .	1	-1	 without[0] that[0] he[0] is[0] a[0] rambling[0] prophet[0] who[0] the[0] audience[0] themselves[0] do[0] not[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are several moments of accidental   hilarity , and most of them occur when jesus is attempting to preach . 	there are several moments of accidental   hilarity , and most of them occur when jesus is attempting to preach .	3	-2	 there[0] are[0] several[0] moments[0] of[0] accidental[-1] hilarity[2] and[0] most[0] of[0] them[0] occur[0] when[0] jesus[0] is[0] attempting[0] to[0] preach[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
  there are moments of brief awe and power , followed by moments of   confused hilarity . 	  there are moments of brief awe and power , followed by moments of   confused hilarity .	3	-2	 there[0] are[0] moments[0] of[0] brief[0] awe[0] and[0] power[0] followed[0] by[0] moments[0] of[0] confused[-1] hilarity[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that said , the controversial temptation sequence is something to   behold . 	that said , the controversial temptation sequence is something to   behold .	1	-2	 that[0] said[0] the[0] controversial[-1] temptation[-1] sequence[0] is[0] something[0] to[0] behold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a step in an unexpected direction , one that leaves the   audience puzzled , until the arrival of the disciples . 	it is a step in an unexpected direction , one that leaves the   audience puzled , until the arrival of the disciples .	1	-1	 it[0] is[0] a[0] step[0] in[0] an[0] unexpected[0] direction[0] one[0] that[0] leaves[0] the[0] audience[0] puzzled/puzled[0] until[0] the[0] arrival[0] of[0] the[0] disciples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a simply   breathtaking scene , with jesus about to die as a mortal . 	it is a simply   breathtaking scene , with jesus about to die as a mortal .	1	-1	 it[0] is[0] a[0] simply[0] breathtaking[0] scene[0] with[0] jesus[0] about[0] to[0] die[0] as[0] a[0] mortal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is truly   one of scorsese's finest moments . 	it is truly   one of scorsese's finest moments .	2	-1	 it[0] is[0] truly[1] one[0] of[0] scorsese's[0] finest[0] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is unfortunate that scorsese   couldn't make a film about christ as powerful as that one scene . 	it is unfortunate that scorsese   couldn't make a film about christ as powerful as that one scene .	1	-2	 it[0] is[0] unfortunate[-1] that[0] scorsese[0] couldn't[0] make[0] a[0] film[0] about[0] christ[0] as[0] powerful[0] as[0] that[0] one[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 20 	 20	1	-1	 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
