every once in a while a movie comes along that completely redefines the genre : with dramas , it was citizen kane , with arthouse it was pulp fiction , and with comedy it was , well , that jim carrey guy ( okay , so he's not a movie , but he did have a huge influence on the genre . 	Translation	Positive	Negative	EmotionRationale
many people will tell you that this film , while being a great action film , has no real drama and is all cliches . 	many people will tell you that this film , while being a great action film , has no real drama and is all cliches .	3	-1	 many[0] people[0] will[0] tell[0] you[0] that[0] this[0] film[0] while[0] being[0] a[0] great[2] action[0] film[0] has[0] no[0] real[0] drama[0] and[0] is[0] all[0] cliches[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , they would be wrong , my friends . 	well , they would be wrong , my friends .	2	-2	 well[0] they[0] would[0] be[0] wrong[-1] my[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if this film had no " drama " , then why was sigourney weaver nominated for best actress at the 1987 academy awards ? 	if this film had no " drama " , then why was sigourney weaver nominated for best actress at the 1987 academy awards ?	2	-1	 if[0] this[0] film[0] had[0] no[0] drama[0] then[0] why[0] was[0] sigourney[0] weaver[0] nominated[0] for[0] best[1] actress[0] at[0] the[0] 1987[0] academy[0] awards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's right , best actress . 	that's right , best actress .	2	-1	 that's[0] right[0] best[1] actress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you know that any action film that has an oscar nomination attached to it for something other than technical stuff like editing and f/x has got to be good . 	you know that any action film that has an oscar nomination attached to it for something other than technical stuff like editing and f/x has got to be good .	2	-1	 you[0] know[0] that[0] any[0] action[0] film[0] that[0] has[0] an[0] oscar[0] nomination[0] attached[0] to[0] it[0] for[0] something[0] other[0] than[0] technical[0] stuff[0] like[1] editing[0] and[0] f/x[0] has[0] got[0] to[0] be[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in short , aliens combines all the right elements ( great action and f/x , drama , a good plot , good dialogue , and great villains ) into what could arguably be called the best action film of all time . 	in short , aliens combines all the right elements ( great action and f/x , drama , a good plot , good dialogue , and great villains ) into what could arguably be called the best action film of all time .	3	-3	 in[0] short[0] aliens[0] combines[0] all[0] the[0] right[0] elements[0] great[2] action[0] and[0] f/x[0] drama[0] a[0] good[1] plot[0] good[1] dialogue[0] and[0] great[2] villains[-2] into[0] what[0] could[0] arguably[-1][--1 LastWordBoosterStrength] be[0] called[0] the[0] best[1] action[0] film[0] of[0] all[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then again , maybe not . 	then again , maybe not .	1	-1	 then[0] again[0] maybe[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movies rise and fall from glory and , sad to say , aliens was wrestled from it's throne of best action movie by another cameron film , t2 : judgement day , in 1991 . 	movies rise and fall from glory and , sad to say , aliens was wrestled from it's throne of best action movie by another cameron film , t2 : judgement day , in 1991 .	2	-4	 movies[0] rise[0] and[0] fall[0] from[0] glory[1] and[0] sad[-3] to[0] say[0] aliens[0] was[0] wrestled[0] from[0] it's[0] throne[0] of[0] best[1] action[0] movie[0] by[0] another[0] cameron[0] film[0] t2[0] judgement[0] day[0] in[0] 1991[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so who will be the next king ? 	so who will be the next king ?	1	-1	 so[0] who[0] will[0] be[0] the[0] next[0] king[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , let's wait until december 19th and see yet another james cameron film-the highest budgeted film of all time-titanic to make that decision . 	well , let's wait until december 19th and see yet another james cameron film-the highest budgeted film of all time-titanic to make that decision .	1	-1	 well[0] let's[0] wait[0] until[0] december[0] 19th[0] and[0] see[0] yet[0] another[0] james[0] cameron[0] film[0] the[0] highest[0] budgeted[0] film[0] of[0] all[0] time[0] titanic[0] to[0] make[0] that[0] decision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't wait . 	i can't wait .	1	-1	 i[0] can't[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
