i like movies with albert brooks , and i really like movies directed and written by albert brooks . 	Translation	Positive	Negative	EmotionRationale
after dinner , john witnesses a telephone conversation between jeff and beatrice , and is at the same time amazed and sickened by how hunky-dory the dialog is . 	after dinner , john witnesses a telephone conversation between jeff and beatrice , and is at the same time amazed and sickened by how hunky-dory the dialog is .	3	-4	 after[0] dinner[0] john[0] witnesses[0] a[0] telephone[0] conversation[0] between[0] jeff[0] and[0] beatrice[0] and[0] is[0] at[0] the[0] same[0] time[0] amazed[2] and[0] sickened[-3] by[0] how[0] hunky[0] dory[0] the[0] dialog[0] is[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in comparison , beatrice always hints at a fault in john and his career every time she talks with him , and john gives it right back to her . 	in comparison , beatrice always hints at a fault in john and his career every time she talks with him , and john gives it right back to her .	1	-2	 in[0] comparison[0] beatrice[0] always[0] hints[0] at[0] a[0] fault[-1] in[0] john[0] and[0] his[0] career[0] every[0] time[0] she[0] talks[0] with[0] him[0] and[0] john[0] gives[0] it[0] right[0] back[0] to[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the end of one of their conversations where beatrice has just picked apart john's life , she says , " i love you , " and john replies with , " i know you think you do . " 	at the end of one of their conversations where beatrice has just picked apart john's life , she says , " i love you , " and john replies with , " i know you think you do .<br> "	3	-1	 at[0] the[0] end[0] of[0] one[0] of[0] their[0] conversations[0] where[0] beatrice[0] has[0] just[0] picked[0] apart[0] john's[0] life[0] she[0] says[0] i[0] love[2] you[0] and[0] john[0] replies[0] with[0] i[0] know[0] you[0] think[0] you[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the thing is , beatrice is not overt with her criticisms , but instead gives them in that mothering way which is tantamount to nit-picking and guilt loading . 	the thing is , beatrice is not overt with her criticisms , but instead gives them in that mothering way which is tantamount to nit-picking and guilt loading .	1	-4	 the[0] thing[0] is[0] beatrice[0] is[0] not[0] overt[0] with[0] her[0] criticisms[-1] but[0] instead[0] gives[0] them[0] in[0] that[0] mothering[0] way[0] which[0] is[0] tantamount[0] to[0] nit[0] picking[0] and[0] guilt[-3] loading[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's the kind that goes something like , " yes , dear , i think you do that wonderfully , but . . . . " 	it's the kind that goes something like , " yes , dear , i think you do that wonderfully , but .<br> .<br> .<br> .<br> "	3	-1	 it's[0] the[0] kind[1] that[0] goes[0] something[0] like[1] yes[0] dear[1] i[0] think[0] you[0] do[0] that[0] wonderfully[2] but[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it seems as though nothing he does makes her happy . 	it seems as though nothing he does makes her happy .	2	-1	 it[0] seems[0] as[0] though[0] nothing[0] he[0] does[0] makes[0] her[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's always the big but . 	there's always the big but .	1	-1	 there's[0] always[0] the[0] big[0] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john believes that his mother is somehow connected to his failed relationships with women , either because of his flawed self-esteem caused by his need for validation , or perhaps because he tends to unconsciously seek out women who remind him of his mother in an oedipal manner . 	john believes that his mother is somehow connected to his failed relationships with women , either because of his flawed self-esteem caused by his need for validation , or perhaps because he tends to unconsciously seek out women who remind him of his mother in an oedipal manner .	1	-3	 john[0] believes[0] that[0] his[0] mother[0] is[0] somehow[0] connected[0] to[0] his[0] failed[-2] relationships[0] with[0] women[0] either[0] because[0] of[0] his[0] flawed[0] self[0] esteem[0] caused[0] by[0] his[0] need[0] for[0] validation[0] or[0] perhaps[0] because[0] he[0] tends[0] to[0] unconsciously[0] seek[0] out[0] women[0] who[0] remind[0] him[0] of[0] his[0] mother[0] in[0] an[0] oedipal[0] manner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he comes to the conclusion that since his problems are rooted in his boyhood home , he should move back in with his mother for a while just to see what kinds of feelings come out , and by that be able to sort out why his life is the way it is . 	he comes to the conclusion that since his problems are rooted in his boyhood home , he should move back in with his mother for a while just to see what kinds of feelings come out , and by that be able to sort out why his life is the way it is .	1	-2	 he[0] comes[0] to[0] the[0] conclusion[0] that[0] since[0] his[0] problems[-1] are[0] rooted[0] in[0] his[0] boyhood[0] home[0] he[0] should[0] move[0] back[0] in[0] with[0] his[0] mother[0] for[0] a[0] while[0] just[0] to[0] see[0] what[0] kinds[0] of[0] feelings[0] come[0] out[0] and[0] by[0] that[0] be[0] able[0] to[0] sort[0] out[0] why[0] his[0] life[0] is[0] the[0] way[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " a great experiment " , he calls it . 	 " a great experiment " , he calls it .	3	-1	 a[0] great[2] experiment[0] he[0] calls[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
brooks' own brand of humor really shines in this film , especially in the interaction john has with his mother . 	brooks' own brand of humor really shines in this film , especially in the interaction john has with his mother .	3	-1	 brooks'[0] own[0] brand[0] of[0] humor[2] really[0] shines[0] in[0] this[0] film[0] especially[0] in[0] the[0] interaction[0] john[0] has[0] with[0] his[0] mother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a scene where john has just arrived at his mother's house , and after having driven from los angeles to sausalito , and having explained to his mother about the " great experiment " , beatrice asks , " now explain to me again why you don't want to stay at a hotel . " 	there's a scene where john has just arrived at his mother's house , and after having driven from los angeles to sausalito , and having explained to his mother about the " great experiment " , beatrice asks , " now explain to me again why you don't want to stay at a hotel .<br> "	3	-1	 there's[0] a[0] scene[0] where[0] john[0] has[0] just[0] arrived[0] at[0] his[0] mother's[0] house[0] and[0] after[0] having[0] driven[0] from[0] los[0] angeles[0] to[0] sausalito[0] and[0] having[0] explained[0] to[0] his[0] mother[0] about[0] the[0] great[2] experiment[0] beatrice[0] asks[0] now[0] explain[0] to[0] me[0] again[0] why[0] you[0] don't[0] want[0] to[0] stay[0] at[0] a[0] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she still doesn't get it , and it is absolutely hilarious . 	she still doesn't get it , and it is absolutely hilarious .	4	-1	 she[0] still[0] doesn't[0] get[0] it[0] and[0] it[0] is[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in the same scene , we get little glances at the life his mother leads when she tries to feed him food that is no longer fresh . 	in the same scene , we get little glances at the life his mother leads when she tries to feed him food that is no longer fresh .	1	-1	 in[0] the[0] same[0] scene[0] we[0] get[0] little[0] glances[0] at[0] the[0] life[0] his[0] mother[0] leads[0] when[0] she[0] tries[0] to[0] feed[0] him[0] food[0] that[0] is[0] no[0] longer[0] fresh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she apparently buys in great quantities and refrigerates it until the lettuce is wilted and the sherbet is iced over . 	she apparently buys in great quantities and refrigerates it until the lettuce is wilted and the sherbet is iced over .	3	-1	 she[0] apparently[0] buys[0] in[0] great[2] quantities[0] and[0] refrigerates[0] it[0] until[0] the[0] lettuce[0] is[0] wilted[0] and[0] the[0] sherbet[0] is[0] iced[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when john points out the ice on the sherbet , beatrice tells him not to worry about the protective glaze . 	when john points out the ice on the sherbet , beatrice tells him not to worry about the protective glaze .	4	-1	 when[0] john[0] points[0] out[0] the[0] ice[0] on[0] the[0] sherbet[0] beatrice[0] tells[0] him[0] not[0] to[0] worry[-3][NegatedDueToPreviousWord] about[0] the[0] protective[0] glaze[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " you've named the ice ? " 	 " you've named the ice ?<br> "	1	-1	 you've[0] named[0] the[0] ice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
asks john . 	asks john .	1	-1	 asks[0] john[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's also surprised at the variety of items beatrice keeps in the refrigerator , such as a twenty-pound block of cheese . 	he's also surprised at the variety of items beatrice keeps in the refrigerator , such as a twenty-pound block of cheese .	1	-2	 he's[0] also[0] surprised[0] at[0] the[0] variety[0] of[0] items[0] beatrice[0] keeps[0] in[0] the[0] refrigerator[0] such[0] as[0] a[0] twenty[0] pound[0] block[-1] of[0] cheese[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the freezer was a good invention , " says john , " but it's not supposed to be used for everything . 	 " the freezer was a good invention , " says john , " but it's not supposed to be used for everything .	2	-1	 the[0] freezer[0] was[0] a[0] good[1] invention[0] says[0] john[0] but[0] it's[0] not[0] supposed[0] to[0] be[0] used[0] for[0] everything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's why it's smaller than the refrigerator . " 	that's why it's smaller than the refrigerator .<br> "	1	-1	 that's[0] why[0] it's[0] smaller[0] than[0] the[0] refrigerator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's something most of us find strangely familiar . 	it's something most of us find strangely familiar .	1	-1	 it's[0] something[0] most[0] of[0] us[0] find[0] strangely[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brooks is also a master at employing the non sequitur . 	brooks is also a master at employing the non sequitur .	1	-1	 brooks[0] is[0] also[0] a[0] master[0] at[0] employing[0] the[0] non[0] sequitur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , in defending your life , his and meryl streep's characters are in a comedy club having a discussion . 	for example , in defending your life , his and meryl streep's characters are in a comedy club having a discussion .	1	-1	 for[0] example[0] in[0] defending[0] your[0] life[0] his[0] and[0] meryl[0] streep's[0] characters[0] are[0] in[0] a[0] comedy[0] club[0] having[0] a[0] discussion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they're finished and walk out , brooks cuts to the comic on stage who is just at the point of delivering his punch line , " and so the moral is , if you have to fart , go outside ! " 	when they're finished and walk out , brooks cuts to the comic on stage who is just at the point of delivering his punch line , " and so the moral is , if you have to fart , go outside !<br> "	1	-2	 when[0] they're[0] finished[0] and[0] walk[0] out[0] brooks[0] cuts[0] to[0] the[0] comic[0] on[0] stage[0] who[0] is[0] just[0] at[0] the[0] point[0] of[0] delivering[0] his[0] punch[-1] line[0] and[0] so[0] the[0] moral[0] is[0] if[0] you[0] have[0] to[0] fart[0] go[0] outside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you don't know what the joke was because you couldn't hear him during the entire scene , but i must have laughed for the next five minutes , it seemed so out of context . 	you don't know what the joke was because you couldn't hear him during the entire scene , but i must have laughed for the next five minutes , it seemed so out of context .	2	-1	 you[0] don't[0] know[0] what[0] the[0] joke[1] was[0] because[0] you[0] couldn't[0] hear[0] him[0] during[0] the[0] entire[0] scene[0] but[0] i[0] must[0] have[0] laughed[1] for[0] the[0] next[0] five[0] minutes[0] it[0] seemed[0] so[0] out[0] of[0] context[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in this film , brooks uses the same trick a couple of times to open or close a scene . 	in this film , brooks uses the same trick a couple of times to open or close a scene .	1	-2	 in[0] this[0] film[0] brooks[0] uses[0] the[0] same[0] trick[-1] a[0] couple[0] of[0] times[0] to[0] open[0] or[0] close[0] a[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't want to give them away , but suffice it to say they work just as well as they have in the past . 	i don't want to give them away , but suffice it to say they work just as well as they have in the past .	1	-1	 i[0] don't[0] want[0] to[0] give[0] them[0] away[0] but[0] suffice[0] it[0] to[0] say[0] they[0] work[0] just[0] as[0] well[0] as[0] they[0] have[0] in[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john's purpose for staying with his mother is to learn , and we as the audience learn right along with him . 	john's purpose for staying with his mother is to learn , and we as the audience learn right along with him .	1	-1	 john's[0] purpose[0] for[0] staying[0] with[0] his[0] mother[0] is[0] to[0] learn[0] and[0] we[0] as[0] the[0] audience[0] learn[0] right[0] along[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his mother is not the fascinating type to begin with , but as john spends more time with her , we learn things about her personality and her lifestyle that give her depth . 	his mother is not the fascinating type to begin with , but as john spends more time with her , we learn things about her personality and her lifestyle that give her depth .	1	-1	 his[0] mother[0] is[0] not[0] the[0] fascinating[0] type[0] to[0] begin[0] with[0] but[0] as[0] john[0] spends[0] more[0] time[0] with[0] her[0] we[0] learn[0] things[0] about[0] her[0] personality[0] and[0] her[0] lifestyle[0] that[0] give[0] her[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the character of beatrice unfold is every bit as enjoyable as the humor that accompanies it each step of the way . 	watching the character of beatrice unfold is every bit as enjoyable as the humor that accompanies it each step of the way .	3	-1	 watching[0] the[0] character[0] of[0] beatrice[0] unfold[0] is[0] every[0] bit[0] as[0] enjoyable[2] as[0] the[0] humor[2] that[0] accompanies[0] it[0] each[0] step[0] of[0] the[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on screen , brooks does an excellent job playing this kind of character : you get the feeling he often believes he is the only sane person in an insane world . 	on screen , brooks does an excellent job playing this kind of character : you get the feeling he often believes he is the only sane person in an insane world .	4	-2	 on[0] screen[0] brooks[0] does[0] an[0] excellent[3] job[0] playing[1] this[0] kind[1] of[0] character[0] you[0] get[0] the[0] feeling[0] he[0] often[0] believes[0] he[0] is[0] the[0] only[0] sane[0] person[0] in[0] an[0] insane[-1] world[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in a way , he's very much like yosarian of catch-22 , expect with something of an attitude . 	in a way , he's very much like yosarian of catch-22 , expect with something of an attitude .	2	-1	 in[0] a[0] way[0] he's[0] very[0] much[0] like[1] yosarian[0] of[0] catch[0] -22[0] expect[0] with[0] something[0] of[0] an[0] attitude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
casting debbie reynolds as beatrice is perfect . 	casting debbie reynolds as beatrice is perfect .	2	-1	 casting[0] debbie[0] reynolds[0] as[0] beatrice[0] is[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she assumes the part with ease , even moving and speaking a little slowly , and is just so adorable it's hard to get mad at her character . 	she assumes the part with ease , even moving and speaking a little slowly , and is just so adorable it's hard to get mad at her character .	4	-2	 she[0] assumes[0] the[0] part[0] with[0] ease[0] even[0] moving[0] and[0] speaking[0] a[0] little[0] slowly[0] and[0] is[0] just[0] so[0] adorable[3] it's[0] hard[0] to[0] get[0] mad[-1] at[0] her[0] character[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this only helps the audience to share the frustration john feels when dealing with her . 	this only helps the audience to share the frustration john feels when dealing with her .	1	-3	 this[0] only[0] helps[0] the[0] audience[0] to[0] share[0] the[0] frustration[-2] john[0] feels[0] when[0] dealing[0] with[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as his first choice , brooks originally wanted to lure nancy reagan out from her acting retirement to play beatrice , but the former actress and first lady could not leave her husband , who was beginning to show symptoms of alzheimer's disease . 	as his first choice , brooks originally wanted to lure nancy reagan out from her acting retirement to play beatrice , but the former actress and first lady could not leave her husband , who was beginning to show symptoms of alzheimer's disease .	1	-3	 as[0] his[0] first[0] choice[0] brooks[0] originally[0] wanted[0] to[0] lure[-1] nancy[0] reagan[0] out[0] from[0] her[0] acting[0] retirement[-1] to[0] play[0] beatrice[0] but[0] the[0] former[0] actress[0] and[0] first[0] lady[0] could[0] not[0] leave[0] her[0] husband[0] who[0] was[0] beginning[0] to[0] show[0] symptoms[-1] of[0] alzheimer's[0] disease[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that may be just as well , since reynolds lends a softness to the character which enhances it immensely . 	that may be just as well , since reynolds lends a softness to the character which enhances it immensely .	1	-1	 that[0] may[0] be[0] just[0] as[0] well[0] since[0] reynolds[0] lends[0] a[0] softness[0] to[0] the[0] character[0] which[0] enhances[0] it[0] immensely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rob morrow also does a good job at playing the younger brother who has always been mother's favorite and , for all his success in his job and family , is slowly exposed as a mama's boy . 	rob morrow also does a good job at playing the younger brother who has always been mother's favorite and , for all his success in his job and family , is slowly exposed as a mama's boy .	3	-2	 rob[0] morrow[0] also[0] does[0] a[0] good[1] job[0] at[0] playing[1] the[0] younger[0] brother[0] who[0] has[0] always[0] been[0] mother's[0] favorite[1] and[0] for[0] all[0] his[0] success[2] in[0] his[0] job[0] and[0] family[0] is[0] slowly[0] exposed[-1] as[0] a[0] mama's[0] boy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the only things that hold this movie back from being better are a couple of plot holes . 	the only things that hold this movie back from being better are a couple of plot holes .	1	-1	 the[0] only[0] things[0] that[0] hold[0] this[0] movie[0] back[0] from[0] being[0] better[0] are[0] a[0] couple[0] of[0] plot[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a solid connection is not really made between john's troubles and his reasons for living with his mother . 	a solid connection is not really made between john's troubles and his reasons for living with his mother .	1	-2	 a[0] solid[0] connection[0] is[0] not[0] really[0] made[0] between[0] john's[0] troubles[-1] and[0] his[0] reasons[0] for[0] living[0] with[0] his[0] mother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
additionally , the end results of the experiment do not necessarily jibe with the stated goals , and although this may have been sloppy screenwriting , how can you be mad at the guy who also wrote this ? : 	additionally , the end results of the experiment do not necessarily jibe with the stated goals , and although this may have been sloppy screenwriting , how can you be mad at the guy who also wrote this ?<br> :	1	-2	 additionally[0] the[0] end[0] results[0] of[0] the[0] experiment[0] do[0] not[0] necessarily[0] jibe[0] with[0] the[0] stated[0] goals[0] and[0] although[0] this[0] may[0] have[0] been[0] sloppy[-1] screenwriting[0] how[0] can[0] you[0] be[0] mad[-1] at[0] the[0] guy[0] who[0] also[0] wrote[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
beatrice : you must think i'm some kind of moron . 	beatrice : you must think i'm some kind of moron .	1	-3	 beatrice[0] you[0] must[0] think[0] i'm[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] moron[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john : no , i think your someone who thinks i'm a moron . 	john : no , i think your someone who thinks i'm a moron .	1	-3	 john[0] no[0] i[0] think[0] your[0] someone[0] who[0] thinks[0] i'm[0] a[0] moron[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
beatrice : well , it takes one to know one . 	beatrice : well , it takes one to know one .	1	-1	 beatrice[0] well[0] it[0] takes[0] one[0] to[0] know[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
