the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
and , of course , he can't rest worth for a moment because the mobster's goons are always needing the shrink for something , be it a quick consultation or dream analyzation . 	and , of course , he can't rest worth for a moment because the mobster's goons are always needing the shrink for something , be it a quick consultation or dream analyzation .	1	-1	 and[0] of[0] course[0] he[0] can't[0] rest[0] worth[0] for[0] a[0] moment[0] because[0] the[0] mobster's[0] goons[0] are[0] always[0] needing[0] the[0] shrink[0] for[0] something[0] be[0] it[0] a[0] quick[0] consultation[0] or[0] dream[0] analyzation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , the movie is played out for plenty of laughs . 	fortunately , the movie is played out for plenty of laughs .	2	-1	 fortunately[0] the[0] movie[0] is[0] played[0] out[0] for[0] plenty[0] of[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director harold ramis ( who also helmed the comedy multiplicity , which wasn't half bad ) keeps the tone peppy and light , even if it's sometimes sprinkled by slight dramatic moments ( shootings can't always be taken for laughs , you know ) . 	director harold ramis ( who also helmed the comedy multiplicity , which wasn't half bad ) keeps the tone peppy and light , even if it's sometimes sprinkled by slight dramatic moments ( shootings can't always be taken for laughs , you know ) .	2	-2	 director[0] harold[0] ramis[0] who[0] also[0] helmed[0] the[0] comedy[0] multiplicity[0] which[0] wasn't[0] half[0] bad[-1] keeps[0] the[0] tone[0] peppy[0] and[0] light[0] even[0] if[0] it's[0] sometimes[0] sprinkled[0] by[0] slight[0] dramatic[0] moments[0] shootings[-1] can't[0] always[0] be[0] taken[0] for[0] laughs[1] you[0] know[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
deniro does some of his finest comic work since the king of comedy , giving off a somewhat similar performance to his role in goodfellas , but with a bit of a lighter heart . 	deniro does some of his finest comic work since the king of comedy , giving off a somewhat similar performance to his role in goodfellas , but with a bit of a lighter heart .	1	-1	 deniro[0] does[0] some[0] of[0] his[0] finest[0] comic[0] work[0] since[0] the[0] king[0] of[0] comedy[0] giving[0] off[0] a[0] somewhat[0] similar[0] performance[0] to[0] his[0] role[0] in[0] goodfellas[0] but[0] with[0] a[0] bit[0] of[0] a[0] lighter[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( a scene where he tries to display his anger over the phone and fails miserably is hilarious . ) 	 ( a scene where he tries to display his anger over the phone and fails miserably is hilarious .<br> )	3	-4	 a[0] scene[0] where[0] he[0] tries[0] to[0] display[0] his[0] anger[-3] over[0] the[0] phone[0] and[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] is[0] hilarious[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
crystal plays an excellent straight man to deniro's character , uplifting him from such bombs as father's day and my giant . 	crystal plays an excellent straight man to deniro's character , uplifting him from such bombs as father's day and my giant .	4	-2	 crystal[0] plays[1] an[0] excellent[3] straight[0] man[0] to[0] deniro's[0] character[0] uplifting[0] him[0] from[0] such[0] bombs[-1] as[0] father's[0] day[0] and[0] my[0] giant[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
kudrow is also a hoot as crystal's wife-to-be , who's on the verge of a breakdown thanks to deniro's presence . 	kudrow is also a hoot as crystal's wife-to-be , who's on the verge of a breakdown thanks to deniro's presence .	2	-2	 kudrow[0] is[0] also[0] a[0] hoot[0] as[0] crystal's[0] wife[0] to[0] be[0] who's[0] on[0] the[0] verge[0] of[0] a[0] breakdown[-1] thanks[1] to[0] deniro's[0] presence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is the movie perfect ? 	is the movie perfect ?	2	-1	 is[0] the[0] movie[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not really , thanks to a simplistic ending and some slightly wasted moments with a character portrayed by chazz palminteri ( he's a comic actor , too , come on , give him some more ! ) , but it is an enjoyable romp that lets deniro do something different but same for a change , taking his dramatic act to a new field of comedy . 	not really , thanks to a simplistic ending and some slightly wasted moments with a character portrayed by chaz palminteri ( he's a comic actor , too , come on , give him some more !<br> ) , but it is an enjoyable romp that lets deniro do something different but same for a change , taking his dramatic act to a new field of comedy .	3	-3	 not[0] really[0] thanks[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] a[0] simplistic[-1] ending[0] and[0] some[0] slightly[0] wasted[-1][--1 LastWordBoosterStrength] moments[0] with[0] a[0] character[0] portrayed[0] by[0] chazz/chaz[0] palminteri[0] he's[0] a[0] comic[0] actor[0] too[0] come[0] on[0] give[0] him[0] some[0] more[0] [[Sentence=-3,1=word max, 1-5]] but[0] it[0] is[0] an[0] enjoyable[2] romp[0] that[0] lets[0] deniro[0] do[0] something[0] different[0] but[0] same[0] for[0] a[0] change[0] taking[0] his[0] dramatic[0] act[0] to[0] a[0] new[0] field[0] of[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
kudos to crystal and kudrow for not just making it his show , either . 	kudos to crystal and kudrow for not just making it his show , either .	1	-1	 kudos[0] to[0] crystal[0] and[0] kudrow[0] for[0] not[0] just[0] making[0] it[0] his[0] show[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
line of the movie : crystal : " when you said you needed family therapy , this is not the family i had in mind ! " 	line of the movie : crystal : " when you said you needed family therapy , this is not the family i had in mind !<br> "	1	-1	 line[0] of[0] the[0] movie[0] crystal[0] when[0] you[0] said[0] you[0] needed[0] family[0] therapy[0] this[0] is[0] not[0] the[0] family[0] i[0] had[0] in[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
