directed by : pixote hunt , hendel butoy , eric goldberg , james algar , francis glebas , gaetan & paul brizzi conducted by : james levine composed by : ludwig van beethoven , ottorino respighi , george gershwin , dmitri shostakovich , camille saint-saens , paul dukas , sir edward elgar , igor stravinsky rated : g scripture references : 1 samuel 16 : 23 , ephesians 5 : 19 , 1 chronicles 15 : 15-16 	Translation	Positive	Negative	EmotionRationale
fantasia 2000 is being released exclusively in the giant-screened imax theaters , making for a unique viewing experience . 	fantasia 200 is being released exclusively in the giant-screened imax theaters , making for a unique viewing experience .	1	-1	 fantasia[0] 2000/200[0] is[0] being[0] released[0] exclusively[0] in[0] the[0] giant[0] screened[0] imax[0] theaters[0] making[0] for[0] a[0] unique[0] viewing[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is enough variety in the program to provide something enjoyable for everyone and surely , people will exit the theaters with their own personal favorites . 	there is enough variety in the program to provide something enjoyable for everyone and surely , people will exit the theaters with their own personal favorites .	3	-2	 there[0] is[0] enough[0] variety[0] in[0] the[0] program[0] to[0] provide[0] something[0] enjoyable[2] for[0] everyone[0] and[0] surely[0] people[0] will[0] exit[-1] the[0] theaters[0] with[0] their[0] own[0] personal[0] favorites[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for me , that would have to be the jazz age story of four unconnected and discontented people living in nyc who , unknowingly , help each other realize their dreams . 	for me , that would have to be the jaz age story of four unconnected and discontented people living in nyc who , unknowingly , help each other realize their dreams .	1	-2	 for[0] me[0] that[0] would[0] have[0] to[0] be[0] the[0] jazz/jaz[0] age[0] story[0] of[0] four[0] unconnected[0] and[0] discontented[-1] people[0] living[0] in[0] nyc[0] who[0] unknowingly[0] help[0] each[0] other[0] realize[0] their[0] dreams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drawn in the style of caricaturist al hirschfeld and inspired by george gershwin's rhapsody in blue , the music and images are blended perfectly resulting in a product greater than the sum of its two parts . 	drawn in the style of caricaturist al hirschfeld and inspired by george gershwin's rhapsody in blue , the music and images are blended perfectly resulting in a product greater than the sum of its two parts .	3	-1	 drawn[0] in[0] the[0] style[0] of[0] caricaturist[0] al[0] hirschfeld[0] and[0] inspired[2] by[0] george[0] gershwin's[0] rhapsody[0] in[0] blue[0] the[0] music[0] and[0] images[0] are[0] blended[0] perfectly[1] resulting[0] in[0] a[0] product[0] greater[2] than[0] the[0] sum[0] of[0] its[0] two[0] parts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
children will like the short piece set to carnival of the animals by camille saint-saens . 	children will like the short piece set to carnival of the animals by camille saint-saens .	2	-1	 children[0] will[0] like[1] the[0] short[0] piece[0] set[0] to[0] carnival[0] of[0] the[0] animals[0] by[0] camille[0] saint[0] saens[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , a goofy looking flamingo irritates the rest of the flock with his yo-yo playing antics . 	here , a goofy looking flamingo irritates the rest of the flock with his yo-yo playing antics .	2	-3	 here[0] a[0] goofy[0] looking[0] flamingo[0] irritates[-2] the[0] rest[0] of[0] the[0] flock[0] with[0] his[0] yo[0] yo[0] playing[1] antics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
they will also giggle as donald duck , playing noah's assistant , tries to load the animals into the ark to the familiar strains of pomp and circumstance by sir edward elgar . 	they will also giggle as donald duck , playing noah's assistant , tries to load the animals into the ark to the familiar strains of pomp and circumstance by sir edward elgar .	3	-2	 they[0] will[0] also[0] giggle[2] as[0] donald[0] duck[0] playing[1] noah's[0] assistant[0] tries[0] to[0] load[0] the[0] animals[0] into[0] the[0] ark[0] to[0] the[0] familiar[0] strains[-1] of[0] pomp[0] and[0] circumstance[0] by[0] sir[0] edward[0] elgar[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( while the depiction is not biblically accurate , it is entertaining and might be excuse enough to familiarize ourselves with the true record by reading what is written in genesis 7 . ) 	 ( while the depiction is not biblically accurate , it is entertaining and might be excuse enough to familiarize ourselves with the true record by reading what is written in genesis 7 .<br> )	2	-1	 while[0] the[0] depiction[0] is[0] not[0] biblically[0] accurate[0] it[0] is[0] entertaining[0] and[0] might[0] be[0] excuse[0] enough[0] to[0] familiarize[0] ourselves[0] with[0] the[0] true[1] record[0] by[0] reading[0] what[0] is[0] written[0] in[0] genesis[0] 7[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a positive note is that the studio has avoided any segment which is as perversely dark as nihgt on bald mountain upon which the original film ended . 	a positive note is that the studio has avoided any segment which is as perversely dark as nihgt on bald mountain upon which the original film ended .	3	-2	 a[0] positive[2] note[0] is[0] that[0] the[0] studio[0] has[0] avoided[-1] any[0] segment[0] which[0] is[0] as[0] perversely[-1] dark[0] as[0] nihgt[0] on[0] bald[0] mountain[0] upon[0] which[0] the[0] original[0] film[0] ended[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are some images based upon fantasy such as the flying whales in respighi's pines of rome or images which have their roots in mythology such as the ethereal creatures which tell the story of nature's cycle of life , death , and rebirth in igor stravinsky's firebird suite . 	there are some images based upon fantasy such as the flying whales in respighi's pines of rome or images which have their roots in mythology such as the ethereal creatures which tell the story of nature's cycle of life , death , and rebirth in igor stravinsky's firebird suite .	1	-3	 there[0] are[0] some[0] images[0] based[0] upon[0] fantasy[0] such[0] as[0] the[0] flying[0] whales[0] in[0] respighi's[0] pines[0] of[0] rome[0] or[0] images[0] which[0] have[0] their[0] roots[0] in[0] mythology[0] such[0] as[0] the[0] ethereal[0] creatures[0] which[0] tell[0] the[0] story[0] of[0] nature's[0] cycle[0] of[0] life[0] death[-2] and[0] rebirth[0] in[0] igor[0] stravinsky's[0] firebird[0] suite[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the stories they tell are uplifting , containing nothing too frightening for our younger children . 	but the stories they tell are uplifting , containing nothing too frightening for our younger children .	1	-4	 but[0] the[0] stories[0] they[0] tell[0] are[0] uplifting[0] containing[0] nothing[0] too[0] frightening[-3] for[0] our[0] younger[0] children[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the darkest segment , spiritually speaking , actually belongs to the only holdover from the original fantasia , mickey mouse in the sorcerer's apprentice by paul dukas . 	the darkest segment , spiritually speaking , actually belongs to the only holdover from the original fantasia , mickey mouse in the sorcerer's apprentice by paul dukas .	1	-1	 the[0] darkest[0] segment[0] spiritually[0] speaking[0] actually[0] belongs[0] to[0] the[0] only[0] holdover[0] from[0] the[0] original[0] fantasia[0] mickey[0] mouse[0] in[0] the[0] sorcerer's[0] apprentice[0] by[0] paul[0] dukas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but overall , the emotions evoked from fantasia 2000 are positive ones , being full of hope and promise . 	but overall , the emotions evoked from fantasia 200 are positive ones , being full of hope and promise .	3	-1	 but[0] overall[0] the[0] emotions[0] evoked[0] from[0] fantasia[0] 2000/200[0] are[0] positive[2] ones[0] being[0] full[0] of[0] hope[2] and[0] promise[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
music has an impact which can be undeniably felt , capable of leading the listener to emotional peaks and inspirational highs simply not attainable through other mediums . 	music has an impact which can be undeniably felt , capable of leading the listener to emotional peaks and inspirational highs simply not attainable through other mediums .	3	-2	 music[0] has[0] an[0] impact[0] which[0] can[0] be[0] undeniably[0] felt[0] capable[0] of[0] leading[0] the[0] listener[0] to[0] emotional[-1] peaks[0] and[0] inspirational[2] highs[0] simply[0] not[0] attainable[0] through[0] other[0] mediums[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is no wonder that the levites , as the priestly tribe of the old testament , were also the appointed musicians . 	it is no wonder that the levites , as the priestly tribe of the old testament , were also the appointed musicians .	1	-1	 it[0] is[0] no[0] wonder[0] that[0] the[0] levites[0] as[0] the[0] priestly[0] tribe[0] of[0] the[0] old[0] testament[0] were[0] also[0] the[0] appointed[0] musicians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if fantasia 2000 is able to introduce a new audience to music which inspires and exalts , it will have done an incredible service . 	if fantasia 200 is able to introduce a new audience to music which inspires and exalts , it will have done an incredible service .	3	-1	 if[0] fantasia[0] 2000/200[0] is[0] able[0] to[0] introduce[0] a[0] new[0] audience[0] to[0] music[0] which[0] inspires[2] and[0] exalts[0] it[0] will[0] have[0] done[0] an[0] incredible[0] service[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
