dreamworks pictures presents a jinks/ cohen company production kevin spacey annette bening " american beauty " thora birch allison janney peter gallagher mena suvari wes bentley and chris cooper co-producers stan wlodkowski alan ball music by thomas newman costume designer julie weiss film editor tariq anway chris greenbury production designer naomi shohan director of photography conrad l . hall , a . s . c . 	Translation	Positive	Negative	EmotionRationale
a young girl going through the typical stages of adolescence , but having to also come to terms with her families growing dysfunction . 	a young girl going through the typical stages of adolescence , but having to also come to terms with her families growing dysfunction .	1	-1	 a[0] young[0] girl[0] going[0] through[0] the[0] typical[0] stages[0] of[0] adolescence[0] but[0] having[0] to[0] also[0] come[0] to[0] terms[0] with[0] her[0] families[0] growing[0] dysfunction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this funny ( and frightening ) slice of life is refreshingly simple . 	this funny ( and frightening ) slice of life is refreshingly simple .	2	-4	 this[0] funny[1] and[0] frightening[-3] slice[0] of[0] life[0] is[0] refreshingly[0] simple[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not one character is given less than is needed to identify him or her . 	not one character is given less than is needed to identify him or her .	1	-1	 not[0] one[0] character[0] is[0] given[0] less[0] than[0] is[0] needed[0] to[0] identify[0] him[0] or[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the most telling characters are those that serve to highlight other characters . 	some of the most telling characters are those that serve to highlight other characters .	1	-1	 some[0] of[0] the[0] most[0] telling[0] characters[0] are[0] those[0] that[0] serve[0] to[0] highlight[0] other[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most notably is barbara fitts ( allison janney ) , the almost catatonic wife of retired marine colonel fitts . 	most notably is barbara fits ( allison janney ) , the almost catatonic wife of retired marine colonel fits .	1	-2	 most[0] notably[0] is[0] barbara[0] fitts/fits[0] allison[0] janney[0] the[0] almost[0] catatonic[0] wife[0] of[0] retired[-1] marine[0] colonel[0] fitts/fits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she has almost no dialogue , and seems to be either recovering from a stroke or suffering from one . 	she has almost no dialogue , and seems to be either recovering from a stroke or suffering from one .	1	-4	 she[0] has[0] almost[0] no[0] dialogue[0] and[0] seems[0] to[0] be[0] either[0] recovering[0] from[0] a[0] stroke[0] or[0] suffering[-3] from[0] one[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
colonel fitts ( chris cooper ) is an angry and frightened man . 	colonel fits ( chris cooper ) is an angry and frightened man .	1	-4	 colonel[0] fitts/fits[0] chris[0] cooper[0] is[0] an[0] angry[-3] and[0] frightened[-3] man[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his rage directed almost singularly at his son , ricky ( wes bentley ) who has just moved with his family to the same neighborhood as the burnham's . 	his rage directed almost singularly at his son , ricky ( wes bentley ) who has just moved with his family to the same neighborhood as the burnham's .	1	-4	 his[0] rage[-3] directed[0] almost[0] singularly[0] at[0] his[0] son[0] ricky[0] wes[0] bentley[0] who[0] has[0] just[0] moved[0] with[0] his[0] family[0] to[0] the[0] same[0] neighborhood[0] as[0] the[0] burnham's[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact they are the next door neighbors . 	in fact they are the next door neighbors .	1	-1	 in[0] fact[0] they[0] are[0] the[0] next[0] door[0] neighbors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anymore detail into the personalities of these marvelously diverse characters would deprive one of the many pleasures and surprises to be had in " american beauty " . 	anymore detail into the personalities of these marvelously diverse characters would deprive one of the many pleasures and surprises to be had in " american beauty " .	3	-1	 anymore[0] detail[0] into[0] the[0] personalities[0] of[0] these[0] marvelously[0] diverse[0] characters[0] would[0] deprive[-1][--1 LastWordBoosterStrength] one[0] of[0] the[0] many[0] pleasures[2] and[0] surprises[0] to[0] be[0] had[0] in[0] american[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alan ball , who was the co-executive producer of the hit tv series " cybil " and creator of the new sitcom " oh grow up " , has fashioned one of the most insightful and expertly tuned screenplays to have hit the screen in the past ten years . 	alan ball , who was the co-executive producer of the hit tv series " cybil " and creator of the new sitcom " oh grow up " , has fashioned one of the most insightful and expertly tuned screenplays to have hit the screen in the past ten years .	1	-1	 alan[0] ball[0] who[0] was[0] the[0] co[0] executive[0] producer[0] of[0] the[0] hit[0] tv[0] series[0] cybil[0] and[0] creator[0] of[0] the[0] new[0] sitcom[0] oh[0] grow[0] up[0] has[0] fashioned[0] one[0] of[0] the[0] most[0] insightful[0] and[0] expertly[0] tuned[0] screenplays[0] to[0] have[0] hit[0] the[0] screen[0] in[0] the[0] past[0] ten[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not one character in this film rings falsely . 	not one character in this film rings falsely .	1	-1	 not[0] one[0] character[0] in[0] this[0] film[0] rings[0] falsely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the depth of personality in each , is achingly honest and insightful . 	and the depth of personality in each , is achingly honest and insightful .	1	-1	 and[0] the[0] depth[0] of[0] personality[0] in[0] each[0] is[0] achingly[0] honest[0] and[0] insightful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot detailing the last year in the life of a man as he tries to find his own self worth is so resoundingly cliched and at the same time original as to bring to mind such marvelous film work as " the graduate " or " lolita " . 	the plot detailing the last year in the life of a man as he tries to find his own self worth is so resoundingly cliched and at the same time original as to bring to mind such marvelous film work as " the graduate " or " lolita " .	1	-1	 the[0] plot[0] detailing[0] the[0] last[0] year[0] in[0] the[0] life[0] of[0] a[0] man[0] as[0] he[0] tries[0] to[0] find[0] his[0] own[0] self[0] worth[0] is[0] so[0] resoundingly[0] cliched[0] and[0] at[0] the[0] same[0] time[0] original[0] as[0] to[0] bring[0] to[0] mind[0] such[0] marvelous[0] film[0] work[0] as[0] the[0] graduate[0] or[0] lolita[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin spacey turns in one of this years most pragmatic performances . 	kevin spacey turns in one of this years most pragmatic performances .	1	-1	 kevin[0] spacey[0] turns[0] in[0] one[0] of[0] this[0] years[0] most[0] pragmatic[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his lester burnham is an everyman caught up in the middle of a life that is spiraling into old age . 	his lester burnham is an everyman caught up in the middle of a life that is spiraling into old age .	1	-2	 his[0] lester[0] burnham[-1] is[0] an[0] everyman[0] caught[0] up[0] in[0] the[0] middle[0] of[0] a[0] life[0] that[0] is[0] spiraling[0] into[0] old[0] age[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally unable to deal with the lost soul that he has become , lester tries to return to his youth . 	finally unable to deal with the lost soul that he has become , lester tries to return to his youth .	1	-1	 finally[0] unable[0] to[0] deal[0] with[0] the[0] lost[0] soul[0] that[0] he[0] has[0] become[0] lester[0] tries[0] to[0] return[0] to[0] his[0] youth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he quits his job ( actually blackmailing his employer for one year's salary ) , starts smoking pot , fantasizes about his daughter's girlfriend angela ( mena suvari , in a marvelous performance here ) , starts working out , and finally takes a job at the local fast food outlet . 	he quits his job ( actually blackmailing his employer for one year's salary ) , starts smoking pot , fantasizes about his daughter's girlfriend angela ( mena suvari , in a marvelous performance here ) , starts working out , and finally takes a job at the local fast food outlet .	1	-3	 he[0] quits[0] his[0] job[0] actually[0] blackmailing[-2] his[0] employer[0] for[0] one[0] year's[0] salary[0] starts[0] smoking[0] pot[0] fantasizes[0] about[0] his[0] daughter's[0] girlfriend[0] angela[0] mena[0] suvari[0] in[0] a[0] marvelous[0] performance[0] here[0] starts[0] working[0] out[0] and[0] finally[0] takes[0] a[0] job[0] at[0] the[0] local[0] fast[0] food[0] outlet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mr . spacey's performance is so remarkably subtle and ingenuous , that we can be certain that come oscar ? time , we can be assured to see him name among the five nominees . 	mr .<br> spacey's performance is so remarkably subtle and ingenuous , that we can be certain that come oscar ?<br> time , we can be assured to see him name among the five nominees .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] spacey's[0] performance[0] is[0] so[0] remarkably[0] subtle[0] and[0] ingenuous[0] that[0] we[0] can[0] be[0] certain[0] that[0] come[0] oscar[0] [[Sentence=-1,1=word max, 1-5]] time[0] we[0] can[0] be[0] assured[0] to[0] see[0] him[0] name[0] among[0] the[0] five[0] nominees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
annette bening also turns in what may be the best performance of her career . 	annette bening also turns in what may be the best performance of her career .	2	-1	 annette[0] bening[0] also[0] turns[0] in[0] what[0] may[0] be[0] the[0] best[1] performance[0] of[0] her[0] career[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carolyn burnham is a woman who has become so insecure as to be caught up in maintaining the facade of normalcy . 	carolyn burnham is a woman who has become so insecure as to be caught up in maintaining the facade of normalcy .	1	-2	 carolyn[0] burnham[-1] is[0] a[0] woman[0] who[0] has[0] become[0] so[0] insecure[-1] as[0] to[0] be[0] caught[0] up[0] in[0] maintaining[0] the[0] facade[0] of[0] normalcy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unable to cope with her growing disillusionment , she forces herself to maintain her demeanor , driving her further and further into desperation , adultery and possibly murder . 	unable to cope with her growing disillusionment , she forces herself to maintain her demeanor , driving her further and further into desperation , adultery and possibly murder .	1	-4	 unable[0] to[0] cope[0] with[0] her[0] growing[0] disillusionment[-1] she[0] forces[0] herself[0] to[0] maintain[0] her[0] demeanor[0] driving[0] her[0] further[0] and[0] further[0] into[0] desperation[-2] adultery[-2][-1 MultiplePositiveWords] and[0] possibly[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ms . bening makes the character of carolyn so compelling as to be identifiable to almost anyone . 	ms .<br> bening makes the character of carolyn so compelling as to be identifiable to almost anyone .	1	-1	 ms[0] [[Sentence=-1,1=word max, 1-5]] bening[0] makes[0] the[0] character[0] of[0] carolyn[0] so[0] compelling[0] as[0] to[0] be[0] identifiable[0] to[0] almost[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the slow and methodical turn from happy home maker to charnel house martha stewart is too frightening to express in words . 	the slow and methodical turn from happy home maker to charnel house martha stewart is too frightening to express in words .	2	-4	 the[0] slow[0] and[0] methodical[0] turn[0] from[0] happy[1] home[0] maker[0] to[0] charnel[0] house[0] martha[0] stewart[0] is[0] too[0] frightening[-3] to[0] express[0] in[0] words[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
thora birch holds her own against the talents cast with her . 	thora birch holds her own against the talents cast with her .	2	-2	 thora[0] birch[0] holds[0] her[0] own[0] against[-1] the[0] talents[1] cast[0] with[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jane burnham is both an innocent girl caught up in what is a dysfunctional family , and a rebellious child ready to abandon them at any moment . 	jane burnham is both an innocent girl caught up in what is a dysfunctional family , and a rebellious child ready to abandon them at any moment .	2	-2	 jane[0] burnham[-1] is[0] both[0] an[0] innocent[1] girl[0] caught[0] up[0] in[0] what[0] is[0] a[0] dysfunctional[0] family[0] and[0] a[0] rebellious[-1] child[0] ready[0] to[0] abandon[-1] them[0] at[0] any[0] moment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her growing distrust and isolation from her family is something that many parents should view as a warning . 	her growing distrust and isolation from her family is something that many parents should view as a warning .	1	-2	 her[0] growing[0] distrust[-1] and[0] isolation[-1] from[0] her[0] family[0] is[0] something[0] that[0] many[0] parents[0] should[0] view[0] as[0] a[0] warning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is the prototypical trophy child . 	she is the prototypical trophy child .	1	-1	 she[0] is[0] the[0] prototypical[0] trophy[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when carolyn praises her daughter after a performance by her cheerleading team ( " i'm so proud of you , honey . 	when carolyn praises her daughter after a performance by her cheerleading team ( " i'm so proud of you , honey .	3	-1	 when[0] carolyn[0] praises[2] her[0] daughter[0] after[0] a[0] performance[0] by[0] her[0] cheerleading[0] team[0] i'm[0] so[0] proud[1] of[0] you[0] honey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you didn't screw up once ! " ) , the bitterness and resentment are palpable . 	you didn't screw up once !<br> " ) , the bitterness and resentment are palpable .	1	-3	 you[0] didn't[0] screw[0] up[0] once[0] [[Sentence=-1,1=word max, 1-5]] the[0] bitterness[-1] and[0] resentment[-2] are[0] palpable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thora birch is a young actress to watch . 	thora birch is a young actress to watch .	1	-1	 thora[0] birch[0] is[0] a[0] young[0] actress[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
praise must also go to chris cooper who brings yet another angry father role to life with depth and resonance . 	praise must also go to chris cooper who brings yet another angry father role to life with depth and resonance .	3	-4	 praise[2] must[0] also[0] go[0] to[0] chris[0] cooper[0] who[0] brings[0] yet[0] another[0] angry[-3] father[0] role[0] to[0] life[0] with[0] depth[0] and[0] resonance[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
colonel finn is a man in complete denial . 	colonel fin is a man in complete denial .	1	-3	 colonel[0] finn/fin[0] is[0] a[0] man[0] in[0] complete[0] denial[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his military upbringing masking a desire he is too repulsed to even comprehend . 	his military upbringing masking a desire he is too repulsed to even comprehend .	1	-1	 his[0] military[0] upbringing[0] masking[0] a[0] desire[0] he[0] is[0] too[0] repulsed[0] to[0] even[0] comprehend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wes bentley as ricky finn is fine as the enigma . 	wes bentley as ricky fin is fine as the enigma .	3	-1	 wes[0] bentley[0] as[0] ricky[0] finn/fin[0] is[0] fine[2] as[0] the[0] enigma[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the boy next door who may be more foe than friend . 	the boy next door who may be more foe than friend .	2	-3	 the[0] boy[0] next[0] door[0] who[0] may[0] be[0] more[0] foe[-2] than[0] friend[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a deceitful and calculating young man , whose voyeuristic proclivities mask a deeper and more profound understanding of life than any of the adults around him . 	a deceitful and calculating young man , whose voyeuristic proclivities mask a deeper and more profound understanding of life than any of the adults around him .	1	-3	 a[0] deceitful[-2] and[0] calculating[0] young[0] man[0] whose[0] voyeuristic[0] proclivities[0] mask[0] a[0] deeper[0] and[0] more[0] profound[0] understanding[0] of[0] life[0] than[0] any[0] of[0] the[0] adults[0] around[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mr . bentley's performance is the one troublesome note in the film . 	mr .<br> bentley's performance is the one troublesome note in the film .	1	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] bentley's[0] performance[0] is[0] the[0] one[0] troublesome[-1] note[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is simply because the character is such a grand and complete liar , that one almost faults the performance for it . 	that is simply because the character is such a grand and complete liar , that one almost faults the performance for it .	2	-4	 that[0] is[0] simply[0] because[0] the[0] character[0] is[0] such[0] a[0] grand[1] and[0] complete[0] liar[-2][-1 LastWordBoosterStrength] that[0] one[0] almost[0] faults[-1] the[0] performance[0] for[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
director sam mendes handles all of the particulars of the cast and the settings with a sure and composed style that is neither intrusive nor subtle . 	director sam mendes handles all of the particulars of the cast and the settings with a sure and composed style that is neither intrusive nor subtle .	1	-1	 director[0] sam[0] mendes[0] handles[0] all[0] of[0] the[0] particulars[0] of[0] the[0] cast[0] and[0] the[0] settings[0] with[0] a[0] sure[0] and[0] composed[0] style[0] that[0] is[0] neither[0] intrusive[0] nor[0] subtle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scenes of carolyn walking through the rain , carry an ominous fission that calls attention to the emotions of the character . 	scenes of carolyn walking through the rain , carry an ominous fission that calls attention to the emotions of the character .	1	-3	 scenes[0] of[0] carolyn[0] walking[0] through[0] the[0] rain[0] carry[0] an[0] ominous[-2] fission[0] that[0] calls[0] attention[0] to[0] the[0] emotions[0] of[0] the[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the subtle cinematography by conrad hall is wonderful , capturing the season in all of it's harsh beauty ( fall has never looked so inviting , yet depressing ) . 	the subtle cinematography by conrad hall is wonderful , capturing the season in all of it's harsh beauty ( fall has never looked so inviting , yet depressing ) .	3	-4	 the[0] subtle[0] cinematography[0] by[0] conrad[0] hall[0] is[0] wonderful[2] capturing[0] the[0] season[0] in[0] all[0] of[0] it's[0] harsh[-1] beauty[2] fall[0] has[0] never[0] looked[0] so[0] inviting[0] yet[0] depressing[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
every nuance of " american beauty " begs it's audience to think and examine . 	every nuance of " american beauty " begs it's audience to think and examine .	3	-1	 every[0] nuance[0] of[0] american[0] beauty[2] begs[0] it's[0] audience[0] to[0] think[0] and[0] examine[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is a film that will be discussed and debated for years to come . 	it is a film that will be discussed and debated for years to come .	1	-1	 it[0] is[0] a[0] film[0] that[0] will[0] be[0] discussed[0] and[0] debated[0] for[0] years[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and well it should , as it is simply one of this years best . 	and well it should , as it is simply one of this years best .	2	-1	 and[0] well[0] it[0] should[0] as[0] it[0] is[0] simply[0] one[0] of[0] this[0] years[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
