ladies and gentlemen , 1997's independence day is here ! 	Translation	Positive	Negative	EmotionRationale
perhaps , but when a science fiction film comes along that can mix humor and romance , effectively , into the warring races . 	perhaps , but when a science fiction film comes along that can mix humor and romance , effectively , into the warring races .	4	-3	 perhaps[0] but[0] when[0] a[0] science[0] fiction[0] film[0] comes[0] along[0] that[0] can[0] mix[0] humor[2] and[0] romance[3] effectively[0] into[0] the[0] warring[-2] races[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in essence , this is the science fiction equivolence of pulp fiction . 	in essence , this is the science fiction equivolence of pulp fiction .	1	-1	 in[0] essence[0] this[0] is[0] the[0] science[0] fiction[0] equivolence[0] of[0] pulp[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the easiest way to write a review of this film would be to compare it to other science fiction films , and i may have to . 	the easiest way to write a review of this film would be to compare it to other science fiction films , and i may have to .	1	-1	 the[0] easiest[0] way[0] to[0] write[0] a[0] review[0] of[0] this[0] film[0] would[0] be[0] to[0] compare[0] it[0] to[0] other[0] science[0] fiction[0] films[0] and[0] i[0] may[0] have[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starship troopers is not quite an original film persay , but director paul verhoeven gives the film a " kick-the-aliens'-asses " style . 	starship troopers is not quite an original film persay , but director paul verhoeven gives the film a " kick-the-aliens'-asses " style .	1	-2	 starship[0] troopers[0] is[0] not[0] quite[0] an[0] original[0] film[0] persay[0] but[0] director[0] paul[0] verhoeven[0] gives[0] the[0] film[0] a[0] kick[-1] the[0] aliens'[0] asses[0] style[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
id4 had this same style , except it was forced , most likely the cause of will smith having a major role . 	id4 had this same style , except it was forced , most likely the cause of will smith having a major role .	1	-1	 id4[0] had[0] this[0] same[0] style[0] except[0] it[0] was[0] forced[0] most[0] likely[0] the[0] cause[0] of[0] will[0] smith[0] having[0] a[0] major[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this new " star wars " has a very simple , basic plot : mankind vs . an alien species . 	this new " star wars " has a very simple , basic plot : mankind vs .<br> an alien species .	1	-3	 this[0] new[0] star[0] wars[-2] has[0] a[0] very[0] simple[0] basic[0] plot[0] mankind[0] vs[0] [[Sentence=-3,1=word max, 1-5]] an[0] alien[-1] species[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
the alien species in question here is the bugs , a seemingly advanced civilization of arachnid-type insects . 	the alien species in question here is the bugs , a seemingly advanced civilization of arachnid-type insects .	1	-2	 the[0] alien[-1] species[0] in[0] question[0] here[0] is[0] the[0] bugs[0] a[0] seemingly[0] advanced[0] civilization[0] of[0] arachnid[0] type[0] insects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the underlying morals of starship troopers are fleshed out with deadly accuracy . 	however , the underlying morals of starship troopers are fleshed out with deadly accuracy .	1	-2	 however[0] the[0] underlying[0] morals[0] of[0] starship[0] troopers[0] are[0] fleshed[0] out[0] with[0] deadly[-1] accuracy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes the morals are buried by the bloody violence and intense action scenes , but during quiet moments , we realize that starship troopers has something to tell us about our civilization . 	sometimes the morals are buried by the bloody violence and intense action scenes , but during quiet moments , we realize that starship troopers has something to tell us about our civilization .	1	-4	 sometimes[0] the[0] morals[0] are[0] buried[-2] by[0] the[0] bloody[-1] violence[-3] and[0] intense[0] action[0] scenes[0] but[0] during[0] quiet[0] moments[0] we[0] realize[0] that[0] starship[0] troopers[0] has[0] something[0] to[0] tell[0] us[0] about[0] our[0] civilization[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
more than likely , these morals will be overpowered and quickly forgotten by the time the movie ends . 	more than likely , these morals will be overpowered and quickly forgotten by the time the movie ends .	1	-2	 more[0] than[0] likely[0] these[0] morals[0] will[0] be[0] overpowered[-1] and[0] quickly[0] forgotten[0] by[0] the[0] time[0] the[0] movie[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and they should be . 	and they should be .	1	-1	 and[0] they[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i doubt verhoeven intended this film to be a thought-provoking film . 	i doubt verhoeven intended this film to be a thought-provoking film .	1	-2	 i[0] doubt[-1] verhoeven[0] intended[0] this[0] film[0] to[0] be[0] a[0] thought[0] provoking[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is an " event " film , but surprisingly above average . 	this is an " event " film , but surprisingly above average .	1	-1	 this[0] is[0] an[0] event[0] film[0] but[0] surprisingly[0] above[0] average[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is extremely refreshing to watch a sci-fi war film , and actually root for the human side ( something independence day never achieved ) . 	it is extremely refreshing to watch a sci-fi war film , and actually root for the human side ( something independence day never achieved ) .	1	-3	 it[0] is[0] extremely[0] refreshing[0] to[0] watch[0] a[0] sci[0] fi[0] war[-2] film[0] and[0] actually[0] root[0] for[0] the[0] human[0] side[0] something[0] independence[0] day[0] never[0] achieved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
starship troopers begins with a satirical portrayal of those strange " join the army " ads . 	starship troopers begins with a satirical portrayal of those strange " join the army " ads .	1	-1	 starship[0] troopers[0] begins[0] with[0] a[0] satirical[0] portrayal[0] of[0] those[0] strange[0] join[0] the[0] army[0] ads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mixing a web-based interface , these summations of events are refreshingly original . 	mixing a web-based interface , these summations of events are refreshingly original .	1	-1	 mixing[0] a[0] web[0] based[0] interface[0] these[0] summations[0] of[0] events[0] are[0] refreshingly[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stating , " would you like to know more ? " , 	stating , " would you like to know more ?<br> " ,	2	-1	 stating[0] would[0] you[0] like[1] to[0] know[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these short news bulletins give the film an immediate sense of humor , and we know we should not take it seriously . 	these short news bulletins give the film an immediate sense of humor , and we know we should not take it seriously .	3	-2	 these[0] short[0] news[0] bulletins[-1] give[0] the[0] film[0] an[0] immediate[0] sense[0] of[0] humor[2] and[0] we[0] know[0] we[0] should[0] not[0] take[0] it[0] seriously[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , we also witness the murder of several troopers in battle , in a gory , yet funny , way . 	however , we also witness the murder of several troopers in battle , in a gory , yet funny , way .	2	-4	 however[0] we[0] also[0] witness[0] the[0] murder[-3] of[0] several[0] troopers[0] in[0] battle[-1] in[0] a[0] gory[0] yet[0] funny[1] way[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
after witnessing the slaughter , the film jumps back one year , to setup what we just saw . 	after witnessing the slaughter , the film jumps back one year , to setup what we just saw .	1	-2	 after[0] witnessing[0] the[0] slaughter[-1] the[0] film[0] jumps[0] back[0] one[0] year[0] to[0] setup[0] what[0] we[0] just[0] saw[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we are introduced to johnny rico ( casper van dien ) and carmen ibanez ( denise richards ) . 	we are introduced to johnny rico ( casper van dien ) and carmen ibanez ( denise richards ) .	1	-1	 we[0] are[0] introduced[0] to[0] johnny[0] rico[0] casper[0] van[0] dien[0] and[0] carmen[0] ibanez[0] denise[0] richards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rico flirts with carmen by sending her messages over computer terminals in school classrooms . 	rico flirts with carmen by sending her messages over computer terminals in school classrooms .	2	-1	 rico[0] flirts[1] with[0] carmen[0] by[0] sending[0] her[0] messages[0] over[0] computer[0] terminals[0] in[0] school[0] classrooms[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , carmen isn't as interested in rico as she is in becoming a pilot . 	however , carmen isn't as interested in rico as she is in becoming a pilot .	1	-2	 however[0] carmen[0] isn't[0] as[0] interested[1][NegatedDueToPreviousWord] in[0] rico[0] as[0] she[0] is[0] in[0] becoming[0] a[0] pilot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , another classmate , dizzy flores ( dina meyer ) , has her eye on rico . 	however , another classmate , dizy flores ( dina meyer ) , has her eye on rico .	1	-1	 however[0] another[0] classmate[0] dizzy/dizy[0] flores[0] dina[0] meyer[0] has[0] her[0] eye[0] on[0] rico[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , rico isn't interested in dizzy . 	unfortunately , rico isn't interested in dizy .	1	-2	 unfortunately[-1] rico[0] isn't[0] interested[1][NegatedDueToPreviousWord] in[0] dizzy/dizy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this setup is rather cliched , as is the result of the setup , but it still is fun to watch . 	this setup is rather cliched , as is the result of the setup , but it still is fun to watch .	2	-1	 this[0] setup[0] is[0] rather[0] cliched[0] as[0] is[0] the[0] result[0] of[0] the[0] setup[0] but[0] it[0] still[0] is[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carmen signs up to become a starship trooper , and as a result , rico signs up . 	carmen signs up to become a starship trooper , and as a result , rico signs up .	1	-1	 carmen[0] signs[0] up[0] to[0] become[0] a[0] starship[0] trooper[0] and[0] as[0] a[0] result[0] rico[0] signs[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and as a result , dizzy signs up . 	and as a result , dizy signs up .	1	-1	 and[0] as[0] a[0] result[0] dizzy/dizy[0] signs[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone is assigned a certain position in the academy : carmen gets the pilot position she wanted , carl jenkins ( neil patrick harris ) , a psychic , gets a position in the training program , and rico is left in the lowest class of the starship troopers : the mobile infantry . 	everyone is assigned a certain position in the academy : carmen gets the pilot position she wanted , carl jenkins ( neil patrick harris ) , a psychic , gets a position in the training program , and rico is left in the lowest class of the starship troopers : the mobile infantry .	1	-2	 everyone[0] is[0] assigned[0] a[0] certain[0] position[0] in[0] the[0] academy[0] carmen[0] gets[0] the[0] pilot[0] position[0] she[0] wanted[0] carl[0] jenkins[0] neil[0] patrick[0] harris[0] a[0] psychic[0] gets[0] a[0] position[0] in[0] the[0] training[0] program[0] and[0] rico[0] is[0] left[0] in[0] the[0] lowest[-1] class[0] of[0] the[0] starship[0] troopers[0] the[0] mobile[0] infantry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main story follows rico through his trials and relationships . 	the main story follows rico through his trials and relationships .	1	-1	 the[0] main[0] story[0] follows[0] rico[0] through[0] his[0] trials[0] and[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in reality , i found myself watching a space version of " melrose place , " but with better special effects . 	in reality , i found myself watching a space version of " melrose place , " but with better special effects .	2	-1	 in[0] reality[0] i[0] found[0] myself[0] watching[0] a[0] space[0] version[0] of[0] melrose[0] place[0] but[0] with[0] better[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an hour into the film , the war begins . 	an hour into the film , the war begins .	1	-3	 an[0] hour[0] into[0] the[0] film[0] the[0] war[-2] begins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a sense of tension grew in the audience i watched this film with . 	a sense of tension grew in the audience i watched this film with .	1	-3	 a[0] sense[0] of[0] tension[-2] grew[0] in[0] the[0] audience[0] i[0] watched[0] this[0] film[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first hour may have been a funny ( sometimes unintentionally ) setup , but we grew to care for the flat characters , because no matter how hard i tried not to like the characters , their gorgeous looks won me over ( call me superficial , if you must ) . 	the first hour may have been a funny ( sometimes unintentionally ) setup , but we grew to care for the flat characters , because no matter how hard i tried not to like the characters , their gorgeous looks won me over ( call me superficial , if you must ) .	3	-2	 the[0] first[0] hour[0] may[0] have[0] been[0] a[0] funny[1] sometimes[0] unintentionally[0] setup[0] but[0] we[0] grew[0] to[0] care[1] for[0] the[0] flat[0] characters[0] because[0] no[0] matter[0] how[0] hard[0] i[0] tried[0] not[0] to[0] like[1][NegatedDueToPreviousWord] the[0] characters[0] their[0] gorgeous[2] looks[0] won[0] me[0] over[0] call[0] me[0] superficial[-1] if[0] you[0] must[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
following the training sessions , which had many dramas in themselves ( too many to mention here ) , the troopers are sent to war . 	following the training sessions , which had many dramas in themselves ( too many to mention here ) , the troopers are sent to war .	1	-3	 following[0] the[0] training[0] sessions[0] which[0] had[0] many[0] dramas[0] in[0] themselves[0] too[0] many[0] to[0] mention[0] here[0] the[0] troopers[0] are[0] sent[0] to[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bugs live on the planet klendathu , a planet which consists of dirt and rock , and pretty much nothing else . 	the bugs live on the planet klendathu , a planet which consists of dirt and rock , and pretty much nothing else .	3	-2	 the[0] bugs[0] live[0] on[0] the[0] planet[0] klendathu[0] a[0] planet[0] which[0] consists[0] of[0] dirt[-1] and[0] rock[1] and[0] pretty[2] much[0] nothing[0] else[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
many dramas occur during the war , until finally the troopers realize that their is something behind the bugs' attacks . 	many dramas occur during the war , until finally the troopers realize that their is something behind the bugs' attacks .	1	-3	 many[0] dramas[0] occur[0] during[0] the[0] war[-2] until[0] finally[0] the[0] troopers[0] realize[0] that[0] their[0] is[0] something[0] behind[0] the[0] bugs'[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a sort of intelligence which masterminds the defense . 	a sort of intelligence which masterminds the defense .	1	-1	 a[0] sort[0] of[0] intelligence[0] which[0] masterminds[0] the[0] defense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the troopers are ordered to locate the " brain " and capture it . 	the troopers are ordered to locate the " brain " and capture it .	1	-2	 the[0] troopers[0] are[0] ordered[0] to[0] locate[0] the[0] brain[0] and[0] capture[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i hopefully left the plot as vague as possible , because starship troopers is not about plot . 	i hopefully left the plot as vague as possible , because starship troopers is not about plot .	1	-2	 i[0] hopefully[0] left[0] the[0] plot[0] as[0] vague[-1] as[0] possible[0] because[0] starship[0] troopers[0] is[0] not[0] about[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's about special effects and gory violence . 	it's about special effects and gory violence .	2	-4	 it's[0] about[0] special[1] effects[0] and[0] gory[0] violence[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
director verhoeven , most known for his nudie film showgirls and basic instinct , returns to his sci-fi days , which gave us good films like total recall . 	director verhoeven , most known for his nudie film showgirls and basic instinct , returns to his sci-fi days , which gave us good films like total recall .	2	-1	 director[0] verhoeven[0] most[0] known[0] for[0] his[0] nudie[0] film[0] showgirls[0] and[0] basic[0] instinct[0] returns[0] to[0] his[0] sci[0] fi[0] days[0] which[0] gave[0] us[0] good[1] films[0] like[1] total[0] recall[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
verhoeven likes to push the envelope of the mpaa , but despite all the violence , the comic book feel gives the film a sense of falsehood . 	verhoeven likes to push the envelope of the mpa , but despite all the violence , the comic book feel gives the film a sense of falsehood .	3	-4	 verhoeven[0] likes[2] to[0] push[0] the[0] envelope[0] of[0] the[0] mpaa/mpa[0] but[0] despite[0] all[0] the[0] violence[-3] the[0] comic[0] book[0] feel[0] gives[0] the[0] film[0] a[0] sense[0] of[0] falsehood[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
starship troopers is extremely violent , with more gore than this year's event horizon . 	starship troopers is extremely violent , with more gore than this year's event horizon .	1	-5	 starship[0] troopers[0] is[0] extremely[0] violent[-2][-2 LastWordBoosterStrength] with[0] more[0] gore[0] than[0] this[0] year's[0] event[0] horizon[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the r rating is well deserved , and hopefully parents will not allow their 12 year old children to see it . 	the are rating is well deserved , and hopefully parents will not allow their 12 year old children to see it .	1	-1	 the[0] r[0] rating[0] is[0] well[0] deserved[0] and[0] hopefully[0] parents[0] will[0] not[0] allow[0] their[0] 12[0] year[0] old[0] children[0] to[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my guess is that verhoeven's target audience is the 18 to 25 male group . 	my guess is that verhoeven's target audience is the 18 to 25 male group .	1	-1	 my[0] guess[0] is[0] that[0] verhoeven's[0] target[0] audience[0] is[0] the[0] 18[0] to[0] 25[0] male[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has a testosterone level off the charts , with chiseled men and beautiful women . 	the film has a testosterone level off the charts , with chiseled men and beautiful women .	3	-1	 the[0] film[0] has[0] a[0] testosterone[0] level[0] off[0] the[0] charts[0] with[0] chiseled[0] men[0] and[0] beautiful[2] women[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite these superficial elements , starship troopers also creates a world which made star wars so successful . 	despite these superficial elements , starship troopers also creates a world which made star wars so successful .	3	-3	 despite[0] these[0] superficial[-1] elements[0] starship[0] troopers[0] also[0] creates[0] a[0] world[0] which[0] made[0] star[0] wars[-2] so[0] successful[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while watching the film , we never second guess the character's decisions because they seem perfectly clear . 	while watching the film , we never second guess the character's decisions because they seem perfectly clear .	2	-1	 while[0] watching[0] the[0] film[0] we[0] never[0] second[0] guess[0] the[0] character's[0] decisions[0] because[0] they[0] seem[0] perfectly[1] clear[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , no hero is punching aliens in the face , which gives the flat characters some depth for which we can identify with . 	thankfully , no hero is punching aliens in the face , which gives the flat characters some depth for which we can identify with .	3	-2	 thankfully[1] no[0] hero[2] is[0] punching[-1] aliens[0] in[0] the[0] face[0] which[0] gives[0] the[0] flat[0] characters[0] some[0] depth[0] for[0] which[0] we[0] can[0] identify[0] with[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the cast of starship troopers is quite annoying to begin with , but they soon grow on you . 	the cast of starship troopers is quite annoying to begin with , but they soon grow on you .	1	-3	 the[0] cast[0] of[0] starship[0] troopers[0] is[0] quite[0] annoying[-2] to[0] begin[0] with[0] but[0] they[0] soon[0] grow[0] on[0] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
casper van dien has the chiseled facial features and tan skin which will make most girls swoon . 	casper van dien has the chiseled facial features and tan skin which will make most girls swoon .	1	-1	 casper[0] van[0] dien[0] has[0] the[0] chiseled[0] facial[0] features[0] and[0] tan[0] skin[0] which[0] will[0] make[0] most[0] girls[0] swoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to most guys , he will come across as artificial . 	to most guys , he will come across as artificial .	1	-1	 to[0] most[0] guys[0] he[0] will[0] come[0] across[0] as[0] artificial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , van dien is the worst of the cast , despite how hard he tries to come off as a real character . 	fortunately , van dien is the worst of the cast , despite how hard he tries to come off as a real character .	1	-3	 fortunately[0] van[0] dien[0] is[0] the[0] worst[-2] of[0] the[0] cast[0] despite[0] how[0] hard[0] he[0] tries[0] to[0] come[0] off[0] as[0] a[0] real[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dina meyer does a much better job of fleshing out her character . 	dina meyer does a much better job of fleshing out her character .	1	-1	 dina[0] meyer[0] does[0] a[0] much[0] better[0] job[0] of[0] fleshing[0] out[0] her[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her dizzy is extremely likeable . 	her dizy is extremely likeable .	5	-1	 her[0] dizzy/dizy[0] is[0] extremely[0] likeable[2][2 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
denise richards also does a good job , and her scenes are very well done . 	denise richards also does a good job , and her scenes are very well done .	2	-1	 denise[0] richards[0] also[0] does[0] a[0] good[1] job[0] and[0] her[0] scenes[0] are[0] very[0] well[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jake busey , gary busey's son , gives a wonderfully funny performance , and provides one of the biggest laughs of the film . 	jake busey , gary busey's son , gives a wonderfully funny performance , and provides one of the biggest laughs of the film .	3	-1	 jake[0] busey[0] gary[0] busey's[0] son[0] gives[0] a[0] wonderfully[2] funny[1] performance[0] and[0] provides[0] one[0] of[0] the[0] biggest[0] laughs[1] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
neil patrick harris ( remember , he was doogie howser ) is a little wooden , and slightly out of place with the rest of the cast . 	neil patrick harris ( remember , he was doogie howser ) is a little wooden , and slightly out of place with the rest of the cast .	1	-1	 neil[0] patrick[0] harris[0] remember[0] he[0] was[0] doogie[0] howser[0] is[0] a[0] little[0] wooden[0] and[0] slightly[0] out[0] of[0] place[0] with[0] the[0] rest[0] of[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , he does give a good performance . 	however , he does give a good performance .	2	-1	 however[0] he[0] does[0] give[0] a[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael ironside gives the best performance of the film as the teacher with one arm . 	michael ironside gives the best performance of the film as the teacher with one arm .	2	-1	 michael[0] ironside[0] gives[0] the[0] best[1] performance[0] of[0] the[0] film[0] as[0] the[0] teacher[0] with[0] one[0] arm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his performance rises above the rest . 	his performance rises above the rest .	1	-1	 his[0] performance[0] rises[0] above[0] the[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it is because his character is the most developed , but i think it is just ironside's presence on screen . 	perhaps it is because his character is the most developed , but i think it is just ironside's presence on screen .	1	-1	 perhaps[0] it[0] is[0] because[0] his[0] character[0] is[0] the[0] most[0] developed[0] but[0] i[0] think[0] it[0] is[0] just[0] ironside's[0] presence[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , no particular cast member gives a star-making performance , which is too bad because the material here could have made many of the cast members stars . 	unfortunately , no particular cast member gives a star-making performance , which is too bad because the material here could have made many of the cast members stars .	1	-2	 unfortunately[-1] no[0] particular[0] cast[0] member[0] gives[0] a[0] star[0] making[0] performance[0] which[0] is[0] too[0] bad[-1] because[0] the[0] material[0] here[0] could[0] have[0] made[0] many[0] of[0] the[0] cast[0] members[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director verhoeven is the main star of the film . 	director verhoeven is the main star of the film .	1	-1	 director[0] verhoeven[0] is[0] the[0] main[0] star[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his direction is fast and unrelentless . 	his direction is fast and unrelentless .	1	-1	 his[0] direction[0] is[0] fast[0] and[0] unrelentless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he never slows down his pace , which makes for a wild ride . 	he never slows down his pace , which makes for a wild ride .	1	-1	 he[0] never[0] slows[0] down[0] his[0] pace[0] which[0] makes[0] for[0] a[0] wild[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
