jackie brown entered theaters with little fanfare and a lot of expectation . 	Translation	Positive	Negative	EmotionRationale
of course , dargus and nicolet are just using the sentence to get jackie to turn over the big fish , ordell . 	of course , dargus and nicolet are just using the sentence to get jackie to turn over the big fish , ordell .	1	-1	 of[0] course[0] dargus[0] and[0] nicolet[0] are[0] just[0] using[0] the[0] sentence[0] to[0] get[0] jackie[0] to[0] turn[0] over[0] the[0] big[0] fish[0] ordell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ordell uses honest bail bondsman max cherry ( robert forster ) to get jackie out of jail , but while max is immediately attracted to her , jackie is more concerned about her immediate safety , since ordell killed the last one of his operatives who got picked up by the police . 	ordell uses honest bail bondsman max cherry ( robert forster ) to get jackie out of jail , but while max is immediately attracted to her , jackie is more concerned about her immediate safety , since ordell killed the last one of his operatives who got picked up by the police .	2	-4	 ordell[0] uses[0] honest[0] bail[-1] bondsman[0] max[0] cherry[0] robert[0] forster[0] to[0] get[0] jackie[0] out[0] of[0] jail[-1] but[0] while[0] max[0] is[0] immediately[0] attracted[1] to[0] her[0] jackie[0] is[0] more[0] concerned[-1] about[0] her[0] immediate[0] safety[1] since[0] ordell[0] killed[-3] the[0] last[0] one[0] of[0] his[0] operatives[0] who[0] got[0] picked[0] up[0] by[0] the[0] police[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sure enough , ordell shows up at jackie's apartment that evening and tries to silence jackie for good , but she " borrows " max's pistol and manages to turn the tables on ordell . 	sure enough , ordell shows up at jackie's apartment that evening and tries to silence jackie for good , but she " borrows " max's pistol and manages to turn the tables on ordell .	2	-1	 sure[0] enough[0] ordell[0] shows[0] up[0] at[0] jackie's[0] apartment[0] that[0] evening[0] and[0] tries[0] to[0] silence[0] jackie[0] for[0] good[1] but[0] she[0] borrows[0] max's[0] pistol[0] and[0] manages[0] to[0] turn[0] the[0] tables[0] on[0] ordell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead of closing the irony circle and relocating a bullet from the pistol's chamber to ordell's head , jackie proposes a deal . 	instead of closing the irony circle and relocating a bullet from the pistol's chamber to ordell's head , jackie proposes a deal .	1	-2	 instead[0] of[0] closing[0] the[0] irony[-1] circle[0] and[0] relocating[0] a[0] bullet[-1] from[0] the[0] pistol's[0] chamber[0] to[0] ordell's[0] head[0] jackie[0] proposes[0] a[0] deal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since ordell wants to get his money out of mexico , jackie will get back up to her old tricks and be a courier for him once more , but this time for a more substantial fee : fifteen percent of ordell's half million dollars . 	since ordell wants to get his money out of mexico , jackie will get back up to her old tricks and be a courier for him once more , but this time for a more substantial fee : fifteen percent of ordell's half million dollars .	1	-2	 since[0] ordell[0] wants[0] to[0] get[0] his[0] money[0] out[0] of[0] mexico[0] jackie[0] will[0] get[0] back[0] up[0] to[0] her[0] old[0] tricks[-1] and[0] be[0] a[0] courier[0] for[0] him[0] once[0] more[0] but[0] this[0] time[0] for[0] a[0] more[0] substantial[0] fee[0] fifteen[0] percent[0] of[0] ordell's[0] half[0] million[0] dollars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a gun in his face , how can ordell not agree ? 	with a gun in his face , how can ordell not agree ?	1	-2	 with[0] a[0] gun[-1] in[0] his[0] face[0] how[0] can[0] ordell[0] not[0] agree[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by itself , this premise might have been interesting enough to carry the film . 	by itself , this premise might have been interesting enough to carry the film .	2	-1	 by[0] itself[0] this[0] premise[0] might[0] have[0] been[0] interesting[1] enough[0] to[0] carry[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , we are also introduced to a number of double crosses which make us pay attention and think . 	however , we are also introduced to a number of double crosses which make us pay attention and think .	1	-1	 however[0] we[0] are[0] also[0] introduced[0] to[0] a[0] number[0] of[0] double[0] crosses[0] which[0] make[0] us[0] pay[0] attention[0] and[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie claims to be bringing the money in for ordell , but she's also making a deal with the feds as well as with max . 	jackie claims to be bringing the money in for ordell , but she's also making a deal with the feds as well as with max .	1	-1	 jackie[0] claims[0] to[0] be[0] bringing[0] the[0] money[0] in[0] for[0] ordell[0] but[0] she's[0] also[0] making[0] a[0] deal[0] with[0] the[0] feds[0] as[0] well[0] as[0] with[0] max[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film throws us off every once in a while by leading us to believe the deal we thought was authentic is actually a sham , but it is in no way done to the extent that we feel jerked around . 	the film throws us off every once in a while by leading us to believe the deal we thought was authentic is actually a sham , but it is in no way done to the extent that we feel jerked around .	1	-1	 the[0] film[0] throws[0] us[0] off[0] every[0] once[0] in[0] a[0] while[0] by[0] leading[0] us[0] to[0] believe[0] the[0] deal[0] we[0] thought[0] was[0] authentic[0] is[0] actually[0] a[0] sham[0] but[0] it[0] is[0] in[0] no[0] way[0] done[0] to[0] the[0] extent[0] that[0] we[0] feel[0] jerked[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , it's actually a nice departure from the predictability which is prevalent in so many of today's movies . 	instead , it's actually a nice departure from the predictability which is prevalent in so many of today's movies .	2	-1	 instead[0] it's[0] actually[0] a[0] nice[1] departure[0] from[0] the[0] predictability[0] which[0] is[0] prevalent[0] in[0] so[0] many[0] of[0] today's[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least this film has a little imagination . 	at least this film has a little imagination .	1	-1	 at[0] least[0] this[0] film[0] has[0] a[0] little[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the performances in jackie brown are above par . 	most of the performances in jackie brown are above par .	1	-1	 most[0] of[0] the[0] performances[0] in[0] jackie[0] brown[0] are[0] above[0] par[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pam grier , of whom i had never taken notice before , plays jackie with a mix of confidence and vulnerability which makes her character believable . 	pam grier , of whom i had never taken notice before , plays jackie with a mix of confidence and vulnerability which makes her character believable .	2	-3	 pam[0] grier[0] of[0] whom[0] i[0] had[0] never[0] taken[0] notice[0] before[0] plays[1] jackie[0] with[0] a[0] mix[0] of[0] confidence[1] and[0] vulnerability[-2] which[0] makes[0] her[0] character[0] believable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
samuel l . jackson has a kind of mesmerizing quality about him as he handles himself in situations where you know he is in total control . 	samuel l .<br> jackson has a kind of mesmerizing quality about him as he handles himself in situations where you know he is in total control .	2	-1	 samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] has[0] a[0] kind[1] of[0] mesmerizing[0] quality[0] about[0] him[0] as[0] he[0] handles[0] himself[0] in[0] situations[0] where[0] you[0] know[0] he[0] is[0] in[0] total[0] control[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert forster is thoroughly likable because he comes across as such an honest guy , trying to do his best . . 	robert forster is thoroughly likable because he comes across as such an honest guy , trying to do his best .<br> .	2	-1	 robert[0] forster[0] is[0] thoroughly[0] likable[0] because[0] he[0] comes[0] across[0] as[0] such[0] an[0] honest[0] guy[0] trying[0] to[0] do[0] his[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
never mind that he belongs to a profession where sneaking into a guy's apartment to zap him with a stun gun is simply a matter of course . 	never mind that he belongs to a profession where sneaking into a guy's apartment to zap him with a stun gun is simply a matter of course .	1	-2	 never[0] mind[0] that[0] he[0] belongs[0] to[0] a[0] profession[0] where[0] sneaking[-1] into[0] a[0] guy's[0] apartment[0] to[0] zap[0] him[0] with[0] a[0] stun[0] gun[-1] is[0] simply[0] a[0] matter[0] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's just so down-to-earth , the nature of his job really doesn't occur to us , even when we're shown him bringing a handcuffed woman to prison , or when we see the tools of his trade . 	he's just so down-to-earth , the nature of his job really doesn't occur to us , even when we're shown him bringing a handcuffed woman to prison , or when we see the tools of his trade .	1	-2	 he's[0] just[0] so[0] down[0] to[0] earth[0] the[0] nature[0] of[0] his[0] job[0] really[0] doesn't[0] occur[0] to[0] us[0] even[0] when[0] we're[0] shown[0] him[0] bringing[0] a[0] handcuffed[0] woman[0] to[0] prison[-1] or[0] when[0] we[0] see[0] the[0] tools[0] of[0] his[0] trade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in supporting roles are robert de niro as louis gara , a recently paroled friend of ordell's , and bridget fonda as melanie , one of the girls ordell keeps around town . 	in supporting roles are robert de niro as louis gara , a recently paroled friend of ordell's , and bridget fonda as melanie , one of the girls ordell keeps around town .	2	-1	 in[0] supporting[1] roles[0] are[0] robert[0] de[0] niro[0] as[0] louis[0] gara[0] a[0] recently[0] paroled[0] friend[1] of[0] ordell's[0] and[0] bridget[0] fonda[0] as[0] melanie[0] one[0] of[0] the[0] girls[0] ordell[0] keeps[0] around[0] town[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , de niro is basically wasted as his lines are few and far between , and then they are mostly clipped sentences . 	unfortunately , de niro is basically wasted as his lines are few and far between , and then they are mostly clipped sentences .	1	-2	 unfortunately[-1] de[0] niro[0] is[0] basically[0] wasted[-1] as[0] his[0] lines[0] are[0] few[0] and[0] far[0] between[0] and[0] then[0] they[0] are[0] mostly[0] clipped[0] sentences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this film , he's not really de niro , but stereotypical de niro , uttering things like , " little bit , " and " pretty much . " 	in this film , he's not really de niro , but stereotypical de niro , uttering things like , " little bit , " and " pretty much .<br> "	3	-1	 in[0] this[0] film[0] he's[0] not[0] really[0] de[0] niro[0] but[0] stereotypical[0] de[0] niro[0] uttering[0] things[0] like[1] little[0] bit[0] and[0] pretty[2] much[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fonda , on the other hand , plays the slightly spaced-out melanie with satisfactory relish and cuteness , such that even when she is annoying louis , we are taking her side . 	fonda , on the other hand , plays the slightly spaced-out melanie with satisfactory relish and cuteness , such that even when she is annoying louis , we are taking her side .	2	-3	 fonda[0] on[0] the[0] other[0] hand[0] plays[1] the[0] slightly[0] spaced[0] out[0] melanie[0] with[0] satisfactory[1] relish[0] and[0] cuteness[1] such[0] that[0] even[0] when[0] she[0] is[0] annoying[-2] louis[0] we[0] are[0] taking[0] her[0] side[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as is characteristic of any film in which tarantino has had a hand , the dialog is quick and snappy . 	as is characteristic of any film in which tarantino has had a hand , the dialog is quick and snappy .	1	-1	 as[0] is[0] characteristic[0] of[0] any[0] film[0] in[0] which[0] tarantino[0] has[0] had[0] a[0] hand[0] the[0] dialog[0] is[0] quick[0] and[0] snappy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it grabs our attention and is actually interesting , and in many respects , this makes jackie brown a film which needs few visuals ; the lines are a form of art in and amongst themselves . 	it grabs our attention and is actually interesting , and in many respects , this makes jackie brown a film which needs few visuals ; the lines are a form of art in and amongst themselves .	3	-2	 it[0] grabs[-1] our[0] attention[0] and[0] is[0] actually[0] interesting[1] and[0] in[0] many[0] respects[2] this[0] makes[0] jackie[0] brown[0] a[0] film[0] which[0] needs[0] few[0] visuals[0] the[0] lines[0] are[0] a[0] form[0] of[0] art[0] in[0] and[0] amongst[0] themselves[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
don't count tarantino out when it comes to using the camera , however . 	don't count tarantino out when it comes to using the camera , however .	1	-1	 don't[0] count[0] tarantino[0] out[0] when[0] it[0] comes[0] to[0] using[0] the[0] camera[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a scene where max is unwittingly watching a dry run of a money exchange , and he's not really sure what's happening , but by composing the scene just so , his realization of what's going on is felt simultaneously by the audience . 	there's a scene where max is unwittingly watching a dry run of a money exchange , and he's not really sure what's happening , but by composing the scene just so , his realization of what's going on is felt simultaneously by the audience .	1	-1	 there's[0] a[0] scene[0] where[0] max[0] is[0] unwittingly[0] watching[0] a[0] dry[0] run[0] of[0] a[0] money[0] exchange[0] and[0] he's[0] not[0] really[0] sure[0] what's[0] happening[0] but[0] by[0] composing[0] the[0] scene[0] just[0] so[0] his[0] realization[0] of[0] what's[0] going[0] on[0] is[0] felt[0] simultaneously[0] by[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we look at the screen and think , " gee , that's clever , " and then think the same thing about how the film induced us into that wonderful feeling of catching on . 	we look at the screen and think , " gee , that's clever , " and then think the same thing about how the film induced us into that wonderful feeling of catching on .	3	-1	 we[0] look[0] at[0] the[0] screen[0] and[0] think[0] gee[0] that's[0] clever[0] and[0] then[0] think[0] the[0] same[0] thing[0] about[0] how[0] the[0] film[0] induced[0] us[0] into[0] that[0] wonderful[2] feeling[0] of[0] catching[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although tarantino isn't afraid to drag out a shot for dramatic effect , it unfortunately works to varying degrees in this film . 	although tarantino isn't afraid to drag out a shot for dramatic effect , it unfortunately works to varying degrees in this film .	4	-2	 although[0] tarantino[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] drag[-1] out[0] a[0] shot[-1] for[0] dramatic[0] effect[0] it[0] unfortunately[-1] works[0] to[0] varying[0] degrees[0] in[0] this[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
there are shots where a character is simply driving , and we watch this person and somehow get an idea of what is going on in his or her head . 	there are shots where a character is simply driving , and we watch this person and somehow get an idea of what is going on in his or her head .	1	-1	 there[0] are[0] shots[0] where[0] a[0] character[0] is[0] simply[0] driving[0] and[0] we[0] watch[0] this[0] person[0] and[0] somehow[0] get[0] an[0] idea[0] of[0] what[0] is[0] going[0] on[0] in[0] his[0] or[0] her[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a tribute to both direction and acting . 	this is a tribute to both direction and acting .	1	-1	 this[0] is[0] a[0] tribute[0] to[0] both[0] direction[0] and[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there is at least one other scene where we follow jackie through a mall , and she is looking for something ; desperately looking for something . 	however , there is at least one other scene where we follow jackie through a mall , and she is looking for something ; desperately looking for something .	1	-3	 however[0] there[0] is[0] at[0] least[0] one[0] other[0] scene[0] where[0] we[0] follow[0] jackie[0] through[0] a[0] mall[0] and[0] she[0] is[0] looking[0] for[0] something[0] desperately[-2] looking[0] for[0] something[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we get the idea of the frantic nature of her search , but we follow her for so long that we end up not really caring about what she's looking for , but instead hoping she'll just stop . 	we get the idea of the frantic nature of her search , but we follow her for so long that we end up not really caring about what she's looking for , but instead hoping she'll just stop .	2	-4	 we[0] get[0] the[0] idea[0] of[0] the[0] frantic[-1] nature[0] of[0] her[0] search[0] but[0] we[0] follow[0] her[0] for[0] so[0] long[0] that[0] we[0] end[0] up[0] not[0] really[0] caring[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] about[0] what[0] she's[0] looking[0] for[0] but[0] instead[0] hoping[1] she'll[0] just[0] stop[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
overall , viewing jackie brown is time spent well . 	overall , viewing jackie brown is time spent well .	1	-1	 overall[0] viewing[0] jackie[0] brown[0] is[0] time[0] spent[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some flap has already been made about the language used in the film , but it's really not much worse than many of the other movies out there today . 	some flap has already been made about the language used in the film , but it's really not much worse than many of the other movies out there today .	3	-1	 some[0] flap[0] has[0] already[0] been[0] made[0] about[0] the[0] language[0] used[0] in[0] the[0] film[0] but[0] it's[0] really[0] not[0] much[0] worse[-2][NegatedDueToPreviousWord] than[0] many[0] of[0] the[0] other[0] movies[0] out[0] there[0] today[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , one might even be able to say that the way in which these " offensive " words are employed almost cause them to parody themselves and therefore transcend their own offensiveness . 	in fact , one might even be able to say that the way in which these " offensive " words are employed almost cause them to parody themselves and therefore transcend their own offensiveness .	1	-3	 in[0] fact[0] one[0] might[0] even[0] be[0] able[0] to[0] say[0] that[0] the[0] way[0] in[0] which[0] these[0] offensive[-2] words[0] are[0] employed[0] almost[0] cause[0] them[0] to[0] parody[0] themselves[0] and[0] therefore[0] transcend[0] their[0] own[0] offensiveness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
go see the film and see what i mean . 	go see the film and see what i mean .	1	-1	 go[0] see[0] the[0] film[0] and[0] see[0] what[0] i[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
