hilarious , ultra-low budget comedy from film school dropout kevin smith chronicles a day in the life of two convenience store slackers ( brian o'halloran and jeff anderson ) . 	Translation	Positive	Negative	EmotionRationale
based on the novel by t . coraghessan boyle , the road to wellville doesn't go very far . 	based on the novel by t .<br> coraghessan boyle , the road to wellville doesn't go very far .	2	-1	 based[0] on[0] the[0] novel[0] by[0] t[0] [[Sentence=-1,1=word max, 1-5]] coraghessan[0] boyle[0] the[0] road[0] to[0] wellville[1] doesn't[0] go[0] very[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bowels , bowels , and more bowels are explored by dr . john harvey kellogg ( a buck-toothed and bespectacled anthony hopkins ) , who , in the early 1900's , advocated abstinence , vegetarianism , and frequent defecation . 	bowels , bowels , and more bowels are explored by dr .<br> john harvey kellogg ( a buck-toothed and bespectacled anthony hopkins ) , who , in the early 1900's , advocated abstinence , vegetarianism , and frequent defecation .	1	-1	 bowels[0] bowels[0] and[0] more[0] bowels[0] are[0] explored[0] by[0] dr[0] [[Sentence=-1,1=word max, 1-5]] john[0] harvey[0] kellogg[0] a[0] buck[0] toothed[0] and[0] bespectacled[0] anthony[0] hopkins[0] who[0] in[0] the[0] early[0] 1900's[0] advocated[0] abstinence[0] vegetarianism[0] and[0] frequent[0] defecation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also invented the cornflake . 	he also invented the cornflake .	1	-1	 he[0] also[0] invented[0] the[0] cornflake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
really . 	really .	1	-1	 really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
checking-in to kellogg's battle creek sanitarium are matthew broderick and bridget fonda , just two of the many well-known faces in this failed comedy . 	checking-in to kellogg's battle creek sanitarium are matthew broderick and bridget fonda , just two of the many well-known faces in this failed comedy .	1	-3	 checking[0] in[0] to[0] kellogg's[0] battle[-1] creek[0] sanitarium[0] are[0] matthew[0] broderick[0] and[0] bridget[0] fonda[0] just[0] two[0] of[0] the[0] many[0] well[0] known[0] faces[0] in[0] this[0] failed[-2] comedy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
leave your laughter at the door and you can marvel at the unfunny antics of john cusack , michael lerner , lara flynn boyle , john neville , and dana carvey . 	leave your laughter at the door and you can marvel at the unfunny antics of john cusack , michael lerner , lara flyn boyle , john neville , and dana carvey .	2	-1	 leave[0] your[0] laughter[1] at[0] the[0] door[0] and[0] you[0] can[0] marvel[0] at[0] the[0] unfunny[0] antics[0] of[0] john[0] cusack[0] michael[0] lerner[0] lara[0] flynn/flyn[0] boyle[0] john[0] neville[0] and[0] dana[0] carvey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the art direction is impeccable and some of the early sequences are amusing , but the novelty quickly wears off as writer/director alan parkers tries his darnedness to turn doo-doo into drama . 	the art direction is impeccable and some of the early sequences are amusing , but the novelty quickly wears off as writer/director alan parkers tries his darnedness to turn do-do into drama .	2	-1	 the[0] art[0] direction[0] is[0] impeccable[0] and[0] some[0] of[0] the[0] early[0] sequences[0] are[0] amusing[1] but[0] the[0] novelty[0] quickly[0] wears[0] off[0] as[0] writer/director[0] alan[0] parkers[0] tries[0] his[0] darnedness[0] to[0] turn[0] doo/do[0] doo/do[0] into[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what he ends up with is something that i can't print here . 	what he ends up with is something that i can't print here .	1	-1	 what[0] he[0] ends[0] up[0] with[0] is[0] something[0] that[0] i[0] can't[0] print[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phew ! 	phew !	1	-1	 phew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stargate          	stargate         	1	-1	 stargate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lawrence of arabia meets star wars . 	lawrence of arabia meets star wars .	1	-3	 lawrence[0] of[0] arabia[0] meets[0] star[0] wars[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this epic sci-fi film is more sheer spectacle than anything else . 	this epic sci-fi film is more sheer spectacle than anything else .	1	-1	 this[0] epic[0] sci[0] fi[0] film[0] is[0] more[0] sheer[0] spectacle[0] than[0] anything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director roland emmerich ( universal solider ) shamelessly rips off lucas and spielberg and just about any other cosmic cliche that he can lay his hands on . 	director roland emmerich ( universal solider ) shamelessly rips off lucas and spielberg and just about any other cosmic cliche that he can lay his hands on .	1	-3	 director[0] roland[0] emmerich[0] universal[0] solider[0] shamelessly[-2] rips[0] off[0] lucas[0] and[0] spielberg[0] and[0] just[0] about[0] any[0] other[0] cosmic[0] cliche[0] that[0] he[0] can[0] lay[0] his[0] hands[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is overlong , the characters are cardboard , and the script is filled with some of the most laughable details in modern sci-fi history . 	the film is overlong , the characters are cardboard , and the script is filled with some of the most laughable details in modern sci-fi history .	1	-2	 the[0] film[0] is[0] overlong[0] the[0] characters[0] are[0] cardboard[0] and[0] the[0] script[0] is[0] filled[0] with[0] some[0] of[0] the[0] most[0] laughable[-1] details[0] in[0] modern[0] sci[0] fi[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that said , there's still plenty to watch here . 	that said , there's still plenty to watch here .	1	-1	 that[0] said[0] there's[0] still[0] plenty[0] to[0] watch[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sci-fi fans should enjoy the sculpted sands , the morphing headdresses , and a surprisingly spunky james spader . 	sci-fi fans should enjoy the sculpted sands , the morphing headdresses , and a surprisingly spunky james spader .	2	-1	 sci[0] fi[0] fans[0] should[0] enjoy[2][-1 LastWordBoosterStrength] the[0] sculpted[0] sands[0] the[0] morphing[0] headdresses[0] and[0] a[0] surprisingly[0] spunky[0] james[0] spader[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he plays the egyptologist who gets to prove his theory that that " somebody else " built the pyramids . 	he plays the egyptologist who gets to prove his theory that that " somebody else " built the pyramids .	2	-1	 he[0] plays[1] the[0] egyptologist[0] who[0] gets[0] to[0] prove[0] his[0] theory[0] that[0] that[0] somebody[0] else[0] built[0] the[0] pyramids[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
less interesting are co-stars kurt russell and jaye davidson of crying game fame . 	less interesting are co-stars kurt russell and jaye davidson of crying game fame .	2	-4	 less[0] interesting[1] are[0] co[0] stars[0] kurt[0] russell[0] and[0] jaye[0] davidson[0] of[0] crying[-3] game[0] fame[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
star trek generations                       	star trek generations                      	1	-1	 star[0] trek[0] generations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trek fans may be more forgiving , but , for the rest of us , the sluggish star trek generations is a mixed bag at best . 	trek fans may be more forgiving , but , for the rest of us , the sluggish star trek generations is a mixed bag at best .	2	-2	 trek[0] fans[0] may[0] be[0] more[0] forgiving[1] but[0] for[0] the[0] rest[0] of[0] us[0] the[0] sluggish[-1] star[0] trek[0] generations[0] is[0] a[0] mixed[0] bag[0] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story is interesting , but each scene goes too long . 	the story is interesting , but each scene goes too long .	2	-1	 the[0] story[0] is[0] interesting[1] but[0] each[0] scene[0] goes[0] too[0] long[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast is earnest , but the direction lacks punch . 	the cast is earnest , but the direction lacks punch .	1	-2	 the[0] cast[0] is[0] earnest[0] but[0] the[0] direction[0] lacks[0] punch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so on . 	and so on .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the best example of the latter is a klingon comeuppance that delivers none of the impact of a similar scene in star trek ii . ) 	 ( the best example of the latter is a klingon comeuppance that delivers none of the impact of a similar scene in star trek i .<br> )	2	-1	 the[0] best[1] example[0] of[0] the[0] latter[0] is[0] a[0] klingon[0] comeuppance[0] that[0] delivers[0] none[0] of[0] the[0] impact[0] of[0] a[0] similar[0] scene[0] in[0] star[0] trek[0] ii/i[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
original enterprise captain james t . kirk appears on both ends of the story , though they cut the scene where shatner turns to the screen to plead " get a life . " 	original enterprise captain james t .<br> kirk appears on both ends of the story , though they cut the scene where shatner turns to the screen to plead " get a life .<br> "	1	-1	 original[0] enterprise[0] captain[0] james[0] t[0] [[Sentence=-1,1=word max, 1-5]] kirk[0] appears[0] on[0] both[0] ends[0] of[0] the[0] story[0] though[0] they[0] cut[0] the[0] scene[0] where[0] shatner[0] turns[0] to[0] the[0] screen[0] to[0] plead[0] get[0] a[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remarkably unremarkable . 	remarkably unremarkable .	1	-1	 remarkably[0] unremarkable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miracle on 34th street                        	miracle on 34th street                       	1	-1	 miracle[0] on[0] 34th[0] street[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a season of the specialist and pulp fiction et al , maybe a remake of miracle on 34th street * is * necessary . 	in a season of the specialist and pulp fiction et al , maybe a remake of miracle on 34th street * is * necessary .	2	-1	 in[0] a[0] season[0] of[0] the[0] specialist[1] and[0] pulp[0] fiction[0] et[0] al[0] maybe[0] a[0] remake[0] of[0] miracle[0] on[0] 34th[0] street[0] is[0] necessary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john hughes certainly believes in santa claus and his les mayfield-directed production does nothing to tarnish the memory of the 1947 original . 	john hughes certainly believes in santa claus and his les mayfield-directed production does nothing to tarnish the memory of the 1947 original .	1	-1	 john[0] hughes[0] certainly[0] believes[0] in[0] santa[0] claus[0] and[0] his[0] les[0] mayfield[0] directed[0] production[0] does[0] nothing[0] to[0] tarnish[0] the[0] memory[0] of[0] the[0] 1947[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the romance between costars dylan mcdermott and elizabeth perkins doesn't work too well , but the film makes a strong case that richard attenborough is the definitive kriss kringle . 	the romance between costars dylan mcdermott and elizabeth perkins doesn't work too well , but the film makes a strong case that richard attenborough is the definitive kriss kringle .	4	-1	 the[0] romance[3] between[0] costars[0] dylan[0] mcdermott[0] and[0] elizabeth[0] perkins[0] doesn't[0] work[0] too[0] well[0] but[0] the[0] film[0] makes[0] a[0] strong[0] case[0] that[0] richard[0] attenborough[0] is[0] the[0] definitive[0] kriss[0] kringle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his chemistry with children can moisten any eye . 	his chemistry with children can moisten any eye .	1	-1	 his[0] chemistry[0] with[0] children[0] can[0] moisten[0] any[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no claus for alarm . 	no claus for alarm .	1	-3	 no[0] claus[0] for[0] alarm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
junior        	junior       	1	-1	 junior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arnold schwarzenegger pregnant ? 	arnold schwarzenegger pregnant ?	1	-1	 arnold[0] schwarzenegger[0] pregnant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , billy crystal did it before in rabbit test , but the sight of schwarz with a bulging belly is a casting coup comparable to dustin hoffman in tootsie . 	sure , billy crystal did it before in rabbit test , but the sight of schwarz with a bulging belly is a casting coup comparable to dustin hoffman in tootsie .	1	-1	 sure[0] billy[0] crystal[0] did[0] it[0] before[0] in[0] rabbit[0] test[0] but[0] the[0] sight[0] of[0] schwarz[0] with[0] a[0] bulging[0] belly[0] is[0] a[0] casting[0] coup[0] comparable[0] to[0] dustin[0] hoffman[0] in[0] tootsie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what should be nothing more than a one-joke premise actually gets better as it goes along . 	what should be nothing more than a one-joke premise actually gets better as it goes along .	2	-1	 what[0] should[0] be[0] nothing[0] more[0] than[0] a[0] one[0] joke[1] premise[0] actually[0] gets[0] better[0] as[0] it[0] goes[0] along[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director ivan reitman ( dave , twins ) wisely keeps the farce to a minimum , so the first hour moves slower than you might expect . 	director ivan reitman ( dave , twins ) wisely keeps the farce to a minimum , so the first hour moves slower than you might expect .	1	-2	 director[0] ivan[0] reitman[0] dave[0] twins[0] wisely[0] keeps[0] the[0] farce[-1] to[0] a[0] minimum[0] so[0] the[0] first[0] hour[0] moves[0] slower[0] than[0] you[0] might[0] expect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't expect too many yuks from danny devito , but you can't beat those early romantic scenes between emma and arnie . 	don't expect too many yuks from danny devito , but you can't beat those early romantic scenes between emma and arnie .	4	-1	 don't[0] expect[0] too[0] many[0] yuks[0] from[0] danny[0] devito[0] but[0] you[0] can't[0] beat[0] those[0] early[0] romantic[3] scenes[0] between[0] emma[0] and[0] arnie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
how's * that * for a collision of acting styles ? 	how's * that * for a collision of acting styles ?	1	-2	 how's[0] that[0] for[0] a[0] collision[-1] of[0] acting[0] styles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
