insane ( but inspired ) musical about alferd packer , the first man ever tried for cannibalism in america . 	Translation	Positive	Negative	EmotionRationale
you'll be hard pressed to get  it's a shpadoinkle day' out of your head once you've heard it ( incidentally , the braniff logo that appears at the end of every " south park " episode is scored with a few notes from this song ) . 	you'll be hard pressed to get  it's a shpadoinkle day' out of your head once you've heard it ( incidentally , the braniff logo that appears at the end of every " south park " episode is scored with a few notes from this song ) .	1	-1	 you'll[0] be[0] hard[0] pressed[0] to[0] get[0] it's[0] a[0] shpadoinkle[0] day'[0] out[0] of[0] your[0] head[0] once[0] you've[0] heard[0] it[0] incidentally[0] the[0] braniff[0] logo[0] that[0] appears[0] at[0] the[0] end[0] of[0] every[0] south[0] park[0] episode[0] is[0] scored[0] with[0] a[0] few[0] notes[0] from[0] this[0] song[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other songs you'll find yourself humming include  when i was on top of you' ( a love ballad ) ,  the trapper's song' ( the villains leit motif ) , and  hang the bastard' ( the rousing finale ) . 	other songs you'll find yourself humming include  when i was on top of you' ( a love ballad ) ,  the trapper's song' ( the villains leit motif ) , and  hang the bastard' ( the rousing finale ) .	3	-3	 other[0] songs[0] you'll[0] find[0] yourself[0] humming[0] include[0] when[0] i[0] was[0] on[0] top[0] of[0] you'[0] a[0] love[2] ballad[0] the[0] trapper's[0] song'[0] the[0] villains[-2] leit[0] motif[0] and[0] hang[-1] the[0] bastard'[-2] the[0] rousing[0] finale[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
thankfully , none of these songs are quite as embarrassing to find yourself singing in public as south park : bigger , longer & uncut's songs are . 	thankfully , none of these songs are quite as embarrassing to find yourself singing in public as south park : bigger , longer & uncut's songs are .	2	-3	 thankfully[1] none[0] of[0] these[0] songs[0] are[0] quite[0] as[0] embarrassing[-2] to[0] find[0] yourself[0] singing[0] in[0] public[0] as[0] south[0] park[0] bigger[0] longer[0] &[0] uncut's[0] songs[0] are[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
released as a pick-up through troma studios , the film is available on videocassette and dvd . 	released as a pick-up through troma studios , the film is available on videocassette and dvd .	1	-1	 released[0] as[0] a[0] pick[0] up[0] through[0] troma[0] studios[0] the[0] film[0] is[0] available[0] on[0] videocassette[0] and[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the videocassette includes an intro by the beautiful jane jensen and an interview segment with lloyd kaufman , discussing his admiration for parker and stone and the fact that they had been hired for a zucker brothers film ( which turned out to be the hilarious baseketball ) . 	the videocassette includes an intro by the beautiful jane jensen and an interview segment with lloyd kaufman , discussing his admiration for parker and stone and the fact that they had been hired for a zucker brothers film ( which turned out to be the hilarious baseketball ) .	3	-1	 the[0] videocassette[0] includes[0] an[0] intro[0] by[0] the[0] beautiful[2] jane[0] jensen[0] and[0] an[0] interview[0] segment[0] with[0] lloyd[0] kaufman[0] discussing[0] his[0] admiration[2] for[0] parker[0] and[0] stone[0] and[0] the[0] fact[0] that[0] they[0] had[0] been[0] hired[0] for[0] a[0] zucker[0] brothers[0] film[0] which[0] turned[0] out[0] to[0] be[0] the[0] hilarious[2] baseketball[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are also multiple trailers for upcoming troma films . 	there are also multiple trailers for upcoming troma films .	1	-1	 there[0] are[0] also[0] multiple[0] trailers[0] for[0] upcoming[0] troma[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for the dvd . . . 	as for the dvd .<br> .<br> .	1	-1	 as[0] for[0] the[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , that's a different story . 	well , that's a different story .	1	-1	 well[0] that's[0] a[0] different[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably one of the best dvd packages of the year ( and potentially of all time ) , cannibal ! 	probably one of the best dvd packages of the year ( and potentially of all time ) , cannibal !	2	-2	 probably[0] one[0] of[0] the[0] best[1] dvd[0] packages[0] of[0] the[0] year[0] and[0] potentially[0] of[0] all[0] time[0] cannibal[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the musical ! 	the musical !	1	-1	 the[0] musical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dvd is a massive achievement . 	the dvd is a massive achievement .	1	-1	 the[0] dvd[0] is[0] a[0] massive[0] achievement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
presented in 1 . 33 : 1 ( full frame ) only , the disc has the usual troma inclusions : the tour of troma , the troma intelligence test 2 , trailers for upcoming releases , but where the disc truly shines is in its cannibal ! 	presented in 1 .<br> 33 : 1 ( full frame ) only , the disc has the usual troma inclusions : the tour of troma , the troma intelligence test 2 , trailers for upcoming releases , but where the disc truly shines is in its cannibal !	2	-2	 presented[0] in[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 33[0] 1[0] full[0] frame[0] only[0] the[0] disc[0] has[0] the[0] usual[0] troma[0] inclusions[0] the[0] tour[0] of[0] troma[0] the[0] troma[0] intelligence[0] test[0] 2[0] trailers[0] for[0] upcoming[0] releases[0] but[0] where[0] the[0] disc[0] truly[1] shines[0] is[0] in[0] its[0] cannibal[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
specific extras . 	specific extras .	1	-1	 specific[0] extras[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first thing i must note is , the transfer is about as beautiful as any i've ever seen on any disc . 	the first thing i must note is , the transfer is about as beautiful as any i've ever seen on any disc .	3	-1	 the[0] first[0] thing[0] i[0] must[0] note[0] is[0] the[0] transfer[0] is[0] about[0] as[0] beautiful[2] as[0] any[0] i've[0] ever[0] seen[0] on[0] any[0] disc[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the picture is crisp , clear , and free from any noticeable artifacts . 	the picture is crisp , clear , and free from any noticeable artifacts .	1	-1	 the[0] picture[0] is[0] crisp[0] clear[0] and[0] free[0] from[0] any[0] noticeable[0] artifacts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
add to that one of the funniest commentary tracks i have ever heard , featuring trey parker , matt stone , jason mchugh , dian bachar , and andy kemler getting drunker and drunker as the track continues and you still haven't scratched the surface of the extras . 	add to that one of the funniest commentary tracks i have ever heard , featuring trey parker , matt stone , jason mchugh , dian bachar , and andy kemler getting drunker and drunker as the track continues and you still haven't scratched the surface of the extras .	2	-2	 add[0] to[0] that[0] one[0] of[0] the[0] funniest[1] commentary[0] tracks[0] i[0] have[0] ever[0] heard[0] featuring[0] trey[0] parker[0] matt[0] stone[0] jason[0] mchugh[0] dian[0] bachar[0] and[0] andy[0] kemler[0] getting[0] drunker[-1] and[0] drunker[-1] as[0] the[0] track[0] continues[0] and[0] you[0] still[0] haven't[0] scratched[0] the[0] surface[0] of[0] the[0] extras[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's also behind the scenes footage of the shooting of the film , a clip with trey , matt , and lemmy ( of the band motorhead ) from the film terror firmer , an index for easy location of all of the songs in the film , and finally , an index of all the songs as performed by the cast of a stage production of cannibal ! . 	there's also behind the scenes footage of the shooting of the film , a clip with trey , matt , and lemmy ( of the band motorhead ) from the film terror firmer , an index for easy location of all of the songs in the film , and finally , an index of all the songs as performed by the cast of a stage production of cannibal !<br> .	1	-2	 there's[0] also[0] behind[0] the[0] scenes[0] footage[0] of[0] the[0] shooting[-1] of[0] the[0] film[0] a[0] clip[0] with[0] trey[0] matt[0] and[0] lemmy[0] of[0] the[0] band[0] motorhead[0] from[0] the[0] film[0] terror[-1] firmer[0] an[0] index[0] for[0] easy[0] location[0] of[0] all[0] of[0] the[0] songs[0] in[0] the[0] film[0] and[0] finally[0] an[0] index[0] of[0] all[0] the[0] songs[0] as[0] performed[0] by[0] the[0] cast[0] of[0] a[0] stage[0] production[0] of[0] cannibal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's good to see this film finally get the treatment it deserves . 	it's good to see this film finally get the treatment it deserves .	2	-1	 it's[0] good[1] to[0] see[0] this[0] film[0] finally[0] get[0] the[0] treatment[0] it[0] deserves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kudos to the entire production staff at troma and aix for making one of the most entertaining dvds i have seen in a very long time . 	kudos to the entire production staff at troma and aix for making one of the most entertaining dvds i have seen in a very long time .	1	-1	 kudos[0] to[0] the[0] entire[0] production[0] staff[0] at[0] troma[0] and[0] aix[0] for[0] making[0] one[0] of[0] the[0] most[0] entertaining[0] dvds[0] i[0] have[0] seen[0] in[0] a[0] very[0] long[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
