if this keeps up , jane austen ( sense and sensibility , pride and prejudice ) may have to apply for posthumous membership to the screen writers guild . 	Translation	Positive	Negative	EmotionRationale
this is a difficult device to work seamlessly into a period film and it is to ms . o'connor's credit that it works as well as it does . 	this is a difficult device to work seamlessly into a period film and it is to ms .<br> o'connor's credit that it works as well as it does .	1	-2	 this[0] is[0] a[0] difficult[-1] device[0] to[0] work[0] seamlessly[0] into[0] a[0] period[0] film[0] and[0] it[0] is[0] to[0] ms[0] [[Sentence=-2,1=word max, 1-5]] o'connor's[0] credit[0] that[0] it[0] works[0] as[0] well[0] as[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the central theme which gives the story its legs in an old one . . . 	the central theme which gives the story its legs in an old one .<br> .<br> .	1	-1	 the[0] central[0] theme[0] which[0] gives[0] the[0] story[0] its[0] legs[0] in[0] an[0] old[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether it is better to marry for love or for social standing ? 	whether it is better to marry for love or for social standing ?	3	-1	 whether[0] it[0] is[0] better[0] to[0] marry[0] for[0] love[2] or[0] for[0] social[0] standing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fanny has fallen in love with her cousin edmund ( jonny lee miller , plunkett & macleane ) who appears fond of her as well . 	fanny has fallen in love with her cousin edmund ( jonny lee miller , plunkett & macleane ) who appears fond of her as well .	3	-1	 fanny[0] has[0] fallen[0] in[0] love[2] with[0] her[0] cousin[0] edmund[0] jonny[0] lee[0] miller[0] plunkett[0] &[0] macleane[0] who[0] appears[0] fond[2] of[0] her[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his attentions are soon divided as the stylish and socially acceptable mary crawford ( embeth davidtz , bicentennial man ) enters the picture along with her equally acceptable brother henry ( alessandro nivola , inventing the abbotts ) who eventually sets his romantic sights upon fanny . 	his attentions are soon divided as the stylish and socially acceptable mary crawford ( embeth davidtz , bicentennial man ) enters the picture along with her equally acceptable brother henry ( alessandro nivola , inventing the abbots ) who eventually sets his romantic sights upon fanny .	4	-1	 his[0] attentions[0] are[0] soon[0] divided[0] as[0] the[0] stylish[0] and[0] socially[0] acceptable[0] mary[0] crawford[0] embeth[0] davidtz[0] bicentennial[0] man[0] enters[0] the[0] picture[0] along[0] with[0] her[0] equally[0] acceptable[0] brother[0] henry[0] alessandro[0] nivola[0] inventing[0] the[0] abbotts/abbots[0] who[0] eventually[0] sets[0] his[0] romantic[3] sights[0] upon[0] fanny[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
while mary and henry are evidently less than sincere in their affections , their presence does provide the movie and the main characters with the necessary conflict that keeps our interest until the film's appropriately austen-like ending . 	while mary and henry are evidently less than sincere in their affections , their presence does provide the movie and the main characters with the necessary conflict that keeps our interest until the film's appropriately austen-like ending .	3	-2	 while[0] mary[0] and[0] henry[0] are[0] evidently[0] less[0] than[0] sincere[0] in[0] their[0] affections[2] their[0] presence[0] does[0] provide[0] the[0] movie[0] and[0] the[0] main[0] characters[0] with[0] the[0] necessary[0] conflict[-1] that[0] keeps[0] our[0] interest[1] until[0] the[0] film's[0] appropriately[0] austen[0] like[1] ending[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
other thematic devices include a awkwardly inserted reference to the source of the wealth of mansfield park . . . 	other thematic devices include a awkwardly inserted reference to the source of the wealth of mansfield park .<br> .<br> .	1	-2	 other[0] thematic[0] devices[0] include[0] a[0] awkwardly[-1] inserted[0] reference[0] to[0] the[0] source[-1] of[0] the[0] wealth[0] of[0] mansfield[0] park[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the slave trade . 	the slave trade .	1	-1	 the[0] slave[0] trade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also a hint of both lesbianism and incest but neither is carried very far and is soon forgotten . 	there is also a hint of both lesbianism and incest but neither is carried very far and is soon forgotten .	1	-1	 there[0] is[0] also[0] a[0] hint[0] of[0] both[0] lesbianism[0] and[0] incest[0] but[0] neither[0] is[0] carried[0] very[0] far[0] and[0] is[0] soon[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the motivation for marriage remains the primary thematic thrust . 	the motivation for marriage remains the primary thematic thrust .	1	-1	 the[0] motivation[0] for[0] marriage[0] remains[0] the[0] primary[0] thematic[0] thrust[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fanny's cousin , maria bertram ( victoria hamilton , persuasion ) is an example of one making a poor match , marrying a well-to-do fool who is able to make her comfortable , but never happy . 	fanny's cousin , maria bertram ( victoria hamilton , persuasion ) is an example of one making a poor match , marrying a well-to-do fool who is able to make her comfortable , but never happy .	2	-2	 fanny's[0] cousin[0] maria[0] bertram[0] victoria[0] hamilton[0] persuasion[0] is[0] an[0] example[0] of[0] one[0] making[0] a[0] poor[-1] match[0] marrying[0] a[0] well[0] to[0] do[0] fool[-1] who[0] is[0] able[0] to[0] make[0] her[0] comfortable[1] but[0] never[0] happy[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fanny's own mother , trapped in her chosen life of squalor warns fanny by admitting that her situation is due to the fact that she " married for love . " 	fanny's own mother , trapped in her chosen life of squalor warns fanny by admitting that her situation is due to the fact that she " married for love .<br> "	3	-1	 fanny's[0] own[0] mother[0] trapped[0] in[0] her[0] chosen[0] life[0] of[0] squalor[0] warns[0] fanny[0] by[0] admitting[0] that[0] her[0] situation[0] is[0] due[0] to[0] the[0] fact[0] that[0] she[0] married[0] for[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fanny , given those two terrible examples , and faced with the same choice is understandably indecisive as to which way to lean . 	fanny , given those two terrible examples , and faced with the same choice is understandably indecisive as to which way to lean .	1	-4	 fanny[0] given[0] those[0] two[0] terrible[-3] examples[0] and[0] faced[0] with[0] the[0] same[0] choice[0] is[0] understandably[0] indecisive[-1] as[0] to[0] which[0] way[0] to[0] lean[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the spiritual answer , of course , lies in the middle of those two extremes . 	the spiritual answer , of course , lies in the middle of those two extremes .	1	-3	 the[0] spiritual[0] answer[0] of[0] course[0] lies[-2] in[0] the[0] middle[0] of[0] those[0] two[0] extremes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
marriage is not a cold , calculating decision based upon self-preservation . 	marriage is not a cold , calculating decision based upon self-preservation .	2	-1	 marriage[0] is[0] not[0] a[0] cold[-1][NegatedDueToPreviousWord] calculating[0] decision[0] based[0] upon[0] self[0] preservation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neither is it a senseless decision made in the warm afterglow of a passionate embrace . 	neither is it a senseless decision made in the warm afterglow of a passionate embrace .	3	-2	 neither[0] is[0] it[0] a[0] senseless[-1] decision[0] made[0] in[0] the[0] warm[0] afterglow[0] of[0] a[0] passionate[2] embrace[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the purest sense , marriage forms an insoluble union whereby two people agree to function as one . 	in the purest sense , marriage forms an insoluble union whereby two people agree to function as one .	1	-1	 in[0] the[0] purest[0] sense[0] marriage[0] forms[0] an[0] insoluble[0] union[0] whereby[0] two[0] people[0] agree[0] to[0] function[0] as[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " and said , for this cause shall a man leave father and mother , and shall cleave to his wife : and they twain shall be one flesh ? " 	 " and said , for this cause shall a man leave father and mother , and shall cleave to his wife : and they twain shall be one flesh ?<br> "	1	-1	 and[0] said[0] for[0] this[0] cause[0] shall[0] a[0] man[0] leave[0] father[0] and[0] mother[0] and[0] shall[0] cleave[0] to[0] his[0] wife[0] and[0] they[0] twain[0] shall[0] be[0] one[0] flesh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew 19 : 5 [kjv] 	matthew 19 : 5 [kjv]	1	-1	 matthew[0] 19[0] 5[0] [kjv][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
love and logic can be combined . 	love and logic can be combined .	3	-1	 love[2] and[0] logic[0] can[0] be[0] combined[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
god's word contains both . 	god's word contains both .	1	-1	 god's[0] word[0] contains[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so does a marriage based upon his truth . 	so does a marriage based upon his truth .	2	-1	 so[0] does[0] a[0] marriage[0] based[0] upon[0] his[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
