the 1990s produced two brilliant science fiction films . 	Translation	Positive	Negative	EmotionRationale
despite its philosophical challenges , _the thirteenth floor_ derives its emotional force from the love story between jane fuller ( mol ) and douglas hall ( bierko ) , as well as the close friendship between douglas hall and hannon fuller . 	despite its philosophical challenges , _the thirteenth floor_ derives its emotional force from the love story between jane fuller ( mol ) and douglas hall ( bierko ) , as well as the close friendship between douglas hall and hannon fuller .	3	-2	 despite[0] its[0] philosophical[0] challenges[-1] _the[0] thirteenth[0] floor_[0] derives[0] its[0] emotional[-1] force[-1] from[0] the[0] love[2] story[0] between[0] jane[0] fuller[0] mol[0] and[0] douglas[0] hall[0] bierko[0] as[0] well[0] as[0] the[0] close[0] friendship[1] between[0] douglas[0] hall[0] and[0] hannon[0] fuller[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in that sense it is more akin to _gattaca_ than _the matrix_ , which , for all of its cute philosophical byplay , is an adolescent movie with no emotional depth whatsoever . 	in that sense it is more akin to _gattaca_ than _the matrix_ , which , for all of its cute philosophical byplay , is an adolescent movie with no emotional depth whatsoever .	2	-2	 in[0] that[0] sense[0] it[0] is[0] more[0] akin[0] to[0] _gattaca_[0] than[0] _the[0] matrix_[0] which[0] for[0] all[0] of[0] its[0] cute[1] philosophical[0] byplay[0] is[0] an[0] adolescent[0] movie[0] with[0] no[0] emotional[-1] depth[0] whatsoever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the moment when jane fuller confesses her love for douglas hall is at once satisfying , wrenching and intellectually challenging . 	the moment when jane fuller confesses her love for douglas hall is at once satisfying , wrenching and intellectually challenging .	3	-2	 the[0] moment[0] when[0] jane[0] fuller[0] confesses[-1] her[0] love[2] for[0] douglas[0] hall[0] is[0] at[0] once[0] satisfying[1] wrenching[0] and[0] intellectually[0] challenging[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in its final moments the film even takes on itself , when david , jane's husband , who has come to enjoy killing , accuses her of being the sick one . 	in its final moments the film even takes on itself , when david , jane's husband , who has come to enjoy killing , accuses her of being the sick one .	3	-2	 in[0] its[0] final[0] moments[0] the[0] film[0] even[0] takes[0] on[0] itself[0] when[0] david[0] jane's[0] husband[0] who[0] has[0] come[0] to[0] enjoy[2] killing[-1] accuses[-1] her[0] of[0] being[0] the[0] sick[-1] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
although there is a victory for the leading characters , this resolution suggests a disturbing element of fantasy in jane , and thus a deep-seated character flaw . 	although there is a victory for the leading characters , this resolution suggests a disturbing element of fantasy in jane , and thus a deep-seated character flaw .	1	-2	 although[0] there[0] is[0] a[0] victory[0] for[0] the[0] leading[0] characters[0] this[0] resolution[0] suggests[0] a[0] disturbing[-1] element[0] of[0] fantasy[0] in[0] jane[0] and[0] thus[0] a[0] deep[0] seated[0] character[0] flaw[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , hannon fuller's activities in the simulated world , the behavior of jane's husband , and the effects of entering the simulation on douglas hall all hint at similar issues with those characters . 	in fact , hannon fuller's activities in the simulated world , the behavior of jane's husband , and the effects of entering the simulation on douglas hall all hint at similar issues with those characters .	1	-1	 in[0] fact[0] hannon[0] fuller's[0] activities[0] in[0] the[0] simulated[0] world[0] the[0] behavior[0] of[0] jane's[0] husband[0] and[0] the[0] effects[0] of[0] entering[0] the[0] simulation[0] on[0] douglas[0] hall[0] all[0] hint[0] at[0] similar[0] issues[0] with[0] those[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not a film of good people beset from without by great evil . 	this is not a film of good people beset from without by great evil .	3	-3	 this[0] is[0] not[0] a[0] film[0] of[0] good[1] people[0] beset[-1] from[0] without[0] by[0] great[2] evil[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the tragedy is not in their stars , but in themselves . 	the tragedy is not in their stars , but in themselves .	1	-3	 the[0] tragedy[-2] is[0] not[0] in[0] their[0] stars[0] but[0] in[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the major actors , all of whom are required to play two or even three roles , perform extremely well . 	the major actors , all of whom are required to play two or even three roles , perform extremely well .	1	-1	 the[0] major[0] actors[0] all[0] of[0] whom[0] are[0] required[0] to[0] play[0] two[0] or[0] even[0] three[0] roles[0] perform[0] extremely[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bierko , who will be familiar as the psycho from _the long kiss goodnight_ , is outstanding . 	bierko , who will be familiar as the psycho from _the long kiss goodnight_ , is outstanding .	3	-1	 bierko[0] who[0] will[0] be[0] familiar[0] as[0] the[0] psycho[0] from[0] _the[0] long[0] kiss[2] goodnight_[0] is[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
d'onofrio as whitney , who plays a pivotal role in support , also turns in a good performance . 	d'onofrio as whitney , who plays a pivotal role in support , also turns in a good performance .	2	-1	 d'onofrio[0] as[0] whitney[0] who[0] plays[1] a[0] pivotal[0] role[0] in[0] support[1] also[0] turns[0] in[0] a[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the lovely gretchen mol , whose elegance , integrity , and determination suggest bergman in _casablanca_ , does a wonderful job . 	the lovely gretchen mol , whose elegance , integrity , and determination suggest bergman in _casablanca_ , does a wonderful job .	3	-1	 the[0] lovely[1] gretchen[0] mol[0] whose[0] elegance[1] integrity[0] and[0] determination[0] suggest[0] bergman[0] in[0] _casablanca_[0] does[0] a[0] wonderful[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her voice , however , lacks the necessary weight at times . 	her voice , however , lacks the necessary weight at times .	1	-1	 her[0] voice[0] however[0] lacks[0] the[0] necessary[0] weight[0] at[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this could be because she was given the worst lines in a movie whose major weakness is the script . 	this could be because she was given the worst lines in a movie whose major weakness is the script .	1	-3	 this[0] could[0] be[0] because[0] she[0] was[0] given[0] the[0] worst[-2] lines[0] in[0] a[0] movie[0] whose[0] major[0] weakness[-1] is[0] the[0] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some minor flaws , hairline cracks in fine porcelain , appear in places . 	some minor flaws , hairline cracks in fine porcelain , appear in places .	3	-1	 some[0] minor[0] flaws[0] hairline[0] cracks[0] in[0] fine[2] porcelain[0] appear[0] in[0] places[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are one or two instances of jerky editing . 	there are one or two instances of jerky editing .	1	-1	 there[0] are[0] one[0] or[0] two[0] instances[0] of[0] jerky[0] editing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script takes the edge off the film's climaxes . 	the script takes the edge off the film's climaxes .	1	-1	 the[0] script[0] takes[0] the[0] edge[0] off[0] the[0] film's[0] climaxes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the atmosphere becomes too claustrophobic at times ( yet , there is a clue there too ) . 	the atmosphere becomes too claustrophobic at times ( yet , there is a clue there too ) .	1	-1	 the[0] atmosphere[0] becomes[0] too[0] claustrophobic[0] at[0] times[0] yet[0] there[0] is[0] a[0] clue[0] there[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one wonders if even after two decades , _blade runner_ is still casting its long shadow over sci-fi films . 	one wonders if even after two decades , _blade runner_ is still casting its long shadow over sci-fi films .	1	-1	 one[0] wonders[0] if[0] even[0] after[0] two[0] decades[0] _blade[0] runner_[0] is[0] still[0] casting[0] its[0] long[0] shadow[0] over[0] sci[0] fi[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one can see a group of suits in their suite , waving their hands imperiously at directors like the emperor in _amadeus_ : " make it more like_blade runner_ , you know , dark and rainy . " 	one can see a group of suits in their suite , waving their hands imperiously at directors like the emperor in _amadeus_ : " make it more like_blade runner_ , you know , dark and rainy .<br> "	2	-1	 one[0] can[0] see[0] a[0] group[0] of[0] suits[0] in[0] their[0] suite[0] waving[0] their[0] hands[0] imperiously[0] at[0] directors[0] like[1] the[0] emperor[0] in[0] _amadeus_[0] make[0] it[0] more[0] like_blade[0] runner_[0] you[0] know[0] dark[0] and[0] rainy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
_the thirteen floor_ is that rare exception among hollywood movies : a , rich , emotionally satisfying , intelligent sci-fi movie . 	_the thirteen floor_ is that rare exception among hollywood movies : a , rich , emotionally satisfying , intelligent sci-fi movie .	2	-1	 _the[0] thirteen[0] floor_[0] is[0] that[0] rare[0] exception[0] among[0] hollywood[0] movies[0] a[0] rich[0] emotionally[0] satisfying[1] intelligent[1] sci[0] fi[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and yet , ultimately , it proves the suits right . 	and yet , ultimately , it proves the suits right .	1	-1	 and[0] yet[0] ultimately[0] it[0] proves[0] the[0] suits[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for when good sci-fi is made , where is the sf community turning out in droves to see it ? 	for when good sci-fi is made , where is the sf community turning out in droves to see it ?	2	-1	 for[0] when[0] good[1] sci[0] fi[0] is[0] made[0] where[0] is[0] the[0] sf[0] community[0] turning[0] out[0] in[0] droves[0] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if we don't support great sf , who will ? 	if we don't support great sf , who will ?	1	-3	 if[0] we[0] don't[0] support[1][NegatedDueToPreviousWord] great[2][NegatedDueToPreviousWord] sf[0] who[0] will[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
