after indecent proposal and up close and personal , redford was wise to direct himself in a picture at last . 	Translation	Positive	Negative	EmotionRationale
the horse whisperer is delicately made . 	the horse whisperer is delicately made .	1	-1	 the[0] horse[0] whisperer[0] is[0] delicately[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i dare say lyrical , since to many people's ear , that word is synonymous with boring . 	i dare say lyrical , since to many people's ear , that word is synonymous with boring .	1	-2	 i[0] dare[0] say[0] lyrical[0] since[0] to[0] many[0] people's[0] ear[0] that[0] word[0] is[0] synonymous[0] with[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hardly . 	hardly .	1	-1	 hardly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the horse whisperer has little to offer in the way of surprise , but it does have an honesty that is refreshing and consistently enjoyable to watch , especially in the final third of the story . 	the horse whisperer has little to offer in the way of surprise , but it does have an honesty that is refreshing and consistently enjoyable to watch , especially in the final third of the story .	3	-1	 the[0] horse[0] whisperer[0] has[0] little[0] to[0] offer[0] in[0] the[0] way[0] of[0] surprise[0] but[0] it[0] does[0] have[0] an[0] honesty[1] that[0] is[0] refreshing[0] and[0] consistently[0] enjoyable[2] to[0] watch[0] especially[0] in[0] the[0] final[0] third[0] of[0] the[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scott-thomas and johanssen seem like mother and daughter , and you have no doubt believing that the mountain vistas would put these new yorkers under a spell , especially since d . p . 	scot-thomas and johanssen seem like mother and daughter , and you have no doubt believing that the mountain vistas would put these new yorkers under a spell , especially since d .<br> p .	2	-2	 scott/scot[0] thomas[0] and[0] johanssen[0] seem[0] like[1] mother[0] and[0] daughter[0] and[0] you[0] have[0] no[0] doubt[-1] believing[0] that[0] the[0] mountain[0] vistas[0] would[0] put[0] these[0] new[0] yorkers[0] under[0] a[0] spell[0] especially[0] since[0] d[0] [[Sentence=-2,2=word max, 1-5]] p[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
robert richardson's photography casts montana as heaven on earth . 	robert richardson's photography casts montana as heaven on earth .	2	-1	 robert[0] richardson's[0] photography[0] casts[0] montana[0] as[0] heaven[1] on[0] earth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( a gimmicky but effective technique the filmmakers employ is a switch in aspect ratio from squarish to widescreen when the central location shifts from new york to montana . ) 	 ( a gimmicky but effective technique the filmmakers employ is a switch in aspect ratio from squarish to widescreen when the central location shifts from new york to montana .<br> )	1	-1	 a[0] gimmicky[0] but[0] effective[0] technique[0] the[0] filmmakers[0] employ[0] is[0] a[0] switch[0] in[0] aspect[0] ratio[0] from[0] squarish[0] to[0] widescreen[0] when[0] the[0] central[0] location[0] shifts[0] from[0] new[0] york[0] to[0] montana[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the underrated sam neill turns in perhaps his most heartfelt , emotive performance as the nice-guy husband , who is as authoritive and likeable as tom . 	the underrated sam neill turns in perhaps his most heartfelt , emotive performance as the nice-guy husband , who is as authoritive and likeable as tom .	3	-1	 the[0] underrated[0] sam[0] neill[0] turns[0] in[0] perhaps[0] his[0] most[0] heartfelt[1] emotive[0] performance[0] as[0] the[0] nice[1] guy[0] husband[0] who[0] is[0] as[0] authoritive[0] and[0] likeable[2] as[0] tom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is indeed a refreshing change from the sexist , lout of a husband so many writers resort to as a short-cut for explaining away the cheating spouse's motivation . 	he is indeed a refreshing change from the sexist , lout of a husband so many writers resort to as a short-cut for explaining away the cheating spouse's motivation .	1	-3	 he[0] is[0] indeed[0] a[0] refreshing[0] change[0] from[0] the[0] sexist[-2] lout[0] of[0] a[0] husband[0] so[0] many[0] writers[0] resort[0] to[0] as[0] a[0] short[0] cut[0] for[0] explaining[0] away[0] the[0] cheating[-2] spouse's[0] motivation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , one of the horse whisperer's only flaws is the chemistry between would-be lovers scott-thomas and redford . 	unfortunately , one of the horse whisperer's only flaws is the chemistry between would-be lovers scot-thomas and redford .	4	-2	 unfortunately[-1] one[0] of[0] the[0] horse[0] whisperer's[0] only[0] flaws[0] is[0] the[0] chemistry[0] between[0] would[0] be[0] lovers[3] scott/scot[0] thomas[0] and[0] redford[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i liked both of them , but i didn't necessarily believe that redford would fall for such a cold fish , even if the countryside air thawed her slightly . 	i liked both of them , but i didn't necessarily believe that redford would fall for such a cold fish , even if the countryside air thawed her slightly .	3	-2	 i[0] liked[2] both[0] of[0] them[0] but[0] i[0] didn't[0] necessarily[0] believe[0] that[0] redford[0] would[0] fall[0] for[0] such[0] a[0] cold[-1] fish[0] even[0] if[0] the[0] countryside[0] air[0] thawed[0] her[0] slightly[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
luckily ( and curiously ) , this is such a rich and textured movie that it doesn't quite matter-their adultery seems like an afterthought , the obligatory sub-plot that ties many of the characters' complex relationships together . 	luckily ( and curiously ) , this is such a rich and textured movie that it doesn't quite matter-their adultery seems like an afterthought , the obligatory sub-plot that ties many of the characters' complex relationships together .	3	-3	 luckily[2] and[0] curiously[0] this[0] is[0] such[0] a[0] rich[0] and[0] textured[0] movie[0] that[0] it[0] doesn't[0] quite[0] matter[0] their[0] adultery[-2] seems[0] like[1] an[0] afterthought[0] the[0] obligatory[0] sub[0] plot[0] that[0] ties[0] many[0] of[0] the[0] characters'[0] complex[0] relationships[0] together[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
