i relish those rare opportunities when a talented screenwriter can make me feel like a fool . 	Translation	Positive	Negative	EmotionRationale
the two performances -- part of a great top-to-bottom cast -- are effective and connected from the start , yet the script's apparent sympathy with the marital horror stories ben hears makes it difficult to enjoy the romance completely . 	the two performances - part of a great top-to-bottom cast - are effective and connected from the start , yet the script's apparent sympathy with the marital horror stories ben hears makes it difficult to enjoy the romance completely .	4	-4	 the[0] two[0] performances[0] part[0] of[0] a[0] great[2] top[0] to[0] bottom[0] cast[0] are[0] effective[0] and[0] connected[0] from[0] the[0] start[0] yet[0] the[0] script's[0] apparent[0] sympathy[0] with[0] the[0] marital[0] horror[-3] stories[0] ben[0] hears[0] makes[0] it[0] difficult[-1] to[0] enjoy[2] the[0] romance[3] completely[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
lively and funny though it may be on a consistent basis , forces of nature leaves a bitter taste that feels like self-justification . 	lively and funny though it may be on a consistent basis , forces of nature leaves a bitter taste that feels like self-justification .	2	-2	 lively[1] and[0] funny[1] though[0] it[0] may[0] be[0] on[0] a[0] consistent[0] basis[0] forces[0] of[0] nature[0] leaves[0] a[0] bitter[-1] taste[0] that[0] feels[0] like[1] self[0] justification[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the kicker is that those acidic anecdotes serve exactly the opposite purpose , leading to a surprisingly emotional resolution . 	the kicker is that those acidic anecdotes serve exactly the opposite purpose , leading to a surprisingly emotional resolution .	1	-2	 the[0] kicker[-1] is[0] that[0] those[0] acidic[0] anecdotes[0] serve[0] exactly[0] the[0] opposite[0] purpose[0] leading[0] to[0] a[0] surprisingly[0] emotional[-1] resolution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
forces of nature isn't about a man developing a fear of commitment ; it's about a man learning what commitment means _to him_ , learning that it's not what he thought it was . 	forces of nature isn't about a man developing a fear of commitment ; it's about a man learning what commitment means _to him_ , learning that it's not what he thought it was .	1	-4	 forces[0] of[0] nature[0] isn't[0] about[0] a[0] man[0] developing[0] a[0] fear[-3] of[0] commitment[0] it's[0] about[0] a[0] man[0] learning[0] what[0] commitment[0] means[0] _to[0] him_[0] learning[0] that[0] it's[0] not[0] what[0] he[0] thought[0] it[0] was[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lawrence's script feints and dodges before reaching its happy ending , an ending which is happy because people make the choices that make the most sense . 	lawrence's script feints and dodges before reaching its happy ending , an ending which is happy because people make the choices that make the most sense .	2	-1	 lawrence's[0] script[0] feints[0] and[0] dodges[0] before[0] reaching[0] its[0] happy[1] ending[0] an[0] ending[0] which[0] is[0] happy[1] because[0] people[0] make[0] the[0] choices[0] that[0] make[0] the[0] most[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
earlier scenes that might have felt like throwaways take on more resonance , and that bitter taste sweetens into something fresh and genuine . 	earlier scenes that might have felt like throwaways take on more resonance , and that bitter taste sweetens into something fresh and genuine .	2	-2	 earlier[0] scenes[0] that[0] might[0] have[0] felt[0] like[1] throwaways[0] take[0] on[0] more[0] resonance[0] and[0] that[0] bitter[-1] taste[0] sweetens[0] into[0] something[0] fresh[0] and[0] genuine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though one too many plot contrivances keep ben and sarah together through the film , and they do exchange the obligatory mutual character analysis of bickering screen couples , forces of nature wraps up so perfectly that you'll end up remembering the humor and the simple wisdom . 	though one too many plot contrivances keep ben and sarah together through the film , and they do exchange the obligatory mutual character analysis of bickering screen couples , forces of nature wraps up so perfectly that you'll end up remembering the humor and the simple wisdom .	3	-1	 though[0] one[0] too[0] many[0] plot[0] contrivances[0] keep[0] ben[0] and[0] sarah[0] together[0] through[0] the[0] film[0] and[0] they[0] do[0] exchange[0] the[0] obligatory[0] mutual[0] character[0] analysis[0] of[0] bickering[0] screen[0] couples[0] forces[0] of[0] nature[0] wraps[0] up[0] so[0] perfectly[1] that[0] you'll[0] end[0] up[0] remembering[0] the[0] humor[2] and[0] the[0] simple[0] wisdom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is , provided you're not put off by the ridiculously busy direction of bronwen hughes . 	that is , provided you're not put off by the ridiculously busy direction of bronwen hughes .	1	-3	 that[0] is[0] provided[0] you're[0] not[0] put[0] off[0] by[0] the[0] ridiculously[-2] busy[0] direction[0] of[0] bronwen[0] hughes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for a brisk romantic comedy , forces of nature comes loaded with some of the most over-directed scenes of the year : teetering hand-held shots , why-not low or high angles , sweeping pans . 	for a brisk romantic comedy , forces of nature comes loaded with some of the most over-directed scenes of the year : teetering hand-held shots , why-not low or high angles , sweeping pans .	4	-1	 for[0] a[0] brisk[0] romantic[3] comedy[0] forces[0] of[0] nature[0] comes[0] loaded[0] with[0] some[0] of[0] the[0] most[0] over[0] directed[0] scenes[0] of[0] the[0] year[0] teetering[0] hand[0] held[0] shots[0] why[0] not[0] low[-1][NegatedDueToPreviousWord] or[0] high[0] angles[0] sweeping[0] pans[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
occasionally the hyper-real approach works , with cinematographer elliot davis creating a world of fantasy romance ; far more often , hughes refuses to let a scene be what it is , covering it with flourishes so thick you almost can't find what's underneath . 	occasionally the hyper-real approach works , with cinematographer elliot davis creating a world of fantasy romance ; far more often , hughes refuses to let a scene be what it is , covering it with flourishes so thick you almost can't find what's underneath .	4	-2	 occasionally[0] the[0] hyper[0] real[0] approach[0] works[0] with[0] cinematographer[0] elliot[0] davis[0] creating[0] a[0] world[0] of[0] fantasy[0] romance[3] far[0] more[0] often[0] hughes[0] refuses[-1] to[0] let[0] a[0] scene[0] be[0] what[0] it[0] is[0] covering[0] it[0] with[0] flourishes[0] so[0] thick[0] you[0] almost[0] can't[0] find[0] what's[0] underneath[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
a script this smart and mature deserved a more restrained director , but even hughes' excesses can't spoil this unique concoction . 	a script this smart and mature deserved a more restrained director , but even hughes' excesses can't spoil this unique concoction .	2	-1	 a[0] script[0] this[0] smart[1] and[0] mature[0] deserved[0] a[0] more[0] restrained[0] director[0] but[0] even[0] hughes'[0] excesses[0] can't[0] spoil[-1][NegatedDueToPreviousWord] this[0] unique[0] concoction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
forces of nature may restore your faith in romantic comedy as something with the power to enchant , something that can make you happy to be proved wrong when you expect a tale for and about adolescents . 	forces of nature may restore your faith in romantic comedy as something with the power to enchant , something that can make you happy to be proved wrong when you expect a tale for and about adolescents .	4	-2	 forces[0] of[0] nature[0] may[0] restore[0] your[0] faith[1] in[0] romantic[3] comedy[0] as[0] something[0] with[0] the[0] power[0] to[0] enchant[0] something[0] that[0] can[0] make[0] you[0] happy[1] to[0] be[0] proved[0] wrong[-1] when[0] you[0] expect[0] a[0] tale[0] for[0] and[0] about[0] adolescents[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
