the premise of the new teen-targeted horror film `final destination' causes a recollection of a memorable `simpsons' halloween episode . 	Translation	Positive	Negative	EmotionRationale
in a panic of sheer lunacy , alex charges his way through the aisle and demands removal from the aircraft . 	in a panic of sheer lunacy , alex charges his way through the aisle and demands removal from the aircraft .	1	-3	 in[0] a[0] panic[-2] of[0] sheer[0] lunacy[0] alex[0] charges[-1] his[0] way[0] through[0] the[0] aisle[0] and[0] demands[0] removal[0] from[0] the[0] aircraft[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a handful of others ( including one teacher ) follow and are denied admittance back onto the plane , the unwitting ? survivors' watch in horror as the plane actually explodes in the drizzling night sky . 	after a handful of others ( including one teacher ) follow and are denied admittance back onto the plane , the unwitting ?<br> survivors' watch in horror as the plane actually explodes in the drizling night sky .	1	-4	 after[0] a[0] handful[0] of[0] others[0] including[0] one[0] teacher[0] follow[0] and[0] are[0] denied[-1] admittance[0] back[0] onto[0] the[0] plane[0] the[0] unwitting[0] [[Sentence=-2,1=word max, 1-5]] survivors'[0] watch[0] in[0] horror[-3] as[0] the[0] plane[0] actually[0] explodes[-1] in[0] the[0] drizzling/drizling[0] night[0] sky[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the loony vision alex experiences does actually materialize . 	the loony vision alex experiences does actually materialize .	1	-1	 the[0] loony[0] vision[0] alex[0] experiences[0] does[0] actually[0] materialize[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but death won't be cheated so easily , and one by one , the survivors of flight 180 are offed in mysteriously gruesome circumstances . 	but death won't be cheated so easily , and one by one , the survivors of flight 180 are offed in mysteriously gruesome circumstances .	3	-3	 but[0] death[-2] won't[0] be[0] cheated[-2][NegatedDueToPreviousWord] so[0] easily[0] and[0] one[0] by[0] one[0] the[0] survivors[0] of[0] flight[0] 180[0] are[0] offed[0] in[0] mysteriously[0] gruesome[0] circumstances[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the grisly murder count baffles the local officials and fbi . 	the grisly murder count baffles the local officials and fbi .	1	-4	 the[0] grisly[0] murder[-3] count[0] baffles[-1] the[0] local[0] officials[0] and[0] fbi[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
before i delve into the meat of the review , i'd just like to confer . . . . 	before i delve into the meat of the review , i'd just like to confer .<br> .<br> .<br> .	1	-1	 before[0] i[0] delve[0] into[0] the[0] meat[0] of[0] the[0] review[0] i'd[0] just[0] like[1][-1 LastWordBoosterStrength] to[0] confer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is that one helluva premise , or what ? 	is that one helluva premise , or what ?	1	-1	 is[0] that[0] one[0] helluva[0] premise[0] or[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 final destination' , creepy beyond rational comprehension , probably reads more like an unsettling  x-files' episode than  the simpsons' - therefore , the surprise is minimal when you discover the mutual creators behind both are glen morgan and james wong . 	 final destination' , creepy beyond rational comprehension , probably reads more like an unsettling  x-files' episode than  the simpsons' - therefore , the surprise is minimal when you discover the mutual creators behind both are glen morgan and james wong .	2	-2	 final[0] destination'[0] creepy[0] beyond[0] rational[0] comprehension[0] probably[0] reads[0] more[0] like[1] an[0] unsettling[-1] x[1] files'[0] episode[0] than[0] the[0] simpsons'[0] therefore[0] the[0] surprise[0] is[0] minimal[0] when[0] you[0] discover[0] the[0] mutual[0] creators[0] behind[0] both[0] are[0] glen[0] morgan[0] and[0] james[0] wong[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on familiar turf , the task of establishing footing is not difficult for morgan and wong , and the opening 20 minutes of  final destination' reflects that . 	on familiar turf , the task of establishing footing is not difficult for morgan and wong , and the opening 20 minutes of  final destination' reflects that .	2	-1	 on[0] familiar[0] turf[0] the[0] task[0] of[0] establishing[0] footing[0] is[0] not[0] difficult[-1][NegatedDueToPreviousWord] for[0] morgan[0] and[0] wong[0] and[0] the[0] opening[0] 20[0] minutes[0] of[0] final[0] destination'[0] reflects[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unlike most thrillers , the set-up is crisp and cool . 	unlike most thrillers , the set-up is crisp and cool .	2	-1	 unlike[0] most[0] thrillers[1] the[0] set[0] up[0] is[0] crisp[0] and[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you just deeply , sincerely hope that the momentum won't unspool , leaving us with a second-string effort with nothing but cheap , derivative shocks . 	you just deeply , sincerely hope that the momentum won't unspool , leaving us with a second-string effort with nothing but cheap , derivative shocks .	3	-3	 you[0] just[0] deeply[0] sincerely[0] hope[2] that[0] the[0] momentum[0] won't[0] unspool[0] leaving[0] us[0] with[0] a[0] second[0] string[0] effort[0] with[0] nothing[0] but[0] cheap[-1] derivative[0] shocks[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
young viewers have a palpable reason to expect this kind of formula deterioration , what with  i know what you did last summer' and sequel ,  idle hands' and -- a movie with a nifty premise that just plunged like an anvil --  urban legend' . 	young viewers have a palpable reason to expect this kind of formula deterioration , what with  i know what you did last summer' and sequel ,  idle hands' and - a movie with a nifty premise that just plunged like an anvil -  urban legend' .	2	-1	 young[0] viewers[0] have[0] a[0] palpable[0] reason[0] to[0] expect[0] this[0] kind[1] of[0] formula[0] deterioration[0] what[0] with[0] i[0] know[0] what[0] you[0] did[0] last[0] summer'[0] and[0] sequel[0] idle[0] hands'[0] and[0] a[0] movie[0] with[0] a[0] nifty[0] premise[0] that[0] just[0] plunged[0] like[1] an[0] anvil[0] urban[0] legend'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the set-up , when i remained slouched apprehensively in my chair , i started to really have fun with  final destination' . 	after the set-up , when i remained slouched apprehensively in my chair , i started to really have fun with  final destination' .	2	-3	 after[0] the[0] set[0] up[0] when[0] i[0] remained[0] slouched[0] apprehensively[-2] in[0] my[0] chair[0] i[0] started[0] to[0] really[0] have[0] fun[1] with[0] final[0] destination'[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
low and behold , a teen thriller that is actually unsettling , actually suspenseful and -- yes -- actually intelligent . 	low and behold , a teen thriller that is actually unsettling , actually suspenseful and - yes - actually intelligent .	2	-2	 low[-1] and[0] behold[0] a[0] teen[0] thriller[1] that[0] is[0] actually[0] unsettling[-1] actually[0] suspenseful[0] and[0] yes[0] actually[0] intelligent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
some splotty logic and a heap of characteristic genre flaws aside , this film is among the most refreshing and all-out enjoyable horror movies to submerge since the cutting-edge  scream' in 1996 . 	some splotty logic and a heap of characteristic genre flaws aside , this film is among the most refreshing and all-out enjoyable horror movies to submerge since the cutting-edge  scream' in 1996 .	3	-4	 some[0] splotty[0] logic[0] and[0] a[0] heap[0] of[0] characteristic[0] genre[0] flaws[0] aside[0] this[0] film[0] is[0] among[0] the[0] most[0] refreshing[0] and[0] all[0] out[0] enjoyable[2] horror[-3] movies[0] to[0] submerge[0] since[0] the[0] cutting[0] edge[0] scream'[-3] in[0] 1996[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 final destination' stimulates the nerves and offers a exhilarating retaliation strike against all the blood-spattered slasher crap we've endured throughout the past few years . 	 final destination' stimulates the nerves and offers a exhilarating retaliation strike against all the blood-spattered slasher crap we've endured throughout the past few years .	1	-3	 final[0] destination'[0] stimulates[0] the[0] nerves[0] and[0] offers[0] a[0] exhilarating[0] retaliation[-1] strike[-1] against[-1] all[0] the[0] blood[0] spattered[0] slasher[-1] crap[-2] we've[0] endured[0] throughout[0] the[0] past[0] few[0] years[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not that the characters are that good . 	not that the characters are that good .	2	-1	 not[0] that[0] the[0] characters[0] are[0] that[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sawa is game as alex , a connect-the-dots personality that we never fully comprehend . 	sawa is game as alex , a connect-the-dots personality that we never fully comprehend .	1	-1	 sawa[0] is[0] game[0] as[0] alex[0] a[0] connect[0] the[0] dots[0] personality[0] that[0] we[0] never[0] fully[0] comprehend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition , the survivors are endearing geek tod ( chad e . donella ) , jocky control-freak carter ( kerr smith of  dawson's creek' ) , carter's ditzy girlfriend terry ( amanda detmer ) , the none-too-subtly named billy hitchcock ( seann william scott , supplier of lukewarm comic relief ) and a lone teacher - the emotionally delicate ms . lewton ( kristin cloke ) . 	in addition , the survivors are endearing geek tod ( chad e .<br> donella ) , jocky control-freak carter ( ker smith of  dawson's creek' ) , carter's ditzy girlfriend terry ( amanda detmer ) , the none-too-subtly named billy hitchcock ( sean william scot , supplier of lukewarm comic relief ) and a lone teacher - the emotionally delicate ms .<br> lewton ( kristin cloke ) .	2	-2	 in[0] addition[0] the[0] survivors[0] are[0] endearing[0] geek[0] tod[0] chad[0] e[0] [[Sentence=-1,1=word max, 1-5]] donella[0] jocky[0] control[0] freak[-1] carter[0] kerr/ker[0] smith[0] of[0] dawson's[0] creek'[0] carter's[0] ditzy[0] girlfriend[0] terry[0] amanda[0] detmer[0] the[0] none[0] too[0] subtly[0] named[0] billy[0] hitchcock[0] seann/sean[0] william[0] scott/scot[0] supplier[0] of[0] lukewarm[0] comic[0] relief[1] and[0] a[0] lone[-1] teacher[0] the[0] emotionally[0] delicate[0] ms[0] [[Sentence=-2,2=word max, 1-5]] lewton[0] kristin[0] cloke[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
aside from alex , the primary center of interest is intended to be ali larter (  varsity blues' ) , playing an abstract character named clear rivers ( what were her parents thinking ? ! ? ) . 	aside from alex , the primary center of interest is intended to be ali larter (  varsity blues' ) , playing an abstract character named clear rivers ( what were her parents thinking ?<br> !<br> ?<br> ) .	2	-1	 aside[0] from[0] alex[0] the[0] primary[0] center[0] of[0] interest[1] is[0] intended[0] to[0] be[0] ali[0] larter[0] varsity[0] blues'[0] playing[1] an[0] abstract[0] character[0] named[0] clear[0] rivers[0] what[0] were[0] her[0] parents[0] thinking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the personality of clear is written with such a vague , nebulous definition that she resembles a walking flash-card saying  hello , i am the offbeat character designed to identify with the main character's plight ! ' 	the personality of clear is written with such a vague , nebulous definition that she resembles a walking flash-card saying  hello , i am the offbeat character designed to identify with the main character's plight !<br> '	1	-2	 the[0] personality[0] of[0] clear[0] is[0] written[0] with[0] such[0] a[0] vague[-1] nebulous[-1] definition[0] that[0] she[0] resembles[0] a[0] walking[0] flash[0] card[0] saying[0] hello[0] i[0] am[0] the[0] offbeat[0] character[0] designed[0] to[0] identify[0] with[0] the[0] main[0] character's[0] plight[-1] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
toss a few stereotypical fbi agents ( daniel roebuck and roger guenveur smith ) and a . . . . ummm . . . 	toss a few stereotypical fbi agents ( daniel roebuck and roger guenveur smith ) and a .<br> .<br> .<br> .<br> um .<br> .<br> .	2	-1	 toss[0] a[0] few[0] stereotypical[0] fbi[0] agents[0] daniel[0] roebuck[0] and[0] roger[0] guenveur[0] smith[0] and[0] a[0] [[Sentence=-1,1=word max, 1-5]] ummm/um[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 spiritual' mortician ( former  candyman' tony todd ) into the mix , and you have what could be another generic teenage frightfest with slicing , dicing and assorted disembowelments . 	 spiritual' mortician ( former  candyman' tony todd ) into the mix , and you have what could be another generic teenage frightfest with slicing , dicing and assorted disembowelments .	1	-4	 spiritual'[0] mortician[0] former[0] candyman'[0] tony[0] todd[0] into[0] the[0] mix[0] and[0] you[0] have[0] what[0] could[0] be[0] another[0] generic[0] teenage[0] frightfest[-3] with[0] slicing[0] dicing[0] and[0] assorted[0] disembowelments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not so . 	not so .	1	-1	 not[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 final destination' has no slicing and dicing , or at least none dealt by a human killer , and the thought of death itself as the unseen stalker is unique and frightening . 	 final destination' has no slicing and dicing , or at least none dealt by a human killer , and the thought of death itself as the unseen stalker is unique and frightening .	1	-4	 final[0] destination'[0] has[0] no[0] slicing[0] and[0] dicing[0] or[0] at[0] least[0] none[0] dealt[0] by[0] a[0] human[0] killer[-1] and[0] the[0] thought[0] of[0] death[-2] itself[0] as[0] the[0] unseen[0] stalker[0] is[0] unique[0] and[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the extra dimension of disconcerting irony rejuvenates the decaying ? murderer-on-the-loose' concept , with assistance from a shrewd , intelligently paced screenplay by morgan , wong and jeffrey reddick . 	the extra dimension of disconcerting irony rejuvenates the decaying ?<br> murderer-on-the-loose' concept , with assistance from a shrewd , intelligently paced screenplay by morgan , wong and jeffrey reddick .	2	-4	 the[0] extra[0] dimension[0] of[0] disconcerting[0] irony[-1] rejuvenates[0] the[0] decaying[-1] [[Sentence=-2,1=word max, 1-5]] murderer[-3] on[0] the[0] loose'[0] concept[0] with[0] assistance[0] from[0] a[0] shrewd[0] intelligently[1] paced[0] screenplay[0] by[0] morgan[0] wong[0] and[0] jeffrey[0] reddick[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the plot twists are fun and clever without toppling into utter absurdity ( listen up ,  reindeer games' ) . 	the plot twists are fun and clever without toppling into utter absurdity ( listen up ,  reindeer games' ) .	2	-2	 the[0] plot[0] twists[0] are[0] fun[1] and[0] clever[0] without[0] toppling[0] into[0] utter[0] absurdity[-1] listen[0] up[0] reindeer[0] games'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i suppose the most satisfying aspect of  final destination' is the murder scenes . 	but i suppose the most satisfying aspect of  final destination' is the murder scenes .	2	-4	 but[0] i[0] suppose[0] the[0] most[0] satisfying[1] aspect[0] of[0] final[0] destination'[0] is[0] the[0] murder[-3] scenes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
creative , resourceful and breathlessly inventive , the death sequences involve an unlikely string of events leading to a character's demise . 	creative , resourceful and breathlessly inventive , the death sequences involve an unlikely string of events leading to a character's demise .	1	-3	 creative[0] resourceful[0] and[0] breathlessly[0] inventive[0] the[0] death[-2] sequences[0] involve[0] an[0] unlikely[0] string[0] of[0] events[0] leading[0] to[0] a[0] character's[0] demise[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what will trigger the accident ? 	what will trigger the accident ?	1	-2	 what[0] will[0] trigger[0] the[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will it be the john denver record , just put on to play  rocky mountain high' ? 	will it be the john denver record , just put on to play  rocky mountain high' ?	1	-1	 will[0] it[0] be[0] the[0] john[0] denver[0] record[0] just[0] put[0] on[0] to[0] play[0] rocky[0] mountain[0] high'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( yeah , sick humor ) . 	 ( yeah , sick humor ) .	3	-2	 yeah[0] sick[-1] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
will it be the leaking toilet ? 	will it be the leaking toilet ?	1	-2	 will[0] it[0] be[0] the[0] leaking[-1] toilet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the falling fishing reel in the corner ? 	the falling fishing reel in the corner ?	1	-1	 the[0] falling[0] fishing[0] reel[0] in[0] the[0] corner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the murders are startling and largely unforeseen , including one surprise incident that made the audience jump out of their seats and giggle nervously for roughly a minute afterward . 	the murders are startling and largely unforeseen , including one surprise incident that made the audience jump out of their seats and giggle nervously for roughly a minute afterward .	3	-4	 the[0] murders[-3] are[0] startling[-1] and[0] largely[0] unforeseen[-1] including[0] one[0] surprise[0] incident[0] that[0] made[0] the[0] audience[0] jump[0] out[0] of[0] their[0] seats[0] and[0] giggle[2] nervously[-2] for[0] roughly[-1] a[0] minute[0] afterward[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a sense of giddy unpredictability is added with this inventive approach . 	a sense of giddy unpredictability is added with this inventive approach .	1	-1	 a[0] sense[0] of[0] giddy[0] unpredictability[0] is[0] added[0] with[0] this[0] inventive[0] approach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gets sorta tasteless and cheap sometimes , but who cares ? 	it gets sorta tasteless and cheap sometimes , but who cares ?	2	-2	 it[0] gets[0] sorta[0] tasteless[0] and[0] cheap[-1] sometimes[0] but[0] who[0] cares[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's fun . 	it's fun .	2	-1	 it's[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in that simple regard ,  final destination' is my cup of tea . 	in that simple regard ,  final destination' is my cup of tea .	1	-1	 in[0] that[0] simple[0] regard[0] final[0] destination'[0] is[0] my[0] cup[0] of[0] tea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this stylishly executed thriller , although tagged with laughable circumstances and the occasional snippet of lame dialogue , is an immensely entertaining jaunt to the dark side . 	this stylishly executed thriller , although tagged with laughable circumstances and the occasional snippet of lame dialogue , is an immensely entertaining jaunt to the dark side .	2	-3	 this[0] stylishly[0] executed[-1] thriller[1] although[0] tagged[0] with[0] laughable[-1] circumstances[0] and[0] the[0] occasional[0] snippet[0] of[0] lame[-2] dialogue[0] is[0] an[0] immensely[0] entertaining[0] jaunt[0] to[0] the[0] dark[0] side[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after the show , it will also have an frightening impact on you . 	after the show , it will also have an frightening impact on you .	1	-4	 after[0] the[0] show[0] it[0] will[0] also[0] have[0] an[0] frightening[-3] impact[0] on[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when will your ? design' expire ? 	when will your ?<br> design' expire ?	1	-1	 when[0] will[0] your[0] [[Sentence=-1,1=word max, 1-5]] design'[0] expire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is death waiting around the corner ? 	is death waiting around the corner ?	1	-3	 is[0] death[-2] waiting[0] around[0] the[0] corner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the  final' effect is a major case of the heebie-jeebies . 	the  final' effect is a major case of the heebie-jeebies .	1	-1	 the[0] final'[0] effect[0] is[0] a[0] major[0] case[0] of[0] the[0] heebie[0] jeebies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
