steven spielberg's second epic film on world war ii is an unquestioned masterpiece of film . 	Translation	Positive	Negative	EmotionRationale
the sequences in france , all of them , beginning with the battle and ending with the battle , are fabulous , especially the dialogues between the men as they walk through the hills and countrysides , trying to save private ryan . 	the sequences in france , all of them , beginning with the battle and ending with the battle , are fabulous , especially the dialogues between the men as they walk through the hills and countrysides , trying to save private ryan .	3	-2	 the[0] sequences[0] in[0] france[0] all[0] of[0] them[0] beginning[0] with[0] the[0] battle[-1] and[0] ending[0] with[0] the[0] battle[-1] are[0] fabulous[2] especially[0] the[0] dialogues[0] between[0] the[0] men[0] as[0] they[0] walk[0] through[0] the[0] hills[0] and[0] countrysides[0] trying[0] to[0] save[1] private[0] ryan[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are no words i can use to describe the true horror and power of these sequences . 	there are no words i can use to describe the true horror and power of these sequences .	2	-4	 there[0] are[0] no[0] words[0] i[0] can[0] use[0] to[0] describe[0] the[0] true[1] horror[-3] and[0] power[0] of[0] these[0] sequences[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is what coppola was looking for in " apocalypse now " , but couldn't create . 	this is what coppola was looking for in " apocalypse now " , but couldn't create .	1	-1	 this[0] is[0] what[0] coppola[0] was[0] looking[0] for[0] in[0] apocalypse[0] now[0] but[0] couldn't[0] create[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sheer horror of these sequences all but condemn war . 	the sheer horror of these sequences all but condemn war .	1	-4	 the[0] sheer[0] horror[-3] of[0] these[0] sequences[0] all[0] but[0] condemn[-1] war[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the performance by hanks as the leader of this gang is also extraordinary . 	the performance by hanks as the leader of this gang is also extraordinary .	1	-1	 the[0] performance[0] by[0] hanks[0] as[0] the[0] leader[0] of[0] this[0] gang[0] is[0] also[0] extraordinary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is head and shoulders above of the rest of the actors in the world , with his comic timing , dramatic flair , his quiet emotion that stirs an entire nation to tears . 	he is head and shoulders above of the rest of the actors in the world , with his comic timing , dramatic flair , his quiet emotion that stirs an entire nation to tears .	1	-4	 he[0] is[0] head[0] and[0] shoulders[0] above[0] of[0] the[0] rest[0] of[0] the[0] actors[0] in[0] the[0] world[0] with[0] his[0] comic[0] timing[0] dramatic[0] flair[0] his[0] quiet[0] emotion[0] that[0] stirs[0] an[0] entire[0] nation[0] to[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hanks is this country's finest actor , and he proves it here . 	hanks is this country's finest actor , and he proves it here .	1	-1	 hanks[0] is[0] this[0] country's[0] finest[0] actor[0] and[0] he[0] proves[0] it[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , spielberg almost destroys his own masterpiece . 	however , spielberg almost destroys his own masterpiece .	1	-3	 however[0] spielberg[0] almost[0] destroys[-2] his[0] own[0] masterpiece[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with a chance to make it the one of the greatest films of all time , spielberg creates 10 minutes of purely worthless film . 	with a chance to make it the one of the greatest films of all time , spielberg creates 10 minutes of purely worthless film .	3	-3	 with[0] a[0] chance[0] to[0] make[0] it[0] the[0] one[0] of[0] the[0] greatest[2] films[0] of[0] all[0] time[0] spielberg[0] creates[0] 10[0] minutes[0] of[0] purely[0] worthless[-2] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the sequence involving army chief-of-stafff george marshall and mrs . ryan is decent , but doesn't hold up to the rest of the film , relying on wartime cliches to power it . 	the sequence involving army chief-of-staff george marshal and mrs .<br> ryan is decent , but doesn't hold up to the rest of the film , relying on wartime cliches to power it .	1	-1	 the[0] sequence[0] involving[0] army[0] chief[0] of[0] stafff/staff[0] george[0] marshall/marshal[0] and[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] ryan[0] is[0] decent[0] but[0] doesn't[0] hold[0] up[0] to[0] the[0] rest[0] of[0] the[0] film[0] relying[0] on[0] wartime[0] cliches[0] to[0] power[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that is forgivable . 	but that is forgivable .	2	-1	 but[0] that[0] is[0] forgivable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what isn't is the bookends of the film , the cemetary sequences . 	what isn't is the bookends of the film , the cemetary sequences .	1	-1	 what[0] isn't[0] is[0] the[0] bookends[0] of[0] the[0] film[0] the[0] cemetary[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first one is quite good , a decent introduction into the lives of these men . 	the first one is quite good , a decent introduction into the lives of these men .	2	-1	 the[0] first[0] one[0] is[0] quite[0] good[1] a[0] decent[0] introduction[0] into[0] the[0] lives[0] of[0] these[0] men[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last sequence is atrocious . 	the last sequence is atrocious .	1	-4	 the[0] last[0] sequence[0] is[0] atrocious[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the forced emotion , accompanied by a ridiculous piece of music , is simply horrible compared to the rest of the magical film . 	the forced emotion , accompanied by a ridiculous piece of music , is simply horrible compared to the rest of the magical film .	1	-4	 the[0] forced[0] emotion[0] accompanied[0] by[0] a[0] ridiculous[-2] piece[0] of[0] music[0] is[0] simply[0] horrible[-3] compared[0] to[0] the[0] rest[0] of[0] the[0] magical[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these flaws are what downgrade " ryan " from the greatest film of our era , to the greatest war film of our era . 	these flaws are what downgrade " ryan " from the greatest film of our era , to the greatest war film of our era .	3	-3	 these[0] flaws[0] are[0] what[0] downgrade[0] ryan[0] from[0] the[0] greatest[2] film[0] of[0] our[0] era[0] to[0] the[0] greatest[2] war[-2] film[0] of[0] our[0] era[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
spielberg should have trusted his own material , and he should have trusted hanks to deliver the most chilling line of the movie , to end his masterpiece right there . 	spielberg should have trusted his own material , and he should have trusted hanks to deliver the most chilling line of the movie , to end his masterpiece right there .	2	-1	 spielberg[0] should[0] have[0] trusted[1] his[0] own[0] material[0] and[0] he[0] should[0] have[0] trusted[1] hanks[0] to[0] deliver[0] the[0] most[0] chilling[0] line[0] of[0] the[0] movie[0] to[0] end[0] his[0] masterpiece[0] right[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the use of the flag , though patriotic , is in contrast to the movie's theme . 	the use of the flag , though patriotic , is in contrast to the movie's theme .	1	-1	 the[0] use[0] of[0] the[0] flag[0] though[0] patriotic[0] is[0] in[0] contrast[0] to[0] the[0] movie's[0] theme[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the power of the bulk of the film , however , is astonishing . 	the power of the bulk of the film , however , is astonishing .	1	-1	 the[0] power[0] of[0] the[0] bulk[0] of[0] the[0] film[0] however[0] is[0] astonishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spielberg has truly made a wondrous work of art , that persists even after first viewing of the film , is extraordinary . 	spielberg has truly made a wondrous work of art , that persists even after first viewing of the film , is extraordinary .	2	-1	 spielberg[0] has[0] truly[1] made[0] a[0] wondrous[0] work[0] of[0] art[0] that[0] persists[0] even[0] after[0] first[0] viewing[0] of[0] the[0] film[0] is[0] extraordinary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the film of the year . 	this is the film of the year .	1	-1	 this[0] is[0] the[0] film[0] of[0] the[0] year[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
