the characters in " palmetto " collectively sweat enough to fill lake erie , and it's just the right way to capture the film's ripe atmosphere of sensuality , tension and even farce . 	Translation	Positive	Negative	EmotionRationale
the other actors form a solid ensemble around her , including sevigny ( " kids " ) , tantalizingly slutty as a teen tease , as well as the ever-likeable gershon , cast a far cry from her extreme roles in " bound " and " showgirls . " 	the other actors form a solid ensemble around her , including sevigny ( " kids " ) , tantalizingly slutty as a teen tease , as well as the ever-likeable gershon , cast a far cry from her extreme roles in " bound " and " showgirls .<br> "	3	-4	 the[0] other[0] actors[0] form[0] a[0] solid[0] ensemble[0] around[0] her[0] including[0] sevigny[0] kids[0] tantalizingly[0] slutty[-2] as[0] a[0] teen[0] tease[-1] as[0] well[0] as[0] the[0] ever[0] likeable[2] gershon[0] cast[0] a[0] far[0] cry[-3] from[0] her[0] extreme[0] roles[0] in[0] bound[0] and[0] showgirls[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
harrelson is still doing fine follow-up work to " the people vs . larry flynt . " 	harrelson is still doing fine follow-up work to " the people vs .<br> larry flynt .<br> "	3	-1	 harrelson[0] is[0] still[0] doing[0] fine[2] follow[0] up[0] work[0] to[0] the[0] people[0] vs[0] [[Sentence=-1,3=word max, 1-5]] larry[0] flynt[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
 " palmetto " does have its share of grievances . 	 " palmetto " does have its share of grievances .	1	-4	 palmetto[0] does[0] have[0] its[0] share[0] of[0] grievances[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
harrelson's narration is needless , i suppose , and gershon's nina cries to be meatier than she ultimately is . 	harrelson's narration is needless , i suppose , and gershon's nina cries to be meatier than she ultimately is .	1	-3	 harrelson's[0] narration[0] is[0] needless[0] i[0] suppose[0] and[0] gershon's[0] nina[0] cries[-2] to[0] be[0] meatier[0] than[0] she[0] ultimately[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the plot's unexpected angles -- that harry is asked by the police to become the press liaison for the very crime in which he's involved -- could have been played a little better . 	one of the plot's unexpected angles - that harry is asked by the police to become the press liaison for the very crime in which he's involved - could have been played a little better .	1	-3	 one[0] of[0] the[0] plot's[0] unexpected[0] angles[0] that[0] harry[0] is[0] asked[0] by[0] the[0] police[0] to[0] become[0] the[0] press[0] liaison[0] for[0] the[0] very[0] crime[-1][-1 LastWordBoosterStrength] in[0] which[0] he's[0] involved[0] could[0] have[0] been[0] played[0] a[0] little[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are moments when you question the tone , but it's never so unstable that it deserves the reproach it's been receiving from most other critics . 	there are moments when you question the tone , but it's never so unstable that it deserves the reproach it's been receiving from most other critics .	2	-2	 there[0] are[0] moments[0] when[0] you[0] question[0] the[0] tone[0] but[0] it's[0] never[0] so[0] unstable[-1][NegatedDueToPreviousWord] that[0] it[0] deserves[0] the[0] reproach[-1] it's[0] been[0] receiving[0] from[0] most[0] other[0] critics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if " palmetto " didn't want to be laughed at , would it really have tacked on a climax that plays like a live-action " who framed roger rabbit " ? 	if " palmetto " didn't want to be laughed at , would it really have tacked on a climax that plays like a live-action " who framed roger rabbit " ?	2	-1	 if[0] palmetto[0] didn't[0] want[0] to[0] be[0] laughed[1] at[0] would[0] it[0] really[0] have[0] tacked[0] on[0] a[0] climax[0] that[0] plays[1] like[1] a[0] live[0] action[0] who[0] framed[0] roger[0] rabbit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although a few elements can be questioned , the movie works well on its own terms . 	although a few elements can be questioned , the movie works well on its own terms .	1	-1	 although[0] a[0] few[0] elements[0] can[0] be[0] questioned[0] the[0] movie[0] works[0] well[0] on[0] its[0] own[0] terms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thanks to a juicy cast -- especially shue -- and the nifty material approach from director volker schlondorff ( you remember him from last summer's suddenly re-popular " the tin drum , " right ? ) , 	thanks to a juicy cast - especially shue - and the nifty material approach from director volker schlondorff ( you remember him from last summer's suddenly re-popular " the tin drum , " right ?<br> ) ,	2	-1	 thanks[1] to[0] a[0] juicy[0] cast[0] especially[0] shue[0] and[0] the[0] nifty[0] material[0] approach[0] from[0] director[0] volker[0] schlondorff[0] you[0] remember[0] him[0] from[0] last[0] summer's[0] suddenly[0] re[0] popular[0] the[0] tin[0] drum[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything runs smoothly . 	everything runs smoothly .	1	-1	 everything[0] runs[0] smoothly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for fans of revelation-heavy endings , this film's got a few shocks in store that i won't even dream of revealing . 	and for fans of revelation-heavy endings , this film's got a few shocks in store that i won't even dream of revealing .	1	-3	 and[0] for[0] fans[0] of[0] revelation[0] heavy[0] endings[0] this[0] film's[0] got[0] a[0] few[0] shocks[-2] in[0] store[0] that[0] i[0] won't[0] even[0] dream[0] of[0] revealing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " palmetto " is a generous amount of fun to watch , and that's all you need to know . 	 " palmetto " is a generous amount of fun to watch , and that's all you need to know .	2	-1	 palmetto[0] is[0] a[0] generous[1] amount[0] of[0] fun[1] to[0] watch[0] and[0] that's[0] all[0] you[0] need[0] to[0] know[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
