carla gugino graduates from high school and instead of staying in her small farming town , she goes to college in california . 	Translation	Positive	Negative	EmotionRationale
there are also several new jokes that , at least , i haven't seen before . 	there are also several new jokes that , at least , i haven't seen before .	2	-1	 there[0] are[0] also[0] several[0] new[0] jokes[1] that[0] at[0] least[0] i[0] haven't[0] seen[0] before[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , when presented right , even old material can be funny still . 	still , when presented right , even old material can be funny still .	2	-1	 still[0] when[0] presented[0] right[0] even[0] old[0] material[0] can[0] be[0] funny[1] still[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film is just basically a light comedy that is great to see if you are in the right mood that doesn't contain much violence or any nudity that is definitely worth full ticket price . 	this film is just basically a light comedy that is great to see if you are in the right mood that doesn't contain much violence or any nudity that is definitely worth full ticket price .	3	-4	 this[0] film[0] is[0] just[0] basically[0] a[0] light[0] comedy[0] that[0] is[0] great[2] to[0] see[0] if[0] you[0] are[0] in[0] the[0] right[0] mood[0] that[0] doesn't[0] contain[0] much[0] violence[-3] or[0] any[0] nudity[0] that[0] is[0] definitely[0] worth[0] full[0] ticket[0] price[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the cast for this film does an excellent job . 	the cast for this film does an excellent job .	4	-1	 the[0] cast[0] for[0] this[0] film[0] does[0] an[0] excellent[3] job[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
pauly shore ( encino man ) is the star attraction of this film . 	pauly shore ( encino man ) is the star attraction of this film .	2	-1	 pauly[0] shore[0] encino[0] man[0] is[0] the[0] star[0] attraction[1] of[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is great , and knows how to entertain the audience . 	he is great , and knows how to entertain the audience .	3	-1	 he[0] is[0] great[2] and[0] knows[0] how[0] to[0] entertain[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pauly shore just seems to take over the entire screen when he is on with expressions and comments that are hilarious . 	pauly shore just seems to take over the entire screen when he is on with expressions and comments that are hilarious .	3	-1	 pauly[0] shore[0] just[0] seems[0] to[0] take[0] over[0] the[0] entire[0] screen[0] when[0] he[0] is[0] on[0] with[0] expressions[0] and[0] comments[0] that[0] are[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film would definitely not have been as good with anyone else in this role . 	this film would definitely not have been as good with anyone else in this role .	2	-1	 this[0] film[0] would[0] definitely[0] not[0] have[0] been[0] as[0] good[1] with[0] anyone[0] else[0] in[0] this[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carla gugino does a very good job as the farm girl gone city girl . 	carla gugino does a very good job as the farm girl gone city girl .	3	-1	 carla[0] gugino[0] does[0] a[0] very[0] good[1][1 LastWordBoosterStrength] job[0] as[0] the[0] farm[0] girl[0] gone[0] city[0] girl[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she makes her character believable , on some levels , yet interesting at the same time . 	she makes her character believable , on some levels , yet interesting at the same time .	2	-1	 she[0] makes[0] her[0] character[0] believable[0] on[0] some[0] levels[0] yet[0] interesting[1] at[0] the[0] same[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the person who played the grandfather ( mason adams , i believe ) also does a great job . 	the person who played the grandfather ( mason adams , i believe ) also does a great job .	3	-1	 the[0] person[0] who[0] played[0] the[0] grandfather[0] mason[0] adams[0] i[0] believe[0] also[0] does[0] a[0] great[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the way he delivered his lines kept me laughing throughout the time that he was on the screen . 	the way he delivered his lines kept me laughing throughout the time that he was on the screen .	2	-1	 the[0] way[0] he[0] delivered[0] his[0] lines[0] kept[0] me[0] laughing[1] throughout[0] the[0] time[0] that[0] he[0] was[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
patrick renna , who played gugino's little brother , was a little annoying , but no where as near as macaulay culkin , and for only part of the time , so i can forgive him . 	patrick renna , who played gugino's little brother , was a little annoying , but no where as near as macaulay culkin , and for only part of the time , so i can forgive him .	2	-3	 patrick[0] renna[0] who[0] played[0] gugino's[0] little[0] brother[0] was[0] a[0] little[0] annoying[-2] but[0] no[0] where[0] as[0] near[0] as[0] macaulay[0] culkin[0] and[0] for[0] only[0] part[0] of[0] the[0] time[0] so[0] i[0] can[0] forgive[1] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tiffani-amber thiessen ( a killer among friends , " saved by the bell " ) does a reasonably good job for the time that she is on screen . 	tiffani-amber thiessen ( a killer among friends , " saved by the bell " ) does a reasonably good job for the time that she is on screen .	2	-2	 tiffani[0] amber[0] thiessen[0] a[0] killer[-1] among[0] friends[1] saved[1] by[0] the[0] bell[0] does[0] a[0] reasonably[0] good[1] job[0] for[0] the[0] time[0] that[0] she[0] is[0] on[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she shows that she may have a potential in movies if she can get out of the corny young adults programming on television . 	she shows that she may have a potential in movies if she can get out of the corny young adults programming on television .	1	-1	 she[0] shows[0] that[0] she[0] may[0] have[0] a[0] potential[0] in[0] movies[0] if[0] she[0] can[0] get[0] out[0] of[0] the[0] corny[0] young[0] adults[0] programming[0] on[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she wasn't given overly much to do in the film , but what she had , she does a good job with . 	she wasn't given overly much to do in the film , but what she had , she does a good job with .	2	-1	 she[0] wasn't[0] given[0] overly[0] much[0] to[0] do[0] in[0] the[0] film[0] but[0] what[0] she[0] had[0] she[0] does[0] a[0] good[1] job[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
