since most movies about slavery shield us from the true horrors of what they're portraying , it's fitting to say that " beloved " come as a real shock as a film . 	Translation	Positive	Negative	EmotionRationale
some more time passes , and paul d has become a fervent member of the household , and the ghost disappears . 	some more time passes , and paul d has become a fervent member of the household , and the ghost disappears .	1	-1	 some[0] more[0] time[0] passes[0] and[0] paul[0] d[0] has[0] become[0] a[0] fervent[0] member[0] of[0] the[0] household[0] and[0] the[0] ghost[0] disappears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when they return one day from going out , they discover a young woman sitting in the house . 	but when they return one day from going out , they discover a young woman sitting in the house .	1	-1	 but[0] when[0] they[0] return[0] one[0] day[0] from[0] going[0] out[0] they[0] discover[0] a[0] young[0] woman[0] sitting[0] in[0] the[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her name is beloved , and as played by thandie newton , she has almost zero motor skills . 	her name is beloved , and as played by thandie newton , she has almost zero motor skills .	3	-1	 her[0] name[0] is[0] beloved[2] and[0] as[0] played[0] by[0] thandie[0] newton[0] she[0] has[0] almost[0] zero[0] motor[0] skills[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she stumbles around , half-grabbing onto things and knocking them over , and when she speaks , she lets out a low guttural sound that eventually turns into baby talk . 	she stumbles around , half-grabbing onto things and knocking them over , and when she speaks , she lets out a low guttural sound that eventually turns into baby talk .	2	-2	 she[0] stumbles[0] around[0] half[0] grabbing[-1] onto[0] things[0] and[0] knocking[0] them[0] over[0] and[0] when[0] she[0] speaks[0] she[0] lets[0] out[0] a[0] low[-1] guttural[0] sound[0] that[0] eventually[0] turns[0] into[0] baby[1] talk[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they let her into her house , and she begins to turn things upside down . 	they let her into her house , and she begins to turn things upside down .	1	-1	 they[0] let[0] her[0] into[0] her[0] house[0] and[0] she[0] begins[0] to[0] turn[0] things[0] upside[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " beloved " acts like an incredibly difficult chamber drama paired with a ghost story . 	 " beloved " acts like an incredibly difficult chamber drama paired with a ghost story .	3	-4	 beloved[2] acts[0] like[1] an[0] incredibly[0] difficult[-1][-2 LastWordBoosterStrength] chamber[0] drama[0] paired[0] with[0] a[0] ghost[0] story[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
most of the scenes consist of people arguing in one claustrophobic , low-lit room , with the occasional flash to the past , where we see images of such horror that we thank god for modern-day psychoanalysts . 	most of the scenes consist of people arguing in one claustrophobic , low-lit room , with the occasional flash to the past , where we see images of such horror that we thank god for modern-day psychoanalysts .	2	-4	 most[0] of[0] the[0] scenes[0] consist[0] of[0] people[0] arguing[-1] in[0] one[0] claustrophobic[0] low[-1] lit[0] room[0] with[0] the[0] occasional[0] flash[0] to[0] the[0] past[0] where[0] we[0] see[0] images[0] of[0] such[0] horror[-3] that[0] we[0] thank[1] god[0] for[0] modern[0] day[0] psychoanalysts[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sethe and paul d have lived through such hellish times that they are forever implanted with the memories of their slavehood on the old plantation , which includes such images as sethe being raped by the white plantation hands , with her nipples being licked , prompting her to cry out to paul d when reminiscing about it , " they took my milk ! " 	sethe and paul d have lived through such hellish times that they are forever implanted with the memories of their slavehood on the old plantation , which includes such images as sethe being raped by the white plantation hands , with her nipples being licked , prompting her to cry out to paul d when reminiscing about it , " they took my milk !<br> "	1	-4	 sethe[0] and[0] paul[0] d[0] have[0] lived[0] through[0] such[0] hellish[-2] times[0] that[0] they[0] are[0] forever[0] implanted[0] with[0] the[0] memories[0] of[0] their[0] slavehood[0] on[0] the[0] old[0] plantation[0] which[0] includes[0] such[0] images[0] as[0] sethe[0] being[0] raped[-3] by[0] the[0] white[0] plantation[0] hands[0] with[0] her[0] nipples[0] being[0] licked[0] prompting[0] her[0] to[0] cry[-3] out[0] to[0] paul[0] d[0] when[0] reminiscing[0] about[0] it[0] they[0] took[0] my[0] milk[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
worst of all was the month after her freedom , when she was allowed to live like a free person , working with other blacks on a farm , and then seeing that her old plantation owners have arrived to presumedly take her and her children back . 	worst of all was the month after her freedom , when she was allowed to live like a free person , working with other blacks on a farm , and then seeing that her old plantation owners have arrived to presumedly take her and her children back .	2	-3	 worst[-2] of[0] all[0] was[0] the[0] month[0] after[0] her[0] freedom[0] when[0] she[0] was[0] allowed[0] to[0] live[0] like[1] a[0] free[0] person[0] working[0] with[0] other[0] blacks[0] on[0] a[0] farm[0] and[0] then[0] seeing[0] that[0] her[0] old[0] plantation[0] owners[0] have[0] arrived[0] to[0] presumedly[0] take[0] her[0] and[0] her[0] children[0] back[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she runs to the barn near by , carrying her four children , and when her old owners burst in , they discover she has murdered one of them and is ready to murder the rest of them if they don't leave them alone . 	she runs to the barn near by , carrying her four children , and when her old owners burst in , they discover she has murdered one of them and is ready to murder the rest of them if they don't leave them alone .	1	-4	 she[0] runs[0] to[0] the[0] barn[0] near[0] by[0] carrying[0] her[0] four[0] children[0] and[0] when[0] her[0] old[0] owners[0] burst[0] in[0] they[0] discover[0] she[0] has[0] murdered[-3] one[0] of[0] them[0] and[0] is[0] ready[0] to[0] murder[-3] the[0] rest[0] of[0] them[0] if[0] they[0] don't[0] leave[0] them[0] alone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when she is inquired about this moment by paul d in a moment halfway through the film , she says she doesn't regret it . 	when she is inquired about this moment by paul d in a moment halfway through the film , she says she doesn't regret it .	1	-2	 when[0] she[0] is[0] inquired[0] about[0] this[0] moment[0] by[0] paul[0] d[0] in[0] a[0] moment[0] halfway[0] through[0] the[0] film[0] she[0] says[0] she[0] doesn't[0] regret[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she killed her daughter so that she would not have to live through the horror she did , and she has convinced herself she did the right thing . 	she killed her daughter so that she would not have to live through the horror she did , and she has convinced herself she did the right thing .	1	-4	 she[0] killed[-3] her[0] daughter[0] so[0] that[0] she[0] would[0] not[0] have[0] to[0] live[0] through[0] the[0] horror[-3] she[0] did[0] and[0] she[0] has[0] convinced[0] herself[0] she[0] did[0] the[0] right[0] thing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , beloved is really her daugher materialized , though we aren't flat out told that until later on in the film . 	of course , beloved is really her daugher materialized , though we aren't flat out told that until later on in the film .	3	-1	 of[0] course[0] beloved[2] is[0] really[0] her[0] daugher[0] materialized[0] though[0] we[0] aren't[0] flat[0] out[0] told[0] that[0] until[0] later[0] on[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
beloved represents the pain and suffering the slaves went through and shows how difficult it was for them to deal with their freedom after being tortured for so long . 	beloved represents the pain and suffering the slaves went through and shows how difficult it was for them to deal with their freedom after being tortured for so long .	3	-4	 beloved[2] represents[0] the[0] pain[-3] and[0] suffering[-3] the[0] slaves[0] went[0] through[0] and[0] shows[0] how[0] difficult[-1] it[0] was[0] for[0] them[0] to[0] deal[0] with[0] their[0] freedom[0] after[0] being[0] tortured[-3] for[0] so[0] long[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
thus , " beloved " becomes a sorta-redux of the andrei tarkofsky sci-fi classic , " solaris , " where a cosmonaut discovers that his wife , who commited suicide years before , has materialized when he is orbiting over a planet with a complex brain system . 	thus , " beloved " becomes a sorta-redux of the andrei tarkofsky sci-fi classic , " solaris , " where a cosmonaut discovers that his wife , who commited suicide years before , has materialized when he is orbiting over a planet with a complex brain system .	3	-4	 thus[0] beloved[2] becomes[0] a[0] sorta[0] redux[0] of[0] the[0] andrei[0] tarkofsky[0] sci[0] fi[0] classic[0] solaris[0] where[0] a[0] cosmonaut[0] discovers[0] that[0] his[0] wife[0] who[0] commited[0] suicide[-3] years[0] before[0] has[0] materialized[0] when[0] he[0] is[0] orbiting[0] over[0] a[0] planet[0] with[0] a[0] complex[0] brain[0] system[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
that film spoke volumes about humanity and our memories , how we are constantly regretting what happened in the past , and when if it ever literally came back to haunt us , it would control us completely . 	that film spoke volumes about humanity and our memories , how we are constantly regretting what happened in the past , and when if it ever literally came back to haunt us , it would control us completely .	1	-2	 that[0] film[0] spoke[0] volumes[0] about[0] humanity[0] and[0] our[0] memories[0] how[0] we[0] are[0] constantly[0] regretting[-1] what[0] happened[0] in[0] the[0] past[0] and[0] when[0] if[0] it[0] ever[0] literally[0] came[0] back[0] to[0] haunt[-1] us[0] it[0] would[0] control[0] us[0] completely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " beloved " moves along freely , without a lot of explanation , and for the most part , this is extremely respectable . 	 " beloved " moves along freely , without a lot of explanation , and for the most part , this is extremely respectable .	5	-1	 beloved[2] moves[0] along[0] freely[0] without[0] a[0] lot[0] of[0] explanation[0] and[0] for[0] the[0] most[0] part[0] this[0] is[0] extremely[0] respectable[2][2 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
the most interesting films are the ones that don't explain everything for us , leaving gaps in the characters that we are supposed to fill in with how they act in the present tense . 	the most interesting films are the ones that don't explain everything for us , leaving gaps in the characters that we are supposed to fill in with how they act in the present tense .	2	-3	 the[0] most[0] interesting[1] films[0] are[0] the[0] ones[0] that[0] don't[0] explain[0] everything[0] for[0] us[0] leaving[0] gaps[0] in[0] the[0] characters[0] that[0] we[0] are[0] supposed[0] to[0] fill[0] in[0] with[0] how[0] they[0] act[0] in[0] the[0] present[0] tense[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sethe is never fully explained as a character , but we understand all her actions since she's being played by oprah winfrey . 	sethe is never fully explained as a character , but we understand all her actions since she's being played by oprah winfrey .	1	-1	 sethe[0] is[0] never[0] fully[0] explained[0] as[0] a[0] character[0] but[0] we[0] understand[0] all[0] her[0] actions[0] since[0] she's[0] being[0] played[0] by[0] oprah[0] winfrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's been well over a decade since her last major performance in " the color purple , " but judging from these two films , i'll bet she's one of the best actresses working today . . . if 	it's been well over a decade since her last major performance in " the color purple , " but judging from these two films , i'll bet she's one of the best actresses working today .<br> .<br> .<br> if	2	-1	 it's[0] been[0] well[0] over[0] a[0] decade[0] since[0] her[0] last[0] major[0] performance[0] in[0] the[0] color[0] purple[0] but[0] judging[0] from[0] these[0] two[0] films[0] i'll[0] bet[0] she's[0] one[0] of[0] the[0] best[1] actresses[0] working[0] today[0] [[Sentence=-1,2=word max, 1-5]] if[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
she was strictly an actress . 	she was strictly an actress .	1	-2	 she[0] was[0] strictly[-1] an[0] actress[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her talk show , which i suppose is a great entity , has prevented her from becoming a noteworthy actress , and that's a shame because she brings so much to this movie . 	her talk show , which i suppose is a great entity , has prevented her from becoming a noteworthy actress , and that's a shame because she brings so much to this movie .	3	-3	 her[0] talk[0] show[0] which[0] i[0] suppose[0] is[0] a[0] great[2] entity[0] has[0] prevented[0] her[0] from[0] becoming[0] a[0] noteworthy[0] actress[0] and[0] that's[0] a[0] shame[-2] because[0] she[0] brings[0] so[0] much[0] to[0] this[0] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
emotion . 	emotion .	1	-1	 emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadness . 	sadness .	1	-4	 sadness[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
strength . 	strength .	1	-1	 strength[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the strong sethe , who's so afraid of the past that she's built a rather strong protective coating around herself , break down when she discovers who beloved really is is what makes this movie really great . 	watching the strong sethe , who's so afraid of the past that she's built a rather strong protective coating around herself , break down when she discovers who beloved really is is what makes this movie really great .	4	-4	 watching[0] the[0] strong[0] sethe[0] who's[0] so[0] afraid[-3] of[0] the[0] past[0] that[0] she's[0] built[0] a[0] rather[0] strong[0] protective[0] coating[0] around[0] herself[0] break[0] down[0] when[0] she[0] discovers[0] who[0] beloved[2] really[0] is[0] is[0] what[0] makes[0] this[0] movie[0] really[0] great[2][1 LastWordBoosterStrength] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
she makes it real . 	she makes it real .	1	-1	 she[0] makes[0] it[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's not to say this is a perfect film . 	that's not to say this is a perfect film .	2	-1	 that's[0] not[0] to[0] say[0] this[0] is[0] a[0] perfect[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , i'd wager to say that the fact that it's confusing and painful to watch is what prevents this from being the truly great film it is . 	in fact , i'd wager to say that the fact that it's confusing and painful to watch is what prevents this from being the truly great film it is .	3	-4	 in[0] fact[0] i'd[0] wager[0] to[0] say[0] that[0] the[0] fact[0] that[0] it's[0] confusing[-1] and[0] painful[-3] to[0] watch[0] is[0] what[0] prevents[0] this[0] from[0] being[0] the[0] truly[1] great[2] film[0] it[0] is[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while oprah's performance is powerful and easily sympathetic ( and i'm dying to see her win at least an oscar nomination this february ) , the structure of the film , which doesn't show what happened to her children till halfway through the film , prevents us from really making a cohesive connection to the film . 	while oprah's performance is powerful and easily sympathetic ( and i'm dying to see her win at least an oscar nomination this february ) , the structure of the film , which doesn't show what happened to her children till halfway through the film , prevents us from really making a cohesive connection to the film .	1	-2	 while[0] oprah's[0] performance[0] is[0] powerful[0] and[0] easily[0] sympathetic[0] and[0] i'm[0] dying[-1] to[0] see[0] her[0] win[0] at[0] least[0] an[0] oscar[0] nomination[0] this[0] february[0] the[0] structure[0] of[0] the[0] film[0] which[0] doesn't[0] show[0] what[0] happened[0] to[0] her[0] children[0] till[0] halfway[0] through[0] the[0] film[0] prevents[0] us[0] from[0] really[0] making[0] a[0] cohesive[0] connection[0] to[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't necessarily move as though they're memories of one particular character , and by the end , it has lost control over sethe , and as she takes to bed , we are unable to truly identify with her anymore . 	it doesn't necessarily move as though they're memories of one particular character , and by the end , it has lost control over sethe , and as she takes to bed , we are unable to truly identify with her anymore .	2	-1	 it[0] doesn't[0] necessarily[0] move[0] as[0] though[0] they're[0] memories[0] of[0] one[0] particular[0] character[0] and[0] by[0] the[0] end[0] it[0] has[0] lost[0] control[0] over[0] sethe[0] and[0] as[0] she[0] takes[0] to[0] bed[0] we[0] are[0] unable[0] to[0] truly[1] identify[0] with[0] her[0] anymore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but despite its tediousness , perhaps that's the point . 	but despite its tediousness , perhaps that's the point .	1	-3	 but[0] despite[0] its[0] tediousness[-2] perhaps[0] that's[0] the[0] point[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the distancing by the end of the film may be just part of the way it has been built from the start , since they figure she has crossed over from being identifiable , and it needs to get back with reality . 	the distancing by the end of the film may be just part of the way it has been built from the start , since they figure she has crossed over from being identifiable , and it needs to get back with reality .	1	-1	 the[0] distancing[0] by[0] the[0] end[0] of[0] the[0] film[0] may[0] be[0] just[0] part[0] of[0] the[0] way[0] it[0] has[0] been[0] built[0] from[0] the[0] start[0] since[0] they[0] figure[0] she[0] has[0] crossed[0] over[0] from[0] being[0] identifiable[0] and[0] it[0] needs[0] to[0] get[0] back[0] with[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for the most part , this film seems like the cry of pain from the slaves that it really wants to be . 	and for the most part , this film seems like the cry of pain from the slaves that it really wants to be .	2	-4	 and[0] for[0] the[0] most[0] part[0] this[0] film[0] seems[0] like[1] the[0] cry[-3] of[0] pain[-3] from[0] the[0] slaves[0] that[0] it[0] really[0] wants[0] to[0] be[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jonathan demme's direction is bizarre , in nature with the story , and he creates the right mood , making it a tough film to sit through , making sure that the audience feels as uncomfortable as the characters . 	jonathan demme's direction is bizarre , in nature with the story , and he creates the right mood , making it a tough film to sit through , making sure that the audience feels as uncomfortable as the characters .	1	-3	 jonathan[0] demme's[0] direction[0] is[0] bizarre[-1] in[0] nature[0] with[0] the[0] story[0] and[0] he[0] creates[0] the[0] right[0] mood[0] making[0] it[0] a[0] tough[-1] film[0] to[0] sit[0] through[0] making[0] sure[0] that[0] the[0] audience[0] feels[0] as[0] uncomfortable[-2] as[0] the[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's more to admire here , like the way that the flashbacks pop up freely and without real organization , just like they would be in real life ; and the way that the ending leaves it somewhat open to more pain and suffering , but laced with a touch of optimism . 	there's more to admire here , like the way that the flashbacks pop up freely and without real organization , just like they would be in real life ; and the way that the ending leaves it somewhat open to more pain and suffering , but laced with a touch of optimism .	3	-4	 there's[0] more[0] to[0] admire[2] here[0] like[1] the[0] way[0] that[0] the[0] flashbacks[0] pop[0] up[0] freely[0] and[0] without[0] real[0] organization[0] just[0] like[1][-1 LastWordBoosterStrength] they[0] would[0] be[0] in[0] real[0] life[0] and[0] the[0] way[0] that[0] the[0] ending[0] leaves[0] it[0] somewhat[0] open[0] to[0] more[0] pain[-3] and[0] suffering[-3] but[0] laced[0] with[0] a[0] touch[0] of[0] optimism[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the acting , not only from winfrey , is amazing , and i anticipate not only she will get an oscar nomination . 	the acting , not only from winfrey , is amazing , and i anticipate not only she will get an oscar nomination .	3	-1	 the[0] acting[0] not[0] only[0] from[0] winfrey[0] is[0] amazing[2] and[0] i[0] anticipate[0] not[0] only[0] she[0] will[0] get[0] an[0] oscar[0] nomination[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everyone has been raving about thandie newton's performance , and how it should be rewarded . 	everyone has been raving about thandie newton's performance , and how it should be rewarded .	2	-1	 everyone[0] has[0] been[0] raving[0] about[0] thandie[0] newton's[0] performance[0] and[0] how[0] it[0] should[0] be[0] rewarded[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , it must be noted that out of everyone , she had the easiest part . 	however , it must be noted that out of everyone , she had the easiest part .	1	-1	 however[0] it[0] must[0] be[0] noted[0] that[0] out[0] of[0] everyone[0] she[0] had[0] the[0] easiest[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
act like a baby . 	act like a baby .	2	-1	 act[0] like[1] a[0] baby[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throw things . 	throw things .	1	-1	 throw[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stumble around . 	stumble around .	1	-1	 stumble[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chew food with your mouth open . 	chew food with your mouth open .	1	-1	 chew[0] food[0] with[0] your[0] mouth[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do think there's another performance worthy of oscar conisderation , but it's kimberly elise , as the daugher who has to stay sensible and sane , and has to carry the burden of her mother's loss of reality towards the end . 	i do think there's another performance worthy of oscar conisderation , but it's kimberly elise , as the daugher who has to stay sensible and sane , and has to carry the burden of her mother's loss of reality towards the end .	1	-3	 i[0] do[0] think[0] there's[0] another[0] performance[0] worthy[0] of[0] oscar[0] conisderation[0] but[0] it's[0] kimberly[0] elise[0] as[0] the[0] daugher[0] who[0] has[0] to[0] stay[0] sensible[0] and[0] sane[0] and[0] has[0] to[0] carry[0] the[0] burden[-1] of[0] her[0] mother's[0] loss[-2] of[0] reality[0] towards[0] the[0] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not that newton isn't great : she's as annoying and wacky as the role demands . 	it's not that newton isn't great : she's as annoying and wacky as the role demands .	1	-3	 it's[0] not[0] that[0] newton[0] isn't[0] great[2][NegatedDueToPreviousWord] she's[0] as[0] annoying[-2] and[0] wacky[0] as[0] the[0] role[0] demands[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just that elise has the tougher job and pulls it off even better . 	it's just that elise has the tougher job and pulls it off even better .	1	-2	 it's[0] just[0] that[0] elise[0] has[0] the[0] tougher[-1] job[0] and[0] pulls[0] it[0] off[0] even[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite the fact that this film has winfrey written all over it , and not that of writer morrison or director demme , " beloved " has still not done well . 	despite the fact that this film has winfrey written all over it , and not that of writer morrison or director demme , " beloved " has still not done well .	3	-1	 despite[0] the[0] fact[0] that[0] this[0] film[0] has[0] winfrey[0] written[0] all[0] over[0] it[0] and[0] not[0] that[0] of[0] writer[0] morrison[0] or[0] director[0] demme[0] beloved[2] has[0] still[0] not[0] done[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
costing , i think , around ninety million dollars , it has since grossed about twenty-two . 	costing , i think , around ninety million dollars , it has since grossed about twenty-two .	1	-2	 costing[0] i[0] think[0] around[0] ninety[0] million[0] dollars[0] it[0] has[0] since[0] grossed[-1] about[0] twenty[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
