the long and illustrious career of robin williams , which has included both forgettable turns like mrs . 	Translation	Positive	Negative	EmotionRationale
although the script does not perform well as a narrative -- there's little story to be told outside of patch's skit-length experiences -- the script does go a long way toward building the relationships of characters . 	although the script does not perform well as a narrative - there's little story to be told outside of patch's skit-length experiences - the script does go a long way toward building the relationships of characters .	1	-1	 although[0] the[0] script[0] does[0] not[0] perform[0] well[0] as[0] a[0] narrative[0] there's[0] little[0] story[0] to[0] be[0] told[0] outside[0] of[0] patch's[0] skit[0] length[0] experiences[0] the[0] script[0] does[0] go[0] a[0] long[0] way[0] toward[0] building[0] the[0] relationships[0] of[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at medical school , patch meets up with truman schiff ( daniel london ) , an outsider like himself who relishes patch's zest for humanity . 	at medical school , patch meets up with truman schiff ( daniel london ) , an outsider like himself who relishes patch's zest for humanity .	2	-2	 at[0] medical[0] school[0] patch[0] meets[0] up[0] with[0] truman[0] schiff[0] daniel[0] london[0] an[0] outsider[-1] like[1] himself[0] who[0] relishes[0] patch's[0] zest[1] for[0] humanity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the two instantly become the best of friends , and it's easy to see why . 	the two instantly become the best of friends , and it's easy to see why .	2	-1	 the[0] two[0] instantly[0] become[0] the[0] best[1] of[0] friends[1] and[0] it's[0] easy[0] to[0] see[0] why[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
monica potter plays patch's love interest , a young woman who personifies the things that patch hates about medical school . 	monica potter plays patch's love interest , a young woman who personifies the things that patch hates about medical school .	3	-4	 monica[0] potter[0] plays[1] patch's[0] love[2] interest[1] a[0] young[0] woman[0] who[0] personifies[0] the[0] things[0] that[0] patch[0] hates[-3] about[0] medical[0] school[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
for some reason he's attracted to her , and although it never gets said , the audience understands from an intrinsic point of view . 	for some reason he's attracted to her , and although it never gets said , the audience understands from an intrinsic point of view .	2	-1	 for[0] some[0] reason[0] he's[0] attracted[1] to[0] her[0] and[0] although[0] it[0] never[0] gets[0] said[0] the[0] audience[0] understands[0] from[0] an[0] intrinsic[0] point[0] of[0] view[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script -- based on hunter adams' own story -- works well this way . 	the script - based on hunter adams' own story - works well this way .	1	-2	 the[0] script[0] based[0] on[0] hunter[-1] adams'[0] own[0] story[0] works[0] well[0] this[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the cast , bob gunton as the villain professor in particular , is solid . 	the rest of the cast , bob gunton as the villain professor in particular , is solid .	1	-3	 the[0] rest[0] of[0] the[0] cast[0] bob[0] gunton[-1] as[0] the[0] villain[-2] professor[0] in[0] particular[0] is[0] solid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director tom shadyac ( liar liar ) leads us in and out of patch's life in a sound , intentional manner ; combined with williams' presence on screen , the movie rarely becomes boring . 	director tom shadyac ( liar liar ) leads us in and out of patch's life in a sound , intentional manner ; combined with williams' presence on screen , the movie rarely becomes boring .	1	-4	 director[0] tom[0] shadyac[0] liar[-2] liar[-2][-1 MultiplePositiveWords] leads[0] us[0] in[0] and[0] out[0] of[0] patch's[0] life[0] in[0] a[0] sound[0] intentional[0] manner[0] combined[0] with[0] williams'[0] presence[0] on[0] screen[0] the[0] movie[0] rarely[0] becomes[0] boring[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
patch adams' lack of purpose is its major shortcoming , and for the first ninety minutes out of two hours , there's little feeling of continuity or the passage of time . 	patch adams' lack of purpose is its major shortcoming , and for the first ninety minutes out of two hours , there's little feeling of continuity or the passage of time .	1	-2	 patch[0] adams'[0] lack[-1] of[0] purpose[0] is[0] its[0] major[0] shortcoming[-1] and[0] for[0] the[0] first[0] ninety[0] minutes[0] out[0] of[0] two[0] hours[0] there's[0] little[0] feeling[0] of[0] continuity[0] or[0] the[0] passage[0] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nevertheless , it's an emotionally moving picture , and patch adams looks to be one of the more memorable of the holiday season . 	nevertheless , it's an emotionally moving picture , and patch adams looks to be one of the more memorable of the holiday season .	1	-1	 nevertheless[0] it's[0] an[0] emotionally[0] moving[0] picture[0] and[0] patch[0] adams[0] looks[0] to[0] be[0] one[0] of[0] the[0] more[0] memorable[0] of[0] the[0] holiday[0] season[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it succeeds at everything it tries , and only fails at the stuff it doesn't try in the first place . 	it succeeds at everything it tries , and only fails at the stuff it doesn't try in the first place .	3	-3	 it[0] succeeds[2] at[0] everything[0] it[0] tries[0] and[0] only[0] fails[-2] at[0] the[0] stuff[0] it[0] doesn't[0] try[0] in[0] the[0] first[0] place[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
by and large there may be another oscar nomination herein for williams , but more importantly , it's entertainment for the entire family . 	by and large there may be another oscar nomination herein for williams , but more importantly , it's entertainment for the entire family .	1	-1	 by[0] and[0] large[0] there[0] may[0] be[0] another[0] oscar[0] nomination[0] herein[0] for[0] williams[0] but[0] more[0] importantly[0] it's[0] entertainment[0] for[0] the[0] entire[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
