with many big-budget science fiction films , great ideas are often wasted by bad scripts , cheesy plot twists , and , terrible acting . 	Translation	Positive	Negative	EmotionRationale
how exactly do you know what is real and what is in your mind ? 	how exactly do you know what is real and what is in your mind ?	1	-1	 how[0] exactly[0] do[0] you[0] know[0] what[0] is[0] real[0] and[0] what[0] is[0] in[0] your[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and if the real world were much harsher and grim than a fantasy one you were living in , would you want to face the true world or continue to live in a more comfortable illusion ? 	and if the real world were much harsher and grim than a fantasy one you were living in , would you want to face the true world or continue to live in a more comfortable illusion ?	2	-3	 and[0] if[0] the[0] real[0] world[0] were[0] much[0] harsher[0] and[0] grim[-2] than[0] a[0] fantasy[0] one[0] you[0] were[0] living[0] in[0] would[0] you[0] want[0] to[0] face[0] the[0] true[1] world[0] or[0] continue[0] to[0] live[0] in[0] a[0] more[0] comfortable[1] illusion[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , the matrix doesn't provide many answers to the questions it raises , but at least it puts some ideas behind all the explosions , shoot-outs , and flying roundhouse kicks . 	unfortunately , the matrix doesn't provide many answers to the questions it raises , but at least it puts some ideas behind all the explosions , shoot-outs , and flying roundhouse kicks .	1	-2	 unfortunately[-1] the[0] matrix[0] doesn't[0] provide[0] many[0] answers[0] to[0] the[0] questions[0] it[0] raises[0] but[0] at[0] least[0] it[0] puts[0] some[0] ideas[0] behind[0] all[0] the[0] explosions[-1] shoot[-1] outs[0] and[0] flying[0] roundhouse[0] kicks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps stealing the entire show in the matrix is australian actor hugo weaving , who plays agent smith , the leader of the creepy agents in sunglasses and suits who seem capable of being anywhere and doing anything to stop neo and friends from destabilizing the matrix . 	perhaps stealing the entire show in the matrix is australian actor hugo weaving , who plays agent smith , the leader of the creepy agents in sunglasses and suits who seem capable of being anywhere and doing anything to stop neo and friends from destabilizing the matrix .	2	-3	 perhaps[0] stealing[-2] the[0] entire[0] show[0] in[0] the[0] matrix[0] is[0] australian[0] actor[0] hugo[0] weaving[0] who[0] plays[1] agent[0] smith[0] the[0] leader[0] of[0] the[0] creepy[0] agents[0] in[0] sunglasses[0] and[0] suits[0] who[0] seem[0] capable[0] of[0] being[0] anywhere[0] and[0] doing[0] anything[0] to[0] stop[0] neo[0] and[0] friends[1] from[0] destabilizing[0] the[0] matrix[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
weaving's stony appearance , deadpan voice , and chilling comments put a grim human face on the haunting , evil technological force that controls the matrix . 	weaving's stony appearance , deadpan voice , and chilling comments put a grim human face on the haunting , evil technological force that controls the matrix .	1	-3	 weaving's[0] stony[0] appearance[0] deadpan[0] voice[0] and[0] chilling[0] comments[0] put[0] a[0] grim[-2] human[0] face[0] on[0] the[0] haunting[0] evil[-2] technological[0] force[-1] that[0] controls[0] the[0] matrix[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like robert patrick as the shapeshifting t-1000 terminator in terminator 2 : judgement day , weaving is more frightening than any monstrous alien or homicidal robot because , despite his power and seeming invincibility , he looks ordinary , even scrawny . 	like robert patrick as the shapeshifting t-100 terminator in terminator 2 : judgement day , weaving is more frightening than any monstrous alien or homicidal robot because , despite his power and seeming invincibility , he looks ordinary , even scrawny .	2	-4	 like[1] robert[0] patrick[0] as[0] the[0] shapeshifting[0] t[0] -1000/-100[0] terminator[0] in[0] terminator[0] 2[0] judgement[0] day[0] weaving[0] is[0] more[0] frightening[-3] than[0] any[0] monstrous[-2] alien[-1] or[0] homicidal[0] robot[0] because[0] despite[0] his[0] power[0] and[0] seeming[0] invincibility[0] he[0] looks[0] ordinary[0] even[0] scrawny[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
weaving embodies his role with a memorably chilling presence . 	weaving embodies his role with a memorably chilling presence .	1	-1	 weaving[0] embodies[0] his[0] role[0] with[0] a[0] memorably[0] chilling[0] presence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film features some truly breathtaking special effects and stylish cinematography . 	the film features some truly breathtaking special effects and stylish cinematography .	2	-1	 the[0] film[0] features[0] some[0] truly[1][-1 LastWordBoosterStrength] breathtaking[0] special[1] effects[0] and[0] stylish[0] cinematography[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seems to be deliberately kitchy , with stylized fight sequences directed by hong kong stunt specialist wo ping that reportedly required months of martial arts training by the actors . 	it seems to be deliberately kitchy , with stylized fight sequences directed by hong kong stunt specialist wo ping that reportedly required months of martial arts training by the actors .	2	-3	 it[0] seems[0] to[0] be[0] deliberately[0] kitchy[0] with[0] stylized[0] fight[-2] sequences[0] directed[0] by[0] hong[0] kong[0] stunt[-1] specialist[1] wo[0] ping[0] that[0] reportedly[0] required[0] months[0] of[0] martial[0] arts[0] training[0] by[0] the[0] actors[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in a few scenes , the posing and posturing is unintentionally funny . 	in a few scenes , the posing and posturing is unintentionally funny .	2	-1	 in[0] a[0] few[0] scenes[0] the[0] posing[0] and[0] posturing[0] is[0] unintentionally[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just seeing keanu reeves engaging in serious kung fu is a bit jarring . 	just seeing keanu reeves engaging in serious kung fu is a bit jarring .	1	-2	 just[0] seeing[0] keanu[0] reeves[0] engaging[0] in[0] serious[-1] kung[0] fu[0] is[0] a[0] bit[0] jarring[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , with the comic-book style and tone of the film , you can sustain willing disbelief long enough to enjoy the ride without losing patience . 	however , with the comic-book style and tone of the film , you can sustain willing disbelief long enough to enjoy the ride without losing patience .	3	-3	 however[0] with[0] the[0] comic[0] book[0] style[0] and[0] tone[0] of[0] the[0] film[0] you[0] can[0] sustain[0] willing[0] disbelief[-1] long[0] enough[0] to[0] enjoy[2] the[0] ride[0] without[0] losing[-2] patience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the matrix isn't a classic . 	the matrix isn't a classic .	1	-1	 the[0] matrix[0] isn't[0] a[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its open-ended and confusing conclusion raises more questions than it answers . 	its open-ended and confusing conclusion raises more questions than it answers .	1	-2	 its[0] open[0] ended[0] and[0] confusing[-1] conclusion[0] raises[0] more[0] questions[0] than[0] it[0] answers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it fails to resolve many of its own plot twists and philosophical questions . 	it fails to resolve many of its own plot twists and philosophical questions .	2	-3	 it[0] fails[-2] to[0] resolve[1] many[0] of[0] its[0] own[0] plot[0] twists[0] and[0] philosophical[0] questions[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it also relies on some conventional sentimentality to save the hero - the kind of shmaltzy feel-good goo that most of the film avoids . 	it also relies on some conventional sentimentality to save the hero - the kind of shmaltzy feel-good goo that most of the film avoids .	3	-2	 it[0] also[0] relies[0] on[0] some[0] conventional[0] sentimentality[2] to[0] save[1] the[0] hero[2] the[0] kind[1] of[0] shmaltzy[0] feel[0] good[1] goo[0] that[0] most[0] of[0] the[0] film[0] avoids[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
reportedly , the producers have high hopes for the film being the first in a trilogy and have already begun work on the story for the sequel . 	reportedly , the producers have high hopes for the film being the first in a trilogy and have already begun work on the story for the sequel .	2	-1	 reportedly[0] the[0] producers[0] have[0] high[0] hopes[1] for[0] the[0] film[0] being[0] the[0] first[0] in[0] a[0] trilogy[0] and[0] have[0] already[0] begun[0] work[0] on[0] the[0] story[0] for[0] the[0] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , audiences deserve a little more than a vague sense that the story will continue in the future . 	unfortunately , audiences deserve a little more than a vague sense that the story will continue in the future .	1	-2	 unfortunately[-1] audiences[0] deserve[0] a[0] little[0] more[0] than[0] a[0] vague[-1] sense[0] that[0] the[0] story[0] will[0] continue[0] in[0] the[0] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the matrix is an fun , enjoyable diversion , like a big puff of cotton candy at a carnival . 	the matrix is an fun , enjoyable diversion , like a big puff of cotton candy at a carnival .	3	-1	 the[0] matrix[0] is[0] an[0] fun[1] enjoyable[2] diversion[0] like[1] a[0] big[0] puff[0] of[0] cotton[0] candy[0] at[0] a[0] carnival[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
just don't be surprised half an hour later when you still feel a little hungry . 	just don't be surprised half an hour later when you still feel a little hungry .	1	-2	 just[0] don't[0] be[0] surprised[0] half[0] an[0] hour[0] later[0] when[0] you[0] still[0] feel[0] a[0] little[0] hungry[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
