wow ! what a movie . 	Translation	Positive	Negative	EmotionRationale
john malkovich of course has no idea what is going on , and by the end of this bizarre film there are so many twists and turns , that we don't know what really happened . 	john malkovich of course has no idea what is going on , and by the end of this bizarre film there are so many twists and turns , that we don't know what really happened .	1	-2	 john[0] malkovich[0] of[0] course[0] has[0] no[0] idea[0] what[0] is[0] going[0] on[0] and[0] by[0] the[0] end[0] of[0] this[0] bizarre[-1] film[0] there[0] are[0] so[0] many[0] twists[0] and[0] turns[0] that[0] we[0] don't[0] know[0] what[0] really[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john cusack is outstanding and utterly believeable in a role only he himself could play . 	john cusack is outstanding and utterly believeable in a role only he himself could play .	3	-1	 john[0] cusack[0] is[0] outstanding[2] and[0] utterly[0] believeable[0] in[0] a[0] role[0] only[0] he[0] himself[0] could[0] play[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he fits the role perfectly and to me was brilliantly cast . 	he fits the role perfectly and to me was brilliantly cast .	2	-1	 he[0] fits[0] the[0] role[0] perfectly[1] and[0] to[0] me[0] was[0] brilliantly[1] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cameron diaz is outstanding and utterly one of the world's most prettiest women , is made up here unnoticeable and very unattractive . 	cameron diaz is outstanding and utterly one of the world's most prettiest women , is made up here unnoticeable and very unattractive .	3	-4	 cameron[0] diaz[0] is[0] outstanding[2] and[0] utterly[0] one[0] of[0] the[0] world's[0] most[0] prettiest[2] women[0] is[0] made[0] up[0] here[0] unnoticeable[0] and[0] very[0] unattractive[-2][-1 LastWordBoosterStrength] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
she however gives a very comic performance and this could easily be her best role to date . 	she however gives a very comic performance and this could easily be her best role to date .	2	-1	 she[0] however[0] gives[0] a[0] very[0] comic[0] performance[0] and[0] this[0] could[0] easily[0] be[0] her[0] best[1] role[0] to[0] date[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
catherine keener is very funny and sexy as maxine and of course the best thing of the movie is the magic himself john malkovich who is very brilliant and this movie plays big time homage ? to the master himself . 	catherine keener is very funny and sexy as maxine and of course the best thing of the movie is the magic himself john malkovich who is very brilliant and this movie plays big time homage ?<br> to the master himself .	3	-1	 catherine[0] keener[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] sexy[2] as[0] maxine[0] and[0] of[0] course[0] the[0] best[1] thing[0] of[0] the[0] movie[0] is[0] the[0] magic[0] himself[0] john[0] malkovich[0] who[0] is[0] very[0] brilliant[1][1 LastWordBoosterStrength] and[0] this[0] movie[0] plays[1] big[0] time[0] homage[0] [[Sentence=-1,3=word max, 1-5]] to[0] the[0] master[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the whole group combined gives us a wonderfully funny movie that is also smart and clever . 	the whole group combined gives us a wonderfully funny movie that is also smart and clever .	3	-1	 the[0] whole[0] group[0] combined[0] gives[0] us[0] a[0] wonderfully[2] funny[1] movie[0] that[0] is[0] also[0] smart[1] and[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
spike jonze ( three kings ) makes his fabulous directing debut , and did a fantastic job of directing this new classic film . 	spike jonze ( three kings ) makes his fabulous directing debut , and did a fantastic job of directing this new classic film .	3	-1	 spike[0] jonze[0] three[0] kings[0] makes[0] his[0] fabulous[2] directing[0] debut[0] and[0] did[0] a[0] fantastic[2] job[0] of[0] directing[0] this[0] new[0] classic[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he lets the viewer go on the trip as well as let the viewer know they are watching a movie . 	he lets the viewer go on the trip as well as let the viewer know they are watching a movie .	1	-1	 he[0] lets[0] the[0] viewer[0] go[0] on[0] the[0] trip[0] as[0] well[0] as[0] let[0] the[0] viewer[0] know[0] they[0] are[0] watching[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time the ending rolled around my head was spinning from disbelief of how good this film was . 	by the time the ending rolled around my head was spinning from disbelief of how good this film was .	2	-2	 by[0] the[0] time[0] the[0] ending[0] rolled[0] around[0] my[0] head[0] was[0] spinning[0] from[0] disbelief[-1] of[0] how[0] good[1] this[0] film[0] was[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the screenplay written by charlie kaufman was hilarious and often thought-provoking . 	the screenplay written by charlie kaufman was hilarious and often thought-provoking .	3	-1	 the[0] screenplay[0] written[0] by[0] charlie[0] kaufman[0] was[0] hilarious[2] and[0] often[0] thought[0] provoking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film also had a soft side to it and even though the ending is very surprising it is also a little sad and heart-warming . 	the film also had a soft side to it and even though the ending is very surprising it is also a little sad and heart-warming .	1	-4	 the[0] film[0] also[0] had[0] a[0] soft[0] side[0] to[0] it[0] and[0] even[0] though[0] the[0] ending[0] is[0] very[0] surprising[0] it[0] is[0] also[0] a[0] little[0] sad[-3] and[0] heart[0] warming[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the whole movie was fantastic and had me rolling in the isles . 	the whole movie was fantastic and had me rolling in the isles .	3	-1	 the[0] whole[0] movie[0] was[0] fantastic[2] and[0] had[0] me[0] rolling[0] in[0] the[0] isles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from cameron diaz's appearence to john malkovich's explorations i laughed very hard , and it may as well be as funny as as good as it gets ( the funniest ! ) . 	from cameron diaz's appearence to john malkovich's explorations i laughed very hard , and it may as well be as funny as as good as it gets ( the funniest !<br> ) .	2	-1	 from[0] cameron[0] diaz's[0] appearence[0] to[0] john[0] malkovich's[0] explorations[0] i[0] laughed[1] very[0] hard[0] and[0] it[0] may[0] as[0] well[0] be[0] as[0] funny[1] as[0] as[0] good[1] as[0] it[0] gets[0] the[0] funniest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there isn't a slow point in the movie , or an overused idea . 	there isn't a slow point in the movie , or an overused idea .	1	-1	 there[0] isn't[0] a[0] slow[0] point[0] in[0] the[0] movie[0] or[0] an[0] overused[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no cliches except for the fact that this is the most original , inventie , witty , and smart movie i've seen in a long time . 	there are no cliches except for the fact that this is the most original , inventie , witty , and smart movie i've seen in a long time .	2	-1	 there[0] are[0] no[0] cliches[0] except[0] for[0] the[0] fact[0] that[0] this[0] is[0] the[0] most[0] original[0] inventie[0] witty[0] and[0] smart[1] movie[0] i've[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i found myself amazed by everything : the direction , acting , writing and the whole idea of the movie . 	i found myself amazed by everything : the direction , acting , writing and the whole idea of the movie .	3	-1	 i[0] found[0] myself[0] amazed[2] by[0] everything[0] the[0] direction[0] acting[0] writing[0] and[0] the[0] whole[0] idea[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the end i had to wonder why hollywood doesn't want to make movies like this anymore . 	by the end i had to wonder why hollywood doesn't want to make movies like this anymore .	2	-1	 by[0] the[0] end[0] i[0] had[0] to[0] wonder[0] why[0] hollywood[0] doesn't[0] want[0] to[0] make[0] movies[0] like[1] this[0] anymore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or why they don't . 	or why they don't .	1	-1	 or[0] why[0] they[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all filmmakers watch this movie and get some ideas of movies to come out . 	all filmmakers watch this movie and get some ideas of movies to come out .	1	-1	 all[0] filmmakers[0] watch[0] this[0] movie[0] and[0] get[0] some[0] ideas[0] of[0] movies[0] to[0] come[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was a surprise hit as was american beauty . 	this was a surprise hit as was american beauty .	3	-1	 this[0] was[0] a[0] surprise[0] hit[0] as[0] was[0] american[0] beauty[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
'being john malkovich' is in the top 5 movies of the year , and in the top 10 best films ever made . 	'being john malkovich' is in the top 5 movies of the year , and in the top 10 best films ever made .	2	-1	 'being[0] john[0] malkovich'[0] is[0] in[0] the[0] top[0] 5[0] movies[0] of[0] the[0] year[0] and[0] in[0] the[0] top[0] 10[0] best[1] films[0] ever[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has something that no other movies playing now has . 	it has something that no other movies playing now has .	2	-1	 it[0] has[0] something[0] that[0] no[0] other[0] movies[0] playing[1] now[0] has[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact it may as well be the best movie out right now . 	in fact it may as well be the best movie out right now .	2	-1	 in[0] fact[0] it[0] may[0] as[0] well[0] be[0] the[0] best[1] movie[0] out[0] right[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i highly recommend 'being john malkovich' and have no doubts you will be disappointed . 	i highly recommend 'being john malkovich' and have no doubts you will be disappointed .	1	-2	 i[0] highly[0] recommend[0] 'being[0] john[0] malkovich'[0] and[0] have[0] no[0] doubts[-1] you[0] will[0] be[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
