marie ( charlotte rampling , " aberdeen " ) and jean ( bruno cremet , " sorcerer " ) are a comfortable , sixty-ish married couple looking forward to a peaceful vacation at their second home in lit et mix . 	Translation	Positive	Negative	EmotionRationale
her mother-in-law ( andree tainsy ) cruelly 	her mother-in-law ( andree tainsy ) cruelly	1	-4	 her[0] mother[0] in[0] law[0] andree[0] tainsy[0] cruelly[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
insists that jean simply abandoned her out of boredom . 	insists that jean simply abandoned her out of boredom .	1	-2	 insists[0] that[0] jean[0] simply[0] abandoned[-1] her[0] out[0] of[0] boredom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , marie goes to the police , insisting on viewing the body . 	finally , marie goes to the police , insisting on viewing the body .	1	-1	 finally[0] marie[0] goes[0] to[0] the[0] police[0] insisting[0] on[0] viewing[0] the[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
horrified ( she's been warned it was 	horrified ( she's been warned it was	1	-4	 horrified[-3] she's[0] been[0] warned[0] it[0] was[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in an advanced state of putrefaction ) , she laughs when handed a bagged watch , insisting that this is not her husband . 	in an advanced state of putrefaction ) , she laughs when handed a bagged watch , insisting that this is not her husband .	2	-1	 in[0] an[0] advanced[0] state[0] of[0] putrefaction[0] she[0] laughs[1] when[0] handed[0] a[0] bagged[0] watch[0] insisting[0] that[0] this[0] is[0] not[0] her[0] husband[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " under the sand " is a character study and melancholy portrait of aging ( 'i've lost my youth , ' marie declares ) and loss . 	 " under the sand " is a character study and melancholy portrait of aging ( 'i've lost my youth , ' marie declares ) and loss .	1	-4	 under[0] the[0] sand[0] is[0] a[0] character[0] study[0] and[0] melancholy[-3] portrait[0] of[0] aging[0] 'i've[0] lost[0] my[0] youth[0] '[0] marie[0] declares[0] and[0] loss[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
charlotte rampling , given the chance to portray an older , yet still sexual , woman runs with it , bringing us into the mind of the character . 	charlotte rampling , given the chance to portray an older , yet still sexual , woman runs with it , bringing us into the mind of the character .	1	-1	 charlotte[0] rampling[0] given[0] the[0] chance[0] to[0] portray[0] an[0] older[0] yet[0] still[0] sexual[0] woman[0] runs[0] with[0] it[0] bringing[0] us[0] into[0] the[0] mind[0] of[0] the[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her chemistry with bruno cremet is startlingly natural . 	her chemistry with bruno cremet is startlingly natural .	1	-2	 her[0] chemistry[0] with[0] bruno[0] cremet[0] is[0] startlingly[-1] natural[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as marie returns from her first date with vincent , she sits on the couch with jean . 	as marie returns from her first date with vincent , she sits on the couch with jean .	1	-1	 as[0] marie[0] returns[0] from[0] her[0] first[0] date[0] with[0] vincent[0] she[0] sits[0] on[0] the[0] couch[0] with[0] jean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'did he kiss you ? ' he asks . 	'did he kiss you ?<br> ' he asks .	3	-1	 'did[0] he[0] kiss[2] you[0] [[Sentence=-1,3=word max, 1-5]] '[0] he[0] asks[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the mood the two create is incredibly intimate and sad . 	the mood the two create is incredibly intimate and sad .	1	-4	 the[0] mood[0] the[0] two[0] create[0] is[0] incredibly[0] intimate[0] and[0] sad[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ozon ( " water drops on burning rocks , " " see the sea " ) , who cowrote the script with emmanuelle bernheim , marcia romano , and marina de van , has turned in a more mature work than his previous , creepy " see the sea . " 	ozon ( " water drops on burning rocks , " " see the sea " ) , who cowrote the script with emmanuelle bernheim , marcia romano , and marina de van , has turned in a more mature work than his previous , creepy " see the sea .<br> "	1	-2	 ozon[0] water[0] drops[0] on[0] burning[-1] rocks[0] see[0] the[0] sea[0] who[0] cowrote[0] the[0] script[0] with[0] emmanuelle[0] bernheim[0] marcia[0] romano[0] and[0] marina[0] de[0] van[0] has[0] turned[0] in[0] a[0] more[0] mature[0] work[0] than[0] his[0] previous[0] creepy[0] see[0] the[0] sea[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he cleverly never lets us see jean enter the water that fateful day , leaving a number of possibilities - accident ? , suicide ? , escape ? 	while he cleverly never lets us see jean enter the water that fateful day , leaving a number of possibilities - accident ?<br> , suicide ?<br> , escape ?	1	-4	 while[0] he[0] cleverly[0] never[0] lets[0] us[0] see[0] jean[0] enter[0] the[0] water[0] that[0] fateful[0] day[0] leaving[0] a[0] number[0] of[0] possibilities[0] accident[-1] [[Sentence=-2,1=word max, 1-5]] suicide[-3] [[Sentence=-4,1=word max, 1-5]] escape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
- open , he definitely tips his hand towards a certain outcome . 	- open , he definitely tips his hand towards a certain outcome .	1	-1	 open[0] he[0] definitely[0] tips[0] his[0] hand[0] towards[0] a[0] certain[0] outcome[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematography by antoine hiberli and jeanne lapoirie ( " water drops on burning rocks " ) glides around marie ( their 180 shot as she initially searches the ocean's horizon for a sign of jean conveys her panic ) or captures rampling's exotic face in mood divining closeup . 	cinematography by antoine hiberli and jeanne lapoirie ( " water drops on burning rocks " ) glides around marie ( their 180 shot as she initially searches the ocean's horizon for a sign of jean conveys her panic ) or captures rampling's exotic face in mood divining closeup .	2	-3	 cinematography[0] by[0] antoine[0] hiberli[0] and[0] jeanne[0] lapoirie[0] water[0] drops[0] on[0] burning[-1] rocks[0] glides[0] around[0] marie[0] their[0] 180[0] shot[-1] as[0] she[0] initially[0] searches[0] the[0] ocean's[0] horizon[0] for[0] a[0] sign[0] of[0] jean[0] conveys[0] her[0] panic[-2] or[0] captures[-1] rampling's[0] exotic[0] face[0] in[0] mood[0] divining[1] closeup[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in an inventive fantasy scene , marie imagines jean's hands massaging her feet while in a state of auto-arousal . 	in an inventive fantasy scene , marie imagines jean's hands massaging her feet while in a state of auto-arousal .	1	-1	 in[0] an[0] inventive[0] fantasy[0] scene[0] marie[0] imagines[0] jean's[0] hands[0] massaging[0] her[0] feet[0] while[0] in[0] a[0] state[0] of[0] auto[0] arousal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his two hands become four , then more combined with her own , becoming almost a one person orgy and recalling roman polanski's " repulsion . " 	his two hands become four , then more combined with her own , becoming almost a one person orgy and recalling roman polanski's " repulsion .<br> "	1	-1	 his[0] two[0] hands[0] become[0] four[0] then[0] more[0] combined[0] with[0] her[0] own[0] becoming[0] almost[0] a[0] one[0] person[0] orgy[0] and[0] recalling[0] roman[0] polanski's[0] repulsion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
original music by philippe rombi quietly adds to the overall melancholy . 	original music by philippe rombi quietly adds to the overall melancholy .	1	-4	 original[0] music[0] by[0] philippe[0] rombi[0] quietly[0] adds[0] to[0] the[0] overall[0] melancholy[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " under the sand " is a unique portrait of loss . 	 " under the sand " is a unique portrait of loss .	1	-3	 under[0] the[0] sand[0] is[0] a[0] unique[0] portrait[0] of[0] loss[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it would make an fascinating double bill with liv ullmann's " faithless " from earlier this year , another character study of a woman facing loss for different reasons . 	it would make an fascinating double bill with liv ullmann's " faithless " from earlier this year , another character study of a woman facing loss for different reasons .	1	-3	 it[0] would[0] make[0] an[0] fascinating[0] double[0] bill[0] with[0] liv[0] ullmann's[0] faithless[-2] from[0] earlier[0] this[0] year[0] another[0] character[0] study[0] of[0] a[0] woman[0] facing[0] loss[-2] for[0] different[0] reasons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
