touchstone pictures and spyglass entertainment presents a birnbaum / barber production in association with a jackie chan films limited production jackie chan owen wilson " shanghai noon " lucy liu music by randy edelman co producers ned dowd jules daly executive producer jackie chan willie chan and solon so produced by roger birnbaum gary barber and jonathan glickman written by alfred gough & miles millar directed by tom dey 	Translation	Positive	Negative	EmotionRationale
unwilling to follow her father's wishes , princess pei pei with the assistance of her english tutor , decides to escape to america . 	unwilling to follow her father's wishes , princess pei pei with the assistance of her english tutor , decides to escape to america .	1	-2	 unwilling[-1] to[0] follow[0] her[0] father's[0] wishes[0] princess[0] pei[0] pei[0] with[0] the[0] assistance[0] of[0] her[0] english[0] tutor[0] decides[0] to[0] escape[0] to[0] america[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but this is all a ploy devised by exiled guard lo fong , which will lead to the princess' kidnapping and ransom . 	but this is all a ploy devised by exiled guard lo fong , which will lead to the princess' kidnapping and ransom .	1	-2	 but[0] this[0] is[0] all[0] a[0] ploy[0] devised[0] by[0] exiled[-1] guard[0] lo[0] fong[0] which[0] will[0] lead[0] to[0] the[0] princess'[0] kidnapping[0] and[0] ransom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unable to take any legal action , the ransom demands are met and three of the forbidden city's bravest guards ( played by cui ya hi , rong guang yu , and eric chen ) are ordered to transport the ransom payment to lo fong in carson city , nevada . 	unable to take any legal action , the ransom demands are met and three of the forbidden city's bravest guards ( played by cui ya hi , rong guang yu , and eric chen ) are ordered to transport the ransom payment to lo fong in carson city , nevada .	3	-2	 unable[0] to[0] take[0] any[0] legal[0] action[0] the[0] ransom[0] demands[0] are[0] met[0] and[0] three[0] of[0] the[0] forbidden[-1] city's[0] bravest[2] guards[0] played[0] by[0] cui[0] ya[0] hi[0] rong[0] guang[0] yu[0] and[0] eric[0] chen[0] are[0] ordered[0] to[0] transport[0] the[0] ransom[0] payment[0] to[0] lo[0] fong[0] in[0] carson[0] city[0] nevada[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
chon wang pleads with the imperial court and is given permission to join the team , as he is looked upon as a buffoon . 	chon wang pleads with the imperial court and is given permission to join the team , as he is looked upon as a buffoon .	1	-2	 chon[0] wang[0] pleads[0] with[0] the[0] imperial[0] court[0] and[0] is[0] given[0] permission[0] to[0] join[0] the[0] team[0] as[0] he[0] is[0] looked[0] upon[0] as[0] a[0] buffoon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on a train in the u . s . jackie meets up with bandit roy o'bannon ( owen wilson ) . 	on a train in the you .<br> s .<br> jackie meets up with bandit roy o'bannon ( owen wilson ) .	1	-2	 on[0] a[0] train[0] in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] jackie[0] meets[0] up[0] with[0] bandit[-1] roy[0] o'bannon[0] owen[0] wilson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is much less of a bandit than he is a glory hog , looking simple for the notoriety and fame that being a bandit will bring him . 	he is much less of a bandit than he is a glory hog , looking simple for the notoriety and fame that being a bandit will bring him .	2	-2	 he[0] is[0] much[0] less[0] of[0] a[0] bandit[-1] than[0] he[0] is[0] a[0] glory[1] hog[0] looking[0] simple[0] for[0] the[0] notoriety[0] and[0] fame[0] that[0] being[0] a[0] bandit[-1] will[0] bring[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with his gang in tow , roy attempts to rob the train , when one of his gang murders the chinese interpreter of the royal court , who also happens to be chon wang's uncle . 	with his gang in tow , roy attempts to rob the train , when one of his gang murders the chinese interpreter of the royal court , who also happens to be chon wang's uncle .	1	-4	 with[0] his[0] gang[0] in[0] tow[0] roy[0] attempts[0] to[0] rob[0] the[0] train[0] when[0] one[0] of[0] his[0] gang[0] murders[-3] the[0] chinese[0] interpreter[0] of[0] the[0] royal[0] court[0] who[0] also[0] happens[0] to[0] be[0] chon[0] wang's[0] uncle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
chon wang gives chase , foiling the attempted robbery , but also leaving himself stranded in the desert . 	chon wang gives chase , foiling the attempted robbery , but also leaving himself stranded in the desert .	1	-2	 chon[0] wang[0] gives[0] chase[-1] foiling[0] the[0] attempted[0] robbery[-1] but[0] also[0] leaving[0] himself[0] stranded[0] in[0] the[0] desert[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the disgraced guard wanders through the desert , he again comes upon roy , who has been left for dead by his former gang . 	as the disgraced guard wanders through the desert , he again comes upon roy , who has been left for dead by his former gang .	1	-4	 as[0] the[0] disgraced[-3] guard[0] wanders[0] through[0] the[0] desert[0] he[0] again[0] comes[0] upon[0] roy[0] who[0] has[0] been[0] left[0] for[0] dead[-2] by[0] his[0] former[0] gang[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
buried up to his neck in the desert , roy pleads with chon to dig him out . 	buried up to his neck in the desert , roy pleads with chon to dig him out .	1	-3	 buried[-2] up[0] to[0] his[0] neck[0] in[0] the[0] desert[0] roy[0] pleads[0] with[0] chon[0] to[0] dig[0] him[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
chon demands to know where carson city is . 	chon demands to know where carson city is .	1	-1	 chon[0] demands[0] to[0] know[0] where[0] carson[0] city[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roy directs him , and chon leaves . 	roy directs him , and chon leaves .	1	-1	 roy[0] directs[0] him[0] and[0] chon[0] leaves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but not before sticking two chopsticks into roy's mouth and telling him to dig himself . 	but not before sticking two chopsticks into roy's mouth and telling him to dig himself .	1	-1	 but[0] not[0] before[0] sticking[0] two[0] chopsticks[0] into[0] roy's[0] mouth[0] and[0] telling[0] him[0] to[0] dig[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chon soon finds himself confronted by angry crow warriors , a friendly sioux tribe , gunslingers , a horse that thinks and behaves like a dog and an indian bride ( brandon merrill ) , before once again running into roy . 	chon soon finds himself confronted by angry crow warriors , a friendly sioux tribe , gunslingers , a horse that thinks and behaves like a dog and an indian bride ( brandon merrill ) , before once again running into roy .	2	-4	 chon[0] soon[0] finds[0] himself[0] confronted[-2] by[0] angry[-3] crow[0] warriors[0] a[0] friendly[1] sioux[0] tribe[0] gunslingers[-1] a[0] horse[0] that[0] thinks[0] and[0] behaves[0] like[1] a[0] dog[0] and[0] an[0] indian[0] bride[0] brandon[0] merrill[1] before[0] once[0] again[0] running[0] into[0] roy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " shanghai noon " is just good fun . 	 " shanghai noon " is just good fun .	2	-1	 shanghai[0] noon[0] is[0] just[0] good[1][-1 LastWordBoosterStrength] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the chemistry between the cast is remarkable . 	the chemistry between the cast is remarkable .	1	-1	 the[0] chemistry[0] between[0] the[0] cast[0] is[0] remarkable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are all acceptable within the whimsical levels of the film . 	the performances are all acceptable within the whimsical levels of the film .	1	-1	 the[0] performances[0] are[0] all[0] acceptable[0] within[0] the[0] whimsical[0] levels[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie's performance is as good as anything he's done before . 	jackie's performance is as good as anything he's done before .	2	-1	 jackie's[0] performance[0] is[0] as[0] good[1] as[0] anything[0] he's[0] done[0] before[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's not called on to do much acting here , as the character is not written with any depth . 	he's not called on to do much acting here , as the character is not written with any depth .	1	-1	 he's[0] not[0] called[0] on[0] to[0] do[0] much[0] acting[0] here[0] as[0] the[0] character[0] is[0] not[0] written[0] with[0] any[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but jackie's natural charisma shines through , and his comic timing is so perfect , both physically and ( surprise ) verbally that once again he commands the screen whenever he is on . 	but jackie's natural charisma shines through , and his comic timing is so perfect , both physically and ( surprise ) verbally that once again he commands the screen whenever he is on .	2	-1	 but[0] jackie's[0] natural[0] charisma[0] shines[0] through[0] and[0] his[0] comic[0] timing[0] is[0] so[0] perfect[1] both[0] physically[0] and[0] surprise[0] verbally[0] that[0] once[0] again[0] he[0] commands[0] the[0] screen[0] whenever[0] he[0] is[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
owen wilson , last seen in the embarrassing remake of " the haunting " , gives a good natured performance as roy o'bannon . 	owen wilson , last seen in the embarrassing remake of " the haunting " , gives a good natured performance as roy o'bannon .	2	-3	 owen[0] wilson[0] last[0] seen[0] in[0] the[0] embarrassing[-2] remake[0] of[0] the[0] haunting[0] gives[0] a[0] good[1] natured[0] performance[0] as[0] roy[0] o'bannon[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his innocence is refreshing and fun . 	his innocence is refreshing and fun .	2	-1	 his[0] innocence[1] is[0] refreshing[0] and[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a bad guy that's not really bad . 	a bad guy that's not really bad .	3	-2	 a[0] bad[-1] guy[0] that's[0] not[0] really[0] bad[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his scenes with jackie are some of the best bits of comic dueling since martin and lewis . 	his scenes with jackie are some of the best bits of comic dueling since martin and lewis .	2	-1	 his[0] scenes[0] with[0] jackie[0] are[0] some[0] of[0] the[0] best[1] bits[0] of[0] comic[0] dueling[0] since[0] martin[0] and[0] lewis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lucy liu as princess pei pei is given little to do in the script , but for a change does not play a nymphet or some other deviant . 	lucy liu as princess pei pei is given little to do in the script , but for a change does not play a nymphet or some other deviant .	1	-1	 lucy[0] liu[0] as[0] princess[0] pei[0] pei[0] is[0] given[0] little[0] to[0] do[0] in[0] the[0] script[0] but[0] for[0] a[0] change[0] does[0] not[0] play[0] a[0] nymphet[0] or[0] some[0] other[0] deviant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character is a noble woman of status and wealth , but finds a greater cause as a result of her own imprisonment . 	the character is a noble woman of status and wealth , but finds a greater cause as a result of her own imprisonment .	3	-2	 the[0] character[0] is[0] a[0] noble[0] woman[0] of[0] status[0] and[0] wealth[0] but[0] finds[0] a[0] greater[2] cause[0] as[0] a[0] result[0] of[0] her[0] own[0] imprisonment[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the rest of the performances are all broadly drawn comic performances . 	the rest of the performances are all broadly drawn comic performances .	1	-1	 the[0] rest[0] of[0] the[0] performances[0] are[0] all[0] broadly[0] drawn[0] comic[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing here is realistic , mind you . 	nothing here is realistic , mind you .	1	-1	 nothing[0] here[0] is[0] realistic[0] mind[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " shanghai noon " is first and foremost a light , jovial film . 	 " shanghai noon " is first and foremost a light , jovial film .	1	-1	 shanghai[0] noon[0] is[0] first[0] and[0] foremost[0] a[0] light[0] jovial[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the performances match that style with ease . 	and the performances match that style with ease .	1	-1	 and[0] the[0] performances[0] match[0] that[0] style[0] with[0] ease[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography by dan mindel is gorgeous . 	the cinematography by dan mindel is gorgeous .	3	-1	 the[0] cinematography[0] by[0] dan[0] mindel[0] is[0] gorgeous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
using calgary , alberta as the prime location . 	using calgary , alberta as the prime location .	1	-1	 using[0] calgary[0] alberta[0] as[0] the[0] prime[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . mindel is able to create a lush , romantic western feel to the film . 	mr .<br> mindel is able to create a lush , romantic western feel to the film .	4	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] mindel[0] is[0] able[0] to[0] create[0] a[0] lush[0] romantic[3] western[0] feel[0] to[0] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
nothing here really looks like nevada , but the locations are so beautifully shot and staged , the film can be looked upon as a loving tribute to earlier films of the genre . 	nothing here really looks like nevada , but the locations are so beautifully shot and staged , the film can be looked upon as a loving tribute to earlier films of the genre .	4	-2	 nothing[0] here[0] really[0] looks[0] like[1] nevada[0] but[0] the[0] locations[0] are[0] so[0] beautifully[2] shot[-1] and[0] staged[0] the[0] film[0] can[0] be[0] looked[0] upon[0] as[0] a[0] loving[3] tribute[0] to[0] earlier[0] films[0] of[0] the[0] genre[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and as such , the script by alfred gough and miles millar plays fast and loose with history , but with reverence to past films . 	and as such , the script by alfred gough and miles millar plays fast and loose with history , but with reverence to past films .	2	-1	 and[0] as[0] such[0] the[0] script[0] by[0] alfred[0] gough[0] and[0] miles[0] millar[0] plays[1] fast[0] and[0] loose[0] with[0] history[0] but[0] with[0] reverence[0] to[0] past[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
homage to such films as " high noon " ( obviously ) , " red river " and most notably " butch cassidy & the sundance kid " all bring a sense of nostalgia to the film . 	homage to such films as " high noon " ( obviously ) , " red river " and most notably " butch cassidy & the sundance kid " all bring a sense of nostalgia to the film .	1	-1	 homage[0] to[0] such[0] films[0] as[0] high[0] noon[0] obviously[0] red[0] river[0] and[0] most[0] notably[0] butch[0] cassidy[0] &[0] the[0] sundance[0] kid[0] all[0] bring[0] a[0] sense[0] of[0] nostalgia[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a comforting experience . 	it is a comforting experience .	2	-1	 it[0] is[0] a[0] comforting[1] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at a time when the western is considered either old hat or irrelevant , here is a film that embraces those old attitudes and ( dare i say ) clich ? s and manages to make them palatable and refreshing . 	at a time when the western is considered either old hat or irrelevant , here is a film that embraces those old attitudes and ( dare i say ) clich ?<br> s and manages to make them palatable and refreshing .	2	-1	 at[0] a[0] time[0] when[0] the[0] western[0] is[0] considered[0] either[0] old[0] hat[0] or[0] irrelevant[0] here[0] is[0] a[0] film[0] that[0] embraces[0] those[0] old[0] attitudes[0] and[0] dare[0] i[0] say[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] and[0] manages[0] to[0] make[0] them[0] palatable[1] and[0] refreshing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here is a film that is not contemptuous of the genre . 	here is a film that is not contemptuous of the genre .	4	-1	 here[0] is[0] a[0] film[0] that[0] is[0] not[0] contemptuous[-3][NegatedDueToPreviousWord] of[0] the[0] genre[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is the purest " horse opera " since the days of george o'brian or john wayne . 	this is the purest " horse opera " since the days of george o'brian or john wayne .	1	-1	 this[0] is[0] the[0] purest[0] horse[0] opera[0] since[0] the[0] days[0] of[0] george[0] o'brian[0] or[0] john[0] wayne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director tom dey has crafted a loving tribute to hollywood's past . 	director tom dey has crafted a loving tribute to hollywood's past .	4	-1	 director[0] tom[0] dey[0] has[0] crafted[0] a[0] loving[3] tribute[0] to[0] hollywood's[0] past[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in this , his first film mr . dey shows both a love of character and of craftsmanship that is refreshing to see . 	in this , his first film mr .<br> dey shows both a love of character and of craftsmanship that is refreshing to see .	3	-1	 in[0] this[0] his[0] first[0] film[0] mr[0] [[Sentence=-1,1=word max, 1-5]] dey[0] shows[0] both[0] a[0] love[2] of[0] character[0] and[0] of[0] craftsmanship[0] that[0] is[0] refreshing[0] to[0] see[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nothing here really stands out , or takes one's attention away from the story or action . 	nothing here really stands out , or takes one's attention away from the story or action .	1	-1	 nothing[0] here[0] really[0] stands[0] out[0] or[0] takes[0] one's[0] attention[0] away[0] from[0] the[0] story[0] or[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is as it should be , when jackie chan is your star . 	and that is as it should be , when jackie chan is your star .	1	-1	 and[0] that[0] is[0] as[0] it[0] should[0] be[0] when[0] jackie[0] chan[0] is[0] your[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what of the action and stunts . 	and what of the action and stunts .	1	-1	 and[0] what[0] of[0] the[0] action[0] and[0] stunts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , while not up to a level of " drunken master 2 " or any of jackie's hong kong films , " shanghai noon " is miles ahead of anything jackie has done in an american film before . 	well , while not up to a level of " drunken master 2 " or any of jackie's hong kong films , " shanghai noon " is miles ahead of anything jackie has done in an american film before .	1	-2	 well[0] while[0] not[0] up[0] to[0] a[0] level[0] of[0] drunken[-1] master[0] 2[0] or[0] any[0] of[0] jackie's[0] hong[0] kong[0] films[0] shanghai[0] noon[0] is[0] miles[0] ahead[0] of[0] anything[0] jackie[0] has[0] done[0] in[0] an[0] american[0] film[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his timing , choreography , and creativity are still as sharp as ever . 	his timing , choreography , and creativity are still as sharp as ever .	1	-3	 his[0] timing[0] choreography[-2] and[0] creativity[0] are[0] still[0] as[0] sharp[0] as[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jackie even gets to recreate a few scenes from his earlier films ( obvious to those of us that have seen those films , but refreshingly fun for those unfamiliar ) . 	jackie even gets to recreate a few scenes from his earlier films ( obvious to those of us that have seen those films , but refreshingly fun for those unfamiliar ) .	2	-2	 jackie[0] even[0] gets[0] to[0] recreate[0] a[0] few[0] scenes[0] from[0] his[0] earlier[0] films[0] obvious[0] to[0] those[0] of[0] us[0] that[0] have[0] seen[0] those[0] films[0] but[0] refreshingly[0] fun[1] for[0] those[0] unfamiliar[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally jackie can honestly say , that he has made an u . s . , his way and incorporating his style . 	finally jackie can honestly say , that he has made an you .<br> s .<br> , his way and incorporating his style .	1	-1	 finally[0] jackie[0] can[0] honestly[0] say[0] that[0] he[0] has[0] made[0] an[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] his[0] way[0] and[0] incorporating[0] his[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to sum up , " shanghai noon " is a fun summer confection . 	to sum up , " shanghai noon " is a fun summer confection .	2	-1	 to[0] sum[0] up[0] shanghai[0] noon[0] is[0] a[0] fun[1] summer[0] confection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not too heavy and not too light . 	not too heavy and not too light .	1	-1	 not[0] too[0] heavy[0] and[0] not[0] too[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a fun and entertaining film that the whole family can enjoy ( parents be advised there are scenes of smoking , drunkenness and peyote use ) . 	a fun and entertaining film that the whole family can enjoy ( parents be advised there are scenes of smoking , drunkenness and peyote use ) .	3	-2	 a[0] fun[1] and[0] entertaining[0] film[0] that[0] the[0] whole[0] family[0] can[0] enjoy[2] parents[0] be[0] advised[0] there[0] are[0] scenes[0] of[0] smoking[0] drunkenness[-1] and[0] peyote[0] use[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
an enjoyable and charming film that can and will be enjoyed again and again . 	an enjoyable and charming film that can and will be enjoyed again and again .	3	-1	 an[0] enjoyable[2] and[0] charming[1] film[0] that[0] can[0] and[0] will[0] be[0] enjoyed[2] again[0] and[0] again[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
