note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
my best friend's wedding keeps breaking conventionality with its characters as well . 	my best friend's wedding keeps breaking conventionality with its characters as well .	2	-1	 my[0] best[1] friend's[1] wedding[0] keeps[0] breaking[0] conventionality[0] with[0] its[0] characters[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a typical romantic-comedy , kimmy would be portrayed as a snooty , conniving ice queen , and the audience would be cheering for julianne to rescue michael from her grasps ; this film is smarter than that - here , kimmy is sweet , sincere , and innocent ; julianne even admits at one point that had she not resolved to utterly destroy kimmy's life , she'd actually like her too . 	in a typical romantic-comedy , kimmy would be portrayed as a snooty , conniving ice queen , and the audience would be cheering for julianne to rescue michael from her grasps ; this film is smarter than that - here , kimmy is sweet , sincere , and innocent ; julianne even admits at one point that had she not resolved to utterly destroy kimmy's life , she'd actually like her too .	4	-3	 in[0] a[0] typical[0] romantic[3] comedy[0] kimmy[0] would[0] be[0] portrayed[0] as[0] a[0] snooty[0] conniving[0] ice[0] queen[0] and[0] the[0] audience[0] would[0] be[0] cheering[2] for[0] julianne[0] to[0] rescue[0] michael[0] from[0] her[0] grasps[0] this[0] film[0] is[0] smarter[1] than[0] that[0] here[0] kimmy[0] is[0] sweet[1] sincere[0] and[0] innocent[1] julianne[0] even[0] admits[0] at[0] one[0] point[0] that[0] had[0] she[0] not[0] resolved[1][NegatedDueToPreviousWord] to[0] utterly[0] destroy[-2] kimmy's[0] life[0] she'd[0] actually[0] like[1] her[0] too[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the george character is almost a staple of recent film - the homosexual male friend of the heroine who acts as a confidant and provides the guiding voice of reason - but in my best friend's wedding , he gets to have a playful , mischievous and charming personality . 	the george character is almost a staple of recent film - the homosexual male friend of the heroine who acts as a confidant and provides the guiding voice of reason - but in my best friend's wedding , he gets to have a playful , mischievous and charming personality .	3	-2	 the[0] george[0] character[0] is[0] almost[0] a[0] staple[0] of[0] recent[0] film[0] the[0] homosexual[0] male[0] friend[1] of[0] the[0] heroine[2] who[0] acts[0] as[0] a[0] confidant[0] and[0] provides[0] the[0] guiding[0] voice[0] of[0] reason[0] but[0] in[0] my[0] best[1] friend's[1] wedding[0] he[0] gets[0] to[0] have[0] a[0] playful[1] mischievous[-1] and[0] charming[1] personality[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
throughout the film , the formulaisms one often sees is romantic-comedy are given little twists , and the result is a film which is compelling all the way to its somewhat unorthodox conclusion . 	throughout the film , the formulaisms one often sees is romantic-comedy are given little twists , and the result is a film which is compelling all the way to its somewhat unorthodox conclusion .	4	-1	 throughout[0] the[0] film[0] the[0] formulaisms[0] one[0] often[0] sees[0] is[0] romantic[3] comedy[0] are[0] given[0] little[0] twists[0] and[0] the[0] result[0] is[0] a[0] film[0] which[0] is[0] compelling[0] all[0] the[0] way[0] to[0] its[0] somewhat[0] unorthodox[0] conclusion[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there is a lot of smart writing in the well-paced screenplay by ronald bass ; we're given four interesting , vivid , and likeable characters , with some good dialogue and some genuinely charming and touching moments . 	there is a lot of smart writing in the well-paced screenplay by ronald bass ; we're given four interesting , vivid , and likeable characters , with some good dialogue and some genuinely charming and touching moments .	3	-1	 there[0] is[0] a[0] lot[0] of[0] smart[1] writing[0] in[0] the[0] well[0] paced[0] screenplay[0] by[0] ronald[0] bass[0] we're[0] given[0] four[0] interesting[1] vivid[0] and[0] likeable[2] characters[0] with[0] some[0] good[1][-1 LastWordBoosterStrength] dialogue[0] and[0] some[0] genuinely[0] charming[1] and[0] touching[0] moments[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my best friend's wedding marks a strong career rebound for julia roberts , who turns in a top-notch , confident and reassured performance as julianne . 	my best friend's wedding marks a strong career rebound for julia roberts , who turns in a top-notch , confident and reassured performance as julianne .	2	-1	 my[0] best[1] friend's[1] wedding[0] marks[0] a[0] strong[0] career[0] rebound[0] for[0] julia[0] roberts[0] who[0] turns[0] in[0] a[0] top[0] notch[0] confident[1] and[0] reassured[1] performance[0] as[0] julianne[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this isn't the sort of role one usually associates with ms . roberts - the julianne character's neurotic , fumbling characteristics are more in line with a meg ryan role - but ms . roberts works wonderfully in the film and demonstrates her aptitude at comedy here , remaining compelling and empathetic to the audience , if not entirely sympathetic , even when her deeds done to destroy the wedding plans of her best friend are less than honourable . 	this isn't the sort of role one usually associates with ms .<br> roberts - the julianne character's neurotic , fumbling characteristics are more in line with a meg ryan role - but ms .<br> roberts works wonderfully in the film and demonstrates her aptitude at comedy here , remaining compelling and empathetic to the audience , if not entirely sympathetic , even when her deeds done to destroy the wedding plans of her best friend are less than honourable .	3	-3	 this[0] isn't[0] the[0] sort[0] of[0] role[0] one[0] usually[0] associates[0] with[0] ms[0] [[Sentence=-1,1=word max, 1-5]] roberts[0] the[0] julianne[0] character's[0] neurotic[-2] fumbling[0] characteristics[0] are[0] more[0] in[0] line[0] with[0] a[0] meg[0] ryan[0] role[0] but[0] ms[0] [[Sentence=-3,1=word max, 1-5]] roberts[0] works[0] wonderfully[2] in[0] the[0] film[0] and[0] demonstrates[0] her[0] aptitude[0] at[0] comedy[0] here[0] remaining[0] compelling[0] and[0] empathetic[0] to[0] the[0] audience[0] if[0] not[0] entirely[0] sympathetic[0] even[0] when[0] her[0] deeds[0] done[0] to[0] destroy[-2] the[0] wedding[0] plans[0] of[0] her[0] best[1] friend[1] are[0] less[0] than[0] honourable[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even better than ms . roberts though is cameron diaz , who turns in a shining performance in my best friend's weddding . 	even better than ms .<br> roberts though is cameron diaz , who turns in a shining performance in my best friend's wedding .	2	-1	 even[0] better[0] than[0] ms[0] [[Sentence=-1,1=word max, 1-5]] roberts[0] though[0] is[0] cameron[0] diaz[0] who[0] turns[0] in[0] a[0] shining[0] performance[0] in[0] my[0] best[1] friend's[1] weddding/wedding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with a smile which lights up the screen , she effectively conveys kimmy's insecurity and utter sweetness in an endearing manner , and never hits a false note in the film . 	with a smile which lights up the screen , she effectively conveys kimmy's insecurity and utter sweetness in an endearing manner , and never hits a false note in the film .	3	-2	 with[0] a[0] smile[2] which[0] lights[0] up[0] the[0] screen[0] she[0] effectively[0] conveys[0] kimmy's[0] insecurity[-1] and[0] utter[0] sweetness[2] in[0] an[0] endearing[0] manner[0] and[0] never[0] hits[0] a[0] false[0] note[0] in[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she even sings - i won't soon forget her charming serenade of " i just don't know what to do with myself " . 	she even sings - i won't soon forget her charming serenade of " i just don't know what to do with myself " .	2	-1	 she[0] even[0] sings[0] i[0] won't[0] soon[0] forget[0] her[0] charming[1] serenade[0] of[0] i[0] just[0] don't[0] know[0] what[0] to[0] do[0] with[0] myself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rupert everett is given a very juicy role as george , and he makes the most of it with a hilarious turn which makes his character perhaps the most vivid and most memorable in the film . 	rupert everett is given a very juicy role as george , and he makes the most of it with a hilarious turn which makes his character perhaps the most vivid and most memorable in the film .	3	-1	 rupert[0] everett[0] is[0] given[0] a[0] very[0] juicy[0] role[0] as[0] george[0] and[0] he[0] makes[0] the[0] most[0] of[0] it[0] with[0] a[0] hilarious[2] turn[0] which[0] makes[0] his[0] character[0] perhaps[0] the[0] most[0] vivid[0] and[0] most[0] memorable[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his george is a bit of a devilish rogue , entirely affable , and mr . everett's performance is a delight to watch ; he's clearly having fun , and his joy is infectuous . 	his george is a bit of a devilish rogue , entirely affable , and mr .<br> everett's performance is a delight to watch ; he's clearly having fun , and his joy is infectuous .	3	-2	 his[0] george[0] is[0] a[0] bit[0] of[0] a[0] devilish[-1] rogue[-1] entirely[0] affable[2] and[0] mr[0] [[Sentence=-2,3=word max, 1-5]] everett's[0] performance[0] is[0] a[0] delight[2] to[0] watch[0] he's[0] clearly[0] having[0] fun[1] and[0] his[0] joy[2] is[0] infectuous[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dermot mulroney is adequate in a thankless role - unlike the other characters in the film , he's not given a lot to do , but there is a genuine onscreen chemistry between ms . roberts and mr . mulroney , and consequently the longstanding friendship between his michael character and the julianne character always seemed completely authentic . 	dermot mulroney is adequate in a thankless role - unlike the other characters in the film , he's not given a lot to do , but there is a genuine onscreen chemistry between ms .<br> roberts and mr .<br> mulroney , and consequently the longstanding friendship between his michael character and the julianne character always seemed completely authentic .	2	-1	 dermot[0] mulroney[0] is[0] adequate[0] in[0] a[0] thankless[0] role[0] unlike[0] the[0] other[0] characters[0] in[0] the[0] film[0] he's[0] not[0] given[0] a[0] lot[0] to[0] do[0] but[0] there[0] is[0] a[0] genuine[0] onscreen[0] chemistry[0] between[0] ms[0] [[Sentence=-1,1=word max, 1-5]] roberts[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] mulroney[0] and[0] consequently[0] the[0] longstanding[0] friendship[1] between[0] his[0] michael[0] character[0] and[0] the[0] julianne[0] character[0] always[0] seemed[0] completely[0] authentic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when julia roberts' lustre began to fade , and she was usurped from her title as " america's sweetheart " by sandra bullock , i thought it was a canny career move on her part to take supporting roles in prestige projects like michael collins and everyone says i love you to raise her profile . 	when julia roberts' lustre began to fade , and she was usurped from her title as " america's sweetheart " by sandra bullock , i thought it was a canny career move on her part to take supporting roles in prestige projects like michael collins and everyone says i love you to raise her profile .	4	-2	 when[0] julia[0] roberts'[0] lustre[0] began[0] to[0] fade[0] and[0] she[0] was[0] usurped[-1] from[0] her[0] title[0] as[0] america's[0] sweetheart[3] by[0] sandra[0] bullock[0] i[0] thought[0] it[0] was[0] a[0] canny[0] career[0] move[0] on[0] her[0] part[0] to[0] take[0] supporting[1] roles[0] in[0] prestige[0] projects[0] like[1] michael[0] collins[0] and[0] everyone[0] says[0] i[0] love[2] you[0] to[0] raise[0] her[0] profile[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
while that didn't quite work out , it's near-certain that her successful return to the genre which made her a big star back in 1990 , the romantic-comedy , will once again raise her ante in the hollywood game . 	while that didn't quite work out , it's near-certain that her successful return to the genre which made her a big star back in 1990 , the romantic-comedy , will once again raise her ante in the hollywood game .	4	-1	 while[0] that[0] didn't[0] quite[0] work[0] out[0] it's[0] near[0] certain[0] that[0] her[0] successful[2] return[0] to[0] the[0] genre[0] which[0] made[0] her[0] a[0] big[0] star[0] back[0] in[0] 1990[0] the[0] romantic[3] comedy[0] will[0] once[0] again[0] raise[0] her[0] ante[0] in[0] the[0] hollywood[0] game[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
my best friend's wedding marks a return to form for ms . roberts , and cements p . j . hogan's reputation as a skilled director of comedy . 	my best friend's wedding marks a return to form for ms .<br> roberts , and cements p .<br> j .<br> hogan's reputation as a skilled director of comedy .	2	-1	 my[0] best[1] friend's[1] wedding[0] marks[0] a[0] return[0] to[0] form[0] for[0] ms[0] [[Sentence=-1,2=word max, 1-5]] roberts[0] and[0] cements[0] p[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] hogan's[0] reputation[0] as[0] a[0] skilled[0] director[0] of[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
