what's shocking about " carlito's way " is how good it is . 	Translation	Positive	Negative	EmotionRationale
being a legend , he is quickly able to get a nice job running a big dance club ( this is the 70s , by the way , and since some of this takes place in night clubs , we get to hear all sorts of 70s classics , including several k . c . 	being a legend , he is quickly able to get a nice job running a big dance club ( this is the 70s , by the way , and since some of this takes place in night clubs , we get to hear all sorts of 70s classics , including several k .<br> c .	2	-1	 being[0] a[0] legend[0] he[0] is[0] quickly[0] able[0] to[0] get[0] a[0] nice[1] job[0] running[0] a[0] big[0] dance[0] club[0] this[0] is[0] the[0] 70s[0] by[0] the[0] way[0] and[0] since[0] some[0] of[0] this[0] takes[0] place[0] in[0] night[0] clubs[0] we[0] get[0] to[0] hear[0] all[0] sorts[0] of[0] 70s[0] classics[0] including[0] several[0] k[0] [[Sentence=-1,2=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
and the sunshine band tunes - my personal favorite ) . 	and the sunshine band tunes - my personal favorite ) .	2	-1	 and[0] the[0] sunshine[1] band[0] tunes[0] my[0] personal[0] favorite[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he gets a bodyguard ( the great luis guzman , at his best ) , and is soon running a pretty good business , even if he's constantly attracting underworld young thugs , like benny blanco " from the bronx " ( john leguiziamo ) , who is more than once pointed out to be a young version of carlito . 	he gets a bodyguard ( the great luis guzman , at his best ) , and is soon running a pretty good business , even if he's constantly attracting underworld young thugs , like benny blanco " from the bronx " ( john leguiziamo ) , who is more than once pointed out to be a young version of carlito .	3	-2	 he[0] gets[0] a[0] bodyguard[0] the[0] great[2] luis[0] guzman[0] at[0] his[0] best[1] and[0] is[0] soon[0] running[0] a[0] pretty[2] good[1] business[0] even[0] if[0] he's[0] constantly[0] attracting[1] underworld[-1] young[0] thugs[0] like[1] benny[0] blanco[0] from[0] the[0] bronx[0] john[0] leguiziamo[0] who[0] is[0] more[0] than[0] once[0] pointed[0] out[0] to[0] be[0] a[0] young[0] version[0] of[0] carlito[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the other side , the symbol of promise and hope , is gail ( penelope ann miller - what happened to her ? ) , his girlfriend from before prison . 	on the other side , the symbol of promise and hope , is gail ( penelope an miller - what happened to her ?<br> ) , his girlfriend from before prison .	3	-2	 on[0] the[0] other[0] side[0] the[0] symbol[0] of[0] promise[1] and[0] hope[2] is[0] gail[0] penelope[0] ann/an[0] miller[0] what[0] happened[0] to[0] her[0] [[Sentence=-1,3=word max, 1-5]] his[0] girlfriend[0] from[0] before[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
she's a goregeous ballerina , and a stripper , and soon carlito is trying to get back with her , and take her with him when he finally leaves for miami . 	she's a goregeous ballerina , and a stripper , and soon carlito is trying to get back with her , and take her with him when he finally leaves for miami .	1	-1	 she's[0] a[0] goregeous[0] ballerina[0] and[0] a[0] stripper[0] and[0] soon[0] carlito[0] is[0] trying[0] to[0] get[0] back[0] with[0] her[0] and[0] take[0] her[0] with[0] him[0] when[0] he[0] finally[0] leaves[0] for[0] miami[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while this relationship is never fully defined or anything , we get a sense of love between them , and they have some truly interesting scenes between them ( she never gives him addresses or locales - he always has to track her down ) . 	while this relationship is never fully defined or anything , we get a sense of love between them , and they have some truly interesting scenes between them ( she never gives him addresses or locales - he always has to track her down ) .	3	-1	 while[0] this[0] relationship[0] is[0] never[0] fully[0] defined[0] or[0] anything[0] we[0] get[0] a[0] sense[0] of[0] love[2] between[0] them[0] and[0] they[0] have[0] some[0] truly[1][-1 LastWordBoosterStrength] interesting[1] scenes[0] between[0] them[0] she[0] never[0] gives[0] him[0] addresses[0] or[0] locales[0] he[0] always[0] has[0] to[0] track[0] her[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all of these elements clash together at the end , in a brilliantly executed , emotional climax , which is inevitable . 	all of these elements clash together at the end , in a brilliantly executed , emotional climax , which is inevitable .	2	-2	 all[0] of[0] these[0] elements[0] clash[-1] together[0] at[0] the[0] end[0] in[0] a[0] brilliantly[1] executed[-1] emotional[-1] climax[0] which[0] is[0] inevitable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when i say inevitable , i mean we see it at the beginning and then backtrack , putting a great spin on it . 	when i say inevitable , i mean we see it at the beginning and then backtrack , putting a great spin on it .	3	-1	 when[0] i[0] say[0] inevitable[0] i[0] mean[0] we[0] see[0] it[0] at[0] the[0] beginning[0] and[0] then[0] backtrack[0] putting[0] a[0] great[2] spin[0] on[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sure , it's going to eleveate some of the tension , but it gives the film a lot of depth , as carlito is seen trapped by fate . 	sure , it's going to eleveate some of the tension , but it gives the film a lot of depth , as carlito is seen trapped by fate .	1	-3	 sure[0] it's[0] going[0] to[0] eleveate[0] some[0] of[0] the[0] tension[-2] but[0] it[0] gives[0] the[0] film[0] a[0] lot[0] of[0] depth[0] as[0] carlito[0] is[0] seen[0] trapped[0] by[0] fate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's amazing is the big chase sequence ( amazingly done by de palma ) has a lot of tension and thrills . 	what's amazing is the big chase sequence ( amazingly done by de palma ) has a lot of tension and thrills .	4	-3	 what's[0] amazing[2] is[0] the[0] big[0] chase[-1] sequence[0] amazingly[2] done[0] by[0] de[0] palma[0] has[0] a[0] lot[0] of[0] tension[-2] and[0] thrills[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
like " apollo 13 , " we know what's going to happen , but we're still thrilled by what happens in the middle . 	like " apollo 13 , " we know what's going to happen , but we're still thrilled by what happens in the middle .	4	-1	 like[1] apollo[0] 13[0] we[0] know[0] what's[0] going[0] to[0] happen[0] but[0] we're[0] still[0] thrilled[3] by[0] what[0] happens[0] in[0] the[0] middle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's also very emotional , thanks to a great script by david koepp , and amazing performances by pacino and miller . 	it's also very emotional , thanks to a great script by david koep , and amazing performances by pacino and miller .	3	-3	 it's[0] also[0] very[0] emotional[-1][-1 LastWordBoosterStrength] thanks[1] to[0] a[0] great[2] script[0] by[0] david[0] koepp/koep[0] and[0] amazing[2] performances[0] by[0] pacino[0] and[0] miller[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
de palma is famous ( or infamous ) for lots of violence in his films . 	de palma is famous ( or infamous ) for lots of violence in his films .	1	-4	 de[0] palma[0] is[0] famous[0] or[0] infamous[-1] for[0] lots[0] of[0] violence[-3] in[0] his[0] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his earlier flim , " scarface " ( which starred pacino in the lead ) , has a ton of it , especially at the end ( and a nasty chainsaw scene towards the beginning which i'm still not over ) . 	his earlier flim , " scarface " ( which starred pacino in the lead ) , has a ton of it , especially at the end ( and a nasty chainsaw scene towards the beginning which i'm still not over ) .	1	-3	 his[0] earlier[0] flim[0] scarface[0] which[0] starred[0] pacino[0] in[0] the[0] lead[0] has[0] a[0] ton[0] of[0] it[0] especially[0] at[0] the[0] end[0] and[0] a[0] nasty[-2] chainsaw[0] scene[0] towards[0] the[0] beginning[0] which[0] i'm[0] still[0] not[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but de palma actually reigns in more quieter scenes . 	but de palma actually reigns in more quieter scenes .	1	-1	 but[0] de[0] palma[0] actually[0] reigns[0] in[0] more[0] quieter[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to me , the best scene in the film is when carlito is on top of a building , looking down into the room where gail is doing ballet . 	to me , the best scene in the film is when carlito is on top of a building , looking down into the room where gail is doing ballet .	2	-1	 to[0] me[0] the[0] best[1] scene[0] in[0] the[0] film[0] is[0] when[0] carlito[0] is[0] on[0] top[0] of[0] a[0] building[0] looking[0] down[0] into[0] the[0] room[0] where[0] gail[0] is[0] doing[0] ballet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the most brilliantly done , and most emotionally stimulating scene in the entire film , and probably the best in de palma film history . 	this is the most brilliantly done , and most emotionally stimulating scene in the entire film , and probably the best in de palma film history .	2	-1	 this[0] is[0] the[0] most[0] brilliantly[1] done[0] and[0] most[0] emotionally[0] stimulating[0] scene[0] in[0] the[0] entire[0] film[0] and[0] probably[0] the[0] best[1] in[0] de[0] palma[0] film[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with a gorgeous soprano duet in the background , and rain pouring down onto a trashcan lid covering carlito's head , and a saddened , remorseful look on pacino's face , it's a tear-jerker ( well , for me , i dunno about you . . . ) . 	with a gorgeous soprano duet in the background , and rain pouring down onto a trashcan lid covering carlito's head , and a saddened , remorseful look on pacino's face , it's a tear-jerker ( well , for me , i dunno about you .<br> .<br> .<br> ) .	3	-4	 with[0] a[0] gorgeous[2] soprano[0] duet[0] in[0] the[0] background[0] and[0] rain[0] pouring[0] down[0] onto[0] a[0] trashcan[-1] lid[0] covering[0] carlito's[0] head[0] and[0] a[0] saddened[-3] remorseful[-2][-1 MultiplePositiveWords] look[0] on[0] pacino's[0] face[0] it's[0] a[0] tear[-1] jerker[0] well[0] for[0] me[0] i[0] dunno[0] about[0] you[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the acting from all is great , especially from the three leads . 	the acting from all is great , especially from the three leads .	3	-1	 the[0] acting[0] from[0] all[0] is[0] great[2] especially[0] from[0] the[0] three[0] leads[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pacino was panned for his performance , chiefly because his accent wasn't puerto rican enough and , well , it wasn't as " strong " as his oscar-winning role in " scent of a woman . " 	pacino was panned for his performance , chiefly because his accent wasn't puerto rican enough and , well , it wasn't as " strong " as his oscar-winning role in " scent of a woman .<br> "	2	-1	 pacino[0] was[0] panned[0] for[0] his[0] performance[0] chiefly[0] because[0] his[0] accent[0] wasn't[0] puerto[0] rican[0] enough[0] and[0] well[0] it[0] wasn't[0] as[0] strong[0] as[0] his[0] oscar[0] winning[1] role[0] in[0] scent[0] of[0] a[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , his " scent of a woman " performance was great and all , but it was nothing really but , as comic kevin pollack said , a " foghorn leghorn impression . " 	well , his " scent of a woman " performance was great and all , but it was nothing really but , as comic kevin pollack said , a " foghorn leghorn impression .<br> "	3	-1	 well[0] his[0] scent[0] of[0] a[0] woman[0] performance[0] was[0] great[2] and[0] all[0] but[0] it[0] was[0] nothing[0] really[0] but[0] as[0] comic[0] kevin[0] pollack[0] said[0] a[0] foghorn[0] leghorn[0] impression[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in " carlito's way , " he's emotional , and strong , despite the fact that he's remorseful over his entire lifestyle , which he cannot change . 	in " carlito's way , " he's emotional , and strong , despite the fact that he's remorseful over his entire lifestyle , which he cannot change .	1	-3	 in[0] carlito's[0] way[0] he's[0] emotional[-1] and[0] strong[0] despite[0] the[0] fact[0] that[0] he's[0] remorseful[-2] over[0] his[0] entire[0] lifestyle[0] which[0] he[0] cannot[0] change[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i felt more for carlito brigante than i did for the tango-dancing , insult-throwing blind guy in " scent of a woman . " 	i felt more for carlito brigante than i did for the tango-dancing , insult-throwing blind guy in " scent of a woman .<br> "	1	-3	 i[0] felt[0] more[0] for[0] carlito[0] brigante[0] than[0] i[0] did[0] for[0] the[0] tango[0] dancing[0] insult[-2] throwing[0] blind[-1] guy[0] in[0] scent[0] of[0] a[0] woman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as i said , penelope ann miller is great , and she and pacino actually have very good chemistry . 	as i said , penelope an miller is great , and she and pacino actually have very good chemistry .	3	-1	 as[0] i[0] said[0] penelope[0] ann/an[0] miller[0] is[0] great[2] and[0] she[0] and[0] pacino[0] actually[0] have[0] very[0] good[1][1 LastWordBoosterStrength] chemistry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and they're scenes are well-written , with some good clever dialogue which adds some interest to an otherwise bland relationship . 	and they're scenes are well-written , with some good clever dialogue which adds some interest to an otherwise bland relationship .	1	-2	 and[0] they're[0] scenes[0] are[0] well[0] written[0] with[0] some[0] good[1][-1 LastWordBoosterStrength] clever[0] dialogue[0] which[0] adds[0] some[0] interest[1][-1 LastWordBoosterStrength] to[0] an[0] otherwise[0] bland[-1] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and sean penn is amazing as the coke-addicted rat attorney . 	and sean pen is amazing as the coke-addicted rat attorney .	3	-2	 and[0] sean[0] penn/pen[0] is[0] amazing[2] as[0] the[0] coke[0] addicted[-1] rat[-1] attorney[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every scene he's in , he has great energy , and even measures up to the greatness that is pacino . 	every scene he's in , he has great energy , and even measures up to the greatness that is pacino .	3	-1	 every[0] scene[0] he's[0] in[0] he[0] has[0] great[2] energy[0] and[0] even[0] measures[0] up[0] to[0] the[0] greatness[2] that[0] is[0] pacino[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in smaller roles , john leguiziamo and luis guzman are great . 	in smaller roles , john leguiziamo and luis guzman are great .	3	-1	 in[0] smaller[0] roles[0] john[0] leguiziamo[0] and[0] luis[0] guzman[0] are[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " carlito's way " is one of those films which you heard about briefly , but when you finally watch it , you're absolutely blown away . 	 " carlito's way " is one of those films which you heard about briefly , but when you finally watch it , you're absolutely blown away .	1	-1	 carlito's[0] way[0] is[0] one[0] of[0] those[0] films[0] which[0] you[0] heard[0] about[0] briefly[0] but[0] when[0] you[0] finally[0] watch[0] it[0] you're[0] absolutely[0] blown[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a wonderful film , a highly underrated little masterpiece which was shelved after it didn't do so hot . 	it's a wonderful film , a highly underrated little masterpiece which was shelved after it didn't do so hot .	3	-1	 it's[0] a[0] wonderful[2] film[0] a[0] highly[0] underrated[0] little[0] masterpiece[0] which[0] was[0] shelved[0] after[0] it[0] didn't[0] do[0] so[0] hot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but trust me and check it out . 	but trust me and check it out .	2	-1	 but[0] trust[1] me[0] and[0] check[0] it[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a great little film , and proof that the residential critics and mass populus are not always right . 	it's a great little film , and proof that the residential critics and mass populus are not always right .	3	-1	 it's[0] a[0] great[2] little[0] film[0] and[0] proof[0] that[0] the[0] residential[0] critics[0] and[0] mass[0] populus[0] are[0] not[0] always[0] right[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
