let's face it : the $100 million-plus smash that was " goldeneye " was not a good film by any means , and as a bond movie was only marginally better than , say , " a view to a kill " or either of the timothy dalton pictures , by virtue of nice pacing . 	Translation	Positive	Negative	EmotionRationale
returned in brosnan's eyes has some of the playfulness he demonstrated for so many years on tv's " remington steele " , as has his deadpan wit . 	returned in brosnan's eyes has some of the playfulness he demonstrated for so many years on tv's " remington steele " , as has his deadpan wit .	2	-1	 returned[0] in[0] brosnan's[0] eyes[0] has[0] some[0] of[0] the[0] playfulness[1] he[0] demonstrated[0] for[0] so[0] many[0] years[0] on[0] tv's[0] remington[0] steele[0] as[0] has[0] his[0] deadpan[0] wit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and though carver's motives are muddy ( when carver explains that " genius is insanity with some success " , screenwriter fierstein is taking a lazy shortcut ) , pryce makes an agreeable , memorable villain . 	and though carver's motives are muddy ( when carver explains that " genius is insanity with some success " , screenwriter fierstein is taking a lazy shortcut ) , pryce makes an agreeable , memorable villain .	2	-3	 and[0] though[0] carver's[0] motives[0] are[0] muddy[-1] when[0] carver[0] explains[0] that[0] genius[0] is[0] insanity[0] with[0] some[0] success[2][-1 LastWordBoosterStrength] screenwriter[0] fierstein[0] is[0] taking[0] a[0] lazy[-1] shortcut[0] pryce[-1] makes[0] an[0] agreeable[0] memorable[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the future , they should pursue actors as talented and experienced as pryce to breathe life into these cardboard figures . 	in the future , they should pursue actors as talented and experienced as pryce to breathe life into these cardboard figures .	2	-2	 in[0] the[0] future[0] they[0] should[0] pursue[0] actors[0] as[0] talented[1] and[0] experienced[0] as[0] pryce[-1] to[0] breathe[0] life[0] into[0] these[0] cardboard[0] figures[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there a few too many explosions in " tomorrow never dies " , perhaps so many they qualify as dialogue . 	there a few too many explosions in " tomorrow never dies " , perhaps so many they qualify as dialogue .	1	-2	 there[0] a[0] few[0] too[0] many[0] explosions[-1] in[0] tomorrow[0] never[0] dies[0] perhaps[0] so[0] many[0] they[0] qualify[0] as[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it could have used a sharper script , though i was amused by the double entendres , none of which i will reveal here . 	and it could have used a sharper script , though i was amused by the double entendres , none of which i will reveal here .	2	-1	 and[0] it[0] could[0] have[0] used[0] a[0] sharper[0] script[0] though[0] i[0] was[0] amused[1] by[0] the[0] double[0] entendres[0] none[0] of[0] which[0] i[0] will[0] reveal[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it stands , the plot suffers many holes ( i'm not taking about implausibilities ) , and the dialogue tends towards the hackneyed . 	as it stands , the plot suffers many holes ( i'm not taking about implausibilities ) , and the dialogue tends towards the hackneyed .	1	-4	 as[0] it[0] stands[0] the[0] plot[0] suffers[-3] many[0] holes[0] i'm[0] not[0] taking[0] about[0] implausibilities[0] and[0] the[0] dialogue[0] tends[0] towards[0] the[0] hackneyed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now that the elements are in place : modern special effects and stunt work , cool pierce brosnan , kickass female allies . . . 	now that the elements are in place : modern special effects and stunt work , cool pierce brosnan , kickass female allies .<br> .<br> .	2	-2	 now[0] that[0] the[0] elements[0] are[0] in[0] place[0] modern[0] special[1] effects[0] and[0] stunt[-1] work[0] cool[1] pierce[0] brosnan[0] kickass[-1] female[0] allies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's time to put them to use in something truly special . 	it's time to put them to use in something truly special .	2	-1	 it's[0] time[0] to[0] put[0] them[0] to[0] use[0] in[0] something[0] truly[1] special[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's no mistaking , however , that " tomorrow never dies " is ideal holiday escapism , and for the first time in perhaps years , you'll walk out wanting more bond movies . 	there's no mistaking , however , that " tomorrow never dies " is ideal holiday escapism , and for the first time in perhaps years , you'll walk out wanting more bond movies .	1	-2	 there's[0] no[0] mistaking[-1] however[0] that[0] tomorrow[0] never[0] dies[0] is[0] ideal[0] holiday[0] escapism[0] and[0] for[0] the[0] first[0] time[0] in[0] perhaps[0] years[0] you'll[0] walk[0] out[0] wanting[0] more[0] bond[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
-reviewed december 17 , 1997 	-reviewed december 17 , 1997	1	-1	 reviewed[0] december[0] 17[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
