the andromeda strain is the greatest science fiction film ever made . 	Translation	Positive	Negative	EmotionRationale
they take the survivors and the satellite back to the lab , where stone pressures the white house to call up a " directive 712 , " an executive order to cauterize the area around the town with a nuclear bomb . 	they take the survivors and the satellite back to the lab , where stone pressures the white house to call up a " directive 712 , " an executive order to cauterize the area around the town with a nuclear bomb .	1	-2	 they[0] take[0] the[0] survivors[0] and[0] the[0] satellite[0] back[0] to[0] the[0] lab[0] where[0] stone[0] pressures[-1] the[0] white[0] house[0] to[0] call[0] up[0] a[0] directive[0] 712[0] an[0] executive[0] order[0] to[0] cauterize[0] the[0] area[0] around[0] the[0] town[0] with[0] a[0] nuclear[0] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what they find on the satellite when they get back to the lab is andromeda , an organism that defies all the normal rules of earth-like life and mutates as it grows . 	what they find on the satellite when they get back to the lab is andromeda , an organism that defies all the normal rules of earth-like life and mutates as it grows .	2	-1	 what[0] they[0] find[0] on[0] the[0] satellite[0] when[0] they[0] get[0] back[0] to[0] the[0] lab[0] is[0] andromeda[0] an[0] organism[0] that[0] defies[0] all[0] the[0] normal[0] rules[0] of[0] earth[0] like[1] life[0] and[0] mutates[0] as[0] it[0] grows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their only hope to cure it is to find out what a perfectly healthy baby boy has in common with an old derelict . 	their only hope to cure it is to find out what a perfectly healthy baby boy has in common with an old derelict .	3	-1	 their[0] only[0] hope[2] to[0] cure[0] it[0] is[0] to[0] find[0] out[0] what[0] a[0] perfectly[1] healthy[0] baby[1] boy[0] has[0] in[0] common[0] with[0] an[0] old[0] derelict[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what they find out is that organism feeds directly on energy and that detonating the a-bomb over the town would only spread it across the entire planet . 	what they find out is that organism feeds directly on energy and that detonating the a-bomb over the town would only spread it across the entire planet .	1	-2	 what[0] they[0] find[0] out[0] is[0] that[0] organism[0] feeds[0] directly[0] on[0] energy[0] and[0] that[0] detonating[0] the[0] a[0] bomb[-1] over[0] the[0] town[0] would[0] only[0] spread[0] it[0] across[0] the[0] entire[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they barely call off the bombing in time . 	they barely call off the bombing in time .	1	-2	 they[0] barely[0] call[0] off[0] the[0] bombing[-1] in[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but then the organism mutates into something that threatens to eat through the labs defenses and break out . 	but then the organism mutates into something that threatens to eat through the labs defenses and break out .	1	-3	 but[0] then[0] the[0] organism[0] mutates[0] into[0] something[0] that[0] threatens[-2] to[0] eat[0] through[0] the[0] labs[0] defenses[0] and[0] break[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this triggers the lab's last-ditch defense mechanism , an atomic bomb . 	this triggers the lab's last-ditch defense mechanism , an atomic bomb .	1	-2	 this[0] triggers[0] the[0] lab's[0] last[0] ditch[0] defense[0] mechanism[0] an[0] atomic[0] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to those raised on the brainless action fare that pollutes movie theaters these days , the andromeda strain will probably seem interminably slow . 	to those raised on the brainless action fare that pollutes movie theaters these days , the andromeda strain will probably seem interminably slow .	1	-2	 to[0] those[0] raised[0] on[0] the[0] brainless[0] action[0] fare[0] that[0] pollutes[-1] movie[0] theaters[0] these[0] days[0] the[0] andromeda[0] strain[-1] will[0] probably[0] seem[0] interminably[0] slow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of the film is a lot of people standing around looking at video screens and computer readouts . 	much of the film is a lot of people standing around looking at video screens and computer readouts .	1	-1	 much[0] of[0] the[0] film[0] is[0] a[0] lot[0] of[0] people[0] standing[0] around[0] looking[0] at[0] video[0] screens[0] and[0] computer[0] readouts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what the characters see on those screens ratchets up the tension with every turn of the screw . 	but what the characters see on those screens ratchets up the tension with every turn of the screw .	1	-3	 but[0] what[0] the[0] characters[0] see[0] on[0] those[0] screens[0] ratchets[0] up[0] the[0] tension[-2] with[0] every[0] turn[0] of[0] the[0] screw[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the performances are universally fine , with the actors keeping things low-key and restrained , just like scientists . 	the performances are universally fine , with the actors keeping things low-key and restrained , just like scientists .	3	-2	 the[0] performances[0] are[0] universally[0] fine[2] with[0] the[0] actors[0] keeping[0] things[0] low[-1] key[0] and[0] restrained[0] just[0] like[1][-1 LastWordBoosterStrength] scientists[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to me , the real appeal of this film is the fact that it shows scientists acting like scientists and makes it seem exciting . 	to me , the real appeal of this film is the fact that it shows scientists acting like scientists and makes it seem exciting .	3	-1	 to[0] me[0] the[0] real[0] appeal[0] of[0] this[0] film[0] is[0] the[0] fact[0] that[0] it[0] shows[0] scientists[0] acting[0] like[1] scientists[0] and[0] makes[0] it[0] seem[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we follow the logic of their deduction step by methodical step , puzzling like they do every time andromeda behaves in a way we don't expect . 	we follow the logic of their deduction step by methodical step , puzling like they do every time andromeda behaves in a way we don't expect .	2	-1	 we[0] follow[0] the[0] logic[0] of[0] their[0] deduction[0] step[0] by[0] methodical[0] step[0] puzzling/puzling[0] like[1] they[0] do[0] every[0] time[0] andromeda[0] behaves[0] in[0] a[0] way[0] we[0] don't[0] expect[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film is only available on wide screen on dvd and that is the way to see it . 	this film is only available on wide screen on dvd and that is the way to see it .	1	-1	 this[0] film[0] is[0] only[0] available[0] on[0] wide[0] screen[0] on[0] dvd[0] and[0] that[0] is[0] the[0] way[0] to[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was originally rated g when first released but it now carries the pg rating , mostly for very mild nudity and one scene in which a body's wrist is slashed , spilling its powdered blood . 	it was originally rated grin� when first released but it now carries the pg rating , mostly for very mild nudity and one scene in which a body's wrist is slashed , spilling its powdered blood .	1	-2	 it[0] was[0] originally[0] rated[0] g[0] when[0] first[0] released[0] but[0] it[0] now[0] carries[0] the[0] pg[0] rating[0] mostly[0] for[0] very[0] mild[0] nudity[0] and[0] one[0] scene[0] in[0] which[0] a[0] body's[0] wrist[0] is[0] slashed[-1] spilling[-1] its[0] powdered[0] blood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
