disney cements their place in the forefront of feature animation with the release of their latest animated adventure , mulan . 	Translation	Positive	Negative	EmotionRationale
mulan , under the assumed name of ping , appears at camp where she , along with the other bumbling recruits , yao ( harvey fierstein ) , chien-po ( jerry tondo ) and ling ( gedde watanabe ) , are trained in the art of war by captain shang ( b . d . 	mulan , under the assumed name of ping , appears at camp where she , along with the other bumbling recruits , yao ( harvey fierstein ) , chien-po ( jerry tondo ) and ling ( gedde watanabe ) , are trained in the art of war by captain shang ( b .<br> d .	1	-3	 mulan[0] under[0] the[0] assumed[0] name[0] of[0] ping[0] appears[0] at[0] camp[0] where[0] she[0] along[0] with[0] the[0] other[0] bumbling[0] recruits[0] yao[0] harvey[0] fierstein[0] chien[0] po[0] jerry[0] tondo[0] and[0] ling[0] gedde[0] watanabe[0] are[0] trained[0] in[0] the[0] art[0] of[0] war[-2] by[0] captain[0] shang[0] b[0] [[Sentence=-3,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
wong , singing : donny osmond ) . 	wong , singing : donny osmond ) .	1	-1	 wong[0] singing[0] donny[0] osmond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but she's not alone in her tasks . . . in 	but she's not alone in her tasks .<br> .<br> .<br> in	1	-1	 but[0] she's[0] not[0] alone[0] in[0] her[0] tasks[0] [[Sentence=-1,1=word max, 1-5]] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
typical disney fashion , she has three animal companions : her horse khan , a lucky cricket crickey , and a pint-sized " guardian " dragon called mushu ( eddie murphy ) . 	typical disney fashion , she has three animal companions : her horse khan , a lucky cricket crickey , and a pint-sized " guardian " dragon called mushu ( eddie murphy ) .	2	-1	 typical[0] disney[0] fashion[0] she[0] has[0] three[0] animal[0] companions[0] her[0] horse[0] khan[0] a[0] lucky[1] cricket[0] crickey[0] and[0] a[0] pint[0] sized[0] guardian[0] dragon[0] called[0] mushu[0] eddie[0] murphy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
much like the gargoyles in the hunchback of notre dame , the humor in mulan is lukewarm and doesn't flow well with the rest of the more serious story . 	much like the gargoyles in the hunchback of notre dame , the humor in mulan is lukewarm and doesn't flow well with the rest of the more serious story .	3	-2	 much[0] like[1] the[0] gargoyles[0] in[0] the[0] hunchback[0] of[0] notre[0] dame[0] the[0] humor[2] in[0] mulan[0] is[0] lukewarm[0] and[0] doesn't[0] flow[0] well[0] with[0] the[0] rest[0] of[0] the[0] more[0] serious[-1] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure , some occasional comic relief is welcome , particularly in a film geared for the younger set , but mulan overdoes it . 	sure , some occasional comic relief is welcome , particularly in a film geared for the younger set , but mulan overdoes it .	2	-1	 sure[0] some[0] occasional[0] comic[0] relief[1] is[0] welcome[1] particularly[0] in[0] a[0] film[0] geared[0] for[0] the[0] younger[0] set[0] but[0] mulan[0] overdoes[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the overdose of humor turns what could have been a powerfully great film into a good , but schizophrenic experience . 	the overdose of humor turns what could have been a powerfully great film into a good , but schizophrenic experience .	3	-1	 the[0] overdose[0] of[0] humor[2] turns[0] what[0] could[0] have[0] been[0] a[0] powerfully[0] great[2] film[0] into[0] a[0] good[1] but[0] schizophrenic[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , that commentary aside , this is a very well made film ( which makes the formulaic additions all the more regrettable ) . 	but , that commentary aside , this is a very well made film ( which makes the formulaic additions all the more regrettable ) .	1	-2	 but[0] that[0] commentary[0] aside[0] this[0] is[0] a[0] very[0] well[0] made[0] film[0] which[0] makes[0] the[0] formulaic[0] additions[0] all[0] the[0] more[0] regrettable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the animation is on par with some of disney's best . 	the animation is on par with some of disney's best .	2	-1	 the[0] animation[0] is[0] on[0] par[0] with[0] some[0] of[0] disney's[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story itself is interesting , and the action scenes are awe-inspiring . 	the story itself is interesting , and the action scenes are awe-inspiring .	3	-1	 the[0] story[0] itself[0] is[0] interesting[1] and[0] the[0] action[0] scenes[0] are[0] awe[0] inspiring[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the musical score to the film is enjoyable , though , as has been the case with disney's recent work , the songs are mostly forgettable . 	the musical score to the film is enjoyable , though , as has been the case with disney's recent work , the songs are mostly forgettable .	3	-1	 the[0] musical[0] score[0] to[0] the[0] film[0] is[0] enjoyable[2] though[0] as[0] has[0] been[0] the[0] case[0] with[0] disney's[0] recent[0] work[0] the[0] songs[0] are[0] mostly[0] forgettable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at least , we're only subjected to four of them this time around . 	at least , we're only subjected to four of them this time around .	1	-1	 at[0] least[0] we're[0] only[0] subjected[0] to[0] four[0] of[0] them[0] this[0] time[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan boasts the highest death toll of any disney cartoon to date . 	mulan boasts the highest death toll of any disney cartoon to date .	1	-3	 mulan[0] boasts[-1] the[0] highest[0] death[-2] toll[0] of[0] any[0] disney[0] cartoon[0] to[0] date[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the killing is off-screen and it's all highly depersonalized ( there's nothing to compare with the death of mufasa or bambi's mom ) . 	most of the killing is off-screen and it's all highly depersonalized ( there's nothing to compare with the death of mufasa or bambi's mom ) .	1	-3	 most[0] of[0] the[0] killing[-1] is[0] off[0] screen[0] and[0] it's[0] all[0] highly[0] depersonalized[0] there's[0] nothing[0] to[0] compare[0] with[0] the[0] death[-2] of[0] mufasa[0] or[0] bambi's[0] mom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's nothing graphic , and the film resides snugly inside a g rating . 	there's nothing graphic , and the film resides snugly inside a grin� rating .	1	-1	 there's[0] nothing[0] graphic[0] and[0] the[0] film[0] resides[0] snugly[0] inside[0] a[0] g[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
children will probably have more questions about the restrictive ancient customs than of the slaughter of armies . 	children will probably have more questions about the restrictive ancient customs than of the slaughter of armies .	1	-2	 children[0] will[0] probably[0] have[0] more[0] questions[0] about[0] the[0] restrictive[-1] ancient[0] customs[0] than[0] of[0] the[0] slaughter[-1] of[0] armies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's ironic that a film concerned with bucking tradition is hampered because of its strict adherence to disney tradition . 	it's ironic that a film concerned with bucking tradition is hampered because of its strict adherence to disney tradition .	1	-2	 it's[0] ironic[-1] that[0] a[0] film[0] concerned[-1] with[0] bucking[0] tradition[0] is[0] hampered[0] because[0] of[0] its[0] strict[-1] adherence[0] to[0] disney[0] tradition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the filmmakers had the guts to lessen the humor , ax the compulsory songs , and remove the obligatory ( and somewhat unrealistic ) romance , they could have had a classic on their hands . 	if the filmmakers had the guts to lessen the humor , ax the compulsory songs , and remove the obligatory ( and somewhat unrealistic ) romance , they could have had a classic on their hands .	4	-1	 if[0] the[0] filmmakers[0] had[0] the[0] guts[0] to[0] lessen[0] the[0] humor[2] ax[0] the[0] compulsory[0] songs[0] and[0] remove[0] the[0] obligatory[0] and[0] somewhat[0] unrealistic[0] romance[3] they[0] could[0] have[0] had[0] a[0] classic[0] on[0] their[0] hands[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
instead , they merely deliver a very good time at the movies . 	instead , they merely deliver a very good time at the movies .	3	-1	 instead[0] they[0] merely[0] deliver[0] a[0] very[0] good[1][1 LastWordBoosterStrength] time[0] at[0] the[0] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
