virtual reality is a topic that has almost defined its own genre . 	Translation	Positive	Negative	EmotionRationale
'the thirteenth floor' is somewhere in between . 	'the thirteenth floor' is somewhere in between .	1	-1	 'the[0] thirteenth[0] floor'[0] is[0] somewhere[0] in[0] between[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of going after the crowds - the action audience ( like the matrix ) , or aiming at the horror fans ( like existenz ) , 'the thirteenth floor' presents a more intelligent plot , witch will provide a less entertaining and more serious experience , that the true science fiction lovers will find rewarding . 	instead of going after the crowds - the action audience ( like the matrix ) , or aiming at the horror fans ( like existenz ) , 'the thirteenth floor' presents a more intelligent plot , witch will provide a less entertaining and more serious experience , that the true science fiction lovers will find rewarding .	4	-4	 instead[0] of[0] going[0] after[0] the[0] crowds[0] the[0] action[0] audience[0] like[1] the[0] matrix[0] or[0] aiming[0] at[0] the[0] horror[-3] fans[0] like[1] existenz[0] 'the[0] thirteenth[0] floor'[0] presents[0] a[0] more[0] intelligent[1] plot[0] witch[0] will[0] provide[0] a[0] less[0] entertaining[0] and[0] more[0] serious[-1] experience[0] that[0] the[0] true[1] science[0] fiction[0] lovers[3] will[0] find[0] rewarding[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
in a near future . . . on 	in a near future .<br> .<br> .<br> on	1	-1	 in[0] a[0] near[0] future[0] [[Sentence=-1,1=word max, 1-5]] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thirteenth floor of a classified building , a genius scientist , hannon fuller , has created a simulated world , his personal dreamworld , where every inhabitant is a complex , selflearning program that only believes it is real . 	the thirteenth floor of a classified building , a genius scientist , hannon fuller , has created a simulated world , his personal dreamworld , where every inhabitant is a complex , selflearning program that only believes it is real .	1	-1	 the[0] thirteenth[0] floor[0] of[0] a[0] classified[0] building[0] a[0] genius[0] scientist[0] hannon[0] fuller[0] has[0] created[0] a[0] simulated[0] world[0] his[0] personal[0] dreamworld[0] where[0] every[0] inhabitant[0] is[0] a[0] complex[0] selflearning[0] program[0] that[0] only[0] believes[0] it[0] is[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right after the first testing of this world , fuller ( ) is found murdered . 	right after the first testing of this world , fuller ( ) is found murdered .	1	-4	 right[0] after[0] the[0] first[0] testing[0] of[0] this[0] world[0] fuller[0] is[0] found[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
douglas hall ( ) , his closest friend and business partner , immediately becomes the prime suspect and must enter through the thirteenth floor in search of the truth . 	douglas hall ( ) , his closest friend and business partner , immediately becomes the prime suspect and must enter through the thirteenth floor in search of the truth .	2	-2	 douglas[0] hall[0] his[0] closest[0] friend[1] and[0] business[0] partner[0] immediately[0] becomes[0] the[0] prime[0] suspect[-1] and[0] must[0] enter[0] through[0] the[0] thirteenth[0] floor[0] in[0] search[0] of[0] the[0] truth[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a beautiful woman ( gretchen mol ) who suddenly appears on the scene may hold the key to the mystery , which might unravel the horrifying truth about his own existence . 	a beautiful woman ( gretchen mol ) who suddenly appears on the scene may hold the key to the mystery , which might unravel the horrifying truth about his own existence .	3	-4	 a[0] beautiful[2] woman[0] gretchen[0] mol[0] who[0] suddenly[0] appears[0] on[0] the[0] scene[0] may[0] hold[0] the[0] key[0] to[0] the[0] mystery[0] which[0] might[0] unravel[0] the[0] horrifying[-3] truth[1] about[0] his[0] own[0] existence[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the first " download into simulation " is impressive . 	the first " download into simulation " is impressive .	2	-1	 the[0] first[0] download[0] into[0] simulation[0] is[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is the creator's first visit to his world , his creation . 	it is the creator's first visit to his world , his creation .	1	-1	 it[0] is[0] the[0] creator's[0] first[0] visit[0] to[0] his[0] world[0] his[0] creation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in order to enter this virtual universe , you have to take over someone's identity , become another person . 	in order to enter this virtual universe , you have to take over someone's identity , become another person .	1	-1	 in[0] order[0] to[0] enter[0] this[0] virtual[0] universe[0] you[0] have[0] to[0] take[0] over[0] someone's[0] identity[0] become[0] another[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is called conciseness transfer , and this is part of the tragedy in the film : people " wake up " in unknown places and strange things start happen . 	this is called conciseness transfer , and this is part of the tragedy in the film : people " wake up " in unknown places and strange things start happen .	1	-3	 this[0] is[0] called[0] conciseness[0] transfer[0] and[0] this[0] is[0] part[0] of[0] the[0] tragedy[-2] in[0] the[0] film[0] people[0] wake[0] up[0] in[0] unknown[0] places[0] and[0] strange[0] things[0] start[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they start to doubt in their own sanity . 	they start to doubt in their own sanity .	1	-2	 they[0] start[0] to[0] doubt[-1] in[0] their[0] own[0] sanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these innocent people pay for the mistakes of their " users " and creators with their sanity and their lives . 	these innocent people pay for the mistakes of their " users " and creators with their sanity and their lives .	2	-2	 these[0] innocent[1] people[0] pay[0] for[0] the[0] mistakes[-1] of[0] their[0] users[0] and[0] creators[0] with[0] their[0] sanity[0] and[0] their[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is a frightening reality ; the fact that all the people in the simulation ( the program links ) are living out their lives , oblivious , not knowing that they are puppets in someone's fantasy . 	it is a frightening reality ; the fact that all the people in the simulation ( the program links ) are living out their lives , oblivious , not knowing that they are puppets in someone's fantasy .	1	-4	 it[0] is[0] a[0] frightening[-3] reality[0] the[0] fact[0] that[0] all[0] the[0] people[0] in[0] the[0] simulation[0] the[0] program[0] links[0] are[0] living[0] out[0] their[0] lives[0] oblivious[0] not[0] knowing[0] that[0] they[0] are[0] puppets[0] in[0] someone's[0] fantasy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with an appealing ( " blade runner " - type ) of detective story , this film presents the beauty and possibilities of virtual reality and the lurking danger that is always present . 	with an appealing ( " blade runner " - type ) of detective story , this film presents the beauty and possibilities of virtual reality and the lurking danger that is always present .	3	-2	 with[0] an[0] appealing[0] blade[0] runner[0] type[0] of[0] detective[0] story[0] this[0] film[0] presents[0] the[0] beauty[2] and[0] possibilities[0] of[0] virtual[0] reality[0] and[0] the[0] lurking[0] danger[-1] that[0] is[0] always[0] present[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
our modern world is metal and glass -- cold , unfriendly , impersonal . 	our modern world is metal and glass - cold , unfriendly , impersonal .	1	-3	 our[0] modern[0] world[0] is[0] metal[0] and[0] glass[0] cold[-1] unfriendly[-2] impersonal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the thirties are different -- colorful , beautiful , elegant , virile . 	the thirties are different - colorful , beautiful , elegant , virile .	3	-1	 the[0] thirties[0] are[0] different[0] colorful[0] beautiful[2] elegant[1] virile[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this contrast demonstrates a wish for change . 	this contrast demonstrates a wish for change .	1	-1	 this[0] contrast[0] demonstrates[0] a[0] wish[0] for[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
virtual reality is here portrayed as a magical , enchanting power that seduces you into its endless possibilities . 	virtual reality is here portrayed as a magical , enchanting power that seduces you into its endless possibilities .	1	-1	 virtual[0] reality[0] is[0] here[0] portrayed[0] as[0] a[0] magical[0] enchanting[0] power[0] that[0] seduces[0] you[0] into[0] its[0] endless[0] possibilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to some it is just a journey to their personal paradise , to some a personal playground -- a life without any consequences . 	to some it is just a journey to their personal paradise , to some a personal playground - a life without any consequences .	4	-1	 to[0] some[0] it[0] is[0] just[0] a[0] journey[0] to[0] their[0] personal[0] paradise[3] to[0] some[0] a[0] personal[0] playground[0] a[0] life[0] without[0] any[0] consequences[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for others - a way to start over and " correct " their mistakes , by living in an illusion of their past . 	for others - a way to start over and " correct " their mistakes , by living in an illusion of their past .	1	-2	 for[0] others[0] a[0] way[0] to[0] start[0] over[0] and[0] correct[0] their[0] mistakes[-1] by[0] living[0] in[0] an[0] illusion[0] of[0] their[0] past[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
virtual reality is a wizard that transforms your hopes , dreams and fantasies to life . 	virtual reality is a wizard that transforms your hopes , dreams and fantasies to life .	2	-1	 virtual[0] reality[0] is[0] a[0] wizard[0] that[0] transforms[0] your[0] hopes[1] dreams[0] and[0] fantasies[0] to[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least that's how it is all beginning . 	at least that's how it is all beginning .	1	-1	 at[0] least[0] that's[0] how[0] it[0] is[0] all[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when you're waking up from your dream , the real world seems worthless and unreal and all you can think off is returning to your personal paradise . 	but when you're waking up from your dream , the real world seems worthless and unreal and all you can think off is returning to your personal paradise .	4	-3	 but[0] when[0] you're[0] waking[0] up[0] from[0] your[0] dream[0] the[0] real[0] world[0] seems[0] worthless[-2] and[0] unreal[0] and[0] all[0] you[0] can[0] think[0] off[0] is[0] returning[0] to[0] your[0] personal[0] paradise[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this , almost narcotic effect , soon turns into confusion and ultimately madness . 	this , almost narcotic effect , soon turns into confusion and ultimately madness .	1	-2	 this[0] almost[0] narcotic[0] effect[0] soon[0] turns[0] into[0] confusion[-1] and[0] ultimately[0] madness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some important and interesting philosophical questions are raised -- what is real ? 	some important and interesting philosophical questions are raised - what is real ?	2	-1	 some[0] important[0] and[0] interesting[1] philosophical[0] questions[0] are[0] raised[0] what[0] is[0] real[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is thought ? 	what is thought ?	1	-1	 what[0] is[0] thought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who are we ? 	who are we ?	1	-1	 who[0] are[0] we[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if these were answered , this film would be the greatest science fiction ever made . 	if these were answered , this film would be the greatest science fiction ever made .	3	-1	 if[0] these[0] were[0] answered[0] this[0] film[0] would[0] be[0] the[0] greatest[2] science[0] fiction[0] ever[0] made[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are off course not answered , but posed in an intelligent manner . 	they are off course not answered , but posed in an intelligent manner .	2	-1	 they[0] are[0] off[0] course[0] not[0] answered[0] but[0] posed[0] in[0] an[0] intelligent[1] manner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the visual aspect of the film is one of the key elements , since it portrays the contrast between these computer-simulated universes . 	the visual aspect of the film is one of the key elements , since it portrays the contrast between these computer-simulated universes .	1	-1	 the[0] visual[0] aspect[0] of[0] the[0] film[0] is[0] one[0] of[0] the[0] key[0] elements[0] since[0] it[0] portrays[0] the[0] contrast[0] between[0] these[0] computer[0] simulated[0] universes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kirk m . petrucelli has done a marvelous job with the recreation of the thirties with its glamour , grace and color ; and setting this world in opposition to our own -- an almost caricatured recreation of the nineties . 	kirk m .<br> petrucelli has done a marvelous job with the recreation of the thirties with its glamour , grace and color ; and setting this world in opposition to our own - an almost caricatured recreation of the nineties .	3	-2	 kirk[0] m[0] [[Sentence=-1,1=word max, 1-5]] petrucelli[0] has[0] done[0] a[0] marvelous[0] job[0] with[0] the[0] recreation[0] of[0] the[0] thirties[0] with[0] its[0] glamour[1] grace[2] and[0] color[0] and[0] setting[0] this[0] world[0] in[0] opposition[-1] to[0] our[0] own[0] an[0] almost[0] caricatured[0] recreation[0] of[0] the[0] nineties[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are some honest and decent performances by an almost unknown cast and harald klose's moody musical score that is at in right place at the right time . 	there are some honest and decent performances by an almost unknown cast and harald klose's moody musical score that is at in right place at the right time .	1	-3	 there[0] are[0] some[0] honest[0] and[0] decent[0] performances[0] by[0] an[0] almost[0] unknown[0] cast[0] and[0] harald[0] klose's[0] moody[-2] musical[0] score[0] that[0] is[0] at[0] in[0] right[0] place[0] at[0] the[0] right[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a rather unusual thing about'the thirteenth floor' is the almost complete lack of special effects . 	a rather unusual thing about'the thirteenth floor' is the almost complete lack of special effects .	2	-3	 a[0] rather[0] unusual[0] thing[0] about'the[0] thirteenth[0] floor'[0] is[0] the[0] almost[0] complete[0] lack[-1][-1 LastWordBoosterStrength] of[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are no cgi animated creatures , no bullets in slow motion . 	there are no cgi animated creatures , no bullets in slow motion .	1	-2	 there[0] are[0] no[0] cgi[0] animated[0] creatures[0] no[0] bullets[-1] in[0] slow[0] motion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a more philosophical approach , reminding about the european way of filmmaking . 	this is a more philosophical approach , reminding about the european way of filmmaking .	1	-1	 this[0] is[0] a[0] more[0] philosophical[0] approach[0] reminding[0] about[0] the[0] european[0] way[0] of[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is off course a major disappointment to the audience that is used to endless gunfights and mutated amphibians , but the more serious science fiction buffs and 'dark city'-fans will be pleased . 	this is off course a major disappointment to the audience that is used to endless gunfights and mutated amphibians , but the more serious science fiction buffs and 'dark city'-fans will be pleased .	2	-2	 this[0] is[0] off[0] course[0] a[0] major[0] disappointment[-1] to[0] the[0] audience[0] that[0] is[0] used[0] to[0] endless[0] gunfights[-1] and[0] mutated[0] amphibians[0] but[0] the[0] more[0] serious[-1] science[0] fiction[0] buffs[0] and[0] 'dark[0] city'[0] fans[0] will[0] be[0] pleased[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film is interesting and inspiring . 	this film is interesting and inspiring .	3	-1	 this[0] film[0] is[0] interesting[1] and[0] inspiring[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it has everything existenz doesn't , but it lacks the immediacy and intensity of the matrix . 	it has everything existenz doesn't , but it lacks the immediacy and intensity of the matrix .	1	-1	 it[0] has[0] everything[0] existenz[0] doesn't[0] but[0] it[0] lacks[0] the[0] immediacy[0] and[0] intensity[0] of[0] the[0] matrix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there is a happy end which , like in 'dark city' , completely alienates it from the rest of the story and context . 	and then there is a happy end which , like in 'dark city' , completely alienates it from the rest of the story and context .	2	-3	 and[0] then[0] there[0] is[0] a[0] happy[1] end[0] which[0] like[1] in[0] 'dark[0] city'[0] completely[0] alienates[-1][-1 LastWordBoosterStrength] it[0] from[0] the[0] rest[0] of[0] the[0] story[0] and[0] context[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot itself is not as original as the filmmakers want us to think , since they have virtually sucked out all information from the best science fiction classics , including blade runner and 'dark city' . 	the plot itself is not as original as the filmmakers want us to think , since they have virtually sucked out all information from the best science fiction classics , including blade runner and 'dark city' .	2	-2	 the[0] plot[0] itself[0] is[0] not[0] as[0] original[0] as[0] the[0] filmmakers[0] want[0] us[0] to[0] think[0] since[0] they[0] have[0] virtually[0] sucked[-1] out[0] all[0] information[0] from[0] the[0] best[1] science[0] fiction[0] classics[0] including[0] blade[0] runner[0] and[0] 'dark[0] city'[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with this in mind , 'the thirteenth floor' doesn't make an oscar candidate or a film that will be remembered a year from now , yet this is a beautiful , elegant and intelligent take on virtual reality . 	with this in mind , 'the thirteenth floor' doesn't make an oscar candidate or a film that will be remembered a year from now , yet this is a beautiful , elegant and intelligent take on virtual reality .	3	-1	 with[0] this[0] in[0] mind[0] 'the[0] thirteenth[0] floor'[0] doesn't[0] make[0] an[0] oscar[0] candidate[0] or[0] a[0] film[0] that[0] will[0] be[0] remembered[0] a[0] year[0] from[0] now[0] yet[0] this[0] is[0] a[0] beautiful[2] elegant[1] and[0] intelligent[1] take[0] on[0] virtual[0] reality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
