not too many people know who james whale is , but it's a safe bet that a good chunk of them have seen his movies . 	Translation	Positive	Negative	EmotionRationale
his ailment leads to desperation and depression , which build to the point where he is forced to ask boone for an incredulously big favor . 	his ailment leads to desperation and depression , which build to the point where he is forced to ask bone for an incredulously big favor .	2	-4	 his[0] ailment[-1] leads[0] to[0] desperation[-2] and[0] depression[-3] which[0] build[0] to[0] the[0] point[0] where[0] he[0] is[0] forced[0] to[0] ask[0] boone/bone[0] for[0] an[0] incredulously[0] big[0] favor[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what is perhaps most sensational about gods and monsters is brendan fraser's bravura performance ; up until seeing this film i intensely disliked the young actor because of his tendency to ruin the movies he is in ( blast from the past , for example ) . 	what is perhaps most sensational about gods and monsters is brendan fraser's bravura performance ; up until seeing this film i intensely disliked the young actor because of his tendency to ruin the movies he is in ( blast from the past , for example ) .	1	-3	 what[0] is[0] perhaps[0] most[0] sensational[0] about[0] gods[0] and[0] monsters[0] is[0] brendan[0] fraser's[0] bravura[0] performance[0] up[0] until[0] seeing[0] this[0] film[0] i[0] intensely[0] disliked[-2] the[0] young[0] actor[0] because[0] of[0] his[0] tendency[0] to[0] ruin[-1] the[0] movies[0] he[0] is[0] in[0] blast[0] from[0] the[0] past[0] for[0] example[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i was surprised how expressive an actor he proved himself to be here . 	i was surprised how expressive an actor he proved himself to be here .	1	-1	 i[0] was[0] surprised[0] how[0] expressive[0] an[0] actor[0] he[0] proved[0] himself[0] to[0] be[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is impressive because his character's dialogue is minimal , with mckellan doing most of the talking . 	this is impressive because his character's dialogue is minimal , with mckellan doing most of the talking .	2	-1	 this[0] is[0] impressive[1] because[0] his[0] character's[0] dialogue[0] is[0] minimal[0] with[0] mckellan[0] doing[0] most[0] of[0] the[0] talking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that requires fraser to act through body language ; a difficult skill to master , but something he proves capable of doing well . 	that requires fraser to act through body language ; a difficult skill to master , but something he proves capable of doing well .	1	-2	 that[0] requires[0] fraser[0] to[0] act[0] through[0] body[0] language[0] a[0] difficult[-1] skill[0] to[0] master[0] but[0] something[0] he[0] proves[0] capable[0] of[0] doing[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is not to ignore mckellan's oscar nominated turn . 	this is not to ignore mckellan's oscar nominated turn .	1	-1	 this[0] is[0] not[0] to[0] ignore[0] mckellan's[0] oscar[0] nominated[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he earned that nomination with his touching performance here ( although , at the risk of sounding like a philistine , i would have chosen his performance as the nazi in apt pupil for the nomination ) ; an understated , compelling gem . 	he earned that nomination with his touching performance here ( although , at the risk of sounding like a philistine , i would have chosen his performance as the nazi in apt pupil for the nomination ) ; an understated , compelling gem .	2	-2	 he[0] earned[0] that[0] nomination[0] with[0] his[0] touching[0] performance[0] here[0] although[0] at[0] the[0] risk[-1] of[0] sounding[0] like[1] a[0] philistine[0] i[0] would[0] have[0] chosen[0] his[0] performance[0] as[0] the[0] nazi[-1] in[0] apt[0] pupil[0] for[0] the[0] nomination[0] an[0] understated[0] compelling[0] gem[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whale dreaded being remembered solely for his work in the hollywood horror genre , and he thought hollywood to be the equivalent of a battlefield . 	whale dreaded being remembered solely for his work in the hollywood horror genre , and he thought hollywood to be the equivalent of a battlefield .	1	-4	 whale[0] dreaded[-3] being[0] remembered[0] solely[0] for[0] his[0] work[0] in[0] the[0] hollywood[0] horror[-3] genre[0] and[0] he[0] thought[0] hollywood[0] to[0] be[0] the[0] equivalent[0] of[0] a[0] battlefield[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he rejoiced in being free from it , only reluctantly going to receptions with fellow movie people . 	he rejoiced in being free from it , only reluctantly going to receptions with fellow movie people .	1	-2	 he[0] rejoiced[0] in[0] being[0] free[0] from[0] it[0] only[0] reluctantly[-1] going[0] to[0] receptions[0] with[0] fellow[0] movie[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , perhaps , it is what killed him : the memories of hollywood and war blending together to form a living nightmare . 	in the end , perhaps , it is what killed him : the memories of hollywood and war blending together to form a living nightmare .	1	-4	 in[0] the[0] end[0] perhaps[0] it[0] is[0] what[0] killed[-3] him[0] the[0] memories[0] of[0] hollywood[0] and[0] war[-2] blending[0] together[0] to[0] form[0] a[0] living[0] nightmare[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
