titanic is , without a doubt , the best movie i've seen all year . 	Translation	Positive	Negative	EmotionRationale
and to show his true faith for the project , he renenged all directing fees and percentage points to ease the budget costs . 	and to show his true faith for the project , he renenged all directing fees and percentage points to ease the budget costs .	2	-1	 and[0] to[0] show[0] his[0] true[1] faith[1] for[0] the[0] project[0] he[0] renenged[0] all[0] directing[0] fees[0] and[0] percentage[0] points[0] to[0] ease[0] the[0] budget[0] costs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's obvious he truly loves titanic . 	it's obvious he truly loves titanic .	3	-1	 it's[0] obvious[0] he[0] truly[1] loves[2] titanic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film opens with footage , both real and fake , of an underwater excursion by special submarines to the bottom of the atlantic , where a team of explorers lead by bill paxton are searcing for a diamond called the " heart of the ocean " , which , according to bill paxton's character , would be worth more than the hope diamond today . 	the film opens with footage , both real and fake , of an underwater excursion by special submarines to the bottom of the atlantic , where a team of explorers lead by bill paxton are searcing for a diamond called the " heart of the ocean " , which , according to bill paxton's character , would be worth more than the hope diamond today .	3	-2	 the[0] film[0] opens[0] with[0] footage[0] both[0] real[0] and[0] fake[-1] of[0] an[0] underwater[0] excursion[0] by[0] special[1] submarines[0] to[0] the[0] bottom[0] of[0] the[0] atlantic[0] where[0] a[0] team[0] of[0] explorers[0] lead[0] by[0] bill[0] paxton[0] are[0] searcing[0] for[0] a[0] diamond[0] called[0] the[0] heart[0] of[0] the[0] ocean[0] which[0] according[0] to[0] bill[0] paxton's[0] character[0] would[0] be[0] worth[0] more[0] than[0] the[0] hope[2] diamond[0] today[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their search turns up , dissapointly , no diamond , but instead a drawing of a young woman wearing the diamond . 	their search turns up , dissapointly , no diamond , but instead a drawing of a young woman wearing the diamond .	1	-1	 their[0] search[0] turns[0] up[0] dissapointly[0] no[0] diamond[0] but[0] instead[0] a[0] drawing[0] of[0] a[0] young[0] woman[0] wearing[0] the[0] diamond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this picture is broadcast on cnn and is seen by a 101 year old woman named rose , who claims to be the girl in the picture . 	this picture is broadcast on cn and is seen by a 101 year old woman named rose , who claims to be the girl in the picture .	1	-1	 this[0] picture[0] is[0] broadcast[0] on[0] cnn/cn[0] and[0] is[0] seen[0] by[0] a[0] 101[0] year[0] old[0] woman[0] named[0] rose[0] who[0] claims[0] to[0] be[0] the[0] girl[0] in[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is flown out to sea to meet bill paxton and to tell them about the diamond . 	she is flown out to sea to meet bill paxton and to tell them about the diamond .	1	-1	 she[0] is[0] flown[0] out[0] to[0] sea[0] to[0] meet[0] bill[0] paxton[0] and[0] to[0] tell[0] them[0] about[0] the[0] diamond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost all of the rest of the movie is her narration of the past . 	almost all of the rest of the movie is her narration of the past .	1	-1	 almost[0] all[0] of[0] the[0] rest[0] of[0] the[0] movie[0] is[0] her[0] narration[0] of[0] the[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rose's narration shows us how she was an unhappy young girl , engaged to a rich man named cal hockley ( billy zane ) that she didn't want to marry . 	rose's narration shows us how she was an unhappy young girl , engaged to a rich man named cal hockley ( billy zane ) that she didn't want to marry .	1	-3	 rose's[0] narration[0] shows[0] us[0] how[0] she[0] was[0] an[0] unhappy[-2] young[0] girl[0] engaged[0] to[0] a[0] rich[0] man[0] named[0] cal[0] hockley[0] billy[0] zane[0] that[0] she[0] didn't[0] want[0] to[0] marry[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her mother is pushy and obnoxious , and cal hockley is arrogant . 	her mother is pushy and obnoxious , and cal hockley is arrogant .	1	-3	 her[0] mother[0] is[0] pushy[0] and[0] obnoxious[-2] and[0] cal[0] hockley[0] is[0] arrogant[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are boarding the titanic , which is sailing to america , and this is where she is to marry cal . 	they are boarding the titanic , which is sailing to america , and this is where she is to marry cal .	1	-1	 they[0] are[0] boarding[0] the[0] titanic[0] which[0] is[0] sailing[0] to[0] america[0] and[0] this[0] is[0] where[0] she[0] is[0] to[0] marry[0] cal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , a young man named jack dawson ( leonardo dicaprio ) and his italian friend ( danny nucci ) win two 3rd class tickets aboard the titanic in a poker game . 	meanwhile , a young man named jack dawson ( leonardo dicaprio ) and his italian friend ( danny nucci ) win two 3rd class tickets aboard the titanic in a poker game .	2	-1	 meanwhile[0] a[0] young[0] man[0] named[0] jack[0] dawson[0] leonardo[0] dicaprio[0] and[0] his[0] italian[0] friend[1] danny[0] nucci[0] win[0] two[0] 3rd[0] class[0] tickets[0] aboard[0] the[0] titanic[0] in[0] a[0] poker[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are overjoyed , and rush aboard just as the boat is leaving . 	they are overjoyed , and rush aboard just as the boat is leaving .	5	-1	 they[0] are[0] overjoyed[4] and[0] rush[0] aboard[0] just[0] as[0] the[0] boat[0] is[0] leaving[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
for them , this is their ticket to america , to a better life . 	for them , this is their ticket to america , to a better life .	1	-1	 for[0] them[0] this[0] is[0] their[0] ticket[0] to[0] america[0] to[0] a[0] better[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for rose , she is sailing to her doom . 	for rose , she is sailing to her doom .	1	-2	 for[0] rose[0] she[0] is[0] sailing[0] to[0] her[0] doom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first hour and a half or so of titanic tells the story of how rose dewitt ( kate winslet ) and jack dawson fall in love . 	the first hour and a half or so of titanic tells the story of how rose dewitt ( kate winslet ) and jack dawson fall in love .	3	-1	 the[0] first[0] hour[0] and[0] a[0] half[0] or[0] so[0] of[0] titanic[0] tells[0] the[0] story[0] of[0] how[0] rose[0] dewitt[0] kate[0] winslet[0] and[0] jack[0] dawson[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's the classic wrong-side-of-the-tracks story , and does sometimes resort to a few cliches . 	it's the classic wrong-side-of-the-tracks story , and does sometimes resort to a few cliches .	1	-2	 it's[0] the[0] classic[0] wrong[-1] side[0] of[0] the[0] tracks[0] story[0] and[0] does[0] sometimes[0] resort[0] to[0] a[0] few[0] cliches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but as i said above , the love portion isn't sappy and doesn't " weigh the film down " , as some critics have said . 	but as i said above , the love portion isn't sappy and doesn't " weigh the film down " , as some critics have said .	3	-1	 but[0] as[0] i[0] said[0] above[0] the[0] love[2] portion[0] isn't[0] sappy[0] and[0] doesn't[0] weigh[0] the[0] film[0] down[0] as[0] some[0] critics[0] have[0] said[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's sweet , and it didn't make me restless at all , despite the fact that i usually hate love stories . 	it's sweet , and it didn't make me restless at all , despite the fact that i usually hate love stories .	3	-4	 it's[0] sweet[1] and[0] it[0] didn't[0] make[0] me[0] restless[-1] at[0] all[0] despite[0] the[0] fact[0] that[0] i[0] usually[0] hate[-3] love[2] stories[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
of course , it might help that cameron introduces some pretty interesting characters to help keep our eyes glued to the screen . 	of course , it might help that cameron introduces some pretty interesting characters to help keep our eyes glued to the screen .	2	-1	 of[0] course[0] it[0] might[0] help[0] that[0] cameron[0] introduces[0] some[0] pretty[2][-1 LastWordBoosterStrength] interesting[1] characters[0] to[0] help[0] keep[0] our[0] eyes[0] glued[0] to[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of these people actually were passengers on the titanic back in 1912 , including the enigmatic molly brown ( played by the talented kathy bates ) , the captain of titanic ( bernard hill ) , and so on . 	most of these people actually were passengers on the titanic back in 1912 , including the enigmatic molly brown ( played by the talented kathy bates ) , the captain of titanic ( bernard hill ) , and so on .	2	-1	 most[0] of[0] these[0] people[0] actually[0] were[0] passengers[0] on[0] the[0] titanic[0] back[0] in[0] 1912[0] including[0] the[0] enigmatic[0] molly[0] brown[0] played[0] by[0] the[0] talented[1] kathy[0] bates[0] the[0] captain[0] of[0] titanic[0] bernard[0] hill[0] and[0] so[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all of these characters add an extra depth to the film , and make it that easier to watch . 	all of these characters add an extra depth to the film , and make it that easier to watch .	1	-1	 all[0] of[0] these[0] characters[0] add[0] an[0] extra[0] depth[0] to[0] the[0] film[0] and[0] make[0] it[0] that[0] easier[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , things really start to get going after the hour and a half mark , where the titanic strikes the iceberg and begins a slow sink to the bottom . 	of course , things really start to get going after the hour and a half mark , where the titanic strikes the iceberg and begins a slow sink to the bottom .	1	-1	 of[0] course[0] things[0] really[0] start[0] to[0] get[0] going[0] after[0] the[0] hour[0] and[0] a[0] half[0] mark[0] where[0] the[0] titanic[0] strikes[0] the[0] iceberg[0] and[0] begins[0] a[0] slow[0] sink[0] to[0] the[0] bottom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sinking is depicted realisticly , and the effects are truly amazing . 	the sinking is depicted realisticly , and the effects are truly amazing .	3	-1	 the[0] sinking[0] is[0] depicted[0] realisticly[0] and[0] the[0] effects[0] are[0] truly[1] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is not told in a heroic fashion sense either , as people are portrayed as panicking , pushing others aside to get on the limited lifeboats , and drowning and dying horrible deaths . 	it is not told in a heroic fashion sense either , as people are portrayed as panicking , pushing others aside to get on the limited lifeboats , and drowning and dying horrible deaths .	3	-4	 it[0] is[0] not[0] told[0] in[0] a[0] heroic[2] fashion[0] sense[0] either[0] as[0] people[0] are[0] portrayed[0] as[0] panicking[-2] pushing[0] others[0] aside[0] to[0] get[0] on[0] the[0] limited[0] lifeboats[0] and[0] drowning[-1] and[0] dying[-1] horrible[-3] deaths[-2][-1 MultiplePositiveWords] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the best part of the movie , in my opinion , comes at the very end , when we flash back to the future . 	the best part of the movie , in my opinion , comes at the very end , when we flash back to the future .	2	-1	 the[0] best[1] part[0] of[0] the[0] movie[0] in[0] my[0] opinion[0] comes[0] at[0] the[0] very[0] end[0] when[0] we[0] flash[0] back[0] to[0] the[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the crew , who at first had been skeptical of rose's story , now are totally aborbed by her . 	the crew , who at first had been skeptical of rose's story , now are totally aborbed by her .	1	-2	 the[0] crew[0] who[0] at[0] first[0] had[0] been[0] skeptical[-1] of[0] rose's[0] story[0] now[0] are[0] totally[0] aborbed[0] by[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rose goes out onto the ship's ledge , and we then learn a secret about her that catches us off guard . 	rose goes out onto the ship's ledge , and we then learn a secret about her that catches us off guard .	1	-1	 rose[0] goes[0] out[0] onto[0] the[0] ship's[0] ledge[0] and[0] we[0] then[0] learn[0] a[0] secret[0] about[0] her[0] that[0] catches[0] us[0] off[0] guard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we then see a dream of rose's , in which she returns to the titanic and is dancing with jack dawson . 	we then see a dream of rose's , in which she returns to the titanic and is dancing with jack dawson .	1	-1	 we[0] then[0] see[0] a[0] dream[0] of[0] rose's[0] in[0] which[0] she[0] returns[0] to[0] the[0] titanic[0] and[0] is[0] dancing[0] with[0] jack[0] dawson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most people i talked with after the movie saw this as only a dream . 	most people i talked with after the movie saw this as only a dream .	1	-1	 most[0] people[0] i[0] talked[0] with[0] after[0] the[0] movie[0] saw[0] this[0] as[0] only[0] a[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , i think it symbolized more ; i think it meant that rose had died , and is going to a sort of heaven , which would be the happiest part of her life : her and her one true love , jack . 	however , i think it symbolized more ; i think it meant that rose had died , and is going to a sort of heaven , which would be the happiest part of her life : her and her one true love , jack .	3	-1	 however[0] i[0] think[0] it[0] symbolized[0] more[0] i[0] think[0] it[0] meant[0] that[0] rose[0] had[0] died[0] and[0] is[0] going[0] to[0] a[0] sort[0] of[0] heaven[1] which[0] would[0] be[0] the[0] happiest[2] part[0] of[0] her[0] life[0] her[0] and[0] her[0] one[0] true[1] love[2] jack[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if anyone has seen the movie and would like to voice an opinion about this , e-mail me at venom8@hotmail . com . 	if anyone has seen the movie and would like to voice an opinion about this , e-mail me at venom8@hotmail .<br> com .	1	-1	 if[0] anyone[0] has[0] seen[0] the[0] movie[0] and[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] voice[0] an[0] opinion[0] about[0] this[0] e[0] mail[0] me[0] at[0] venom8@hotmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
