it is simply amazing how " the green mile " developed in its three hour running time . 	Translation	Positive	Negative	EmotionRationale
they are given the positions to make rational decisions at difficult times and they are the ones who fulfill the demands of the audience . 	they are given the positions to make rational decisions at difficult times and they are the ones who fulfil the demands of the audience .	1	-2	 they[0] are[0] given[0] the[0] positions[0] to[0] make[0] rational[0] decisions[0] at[0] difficult[-1] times[0] and[0] they[0] are[0] the[0] ones[0] who[0] fulfill/fulfil[0] the[0] demands[0] of[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the more unique characters perfectly create friction on the green mile and make the story interesting and exciting . 	the more unique characters perfectly create friction on the green mile and make the story interesting and exciting .	3	-1	 the[0] more[0] unique[0] characters[0] perfectly[1] create[0] friction[0] on[0] the[0] green[0] mile[0] and[0] make[0] the[0] story[0] interesting[1] and[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some particularly note worthy roles of the unique characters include doug hutchinson , sam rockwell , and michael duncan . 	some particularly note worthy roles of the unique characters include doug hutchinson , sam rockwell , and michael duncan .	1	-1	 some[0] particularly[0] note[0] worthy[0] roles[0] of[0] the[0] unique[0] characters[0] include[0] doug[0] hutchinson[0] sam[0] rockwell[0] and[0] michael[0] duncan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hutchinson , playing percy wetmore , a cowardly guard who hides his true feelings by tormenting others gives the greatest performance of the movie . 	hutchinson , playing percy wetmore , a cowardly guard who hides his true feelings by tormenting others gives the greatest performance of the movie .	3	-2	 hutchinson[0] playing[1] percy[0] wetmore[0] a[0] cowardly[-1] guard[0] who[0] hides[0] his[0] true[1] feelings[0] by[0] tormenting[0] others[0] gives[0] the[0] greatest[2] performance[0] of[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
every time he appears on the screen , the attitude of others is very uncomfortable and the creepy expressions he is able to create are effectively terrifying . 	every time he appears on the screen , the attitude of others is very uncomfortable and the creepy expressions he is able to create are effectively terrifying .	1	-4	 every[0] time[0] he[0] appears[0] on[0] the[0] screen[0] the[0] attitude[0] of[0] others[0] is[0] very[0] uncomfortable[-2][-1 LastWordBoosterStrength] and[0] the[0] creepy[0] expressions[0] he[0] is[0] able[0] to[0] create[0] are[0] effectively[0] terrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it would come as no surprise if hutchinson was nominated for an academy award as best supporting actor , not only because he did a wonderful job as wetmore , but also because he stole every scene he was in away from veteran oscar winner tom hanks . 	it would come as no surprise if hutchinson was nominated for an academy award as best supporting actor , not only because he did a wonderful job as wetmore , but also because he stole every scene he was in away from veteran oscar winner tom hanks .	3	-2	 it[0] would[0] come[0] as[0] no[0] surprise[0] if[0] hutchinson[0] was[0] nominated[0] for[0] an[0] academy[0] award[0] as[0] best[1] supporting[1] actor[0] not[0] only[0] because[0] he[0] did[0] a[0] wonderful[2] job[0] as[0] wetmore[0] but[0] also[0] because[0] he[0] stole[-1] every[0] scene[0] he[0] was[0] in[0] away[0] from[0] veteran[0] oscar[0] winner[1] tom[0] hanks[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rockwell , an independent film veteran , plays his role as wild bill wharton to perfection . 	rockwell , an independent film veteran , plays his role as wild bill wharton to perfection .	2	-1	 rockwell[0] an[0] independent[0] film[0] veteran[0] plays[1] his[0] role[0] as[0] wild[0] bill[0] wharton[0] to[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a prisoner who taunts and harasses the guards at all hours , he really gets under your skin and irritates you for having to watch him torture others . 	as a prisoner who taunts and harasses the guards at all hours , he really gets under your skin and irritates you for having to watch him torture others .	1	-4	 as[0] a[0] prisoner[-1] who[0] taunts[-1] and[0] harasses[-2] the[0] guards[0] at[0] all[0] hours[0] he[0] really[0] gets[0] under[0] your[0] skin[0] and[0] irritates[-2] you[0] for[0] having[0] to[0] watch[0] him[0] torture[-3] others[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this irritation he creates makes his performance so believable . 	this irritation he creates makes his performance so believable .	1	-3	 this[0] irritation[-2] he[0] creates[0] makes[0] his[0] performance[0] so[0] believable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the last noteworthy performance belongs to duncan , as the enormous convicted killer john coffey who happens to hold the power of curing the ill . 	the last noteworthy performance belongs to duncan , as the enormous convicted killer john coffey who happens to hold the power of curing the ill .	1	-2	 the[0] last[0] noteworthy[0] performance[0] belongs[0] to[0] duncan[0] as[0] the[0] enormous[0] convicted[-1] killer[-1] john[0] coffey[0] who[0] happens[0] to[0] hold[0] the[0] power[0] of[0] curing[0] the[0] ill[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
duncan does a wonderful job playing a frightened child-like behemoth , very similar to lennie small in of mice and men . 	duncan does a wonderful job playing a frightened child-like behemoth , very similar to lennie small in of mice and men .	3	-4	 duncan[0] does[0] a[0] wonderful[2] job[0] playing[1] a[0] frightened[-3] child[0] like[1] behemoth[0] very[0] similar[0] to[0] lennie[0] small[0] in[0] of[0] mice[0] and[0] men[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his desire for love and the extinction of hate evokes the most compassion because it is very obvious that he is suffering for no just cause . 	his desire for love and the extinction of hate evokes the most compassion because it is very obvious that he is suffering for no just cause .	3	-4	 his[0] desire[0] for[0] love[2] and[0] the[0] extinction[0] of[0] hate[-3] evokes[0] the[0] most[0] compassion[1] because[0] it[0] is[0] very[0] obvious[0] that[0] he[0] is[0] suffering[-3] for[0] no[0] just[0] cause[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his pain creates pain for the viewer . 	his pain creates pain for the viewer .	1	-4	 his[0] pain[-3] creates[0] pain[-3] for[0] the[0] viewer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , it takes over an hour for duncan to be introduced completely in the film . 	however , it takes over an hour for duncan to be introduced completely in the film .	1	-1	 however[0] it[0] takes[0] over[0] an[0] hour[0] for[0] duncan[0] to[0] be[0] introduced[0] completely[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a ridiculous present day setting which contains a scene that jabs at " the jerry springer show . " 	the film opens with a ridiculous present day setting which contains a scene that jabs at " the jerry springer show .<br> "	1	-3	 the[0] film[0] opens[0] with[0] a[0] ridiculous[-2] present[0] day[0] setting[0] which[0] contains[0] a[0] scene[0] that[0] jabs[0] at[0] the[0] jerry[0] springer[0] show[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the scene , containing one old man complaining about how all guests on the show are inbred and rednecks . 	the scene , containing one old man complaining about how all guests on the show are inbred and rednecks .	1	-2	 the[0] scene[0] containing[0] one[0] old[0] man[0] complaining[-1] about[0] how[0] all[0] guests[0] on[0] the[0] show[0] are[0] inbred[0] and[0] rednecks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only is this observation entirely pointless and out of place , but it is also hackneyed beyond all belief . 	not only is this observation entirely pointless and out of place , but it is also hackneyed beyond all belief .	1	-2	 not[0] only[0] is[0] this[0] observation[0] entirely[0] pointless[-1] and[0] out[0] of[0] place[0] but[0] it[0] is[0] also[0] hackneyed[0] beyond[0] all[0] belief[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the film flashes back to 1935 , graham greene is quickly executed without any introduction . 	as the film flashes back to 1935 , graham greene is quickly executed without any introduction .	1	-2	 as[0] the[0] film[0] flashes[0] back[0] to[0] 1935[0] graham[0] greene[0] is[0] quickly[0] executed[-1] without[0] any[0] introduction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his death seems very rushed and without any knowledge of who he is , the scene is neither sad nor convincing . 	his death seems very rushed and without any knowledge of who he is , the scene is neither sad nor convincing .	1	-4	 his[0] death[-2] seems[0] very[0] rushed[0] and[0] without[0] any[0] knowledge[0] of[0] who[0] he[0] is[0] the[0] scene[0] is[0] neither[0] sad[-3] nor[0] convincing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
greene is not even given a final word , like some of the other characters , and we don't even see him walk the infamous green mile . 	greene is not even given a final word , like some of the other characters , and we don't even see him walk the infamous green mile .	2	-2	 greene[0] is[0] not[0] even[0] given[0] a[0] final[0] word[0] like[1] some[0] of[0] the[0] other[0] characters[0] and[0] we[0] don't[0] even[0] see[0] him[0] walk[0] the[0] infamous[-1] green[0] mile[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , as the film begins to specifically introduce more characters , such as coffey and eduard delacroix ( michael jeter ) as well as the five prison guards , the film becomes more interesting . 	however , as the film begins to specifically introduce more characters , such as coffey and eduard delacroix ( michael jeter ) as well as the five prison guards , the film becomes more interesting .	2	-2	 however[0] as[0] the[0] film[0] begins[0] to[0] specifically[0] introduce[0] more[0] characters[0] such[0] as[0] coffey[0] and[0] eduard[0] delacroix[0] michael[0] jeter[0] as[0] well[0] as[0] the[0] five[0] prison[-1] guards[0] the[0] film[0] becomes[0] more[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the speed in " the green mile " is perfect . 	the speed in " the green mile " is perfect .	2	-1	 the[0] speed[0] in[0] the[0] green[0] mile[0] is[0] perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if time was a matter of concern and the film was edited to the two hour mark , it would have been unsatisfactory because we would not be able to know the characters as they are or as they treat others . 	if time was a matter of concern and the film was edited to the two hour mark , it would have been unsatisfactory because we would not be able to know the characters as they are or as they treat others .	2	-2	 if[0] time[0] was[0] a[0] matter[0] of[0] concern[-1] and[0] the[0] film[0] was[0] edited[0] to[0] the[0] two[0] hour[0] mark[0] it[0] would[0] have[0] been[0] unsatisfactory[-1] because[0] we[0] would[0] not[0] be[0] able[0] to[0] know[0] the[0] characters[0] as[0] they[0] are[0] or[0] as[0] they[0] treat[1] others[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the three hour running is perfect for plot development and by the end of the film , a great amount of love or hate is attached to each character . 	the three hour running is perfect for plot development and by the end of the film , a great amount of love or hate is attached to each character .	3	-4	 the[0] three[0] hour[0] running[0] is[0] perfect[1] for[0] plot[0] development[0] and[0] by[0] the[0] end[0] of[0] the[0] film[0] a[0] great[2] amount[0] of[0] love[2] or[0] hate[-3] is[0] attached[0] to[0] each[0] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " the green mile " is so good following the rough beginning , that when the pivotal moment at the very end finally comes , it is almost impossible not to feel some sort of sadness for every person in this scene . 	 " the green mile " is so good following the rough beginning , that when the pivotal moment at the very end finally comes , it is almost impossible not to feel some sort of sadness for every person in this scene .	2	-4	 the[0] green[0] mile[0] is[0] so[0] good[1] following[0] the[0] rough[-1] beginning[0] that[0] when[0] the[0] pivotal[0] moment[0] at[0] the[0] very[0] end[0] finally[0] comes[0] it[0] is[0] almost[0] impossible[0] not[0] to[0] feel[0] some[0] sort[0] of[0] sadness[-3] for[0] every[0] person[0] in[0] this[0] scene[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fighting back tears was a difficult task that i barely succeeded in doing . 	fighting back tears was a difficult task that i barely succeeded in doing .	3	-4	 fighting[-2] back[0] tears[-3] was[0] a[0] difficult[-1] task[0] that[0] i[0] barely[0] succeeded[2] in[0] doing[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if you survive the first third of " the green mile " sit back and enjoy the remainder for some priceless entertainment . 	if you survive the first third of " the green mile " sit back and enjoy the remainder for some priceless entertainment .	3	-1	 if[0] you[0] survive[0] the[0] first[0] third[0] of[0] the[0] green[0] mile[0] sit[0] back[0] and[0] enjoy[2] the[0] remainder[0] for[0] some[0] priceless[3][-1 LastWordBoosterStrength] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
