hollywood has really done the whole dracula thing to death ( no pun intended - honest ) . 	Translation	Positive	Negative	EmotionRationale
let me backtrack a minute . 	let me backtrack a minute .	1	-1	 let[0] me[0] backtrack[0] a[0] minute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i say " intellectual ground " , i don't mean that nosferatu tackles philosophical questions or anything like that , i just mean that in order for the film to work the way it was intended to , a little bit of thinking is involved . 	when i say " intellectual ground " , i don't mean that nosferatu tackles philosophical questions or anything like that , i just mean that in order for the film to work the way it was intended to , a little bit of thinking is involved .	2	-1	 when[0] i[0] say[0] intellectual[0] ground[0] i[0] don't[0] mean[0] that[0] nosferatu[0] tackles[0] philosophical[0] questions[0] or[0] anything[0] like[1] that[0] i[0] just[0] mean[0] that[0] in[0] order[0] for[0] the[0] film[0] to[0] work[0] the[0] way[0] it[0] was[0] intended[0] to[0] a[0] little[0] bit[0] of[0] thinking[0] is[0] involved[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with most modern slasher movies like friday the 13th and what-not , you can just simply sit back in your chair and be frightened by the gore that is shown . 	with most modern slasher movies like friday the 13th and what-not , you can just simply sit back in your chair and be frightened by the gore that is shown .	2	-4	 with[0] most[0] modern[0] slasher[-1] movies[0] like[1] friday[0] the[0] 13th[0] and[0] what[0] not[0] you[0] can[0] just[0] simply[0] sit[0] back[0] in[0] your[0] chair[0] and[0] be[0] frightened[-3] by[0] the[0] gore[0] that[0] is[0] shown[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
those movies could have been made by a fifth grader with a good makeup kit ; movies like this require the viewer to actually pay attention and ponder what is happening on the screen . 	those movies could have been made by a fifth grader with a good makeup kit ; movies like this require the viewer to actually pay attention and ponder what is happening on the screen .	2	-1	 those[0] movies[0] could[0] have[0] been[0] made[0] by[0] a[0] fifth[0] grader[0] with[0] a[0] good[1] makeup[0] kit[0] movies[0] like[1] this[0] require[0] the[0] viewer[0] to[0] actually[0] pay[0] attention[0] and[0] ponder[0] what[0] is[0] happening[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you see , this movie has barely any violence in it and even less blood or gore . 	you see , this movie has barely any violence in it and even less blood or gore .	1	-4	 you[0] see[0] this[0] movie[0] has[0] barely[0] any[0] violence[-3] in[0] it[0] and[0] even[0] less[0] blood[0] or[0] gore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is a thinking man's slasher flick . 	this is a thinking man's slasher flick .	1	-2	 this[0] is[0] a[0] thinking[0] man's[0] slasher[-1] flick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " nosferatu " of the title is orlock ( max shreck ) , a strange , hermit-like count that , as the film opens , is looking for a new home to buy . 	the " nosferatu " of the title is orlock ( max shreck ) , a strange , hermit-like count that , as the film opens , is looking for a new home to buy .	2	-1	 the[0] nosferatu[0] of[0] the[0] title[0] is[0] orlock[0] max[0] shreck[0] a[0] strange[0] hermit[0] like[1] count[0] that[0] as[0] the[0] film[0] opens[0] is[0] looking[0] for[0] a[0] new[0] home[0] to[0] buy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he employs the help of hutter ( gustav von wangenhein ) , a real estate salesman ( or something to that effect ) who has a nice home and even a fiancee named ellen ( greta schroeder ) . 	he employs the help of hutter ( gustav von wangenhein ) , a real estate salesman ( or something to that effect ) who has a nice home and even a fiancee named ellen ( greta schroeder ) .	2	-1	 he[0] employs[0] the[0] help[0] of[0] hutter[0] gustav[0] von[0] wangenhein[0] a[0] real[0] estate[0] salesman[0] or[0] something[0] to[0] that[0] effect[0] who[0] has[0] a[0] nice[1] home[0] and[0] even[0] a[0] fiancee[0] named[0] ellen[0] greta[0] schroeder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon orders from his boss , hutter treks to the transylvanian mountains to visit orlock's castle and speak to him about his new home ( which just happens to be right next door to hutter's ) . 	upon orders from his boss , hutter treks to the transylvanian mountains to visit orlock's castle and speak to him about his new home ( which just happens to be right next door to hutter's ) .	1	-1	 upon[0] orders[0] from[0] his[0] boss[0] hutter[0] treks[0] to[0] the[0] transylvanian[0] mountains[0] to[0] visit[0] orlock's[0] castle[0] and[0] speak[0] to[0] him[0] about[0] his[0] new[0] home[0] which[0] just[0] happens[0] to[0] be[0] right[0] next[0] door[0] to[0] hutter's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next morning , he wakes up to find teeth marks on his neck . . . not 	the next morning , he wakes up to find teeth marks on his neck .<br> .<br> .<br> not	1	-1	 the[0] next[0] morning[0] he[0] wakes[0] up[0] to[0] find[0] teeth[0] marks[0] on[0] his[0] neck[0] [[Sentence=-1,1=word max, 1-5]] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
really a good sign . 	really a good sign .	2	-1	 really[0] a[0] good[1] sign[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he then discovers through some reading that the count is a " nosferatu " , or vampire , one of the undead that feeds off the blood of living humans . 	he then discovers through some reading that the count is a " nosferatu " , or vampire , one of the undead that feeds off the blood of living humans .	1	-1	 he[0] then[0] discovers[0] through[0] some[0] reading[0] that[0] the[0] count[0] is[0] a[0] nosferatu[0] or[0] vampire[0] one[0] of[0] the[0] undead[0] that[0] feeds[0] off[0] the[0] blood[0] of[0] living[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but by the time he pieces this together , he is too late ; orlock has already embarked to hutter's hometown via boat . 	but by the time he pieces this together , he is too late ; orlock has already embarked to hutter's hometown via boat .	1	-1	 but[0] by[0] the[0] time[0] he[0] pieces[0] this[0] together[0] he[0] is[0] too[0] late[0] orlock[0] has[0] already[0] embarked[0] to[0] hutter's[0] hometown[0] via[0] boat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will hutter reach his destination in time to save his fiancee from the deadly clutches of count orlock ? 	will hutter reach his destination in time to save his fiancee from the deadly clutches of count orlock ?	2	-2	 will[0] hutter[0] reach[0] his[0] destination[0] in[0] time[0] to[0] save[1] his[0] fiancee[0] from[0] the[0] deadly[-1] clutches[0] of[0] count[0] orlock[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the character of orlock is , of course , dracula . 	the character of orlock is , of course , dracula .	1	-1	 the[0] character[0] of[0] orlock[0] is[0] of[0] course[0] dracula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only only reason his name was changed was because this was an unauthorized account of bram strocker's novel . 	the only only reason his name was changed was because this was an unauthorized account of bram strocker's novel .	1	-1	 the[0] only[0] only[0] reason[0] his[0] name[0] was[0] changed[0] was[0] because[0] this[0] was[0] an[0] unauthorized[0] account[0] of[0] bram[0] strocker's[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just thought that was an interesting little side note . . . 	just thought that was an interesting little side note .<br> .<br> .	2	-1	 just[0] thought[0] that[0] was[0] an[0] interesting[1] little[0] side[0] note[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
probably the only way you will get to see this fine film is by purchasing a copy of arrow entertainment's digitally restored cut , now available in stores . 	probably the only way you will get to see this fine film is by purchasing a copy of arrow entertainment's digitally restored cut , now available in stores .	3	-1	 probably[0] the[0] only[0] way[0] you[0] will[0] get[0] to[0] see[0] this[0] fine[2] film[0] is[0] by[0] purchasing[0] a[0] copy[0] of[0] arrow[0] entertainment's[0] digitally[0] restored[0] cut[0] now[0] available[0] in[0] stores[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , this version is quite different than maunau's original masterpiece . 	however , this version is quite different than maunau's original masterpiece .	1	-1	 however[0] this[0] version[0] is[0] quite[0] different[0] than[0] maunau's[0] original[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is now sporting a new soundtrack by band type o-negative and color tinting , much like the 1984 version of lang's metropolis . 	the movie is now sporting a new soundtrack by band type o-negative and color tinting , much like the 1984 version of lang's metropolis .	2	-2	 the[0] movie[0] is[0] now[0] sporting[0] a[0] new[0] soundtrack[0] by[0] band[0] type[0] o[0] negative[-1] and[0] color[0] tinting[0] much[0] like[1] the[0] 1984[0] version[0] of[0] lang's[0] metropolis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now , i really appreciate what arrow entertainment is trying to do here , bringing a classic like this to the attention of a wider audience that might have otherwise just skipped this one . 	now , i really appreciate what arrow entertainment is trying to do here , bringing a classic like this to the attention of a wider audience that might have otherwise just skipped this one .	3	-1	 now[0] i[0] really[0] appreciate[1][1 LastWordBoosterStrength] what[0] arrow[0] entertainment[0] is[0] trying[0] to[0] do[0] here[0] bringing[0] a[0] classic[0] like[1] this[0] to[0] the[0] attention[0] of[0] a[0] wider[0] audience[0] that[0] might[0] have[0] otherwise[0] just[0] skipped[0] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but alas , i like watching movies the way they were originally intended to be seen . 	but alas , i like watching movies the way they were originally intended to be seen .	2	-2	 but[0] alas[-1] i[0] like[1] watching[0] movies[0] the[0] way[0] they[0] were[0] originally[0] intended[0] to[0] be[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but that's just my bag ; you may like the newer , more " modern " version better . 	but that's just my bag ; you may like the newer , more " modern " version better .	1	-1	 but[0] that's[0] just[0] my[0] bag[0] you[0] may[0] like[1][-1 LastWordBoosterStrength] the[0] newer[0] more[0] modern[0] version[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either way , i suggest investing your money in a copy . 	either way , i suggest investing your money in a copy .	1	-1	 either[0] way[0] i[0] suggest[0] investing[0] your[0] money[0] in[0] a[0] copy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you like what they have done with it , pop it in the vcr and enjoy . 	if you like what they have done with it , pop it in the vcr and enjoy .	3	-1	 if[0] you[0] like[1] what[0] they[0] have[0] done[0] with[0] it[0] pop[0] it[0] in[0] the[0] vcr[0] and[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're like me , just do what i'll do during future viewings ; turn the color all the way down on your television , hit mute , turn on some bach or mozart or whatever , dim the lights and prepare to view what is truly one of the greatest films ever made . 	if you're like me , just do what i'll do during future viewings ; turn the color all the way down on your television , hit mute , turn on some bach or mozart or whatever , dim the lights and prepare to view what is truly one of the greatest films ever made .	3	-2	 if[0] you're[0] like[1] me[0] just[0] do[0] what[0] i'll[0] do[0] during[0] future[0] viewings[0] turn[0] the[0] color[0] all[0] the[0] way[0] down[0] on[0] your[0] television[0] hit[0] mute[0] turn[0] on[0] some[0] bach[0] or[0] mozart[0] or[0] whatever[0] dim[-1] the[0] lights[0] and[0] prepare[0] to[0] view[0] what[0] is[0] truly[1] one[0] of[0] the[0] greatest[2] films[0] ever[0] made[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
