to me , nicolas cage sounds like an ideal choice for the lead role in a martin scorsese film . 	Translation	Positive	Negative	EmotionRationale
the first is larry ( john goodman ) , who always has food on the brain . 	the first is larry ( john goodman ) , who always has food on the brain .	1	-1	 the[0] first[0] is[0] larry[0] john[0] goodman[0] who[0] always[0] has[0] food[0] on[0] the[0] brain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second is marcus ( ving rhames ) , a deeply religious black man who incorporates the power of jesus into a regular rescue operation . 	the second is marcus ( ving rhames ) , a deeply religious black man who incorporates the power of jesus into a regular rescue operation .	1	-1	 the[0] second[0] is[0] marcus[0] ving[0] rhames[0] a[0] deeply[0] religious[0] black[0] man[0] who[0] incorporates[0] the[0] power[0] of[0] jesus[0] into[0] a[0] regular[0] rescue[0] operation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and finally , tom ( tom sizemore ) is a deranged sociopath hungry for blood . 	and finally , tom ( tom sizemore ) is a deranged sociopath hungry for blood .	1	-2	 and[0] finally[0] tom[0] tom[0] sizemore[0] is[0] a[0] deranged[0] sociopath[0] hungry[-1] for[0] blood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i found it unique how scorsese used each of these characters for a single shift with frank , but they never figured into the actual plot . 	i found it unique how scorsese used each of these characters for a single shift with frank , but they never figured into the actual plot .	1	-1	 i[0] found[0] it[0] unique[0] how[0] scorsese[0] used[0] each[0] of[0] these[0] characters[0] for[0] a[0] single[0] shift[0] with[0] frank[0] but[0] they[0] never[0] figured[0] into[0] the[0] actual[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each is merely a colorful presence to help develop frank's character , because  bringing out the dead' is predominantly a study of his mind and detailed personality . 	each is merely a colorful presence to help develop frank's character , because  bringing out the dead' is predominantly a study of his mind and detailed personality .	1	-1	 each[0] is[0] merely[0] a[0] colorful[0] presence[0] to[0] help[0] develop[0] frank's[0] character[0] because[0] bringing[0] out[0] the[0] dead'[0] is[0] predominantly[0] a[0] study[0] of[0] his[0] mind[0] and[0] detailed[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one character alongside frank that truly comes into play is mary ( patricia arquette ) , the daughter of a newly admitted patient who suffered from a severe heart attack . 	the one character alongside frank that truly comes into play is mary ( patricia arquette ) , the daughter of a newly admitted patient who suffered from a severe heart attack .	2	-4	 the[0] one[0] character[0] alongside[0] frank[0] that[0] truly[1] comes[0] into[0] play[0] is[0] mary[0] patricia[0] arquette[0] the[0] daughter[0] of[0] a[0] newly[0] admitted[0] patient[0] who[0] suffered[-3] from[0] a[0] severe[-1] heart[0] attack[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
arquette , who recently received the wounds of christ in  stigmata' , performs well around real-life husband cage . 	arquette , who recently received the wounds of christ in  stigmata' , performs well around real-life husband cage .	1	-2	 arquette[0] who[0] recently[0] received[0] the[0] wounds[-1] of[0] christ[0] in[0] stigmata'[0] performs[0] well[0] around[0] real[0] life[0] husband[0] cage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's unfortunate that , after such intriguing character trials and tribulations , the relationship between frank and mary slips during a mishandled , ineffective finale . 	it's unfortunate that , after such intriguing character trials and tribulations , the relationship between frank and mary slips during a mishandled , ineffective finale .	1	-2	 it's[0] unfortunate[-1] that[0] after[0] such[0] intriguing[0] character[0] trials[0] and[0] tribulations[0] the[0] relationship[0] between[0] frank[0] and[0] mary[0] slips[0] during[0] a[0] mishandled[-1] ineffective[-1] finale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie belongs to the one-two punch of cage and scorsese , who were born to collaborate their efforts in an arrangement similar to  bringing out the dead' . 	the movie belongs to the one-two punch of cage and scorsese , who were born to collaborate their efforts in an arrangement similar to  bringing out the dead' .	1	-2	 the[0] movie[0] belongs[0] to[0] the[0] one[0] two[0] punch[-1] of[0] cage[0] and[0] scorsese[0] who[0] were[0] born[0] to[0] collaborate[0] their[0] efforts[0] in[0] an[0] arrangement[0] similar[0] to[0] bringing[0] out[0] the[0] dead'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although it certainly lacks the grit and hard-edge of something like  goodfellas' , scorsese manages to hit a nerve with his latest picture . 	although it certainly lacks the grit and hard-edge of something like  goodfellas' , scorsese manages to hit a nerve with his latest picture .	2	-1	 although[0] it[0] certainly[0] lacks[0] the[0] grit[0] and[0] hard[0] edge[0] of[0] something[0] like[1] goodfellas'[0] scorsese[0] manages[0] to[0] hit[0] a[0] nerve[0] with[0] his[0] latest[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the incredible camera-work and photography represent stunning flashes of brilliance in an otherwise unspectacular conglomeration . 	the incredible camera-work and photography represent stunning flashes of brilliance in an otherwise unspectacular conglomeration .	2	-1	 the[0] incredible[0] camera[0] work[0] and[0] photography[0] represent[0] stunning[0] flashes[0] of[0] brilliance[1] in[0] an[0] otherwise[0] unspectacular[0] conglomeration[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fans will be pleased to find the director has returned to his abrasive , darkly humorous roots after somewhat of a departure with 1997's  kundun' . 	fans will be pleased to find the director has returned to his abrasive , darkly humorous roots after somewhat of a departure with 1997's  kundun' .	3	-2	 fans[0] will[0] be[0] pleased[1] to[0] find[0] the[0] director[0] has[0] returned[0] to[0] his[0] abrasive[-1] darkly[0] humorous[2] roots[0] after[0] somewhat[0] of[0] a[0] departure[0] with[0] 1997's[0] kundun'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
does  bringing out the dead' rival scorsese's finest work ? 	does  bringing out the dead' rival scorsese's finest work ?	1	-2	 does[0] bringing[0] out[0] the[0] dead'[0] rival[-1] scorsese's[0] finest[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only occasionally . 	only occasionally .	1	-1	 only[0] occasionally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the film feels surprisingly limp , but there is enough energy in it's interesting material and breathtaking visual appearance to suffice . 	some of the film feels surprisingly limp , but there is enough energy in it's interesting material and breathtaking visual appearance to suffice .	2	-2	 some[0] of[0] the[0] film[0] feels[0] surprisingly[0] limp[-1] but[0] there[0] is[0] enough[0] energy[0] in[0] it's[0] interesting[1] material[0] and[0] breathtaking[0] visual[0] appearance[0] to[0] suffice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
those expecting a grisly , risqu ? product may be somewhat disheartened at the fairly straight-arrow approach - but it's still a solid , admirable effort . 	those expecting a grisly , risqu ?<br> product may be somewhat disheartened at the fairly straight-arrow approach - but it's still a solid , admirable effort .	3	-2	 those[0] expecting[0] a[0] grisly[0] risqu[0] [[Sentence=-1,1=word max, 1-5]] product[0] may[0] be[0] somewhat[0] disheartened[-1] at[0] the[0] fairly[0] straight[0] arrow[0] approach[0] but[0] it's[0] still[0] a[0] solid[0] admirable[2] effort[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 bringing out the dead' was written by the acclaimed paul schrader , who collaborated with scorsese on such classics as  taxi driver' and  raging bull' . 	 bringing out the dead' was written by the acclaimed paul schrader , who collaborated with scorsese on such classics as  taxi driver' and  raging bull' .	1	-4	 bringing[0] out[0] the[0] dead'[0] was[0] written[0] by[0] the[0] acclaimed[0] paul[0] schrader[0] who[0] collaborated[0] with[0] scorsese[0] on[0] such[0] classics[0] as[0] taxi[-1] driver'[0] and[0] raging[-3] bull'[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
schrader's script is full of moments - wonderful , sharply defined moments - that are sorted throughout the remainder of his meandering screenplay . 	schrader's script is full of moments - wonderful , sharply defined moments - that are sorted throughout the remainder of his meandering screenplay .	3	-1	 schrader's[0] script[0] is[0] full[0] of[0] moments[0] wonderful[2] sharply[0] defined[0] moments[0] that[0] are[0] sorted[0] throughout[0] the[0] remainder[0] of[0] his[0] meandering[0] screenplay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the exceptional aspects of the film are it's astounding technical credits and the amazing cast . 	the exceptional aspects of the film are it's astounding technical credits and the amazing cast .	3	-1	 the[0] exceptional[0] aspects[0] of[0] the[0] film[0] are[0] it's[0] astounding[0] technical[0] credits[0] and[0] the[0] amazing[2] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
goodman and sizemore are both electric ( well , mainly sizemore ) , but it's the phenomenal ving rhames who deserves a second look . 	goodman and sizemore are both electric ( well , mainly sizemore ) , but it's the phenomenal ving rhames who deserves a second look .	1	-1	 goodman[0] and[0] sizemore[0] are[0] both[0] electric[0] well[0] mainly[0] sizemore[0] but[0] it's[0] the[0] phenomenal[0] ving[0] rhames[0] who[0] deserves[0] a[0] second[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch the actor's deeply inspired dedication as he resurrects a gothic band member , and you'll understand why he won a golden globe . 	watch the actor's deeply inspired dedication as he resurrects a gothic band member , and you'll understand why he won a golden globe .	3	-1	 watch[0] the[0] actor's[0] deeply[0] inspired[2] dedication[0] as[0] he[0] resurrects[0] a[0] gothic[0] band[0] member[0] and[0] you'll[0] understand[0] why[0] he[0] won[0] a[0] golden[0] globe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 bringing out the dead' is raw and electrifying often enough to mask it's certain flaws . 	 bringing out the dead' is raw and electrifying often enough to mask it's certain flaws .	1	-1	 bringing[0] out[0] the[0] dead'[0] is[0] raw[0] and[0] electrifying[0] often[0] enough[0] to[0] mask[0] it's[0] certain[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scorsese - and cage , for that matter - have done better , but their intentions are certainly admirable . 	scorsese - and cage , for that matter - have done better , but their intentions are certainly admirable .	3	-1	 scorsese[0] and[0] cage[0] for[0] that[0] matter[0] have[0] done[0] better[0] but[0] their[0] intentions[0] are[0] certainly[0] admirable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
