well i'll be damned , what a most excellent surprise . 	Translation	Positive	Negative	EmotionRationale
i must admit , my first glimpse of the video cover for not of this earth was not encouraging . 	i must admit , my first glimpse of the video cover for not of this earth was not encouraging .	1	-2	 i[0] must[0] admit[0] my[0] first[0] glimpse[0] of[0] the[0] video[0] cover[0] for[0] not[0] of[0] this[0] earth[0] was[0] not[0] encouraging[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
british actor michael york has appeared in some real stinkers in past few decades , a far cry from the quality fare of his younger days such as caberat ( 1972 ) . 	british actor michael york has appeared in some real stinkers in past few decades , a far cry from the quality fare of his younger days such as caberat ( 1972 ) .	1	-4	 british[0] actor[0] michael[0] york[0] has[0] appeared[0] in[0] some[0] real[0] stinkers[-2] in[0] past[0] few[0] decades[0] a[0] far[0] cry[-3] from[0] the[0] quality[0] fare[0] of[0] his[0] younger[0] days[0] such[0] as[0] caberat[0] 1972[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but his performance here as an alien in human disguise is nothing short of outstanding . 	but his performance here as an alien in human disguise is nothing short of outstanding .	3	-2	 but[0] his[0] performance[0] here[0] as[0] an[0] alien[-1] in[0] human[0] disguise[-1] is[0] nothing[0] short[0] of[0] outstanding[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the weird twitches and bizarre modes of speech , the dapper clothes and cool spectacles , the unexpected pathos which he invests in his character . 	the weird twitches and bizarre modes of speech , the dapper clothes and cool spectacles , the unexpected pathos which he invests in his character .	2	-2	 the[0] weird[-1] twitches[0] and[0] bizarre[-1] modes[0] of[0] speech[0] the[0] dapper[0] clothes[0] and[0] cool[1] spectacles[0] the[0] unexpected[0] pathos[0] which[0] he[0] invests[0] in[0] his[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
york is by turns hilarious , menacing and tragic . 	york is by turns hilarious , menacing and tragic .	3	-3	 york[0] is[0] by[0] turns[0] hilarious[2] menacing[0] and[0] tragic[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is a tour-de-force and quite simply the best performance i've seen from him . 	this is a tour-de-force and quite simply the best performance i've seen from him .	2	-2	 this[0] is[0] a[0] tour[0] de[0] force[-1] and[0] quite[0] simply[0] the[0] best[1] performance[0] i've[0] seen[0] from[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and while obviously made on a modest budget , the film boasts enormous strengths . 	and while obviously made on a modest budget , the film boasts enormous strengths .	1	-2	 and[0] while[0] obviously[0] made[0] on[0] a[0] modest[0] budget[0] the[0] film[0] boasts[-1] enormous[0] strengths[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the casting is spot on , the acting is terrific and the script is intelligent , witty and consistently engaging , cleverly updating the original . 	the casting is spot on , the acting is terrific and the script is intelligent , witty and consistently engaging , cleverly updating the original .	4	-1	 the[0] casting[0] is[0] spot[0] on[0] the[0] acting[0] is[0] terrific[3] and[0] the[0] script[0] is[0] intelligent[1] witty[0] and[0] consistently[0] engaging[0] cleverly[0] updating[0] the[0] original[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the balance of horror and humour is just about perfect , a marked contrast to the earlier remake from 1988 . 	the balance of horror and humour is just about perfect , a marked contrast to the earlier remake from 1988 .	3	-4	 the[0] balance[0] of[0] horror[-3] and[0] humour[2] is[0] just[0] about[0] perfect[1] a[0] marked[0] contrast[0] to[0] the[0] earlier[0] remake[0] from[0] 1988[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film doesn't drag for a second of its 90 minute running time thanks to tight editing and the sure hand of little-known director terrance h . winkless . 	the film doesn't drag for a second of its 90 minute running time thanks to tight editing and the sure hand of little-known director terrance h .<br> winkles .	2	-2	 the[0] film[0] doesn't[0] drag[-1] for[0] a[0] second[0] of[0] its[0] 90[0] minute[0] running[0] time[0] thanks[1] to[0] tight[0] editing[0] and[0] the[0] sure[0] hand[0] of[0] little[0] known[0] director[0] terrance[0] h[0] [[Sentence=-2,2=word max, 1-5]] winkless/winkles[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
and it doesn't matter one bit that the special effects are cheesy - this is schlock after all , even if it is high class schlock . 	and it doesn't matter one bit that the special effects are cheesy - this is schlock after all , even if it is high class schlock .	2	-1	 and[0] it[0] doesn't[0] matter[0] one[0] bit[0] that[0] the[0] special[1] effects[0] are[0] cheesy[0] this[0] is[0] schlock[0] after[0] all[0] even[0] if[0] it[0] is[0] high[0] class[0] schlock[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact my only criticism of the film is that things get a tad weak towards the end . 	in fact my only criticism of the film is that things get a tad weak towards the end .	1	-2	 in[0] fact[0] my[0] only[0] criticism[-1] of[0] the[0] film[0] is[0] that[0] things[0] get[0] a[0] tad[0] weak[-1] towards[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tighter direction could have given the climax more urgency and a few of the characters act rather illogically given their life-threatening situation . 	tighter direction could have given the climax more urgency and a few of the characters act rather illogically given their life-threatening situation .	1	-3	 tighter[0] direction[0] could[0] have[0] given[0] the[0] climax[0] more[0] urgency[0] and[0] a[0] few[0] of[0] the[0] characters[0] act[0] rather[0] illogically[0] given[0] their[0] life[0] threatening[-2] situation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but these are minor complaints . 	but these are minor complaints .	1	-2	 but[0] these[0] are[0] minor[0] complaints[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just see it . 	just see it .	1	-1	 just[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not of this earth is one of the biggest sci-fi surprises in years . 	not of this earth is one of the biggest sci-fi surprises in years .	1	-1	 not[0] of[0] this[0] earth[0] is[0] one[0] of[0] the[0] biggest[0] sci[0] fi[0] surprises[0] in[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and michael york : in one cool swoop you've made yourself a b-movie legend , dude . 	and michael york : in one cool swoop you've made yourself a b-movie legend , dude .	2	-1	 and[0] michael[0] york[0] in[0] one[0] cool[1] swoop[0] you've[0] made[0] yourself[0] a[0] b[0] movie[0] legend[0] dude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
