how many of us would become strippers ? 	Translation	Positive	Negative	EmotionRationale
eventually , gaz is able to convince his friends to join him in starting their own exotic dance routine despite their initial reluctance . 	eventually , gaz is able to convince his friends to join him in starting their own exotic dance routine despite their initial reluctance .	2	-2	 eventually[0] gaz[0] is[0] able[0] to[0] convince[0] his[0] friends[1] to[0] join[0] him[0] in[0] starting[0] their[0] own[0] exotic[0] dance[0] routine[0] despite[0] their[0] initial[0] reluctance[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these include the overweight , confidence-lacking dave ( mark addy ) , the uptight , overly-officious gerald ( tom wilkinson ) , the once suicidal lomper ( steve huison ) , and two additional fellows who gain their place among the group by audition : horse ( paul barber ) , an older gentlemen chock full of graceless energy , and guy ( hugo speer ) , a young well-endowed looker who compares himself to cary grant . 	these include the overweight , confidence-lacking dave ( mark addy ) , the uptight , overly-officious gerald ( tom wilkinson ) , the once suicidal lomper ( steve huison ) , and two additional fellows who gain their place among the group by audition : horse ( paul barber ) , an older gentlemen chock full of graceless energy , and guy ( hugo speer ) , a young well-endowed looker who compares himself to cary grant .	2	-3	 these[0] include[0] the[0] overweight[-1] confidence[1] lacking[0] dave[0] mark[0] addy[0] the[0] uptight[-2] overly[0] officious[0] gerald[0] tom[0] wilkinson[0] the[0] once[0] suicidal[0] lomper[0] steve[0] huison[0] and[0] two[0] additional[0] fellows[0] who[0] gain[0] their[0] place[0] among[0] the[0] group[0] by[0] audition[0] horse[0] paul[0] barber[0] an[0] older[0] gentlemen[0] chock[0] full[0] of[0] graceless[0] energy[0] and[0] guy[0] hugo[0] speer[0] a[0] young[0] well[0] endowed[0] looker[0] who[0] compares[0] himself[0] to[0] cary[0] grant[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the sextet is complete , we're given a hefty dose of physical comedy . 	when the sextet is complete , we're given a hefty dose of physical comedy .	1	-1	 when[0] the[0] sextet[0] is[0] complete[0] we're[0] given[0] a[0] hefty[0] dose[0] of[0] physical[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we watch the bumbling middle-aged men choreograph pseudo-sexy dance numbers , all the while proving why none of them were strippers in the first place . 	we watch the bumbling middle-aged men choreograph pseudo-sexy dance numbers , all the while proving why none of them were strippers in the first place .	3	-3	 we[0] watch[0] the[0] bumbling[0] middle[0] aged[0] men[0] choreograph[-2] pseudo[0] sexy[2] dance[0] numbers[0] all[0] the[0] while[0] proving[0] why[0] none[0] of[0] them[0] were[0] strippers[0] in[0] the[0] first[0] place[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as if there anti-appeal wasn't enough , they decide to boost interest in the group by promising " the full monty " on opening night , which for us americans , means baring it all . 	as if there anti-appeal wasn't enough , they decide to boost interest in the group by promising " the full monty " on opening night , which for us americans , means baring it all .	2	-1	 as[0] if[0] there[0] anti[0] appeal[0] wasn't[0] enough[0] they[0] decide[0] to[0] boost[0] interest[1] in[0] the[0] group[0] by[0] promising[1] the[0] full[0] monty[0] on[0] opening[0] night[0] which[0] for[0] us[0] americans[0] means[0] baring[0] it[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
and i mean * all * . 	and i mean * all * .	1	-1	 and[0] i[0] mean[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie actually ends on opening night ; a hilarious applause worthy ending i might add . 	the movie actually ends on opening night ; a hilarious applause worthy ending i might add .	3	-1	 the[0] movie[0] actually[0] ends[0] on[0] opening[0] night[0] a[0] hilarious[2] applause[1] worthy[0] ending[0] i[0] might[0] add[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's sure to leave nothing short of a big smile on your face as you leave the theater . 	it's sure to leave nothing short of a big smile on your face as you leave the theater .	3	-1	 it's[0] sure[0] to[0] leave[0] nothing[0] short[0] of[0] a[0] big[0] smile[2] on[0] your[0] face[0] as[0] you[0] leave[0] the[0] theater[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the subject matter , you might not expect the fully monty to be such a feel-good , almost inspiring film , but it surprisingly turns out that way . 	with the subject matter , you might not expect the fully monty to be such a feel-good , almost inspiring film , but it surprisingly turns out that way .	3	-1	 with[0] the[0] subject[0] matter[0] you[0] might[0] not[0] expect[0] the[0] fully[0] monty[0] to[0] be[0] such[0] a[0] feel[0] good[1] almost[0] inspiring[2] film[0] but[0] it[0] surprisingly[0] turns[0] out[0] that[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the amount of light , touching drama also comes as a nice surprise , never feeling off-balance from the otherwise highly upbeat moments of the film . 	the amount of light , touching drama also comes as a nice surprise , never feeling off-balance from the otherwise highly upbeat moments of the film .	2	-1	 the[0] amount[0] of[0] light[0] touching[0] drama[0] also[0] comes[0] as[0] a[0] nice[1] surprise[0] never[0] feeling[0] off[0] balance[0] from[0] the[0] otherwise[0] highly[0] upbeat[1] moments[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a lot more to this movie than you might think in other words , and the ensemble cast couldn't be better . 	there's a lot more to this movie than you might think in other words , and the ensemble cast couldn't be better .	1	-1	 there's[0] a[0] lot[0] more[0] to[0] this[0] movie[0] than[0] you[0] might[0] think[0] in[0] other[0] words[0] and[0] the[0] ensemble[0] cast[0] couldn't[0] be[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each character is completely individual , interesting , funny , and most importantly , real . 	each character is completely individual , interesting , funny , and most importantly , real .	2	-1	 each[0] character[0] is[0] completely[0] individual[0] interesting[1] funny[1] and[0] most[0] importantly[0] real[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the full monty is never offensive , a very impressive attribute since its subject matter alone could've easily fallen prey to tastelessness . 	the full monty is never offensive , a very impressive attribute since its subject matter alone could've easily fallen prey to tastelessness .	3	-1	 the[0] full[0] monty[0] is[0] never[0] offensive[-2][NegatedDueToPreviousWord] a[0] very[0] impressive[1][1 LastWordBoosterStrength] attribute[0] since[0] its[0] subject[0] matter[0] alone[0] could've[0] easily[0] fallen[0] prey[0] to[0] tastelessness[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's one of those movies that is best described as a solid piece of entertainment , perfect for a great night on the town , or as a saturday night movie rental . 	it's one of those movies that is best described as a solid piece of entertainment , perfect for a great night on the town , or as a saturday night movie rental .	3	-1	 it's[0] one[0] of[0] those[0] movies[0] that[0] is[0] best[1] described[0] as[0] a[0] solid[0] piece[0] of[0] entertainment[0] perfect[1] for[0] a[0] great[2] night[0] on[0] the[0] town[0] or[0] as[0] a[0] saturday[0] night[0] movie[0] rental[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
either way you see it , it shouldn't let you down in the slightest . 	either way you see it , it shouldn't let you down in the slightest .	1	-1	 either[0] way[0] you[0] see[0] it[0] it[0] shouldn't[0] let[0] you[0] down[0] in[0] the[0] slightest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , pun heavily intended , when it's all said and done , you'll be smiling from cheek to cheek . 	and , pun heavily intended , when it's all said and done , you'll be smiling from cheek to cheek .	3	-1	 and[0] pun[0] heavily[0] intended[0] when[0] it's[0] all[0] said[0] and[0] done[0] you'll[0] be[0] smiling[2] from[0] cheek[0] to[0] cheek[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
