scream 2 has a titillating little scene that lays down the unwritten law of horror movie sequels quite well . 	Translation	Positive	Negative	EmotionRationale
the characters remain true to their roots , and yet show a clear sign of development over the last two years . 	the characters remain true to their roots , and yet show a clear sign of development over the last two years .	2	-1	 the[0] characters[0] remain[0] true[1] to[0] their[0] roots[0] and[0] yet[0] show[0] a[0] clear[0] sign[0] of[0] development[0] over[0] the[0] last[0] two[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we can see how the events in the first film has affected them , but we don't lose any of the luster that made them such a delight to watch in the first place . 	we can see how the events in the first film has affected them , but we don't lose any of the luster that made them such a delight to watch in the first place .	3	-1	 we[0] can[0] see[0] how[0] the[0] events[0] in[0] the[0] first[0] film[0] has[0] affected[0] them[0] but[0] we[0] don't[0] lose[-1][NegatedDueToPreviousWord] any[0] of[0] the[0] luster[0] that[0] made[0] them[0] such[0] a[0] delight[2] to[0] watch[0] in[0] the[0] first[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the nice thing about scream 2 is that it doesn't seem off-kilter from it's predecessor . 	the nice thing about scream 2 is that it doesn't seem off-kilter from it's predecessor .	2	-4	 the[0] nice[1] thing[0] about[0] scream[-3] 2[0] is[0] that[0] it[0] doesn't[0] seem[0] off[0] kilter[0] from[0] it's[0] predecessor[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a natural , smooth , and believable ( as far as horror films go ) transition from film to film . 	it's a natural , smooth , and believable ( as far as horror films go ) transition from film to film .	1	-4	 it's[0] a[0] natural[0] smooth[0] and[0] believable[0] as[0] far[0] as[0] horror[-3] films[0] go[0] transition[0] from[0] film[0] to[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we skip two years , but there doesn't seem to be any holes or shortcuts taken in connecting the two flicks . 	we skip two years , but there doesn't seem to be any holes or shortcuts taken in connecting the two flicks .	1	-1	 we[0] skip[0] two[0] years[0] but[0] there[0] doesn't[0] seem[0] to[0] be[0] any[0] holes[0] or[0] shortcuts[0] taken[0] in[0] connecting[0] the[0] two[0] flicks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it flows so well that you feel more like you're reading chapter two of a book ( long chapters , eh ? ) 	it flows so well that you feel more like you're reading chapter two of a book ( long chapters , eh ?<br> )	2	-1	 it[0] flows[0] so[0] well[0] that[0] you[0] feel[0] more[0] like[1] you're[0] reading[0] chapter[0] two[0] of[0] a[0] book[0] long[0] chapters[0] eh[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
than just revitalizing a cast of familiar faces . 	than just revitalizing a cast of familiar faces .	1	-1	 than[0] just[0] revitalizing[0] a[0] cast[0] of[0] familiar[0] faces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while main characters are usually the only connection in sequels , scream 2's entire plot structure correlates * completely * with the first , making for immediate fondness and absorption . 	while main characters are usually the only connection in sequels , scream 2's entire plot structure correlates * completely * with the first , making for immediate fondness and absorption .	3	-4	 while[0] main[0] characters[0] are[0] usually[0] the[0] only[0] connection[0] in[0] sequels[0] scream[-3] 2's[0] entire[0] plot[0] structure[0] correlates[0] completely[0] with[0] the[0] first[0] making[0] for[0] immediate[0] fondness[2] and[0] absorption[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as i said before , scream 2 easily lives up to , if not surpassing , it's precursor . 	as i said before , scream 2 easily lives up to , if not surpassing , it's precursor .	1	-4	 as[0] i[0] said[0] before[0] scream[-3] 2[0] easily[0] lives[0] up[0] to[0] if[0] not[0] surpassing[0] it's[0] precursor[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only reason scream will likely be hailed above scream 2 is because it was the first . 	the only reason scream will likely be hailed above scream 2 is because it was the first .	1	-4	 the[0] only[0] reason[0] scream[-3] will[0] likely[0] be[0] hailed[0] above[0] scream[-3] 2[0] is[0] because[0] it[0] was[0] the[0] first[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this doesn't mean that it overcasts the unique , whimsical humor or overall caliber of it's sequel , it just means that scream will forever be known as the movie that mocked it's own while maintaining it's sought-after qualities . 	this doesn't mean that it overcasts the unique , whimsical humor or overall caliber of it's sequel , it just means that scream will forever be known as the movie that mocked it's own while maintaining it's sought-after qualities .	3	-4	 this[0] doesn't[0] mean[0] that[0] it[0] overcasts[0] the[0] unique[0] whimsical[0] humor[2] or[0] overall[0] caliber[0] of[0] it's[0] sequel[0] it[0] just[0] means[0] that[0] scream[-3] will[0] forever[0] be[0] known[0] as[0] the[0] movie[0] that[0] mocked[-2] it's[0] own[0] while[0] maintaining[0] it's[0] sought[0] after[0] qualities[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if ever a film followed it's original so well , it would be scream 2 , and it makes this a definite must-see for all those unbridled scream fans out there . 	if ever a film followed it's original so well , it would be scream 2 , and it makes this a definite must-see for all those unbridled scream fans out there .	1	-4	 if[0] ever[0] a[0] film[0] followed[0] it's[0] original[0] so[0] well[0] it[0] would[0] be[0] scream[-3] 2[0] and[0] it[0] makes[0] this[0] a[0] definite[0] must[0] see[0] for[0] all[0] those[0] unbridled[0] scream[-3] fans[0] out[0] there[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
scream 2 fits snugly alongside scream , and will hopefully receive as many high remarks . 	scream 2 fits snugly alongside scream , and will hopefully receive as many high remarks .	1	-4	 scream[-3] 2[0] fits[0] snugly[0] alongside[0] scream[-3] and[0] will[0] hopefully[0] receive[0] as[0] many[0] high[0] remarks[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it would top off the series quite well , if it weren't for the fact that two movies don't really make a series . 	it would top off the series quite well , if it weren't for the fact that two movies don't really make a series .	1	-1	 it[0] would[0] top[0] off[0] the[0] series[0] quite[0] well[0] if[0] it[0] weren't[0] for[0] the[0] fact[0] that[0] two[0] movies[0] don't[0] really[0] make[0] a[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's unlikely to assume that a scream 3 won't appear in the next few years , but if they do decide to turn this into an undeniably acclaimed horror-trilogy , let's hope they can keep up the fantastic work . 	it's unlikely to assume that a scream 3 won't appear in the next few years , but if they do decide to turn this into an undeniably acclaimed horror-trilogy , let's hope they can keep up the fantastic work .	3	-4	 it's[0] unlikely[0] to[0] assume[0] that[0] a[0] scream[-3] 3[0] won't[0] appear[0] in[0] the[0] next[0] few[0] years[0] but[0] if[0] they[0] do[0] decide[0] to[0] turn[0] this[0] into[0] an[0] undeniably[0] acclaimed[0] horror[-3] trilogy[0] let's[0] hope[2] they[0] can[0] keep[0] up[0] the[0] fantastic[2] work[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
like they say , don't mess with perfection . 	like they say , don't mess with perfection .	2	-1	 like[1] they[0] say[0] don't[0] mess[0] with[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
but when a money-making smash-hit is almost guaranteed , who's gonna listen ? 	but when a money-making smash-hit is almost guaranteed , who's gonna listen ?	1	-2	 but[0] when[0] a[0] money[0] making[0] smash[-1] hit[0] is[0] almost[0] guaranteed[0] who's[0] gonna[0] listen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
