in brief : best bleak comedy film since heathers . 	Translation	Positive	Negative	EmotionRationale
to die for begins in a town called little hope , new hampshire , the archetypal dry and intellectually barren american suburb . 	to die for begins in a town called little hope , new hampshire , the archetypal dry and intellectually barren american suburb .	3	-2	 to[0] die[0] for[0] begins[0] in[0] a[0] town[0] called[0] little[0] hope[2] new[0] hampshire[0] the[0] archetypal[0] dry[0] and[0] intellectually[0] barren[-1] american[0] suburb[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story concerns the ambitious suzanne stone and how she tackles the obstacles between her and her life long ambition of being 'on tv . ' 	the story concerns the ambitious suzanne stone and how she tackles the obstacles between her and her life long ambition of being 'on tv .<br> '	1	-2	 the[0] story[0] concerns[-1] the[0] ambitious[0] suzanne[0] stone[0] and[0] how[0] she[0] tackles[0] the[0] obstacles[-1] between[0] her[0] and[0] her[0] life[0] long[0] ambition[0] of[0] being[0] 'on[0] tv[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , one of those little obstacles turns out to be her dull and unambitious husband larry , played by matt dillon . 	of course , one of those little obstacles turns out to be her dull and unambitious husband larry , played by matt dillon .	1	-2	 of[0] course[0] one[0] of[0] those[0] little[0] obstacles[-1] turns[0] out[0] to[0] be[0] her[0] dull[-1] and[0] unambitious[0] husband[0] larry[0] played[0] by[0] matt[0] dillon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , with a little imagination , some charm and raw sex appeal and a rather novel approach to junior achievement , our heroine manages to overcome the nay-sayers in her life , at least temporarily . 	but , with a little imagination , some charm and raw sex appeal and a rather novel approach to junior achievement , our heroine manages to overcome the nay-sayers in her life , at least temporarily .	3	-2	 but[0] with[0] a[0] little[0] imagination[0] some[0] charm[1][-1 LastWordBoosterStrength] and[0] raw[0] sex[0] appeal[0] and[0] a[0] rather[0] novel[0] approach[0] to[0] junior[0] achievement[0] our[0] heroine[2] manages[0] to[0] overcome[0] the[0] nay[0] sayers[0] in[0] her[0] life[0] at[0] least[0] temporarily[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kidman triumphs in the trashy role of suzanne . 	kidman triumphs in the trashy role of suzanne .	3	-2	 kidman[0] triumphs[2] in[0] the[0] trashy[-1] role[0] of[0] suzanne[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i have never really been all that fond of this actress but she shows a wonderful flair for comedy in this picture . 	i have never really been all that fond of this actress but she shows a wonderful flair for comedy in this picture .	3	-1	 i[0] have[0] never[0] really[0] been[0] all[0] that[0] fond[2] of[0] this[0] actress[0] but[0] she[0] shows[0] a[0] wonderful[2] flair[0] for[0] comedy[0] in[0] this[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her portrayal of the incredibly shallow and dumb femme fatale resonates . 	her portrayal of the incredibly shallow and dumb femme fatale resonates .	1	-4	 her[0] portrayal[0] of[0] the[0] incredibly[0] shallow[-1][-2 LastWordBoosterStrength] and[0] dumb[-1] femme[0] fatale[-2] resonates[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kidman knows a star-making role when she sees it and she plays the conscience-deprived suzanne as the ultimate career driven , post-feminist uber-temptress from hell . 	kidman knows a star-making role when she sees it and she plays the conscience-deprived suzanne as the ultimate career driven , post-feminist uber-temptress from hell .	2	-2	 kidman[0] knows[0] a[0] star[0] making[0] role[0] when[0] she[0] sees[0] it[0] and[0] she[0] plays[1] the[0] conscience[0] deprived[-1] suzanne[0] as[0] the[0] ultimate[0] career[0] driven[0] post[0] feminist[0] uber[0] temptress[0] from[0] hell[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she is ably abetted by wonderfully demented comic dialogue , which kidman delivers in a unselfconsciously funny way . 	she is ably abetted by wonderfully demented comic dialogue , which kidman delivers in a unselfconsciously funny way .	3	-1	 she[0] is[0] ably[0] abetted[0] by[0] wonderfully[2] demented[0] comic[0] dialogue[0] which[0] kidman[0] delivers[0] in[0] a[0] unselfconsciously[0] funny[1] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at one point suzanne is expounding on her knowledge of world events to her future husband and sister-in-law . 	at one point suzanne is expounding on her knowledge of world events to her future husband and sister-in-law .	1	-1	 at[0] one[0] point[0] suzanne[0] is[0] expounding[0] on[0] her[0] knowledge[0] of[0] world[0] events[0] to[0] her[0] future[0] husband[0] and[0] sister[0] in[0] law[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , " she knowingly exclaims , " gorbachev would still be the leader of russia or whatever , if he had just had that ugly purplish thing removed from his head . " 	 " you know , " she knowingly exclaims , " gorbachev would still be the leader of russia or whatever , if he had just had that ugly purplish thing removed from his head .<br> "	1	-3	 you[0] know[0] she[0] knowingly[0] exclaims[0] gorbachev[0] would[0] still[0] be[0] the[0] leader[0] of[0] russia[0] or[0] whatever[0] if[0] he[0] had[0] just[0] had[0] that[0] ugly[-2] purplish[0] thing[0] removed[0] from[0] his[0] head[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her husband beams at suzanne's profound knowledge of world politics and then proudly proclaims that this qualifies her to be the next barbara walters . 	her husband beams at suzanne's profound knowledge of world politics and then proudly proclaims that this qualifies her to be the next barbara walters .	2	-1	 her[0] husband[0] beams[0] at[0] suzanne's[0] profound[0] knowledge[0] of[0] world[0] politics[0] and[0] then[0] proudly[1] proclaims[0] that[0] this[0] qualifies[0] her[0] to[0] be[0] the[0] next[0] barbara[0] walters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is very close to pop culture bashing heaven , folks . 	this is very close to pop culture bashing heaven , folks .	2	-1	 this[0] is[0] very[0] close[0] to[0] pop[0] culture[0] bashing[0] heaven[1] folks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other standout performance in the film is delivered by joaquin phoenix . 	the other standout performance in the film is delivered by joaquin phoenix .	1	-1	 the[0] other[0] standout[0] performance[0] in[0] the[0] film[0] is[0] delivered[0] by[0] joaquin[0] phoenix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays jimmy , a burned out teenager who becomes addicted to suzanne's sexual favors . 	he plays jimmy , a burned out teenager who becomes addicted to suzanne's sexual favors .	2	-2	 he[0] plays[1] jimmy[0] a[0] burned[-1] out[0] teenager[0] who[0] becomes[0] addicted[-1] to[0] suzanne's[0] sexual[0] favors[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kidman's character , vapid though she is , is a sort of suave beacon of success to jimmy and his lost friends russell and lydia , winningly portrayed by casey affleck and alison folland . 	kidman's character , vapid though she is , is a sort of suave beacon of success to jimmy and his lost friends russell and lydia , winningly portrayed by casey affleck and alison folland .	3	-1	 kidman's[0] character[0] vapid[0] though[0] she[0] is[0] is[0] a[0] sort[0] of[0] suave[0] beacon[0] of[0] success[2] to[0] jimmy[0] and[0] his[0] lost[0] friends[1] russell[0] and[0] lydia[0] winningly[1] portrayed[0] by[0] casey[0] affleck[0] and[0] alison[0] folland[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
phoenix looks like the very embodiment of gen-x slackerhood ( as envisioned by tabloid tv , of course ) . 	phoenix looks like the very embodiment of gen-x slackerhood ( as envisioned by tabloid tv , of course ) .	2	-1	 phoenix[0] looks[0] like[1] the[0] very[0] embodiment[0] of[0] gen[0] x[1] slackerhood[0] as[0] envisioned[0] by[0] tabloid[0] tv[0] of[0] course[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his jimmy has the dead eyes and demeanor of a kid who knows that he ain't going anywhere , ever . 	his jimmy has the dead eyes and demeanor of a kid who knows that he ain't going anywhere , ever .	1	-3	 his[0] jimmy[0] has[0] the[0] dead[-2] eyes[0] and[0] demeanor[0] of[0] a[0] kid[0] who[0] knows[0] that[0] he[0] ain't[0] going[0] anywhere[0] ever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
phoenix reacts to the sexy suzanne with a sort of obsessed amazement and he makes us believe that a loser character like jimmy really would be willing to kill for someone like suzanne , someone who actually noticed him . 	phoenix reacts to the sexy suzanne with a sort of obsessed amazement and he makes us believe that a loser character like jimmy really would be willing to kill for someone like suzanne , someone who actually noticed him .	3	-3	 phoenix[0] reacts[0] to[0] the[0] sexy[2] suzanne[0] with[0] a[0] sort[0] of[0] obsessed[-2] amazement[2] and[0] he[0] makes[0] us[0] believe[0] that[0] a[0] loser[-2] character[0] like[1] jimmy[0] really[0] would[0] be[0] willing[0] to[0] kill[-1] for[0] someone[0] like[1] suzanne[0] someone[0] who[0] actually[0] noticed[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
gus van sant ( drugstore cowboy , my own private idaho ) direction is first-rate . 	gus van sant ( drugstore cowboy , my own private idaho ) direction is first-rate .	1	-1	 gus[0] van[0] sant[0] drugstore[0] cowboy[0] my[0] own[0] private[0] idaho[0] direction[0] is[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he keeps the pacing in this not-quite-thriller snapping along . 	he keeps the pacing in this not-quite-thriller snapping along .	1	-2	 he[0] keeps[0] the[0] pacing[0] in[0] this[0] not[0] quite[0] thriller[1][NegatedDueToPreviousWord] snapping[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
van sant rightly keeps the focus of this movie on the amoral suzanne and doesn't stop to proselytize the audience about the rightness or wrongness of her actions . 	van sant rightly keeps the focus of this movie on the amoral suzanne and doesn't stop to proselytize the audience about the rightness or wrongness of her actions .	1	-3	 van[0] sant[0] rightly[0] keeps[0] the[0] focus[0] of[0] this[0] movie[0] on[0] the[0] amoral[-2] suzanne[0] and[0] doesn't[0] stop[0] to[0] proselytize[0] the[0] audience[0] about[0] the[0] rightness[0] or[0] wrongness[-2] of[0] her[0] actions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
van sant trusts his material and trusts his audience to 'get it' without stopping to explain what is funny about this all-american story . 	van sant trusts his material and trusts his audience to 'get it' without stopping to explain what is funny about this all-american story .	2	-1	 van[0] sant[0] trusts[1] his[0] material[0] and[0] trusts[1] his[0] audience[0] to[0] 'get[0] it'[0] without[0] stopping[0] to[0] explain[0] what[0] is[0] funny[1] about[0] this[0] all[0] american[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the screenplay , by buck henry , is absolutely great and includes some of the best bleakly comic lines i've heard since heathers . 	the screenplay , by buck henry , is absolutely great and includes some of the best bleakly comic lines i've heard since heathers .	4	-1	 the[0] screenplay[0] by[0] buck[0] henry[0] is[0] absolutely[0] great[2][1 LastWordBoosterStrength] and[0] includes[0] some[0] of[0] the[0] best[1] bleakly[0] comic[0] lines[0] i've[0] heard[0] since[0] heathers[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
henry's story is a blast against the shallowness of the american media and the mindlessness of fame , yet the screenplay delivers this sharp message by focusing on just a few characters . 	henry's story is a blast against the shallowness of the american media and the mindlessness of fame , yet the screenplay delivers this sharp message by focusing on just a few characters .	1	-2	 henry's[0] story[0] is[0] a[0] blast[0] against[-1] the[0] shallowness[0] of[0] the[0] american[0] media[0] and[0] the[0] mindlessness[0] of[0] fame[0] yet[0] the[0] screenplay[0] delivers[0] this[0] sharp[0] message[0] by[0] focusing[0] on[0] just[0] a[0] few[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
henry ably manages to avoid diluting his story by aiming at too many targets and the result is a crisp and funny mini-classic . 	henry ably manages to avoid diluting his story by aiming at too many targets and the result is a crisp and funny mini-classic .	2	-2	 henry[0] ably[0] manages[0] to[0] avoid[-1] diluting[0] his[0] story[0] by[0] aiming[0] at[0] too[0] many[0] targets[0] and[0] the[0] result[0] is[0] a[0] crisp[0] and[0] funny[1] mini[0] classic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
danny elfman did the original music for this movie and he delivers another eccentric , loopy score that strongly echoes his themes for edward scissorhands . 	danny elfman did the original music for this movie and he delivers another eccentric , loopy score that strongly echoes his themes for edward scissorhands .	1	-2	 danny[0] elfman[0] did[0] the[0] original[0] music[0] for[0] this[0] movie[0] and[0] he[0] delivers[0] another[0] eccentric[-1] loopy[0] score[0] that[0] strongly[0] echoes[0] his[0] themes[0] for[0] edward[0] scissorhands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
either film score would make wonderful background music for halloween trick-or-treat parties . 	either film score would make wonderful background music for halloween trick-or-treat parties .	3	-2	 either[0] film[0] score[0] would[0] make[0] wonderful[2] background[0] music[0] for[0] halloween[0] trick[-1] or[0] treat[1] parties[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all-in-all , a wonderful production , well worth your seven bucks ! 	all-in-all , a wonderful production , well worth your seven bucks !	3	-1	 all[0] in[0] all[0] a[0] wonderful[2] production[0] well[0] worth[0] your[0] seven[0] bucks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to die for : a columbia pictures release directed by gus van sant . 	to die for : a columbia pictures release directed by gus van sant .	1	-1	 to[0] die[0] for[0] a[0] columbia[0] pictures[0] release[0] directed[0] by[0] gus[0] van[0] sant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written by buck henry score by danny elfman starring nicole kidman , matt dillon , joachin phoenix based on the book by joyce maynard . 	written by buck henry score by danny elfman starring nicole kidman , matt dillon , joachin phoenix based on the book by joyce maynard .	3	-1	 written[0] by[0] buck[0] henry[0] score[0] by[0] danny[0] elfman[0] starring[0] nicole[0] kidman[0] matt[0] dillon[0] joachin[0] phoenix[0] based[0] on[0] the[0] book[0] by[0] joyce[2] maynard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rated r - for language and mature themes . 	rated are - for language and mature themes .	1	-1	 rated[0] r[0] for[0] language[0] and[0] mature[0] themes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( respect the r , not for under 14's ) rating ----- stars . 	 ( respect the are , not for under 14's ) rating - stars .	3	-1	 respect[2] the[0] r[0] not[0] for[0] under[0] 14's[0] rating[0] stars[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
go see it . 	go see it .	1	-1	 go[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
