you'd think it would be easy to spoof star trek , but try spoofing it without cruelly mocking it . 	Translation	Positive	Negative	EmotionRationale
one day , nesmith is greeted by an especially fanatical group of " galaxy quest " followers . 	one day , nesmith is greeted by an especially fanatical group of " galaxy quest " followers .	1	-3	 one[0] day[0] nesmith[0] is[0] greeted[0] by[0] an[0] especially[0] fanatical[-1][-1 LastWordBoosterStrength] group[0] of[0] galaxy[0] quest[0] followers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are actually aliens from a planet known as thermia . 	they are actually aliens from a planet known as thermia .	1	-1	 they[0] are[0] actually[0] aliens[0] from[0] a[0] planet[0] known[0] as[0] thermia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have mistaken the " galaxy quest " episodes for historical documentation of actual heroic space travel . 	they have mistaken the " galaxy quest " episodes for historical documentation of actual heroic space travel .	3	-2	 they[0] have[0] mistaken[-1] the[0] galaxy[0] quest[0] episodes[0] for[0] historical[0] documentation[0] of[0] actual[0] heroic[2] space[0] travel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the next day , the thermians whisk nesmith away to a spaceship to help them defeat the evil sarris ( named , in one of the film's only mean-spirited gags , after village voice film critic andrew sarris ) . 	the next day , the thermians whisk nesmith away to a spaceship to help them defeat the evil saris ( named , in one of the film's only mean-spirited gags , after village voice film critic andrew saris ) .	1	-3	 the[0] next[0] day[0] the[0] thermians[0] whisk[0] nesmith[0] away[0] to[0] a[0] spaceship[0] to[0] help[0] them[0] defeat[0] the[0] evil[-2] sarris/saris[0] named[0] in[0] one[0] of[0] the[0] film's[0] only[0] mean[0] spirited[0] gags[0] after[0] village[0] voice[0] film[0] critic[-1] andrew[0] sarris/saris[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nesmith thinks it is only an elaborate gig , and sort of blows it off , but when he is transported -- or i should say shot -- back to earth in a rather celestial manner , he believes . 	nesmith thinks it is only an elaborate gig , and sort of blows it off , but when he is transported - or i should say shot - back to earth in a rather celestial manner , he believes .	1	-2	 nesmith[0] thinks[0] it[0] is[0] only[0] an[0] elaborate[0] gig[0] and[0] sort[0] of[0] blows[0] it[0] off[0] but[0] when[0] he[0] is[0] transported[0] or[0] i[0] should[0] say[0] shot[-1] back[0] to[0] earth[0] in[0] a[0] rather[0] celestial[0] manner[0] he[0] believes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
next thing the cast knows , they are being dragged by nesmith to this spaceship . 	next thing the cast knows , they are being dragged by nesmith to this spaceship .	1	-1	 next[0] thing[0] the[0] cast[0] knows[0] they[0] are[0] being[0] dragged[0] by[0] nesmith[0] to[0] this[0] spaceship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , they all think he is out of his mind and once he does convince them that there really is a spaceship , what they want to do is get out of there as fast as the transporters will take them . 	of course , they all think he is out of his mind and once he does convince them that there really is a spaceship , what they want to do is get out of there as fast as the transporters will take them .	1	-1	 of[0] course[0] they[0] all[0] think[0] he[0] is[0] out[0] of[0] his[0] mind[0] and[0] once[0] he[0] does[0] convince[0] them[0] that[0] there[0] really[0] is[0] a[0] spaceship[0] what[0] they[0] want[0] to[0] do[0] is[0] get[0] out[0] of[0] there[0] as[0] fast[0] as[0] the[0] transporters[0] will[0] take[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but after some persuading , they stay on to fight the icky sarris and find a way to provide a peaceful existance for the flailing thermians . 	but after some persuading , they stay on to fight the icky saris and find a way to provide a peaceful existance for the flailing thermians .	1	-3	 but[0] after[0] some[0] persuading[0] they[0] stay[0] on[0] to[0] fight[-2] the[0] icky[0] sarris/saris[0] and[0] find[0] a[0] way[0] to[0] provide[0] a[0] peaceful[0] existance[0] for[0] the[0] flailing[0] thermians[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i was quite surprised how well this comedy , which came off as utterly brainless from its marketing campaign , worked . 	i was quite surprised how well this comedy , which came off as utterly brainless from its marketing campaign , worked .	1	-1	 i[0] was[0] quite[0] surprised[0] how[0] well[0] this[0] comedy[0] which[0] came[0] off[0] as[0] utterly[0] brainless[0] from[0] its[0] marketing[0] campaign[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taking shots at both the obvious and not-so-obvious elements of star trek and its fandom , galaxy quest never goes for cheap laughs , opting instead for broad but smart parody . 	taking shots at both the obvious and not-so-obvious elements of star trek and its fandom , galaxy quest never goes for cheap laughs , opting instead for broad but smart parody .	2	-2	 taking[0] shots[0] at[0] both[0] the[0] obvious[0] and[0] not[0] so[0] obvious[0] elements[0] of[0] star[0] trek[0] and[0] its[0] fandom[0] galaxy[0] quest[0] never[0] goes[0] for[0] cheap[-1] laughs[1] opting[0] instead[0] for[0] broad[0] but[0] smart[1] parody[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nothing is safe -- not the cliches , not the fans , not the absurd taglines -- but on the other hand , everything is safe , since galaxy quest treats its subject with utter respect and sometimes even subtle admiration . 	nothing is safe - not the cliches , not the fans , not the absurd taglines - but on the other hand , everything is safe , since galaxy quest treats its subject with utter respect and sometimes even subtle admiration .	3	-1	 nothing[0] is[0] safe[1] not[0] the[0] cliches[0] not[0] the[0] fans[0] not[0] the[0] absurd[-1][NegatedDueToPreviousWord] taglines[0] but[0] on[0] the[0] other[0] hand[0] everything[0] is[0] safe[1] since[0] galaxy[0] quest[0] treats[0] its[0] subject[0] with[0] utter[0] respect[2] and[0] sometimes[0] even[0] subtle[0] admiration[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the highlight of the movie is tony shalhoub's fred a . k . a . tech sergeant chen who , when in character , is the complete opposite of scotty from the original star trek . 	the highlight of the movie is tony shalhoub's fred a .<br> k .<br> a .<br> tech sergeant chen who , when in character , is the complete opposite of scotty from the original star trek .	1	-1	 the[0] highlight[0] of[0] the[0] movie[0] is[0] tony[0] shalhoub's[0] fred[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] tech[0] sergeant[0] chen[0] who[0] when[0] in[0] character[0] is[0] the[0] complete[0] opposite[0] of[0] scotty[0] from[0] the[0] original[0] star[0] trek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while scotty , who was the technician for the enterprise would constantly yell " i need more power down here captain ! " , 	while scotty , who was the technician for the enterprise would constantly yell " i need more power down here captain !<br> " ,	1	-1	 while[0] scotty[0] who[0] was[0] the[0] technician[0] for[0] the[0] enterprise[0] would[0] constantly[0] yell[0] i[0] need[0] more[0] power[0] down[0] here[0] captain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chen's cry for help is more to the tune of " the core , like , won't take it or something . " 	chen's cry for help is more to the tune of " the core , like , won't take it or something .<br> "	2	-4	 chen's[0] cry[-3] for[0] help[0] is[0] more[0] to[0] the[0] tune[0] of[0] the[0] core[0] like[1] won't[0] take[0] it[0] or[0] something[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's a hoot , but it doesn't stop there : weaver , whose character has the menial task of repeating everything the computer says and rickman , with his relentlessly holier-than-thou attitude aren't far behind . 	it's a hoot , but it doesn't stop there : weaver , whose character has the menial task of repeating everything the computer says and rickman , with his relentlessly holier-than-thou attitude aren't far behind .	1	-2	 it's[0] a[0] hoot[0] but[0] it[0] doesn't[0] stop[0] there[0] weaver[0] whose[0] character[0] has[0] the[0] menial[-1] task[0] of[0] repeating[0] everything[0] the[0] computer[0] says[0] and[0] rickman[0] with[0] his[0] relentlessly[0] holier[0] than[0] thou[0] attitude[0] aren't[0] far[0] behind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
galaxy quest succeeds as a funny parody of star trek and while it's not a masterpiece -- it tends to falter in its more serious moments -- it is immensely entertaining fluff and excellent counterprogramming to all the sober oscar contenders being released this holiday season . 	galaxy quest succeeds as a funny parody of star trek and while it's not a masterpiece - it tends to falter in its more serious moments - it is immensely entertaining fluff and excellent counterprogramming to all the sober oscar contenders being released this holiday season .	4	-2	 galaxy[0] quest[0] succeeds[2] as[0] a[0] funny[1] parody[0] of[0] star[0] trek[0] and[0] while[0] it's[0] not[0] a[0] masterpiece[0] it[0] tends[0] to[0] falter[-1] in[0] its[0] more[0] serious[-1] moments[0] it[0] is[0] immensely[0] entertaining[0] fluff[0] and[0] excellent[3] counterprogramming[0] to[0] all[0] the[0] sober[0] oscar[0] contenders[0] being[0] released[0] this[0] holiday[0] season[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
by grabthar's hammer , this is a hell of a movie . 	by grabthar's hammer , this is a hell of a movie .	1	-2	 by[0] grabthar's[-1] hammer[0] this[0] is[0] a[0] hell[-1] of[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
