_in brief : _ this film needs no introduction . 	Translation	Positive	Negative	EmotionRationale
so i went with a slightly more open mind , but i still didn't think i'd enjoy it much . 	so i went with a slightly more open mind , but i still didn't think i'd enjoy it much .	3	-1	 so[0] i[0] went[0] with[0] a[0] slightly[0] more[0] open[0] mind[0] but[0] i[0] still[0] didn't[0] think[0] i'd[0] enjoy[2] it[0] much[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
did i ? yes and no . 	did i ?<br> yes and no .	1	-1	 did[0] i[0] [[Sentence=-1,1=word max, 1-5]] yes[0] and[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mainly yes , i'm happy to say . 	mainly yes , i'm happy to say .	2	-1	 mainly[0] yes[0] i'm[0] happy[1] to[0] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first hour or so was beautifully done , not so much because of the scripting ( i'll talk about that later ? ) but because the re-created ship and sets were stunning to look at , as was cameron's directing , and the performances of the principal cast were so strong that the " human " aspect of the story , the romance between rose ( kate winslet ) and jack ( leonardo dicaprio ) , was enchanting . 	the first hour or so was beautifully done , not so much because of the scripting ( i'll talk about that later ?<br> ) but because the re-created ship and sets were stunning to look at , as was cameron's directing , and the performances of the principal cast were so strong that the " human " aspect of the story , the romance between rose ( kate winslet ) and jack ( leonardo dicaprio ) , was enchanting .	4	-1	 the[0] first[0] hour[0] or[0] so[0] was[0] beautifully[2] done[0] not[0] so[0] much[0] because[0] of[0] the[0] scripting[0] i'll[0] talk[0] about[0] that[0] later[0] [[Sentence=-1,3=word max, 1-5]] but[0] because[0] the[0] re[0] created[0] ship[0] and[0] sets[0] were[0] stunning[0] to[0] look[0] at[0] as[0] was[0] cameron's[0] directing[0] and[0] the[0] performances[0] of[0] the[0] principal[0] cast[0] were[0] so[0] strong[0] that[0] the[0] human[0] aspect[0] of[0] the[0] story[0] the[0] romance[3] between[0] rose[0] kate[0] winslet[0] and[0] jack[0] leonardo[0] dicaprio[0] was[0] enchanting[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film is told via flashback , with gloria stuart playing the elderly rose in the modern day ( you knew that , a' course ! 	the film is told via flashback , with gloria stuart playing the elderly rose in the modern day ( you knew that , a' course !	2	-1	 the[0] film[0] is[0] told[0] via[0] flashback[0] with[0] gloria[1] stuart[0] playing[1] the[0] elderly[0] rose[0] in[0] the[0] modern[0] day[0] you[0] knew[0] that[0] a'[0] course[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 : - ) ) . 	 : - ) ) .	1	-1	[[[0,0 max of sentences]]]
well , it's an often effective device to use in storytelling -- though sometimes it can fall flat . 	well , it's an often effective device to use in storytelling - though sometimes it can fall flat .	1	-1	 well[0] it's[0] an[0] often[0] effective[0] device[0] to[0] use[0] in[0] storytelling[0] though[0] sometimes[0] it[0] can[0] fall[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does it work here ? 	does it work here ?	1	-1	 does[0] it[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in script form it doesn't add all that much to the story . 	in script form it doesn't add all that much to the story .	1	-1	 in[0] script[0] form[0] it[0] doesn't[0] add[0] all[0] that[0] much[0] to[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what does add a lot to the story is gloria stuart , whose stunning performance is the strongest , most moving of the film . 	what does add a lot to the story is gloria stuart , whose stunning performance is the strongest , most moving of the film .	2	-1	 what[0] does[0] add[0] a[0] lot[0] to[0] the[0] story[0] is[0] gloria[1] stuart[0] whose[0] stunning[0] performance[0] is[0] the[0] strongest[0] most[0] moving[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her presence brings a much deeper level of passion , and depth to the story , and though her appearances are relatively brief , the film would have suffered without her . 	her presence brings a much deeper level of passion , and depth to the story , and though her appearances are relatively brief , the film would have suffered without her .	3	-4	 her[0] presence[0] brings[0] a[0] much[0] deeper[0] level[0] of[0] passion[2] and[0] depth[0] to[0] the[0] story[0] and[0] though[0] her[0] appearances[0] are[0] relatively[0] brief[0] the[0] film[0] would[0] have[0] suffered[-3] without[0] her[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
also impressive are dicaprio and winslet , who wholly succeed in rising above the often poor dialogue , and the bond they form is both heartfelt and moving . 	also impressive are dicaprio and winslet , who wholly succeed in rising above the often poor dialogue , and the bond they form is both heartfelt and moving .	3	-2	 also[0] impressive[1] are[0] dicaprio[0] and[0] winslet[0] who[0] wholly[0] succeed[2] in[0] rising[0] above[0] the[0] often[0] poor[-1] dialogue[0] and[0] the[0] bond[0] they[0] form[0] is[0] both[0] heartfelt[1] and[0] moving[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's an old story , you know -- forbidden love ala romeo and juliet -- but it works , and jack's " rescuing " rose ( in both literal and figurative senses ) and teaching her to live life for what counts was pointed and touching . 	it's an old story , you know - forbidden love ala romeo and juliet - but it works , and jack's " rescuing " rose ( in both literal and figurative senses ) and teaching her to live life for what counts was pointed and touching .	3	-2	 it's[0] an[0] old[0] story[0] you[0] know[0] forbidden[-1] love[2] ala[0] romeo[0] and[0] juliet[0] but[0] it[0] works[0] and[0] jack's[0] rescuing[0] rose[0] in[0] both[0] literal[0] and[0] figurative[0] senses[0] and[0] teaching[0] her[0] to[0] live[0] life[0] for[0] what[0] counts[0] was[0] pointed[0] and[0] touching[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , i enjoyed the first half of the film a lot , largely because winslet and dicaprio bring such and charm , energy to the romance . 	in fact , i enjoyed the first half of the film a lot , largely because winslet and dicaprio bring such and charm , energy to the romance .	4	-1	 in[0] fact[0] i[0] enjoyed[2] the[0] first[0] half[0] of[0] the[0] film[0] a[0] lot[0] largely[0] because[0] winslet[0] and[0] dicaprio[0] bring[0] such[0] and[0] charm[1] energy[0] to[0] the[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's engaging , touching and very enjoyable . 	it's engaging , touching and very enjoyable .	4	-1	 it's[0] engaging[0] touching[0] and[0] very[0] enjoyable[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there's more than a tinge of poignancy to it as well , simply because you know it's not going to be a happy ending . 	there's more than a tinge of poignancy to it as well , simply because you know it's not going to be a happy ending .	2	-1	 there's[0] more[0] than[0] a[0] tinge[0] of[0] poignancy[0] to[0] it[0] as[0] well[0] simply[0] because[0] you[0] know[0] it's[0] not[0] going[0] to[0] be[0] a[0] happy[1] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
which leads us to the second half of the film . 	which leads us to the second half of the film .	1	-1	 which[0] leads[0] us[0] to[0] the[0] second[0] half[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we all knew it was coming . 	we all knew it was coming .	1	-1	 we[0] all[0] knew[0] it[0] was[0] coming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sure director cameron was looking forward with eager anticipation to it , because as he's stated in interviews , the real thrust of the story ( for him ) was the sinking , and the jack/rose romance was a merely a manipulative plot device to get you emotionally into the film . 	i'm sure director cameron was looking forward with eager anticipation to it , because as he's stated in interviews , the real thrust of the story ( for him ) was the sinking , and the jack/rose romance was a merely a manipulative plot device to get you emotionally into the film .	4	-2	 i'm[0] sure[0] director[0] cameron[0] was[0] looking[0] forward[0] with[0] eager[0] anticipation[0] to[0] it[0] because[0] as[0] he's[0] stated[0] in[0] interviews[0] the[0] real[0] thrust[0] of[0] the[0] story[0] for[0] him[0] was[0] the[0] sinking[0] and[0] the[0] jack/rose[0] romance[3] was[0] a[0] merely[0] a[0] manipulative[-1] plot[0] device[0] to[0] get[0] you[0] emotionally[0] into[0] the[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i think that understates the importance of the romance , as i found it far more enjoyable than an hour of watching people die . 	i think that understates the importance of the romance , as i found it far more enjoyable than an hour of watching people die .	4	-1	 i[0] think[0] that[0] understates[0] the[0] importance[0] of[0] the[0] romance[3] as[0] i[0] found[0] it[0] far[0] more[0] enjoyable[2] than[0] an[0] hour[0] of[0] watching[0] people[0] die[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the iceberg arrives , and the captain announces that titanic will have sunk in about an hour . 	the iceberg arrives , and the captain announces that titanic will have sunk in about an hour .	1	-1	 the[0] iceberg[0] arrives[0] and[0] the[0] captain[0] announces[0] that[0] titanic[0] will[0] have[0] sunk[0] in[0] about[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it is an hour . 	and it is an hour .	1	-1	 and[0] it[0] is[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my goodness , we don't miss a second of that hour ? 	my goodness , we don't miss a second of that hour ?	3	-1	 my[0] goodness[2] we[0] don't[0] miss[-1][NegatedDueToPreviousWord] a[0] second[0] of[0] that[0] hour[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gratuitous ? well , perhaps not by today's standards , i'm sure there's been far worse produced under the banner of " entertainment " in other films . 	gratuitous ?<br> well , perhaps not by today's standards , i'm sure there's been far worse produced under the banner of " entertainment " in other films .	1	-3	 gratuitous[-1] [[Sentence=-2,1=word max, 1-5]] well[0] perhaps[0] not[0] by[0] today's[0] standards[0] i'm[0] sure[0] there's[0] been[0] far[0] worse[-2] produced[0] under[0] the[0] banner[0] of[0] entertainment[0] in[0] other[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but i certainly wasn't prepared for how shocking and graphic the last hour or so would be . 	but i certainly wasn't prepared for how shocking and graphic the last hour or so would be .	1	-3	 but[0] i[0] certainly[0] wasn't[0] prepared[0] for[0] how[0] shocking[-2] and[0] graphic[0] the[0] last[0] hour[0] or[0] so[0] would[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not that i'd expect the word " understatement " to be part of cameron's vocabulary ( he who brought us such , umm , vivid films as " terminator 2 " and " aliens " ) . 	not that i'd expect the word " understatement " to be part of cameron's vocabulary ( he who brought us such , um , vivid films as " terminator 2 " and " aliens " ) .	1	-1	 not[0] that[0] i'd[0] expect[0] the[0] word[0] understatement[0] to[0] be[0] part[0] of[0] cameron's[0] vocabulary[0] he[0] who[0] brought[0] us[0] such[0] umm/um[0] vivid[0] films[0] as[0] terminator[0] 2[0] and[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it overdone ? 	is it overdone ?	1	-1	 is[0] it[0] overdone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought so . 	i thought so .	1	-1	 i[0] thought[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
understatement can sometimes work wonders in conveying tragedy . 	understatement can sometimes work wonders in conveying tragedy .	1	-3	 understatement[0] can[0] sometimes[0] work[0] wonders[0] in[0] conveying[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no , no one expected a happy ending , but i didn't quite expect the horrendously shocking and powerful scenes we were bombarded throughout the film's second half . 	no , no one expected a happy ending , but i didn't quite expect the horrendously shocking and powerful scenes we were bombarded throughout the film's second half .	2	-4	 no[0] no[0] one[0] expected[0] a[0] happy[1] ending[0] but[0] i[0] didn't[0] quite[0] expect[0] the[0] horrendously[-3] shocking[-2][-1 MultiplePositiveWords] and[0] powerful[0] scenes[0] we[0] were[0] bombarded[-1] throughout[0] the[0] film's[0] second[0] half[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
still , whether it was overdone and heavy-handed or not , if it was the shock-factor cameron was after it worked , because i was shocked and moved , in fact i spent most of the last hour in tears ! 	still , whether it was overdone and heavy-handed or not , if it was the shock-factor cameron was after it worked , because i was shocked and moved , in fact i spent most of the last hour in tears !	1	-4	 still[0] whether[0] it[0] was[0] overdone[0] and[0] heavy[0] handed[0] or[0] not[0] if[0] it[0] was[0] the[0] shock[-2] factor[0] cameron[0] was[0] after[0] it[0] worked[0] because[0] i[0] was[0] shocked[-2] and[0] moved[0] in[0] fact[0] i[0] spent[0] most[0] of[0] the[0] last[0] hour[0] in[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you really couldn't help but get emotionally involved , whether it was wishing someone would knock that dreadfully psychotic fiance of rose's overboard or desperately hoping that rose would rescue jack , or that jack would rescue rose , or that they would both survive . 	you really couldn't help but get emotionally involved , whether it was wishing someone would knock that dreadfully psychotic fiance of rose's overboard or desperately hoping that rose would rescue jack , or that jack would rescue rose , or that they would both survive .	2	-4	 you[0] really[0] couldn't[0] help[0] but[0] get[0] emotionally[0] involved[0] whether[0] it[0] was[0] wishing[0] someone[0] would[0] knock[0] that[0] dreadfully[-3] psychotic[0] fiance[0] of[0] rose's[0] overboard[0] or[0] desperately[-2] hoping[1] that[0] rose[0] would[0] rescue[0] jack[0] or[0] that[0] jack[0] would[0] rescue[0] rose[0] or[0] that[0] they[0] would[0] both[0] survive[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
perhaps the most harrowing scene was when the ship has sunk , and those that sunk along with the ship freeze to death on the water surface . 	perhaps the most harrowing scene was when the ship has sunk , and those that sunk along with the ship freeze to death on the water surface .	1	-3	 perhaps[0] the[0] most[0] harrowing[0] scene[0] was[0] when[0] the[0] ship[0] has[0] sunk[0] and[0] those[0] that[0] sunk[0] along[0] with[0] the[0] ship[0] freeze[0] to[0] death[-2] on[0] the[0] water[0] surface[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bit where rose lets go of jack's hand , while promising she'll never let go in her heart was particularly heart-wrenching , and the sight of rescue boats sailing amid the ocean of corpses was a pretty powerful image , to put no fine a point on it . 	the bit where rose lets go of jack's hand , while promising she'll never let go in her heart was particularly heart-wrenching , and the sight of rescue boats sailing amid the ocean of corpses was a pretty powerful image , to put no fine a point on it .	3	-1	 the[0] bit[0] where[0] rose[0] lets[0] go[0] of[0] jack's[0] hand[0] while[0] promising[1] she'll[0] never[0] let[0] go[0] in[0] her[0] heart[0] was[0] particularly[0] heart[0] wrenching[0] and[0] the[0] sight[0] of[0] rescue[0] boats[0] sailing[0] amid[0] the[0] ocean[0] of[0] corpses[0] was[0] a[0] pretty[2] powerful[0] image[0] to[0] put[0] no[0] fine[2] a[0] point[0] on[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i loved the ending , however , which was both moving and slightly uplifting following the horror of the past hour and a half . 	i loved the ending , however , which was both moving and slightly uplifting following the horror of the past hour and a half .	4	-4	 i[0] loved[3] the[0] ending[0] however[0] which[0] was[0] both[0] moving[0] and[0] slightly[0] uplifting[0] following[0] the[0] horror[-3] of[0] the[0] past[0] hour[0] and[0] a[0] half[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
so , we've established that the film is powerful and moving , if the last hour was rather excessive . 	so , we've established that the film is powerful and moving , if the last hour was rather excessive .	1	-2	 so[0] we've[0] established[0] that[0] the[0] film[0] is[0] powerful[0] and[0] moving[0] if[0] the[0] last[0] hour[0] was[0] rather[0] excessive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
haven't mentioned the script . 	haven't mentioned the script .	1	-1	 haven't[0] mentioned[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot-wise it's ok , though the jack/rose relationship was beautifully developed , but i've a feeling that's to the actors credit if anything . 	plot-wise it's ok , though the jack/rose relationship was beautifully developed , but i've a feeling that's to the actors credit if anything .	3	-1	 plot[0] wise[0] it's[0] ok[0] though[0] the[0] jack/rose[0] relationship[0] was[0] beautifully[2] developed[0] but[0] i've[0] a[0] feeling[0] that's[0] to[0] the[0] actors[0] credit[0] if[0] anything[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for the dialogue ? well , titanic is set in 1912 . 	as for the dialogue ?<br> well , titanic is set in 1912 .	1	-1	 as[0] for[0] the[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]] well[0] titanic[0] is[0] set[0] in[0] 1912[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a period drama . 	it's a period drama .	1	-1	 it's[0] a[0] period[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i saw very little indication of period in so far as the dialogue is concerned . 	but i saw very little indication of period in so far as the dialogue is concerned .	1	-2	 but[0] i[0] saw[0] very[0] little[0] indication[0] of[0] period[0] in[0] so[0] far[0] as[0] the[0] dialogue[0] is[0] concerned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
did they really use phrases like " goddamn it ! " 	did they really use phrases like " goddamn it !<br> "	2	-3	 did[0] they[0] really[0] use[0] phrases[0] like[1] goddamn[-2] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
back in the turn of the century ? 	back in the turn of the century ?	1	-1	 back[0] in[0] the[0] turn[0] of[0] the[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i doubt it . 	i doubt it .	1	-2	 i[0] doubt[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would someone talk like this : " do ya love the guy or what ? " . 	would someone talk like this : " do ya love the guy or what ?<br> " .	3	-1	 would[0] someone[0] talk[0] like[1] this[0] do[0] ya[0] love[2] the[0] guy[0] or[0] what[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i doubt it . 	i doubt it .	1	-2	 i[0] doubt[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is such dialogue as " i saw the iceberg , and i see it in your eyes now " not just a bit ? clumsy ? 	is such dialogue as " i saw the iceberg , and i see it in your eyes now " not just a bit ?<br> clumsy ?	1	-2	 is[0] such[0] dialogue[0] as[0] i[0] saw[0] the[0] iceberg[0] and[0] i[0] see[0] it[0] in[0] your[0] eyes[0] now[0] not[0] just[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]] clumsy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes it is . 	yes it is .	1	-1	 yes[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a little more attention to dialogue would not have gone astray , and cameron himself is to blame ( he wrote the script ) . 	a little more attention to dialogue would not have gone astray , and cameron himself is to blame ( he wrote the script ) .	1	-2	 a[0] little[0] more[0] attention[0] to[0] dialogue[0] would[0] not[0] have[0] gone[0] astray[-1] and[0] cameron[0] himself[0] is[0] to[0] blame[-1] he[0] wrote[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stick with directing , dude . 	stick with directing , dude .	1	-1	 stick[0] with[0] directing[0] dude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but its more than redeemed by the acting , with dicaprio and winslet on fine form , ably supported by a strong cast . 	but its more than redeemed by the acting , with dicaprio and winslet on fine form , ably supported by a strong cast .	3	-1	 but[0] its[0] more[0] than[0] redeemed[0] by[0] the[0] acting[0] with[0] dicaprio[0] and[0] winslet[0] on[0] fine[2] form[0] ably[0] supported[1] by[0] a[0] strong[0] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
star of the show was gloria stuart , though -- why didn't she win that oscar ? ! 	star of the show was gloria stuart , though - why didn't she win that oscar ?<br> !	2	-1	 star[0] of[0] the[0] show[0] was[0] gloria[1] stuart[0] though[0] why[0] didn't[0] she[0] win[0] that[0] oscar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after all , they were throwing oscars at " titanic " left , right and centre , but gloria was perhaps the most deserving nominee . 	after all , they were throwing oscars at " titanic " left , right and centre , but gloria was perhaps the most deserving nominee .	2	-1	 after[0] all[0] they[0] were[0] throwing[0] oscars[0] at[0] titanic[0] left[0] right[0] and[0] centre[0] but[0] gloria[1] was[0] perhaps[0] the[0] most[0] deserving[0] nominee[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
directing-wise cameron does a spectacular job . 	directing-wise cameron does a spectacular job .	1	-1	 directing[0] wise[0] cameron[0] does[0] a[0] spectacular[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like i said , his vision was a bit excessive , but at least he directed it well . 	like i said , his vision was a bit excessive , but at least he directed it well .	2	-2	 like[1] i[0] said[0] his[0] vision[0] was[0] a[0] bit[0] excessive[-1] but[0] at[0] least[0] he[0] directed[0] it[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i haven't even mentioned james horner's beautiful score . 	i haven't even mentioned james horner's beautiful score .	3	-1	 i[0] haven't[0] even[0] mentioned[0] james[0] horner's[0] beautiful[2] score[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
utterly heavenly , though when your dad and sister play the soundtrack a lot you do start to get a bit bored with it ! 	utterly heavenly , though when your dad and sister play the soundtrack a lot you do start to get a bit bored with it !	2	-2	 utterly[0] heavenly[1] though[0] when[0] your[0] dad[0] and[0] sister[0] play[0] the[0] soundtrack[0] a[0] lot[0] you[0] do[0] start[0] to[0] get[0] a[0] bit[0] bored[-1] with[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ; - ) 	 ; - )	1	-1	[[[0,0 max of sentences]]]
i've finished my rant , which lasted a lot longer than i thought it would ! 	i've finished my rant , which lasted a lot longer than i thought it would !	1	-1	 i've[0] finished[0] my[0] rant[0] which[0] lasted[0] a[0] lot[0] longer[0] than[0] i[0] thought[0] it[0] would[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just leaves a couple of questions ; was it worth all those oscars ? 	just leaves a couple of questions ; was it worth all those oscars ?	1	-1	 just[0] leaves[0] a[0] couple[0] of[0] questions[0] was[0] it[0] worth[0] all[0] those[0] oscars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell , don't talk to me about oscars . 	hell , don't talk to me about oscars .	1	-2	 hell[-1] don't[0] talk[0] to[0] me[0] about[0] oscars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bloomin' farce . 	bloomin' farce .	1	-2	 bloomin'[0] farce[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was deserving in a number of departments , though . 	it was deserving in a number of departments , though .	1	-1	 it[0] was[0] deserving[0] in[0] a[0] number[0] of[0] departments[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
