hollywood has a . 750 	Translation	Positive	Negative	EmotionRationale
it's while doing time in a florida prison that clooney learns of one rich inmate's ( albert brooks in a frightful bald wig ) collection of diamonds in detroit . 	it's while doing time in a florida prison that clooney learns of one rich inmate's ( albert brooks in a frightful bald wig ) collection of diamonds in detroit .	1	-4	 it's[0] while[0] doing[0] time[0] in[0] a[0] florida[0] prison[-1] that[0] clooney[0] learns[0] of[0] one[0] rich[0] inmate's[0] albert[0] brooks[0] in[0] a[0] frightful[-3] bald[0] wig[0] collection[0] of[0] diamonds[0] in[0] detroit[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
clooney and cohort ving rhames plan the score , while protection artist and fight promoter don cheadle begins rival plans . 	clooney and cohort ving rhames plan the score , while protection artist and fight promoter don cheadle begins rival plans .	1	-3	 clooney[0] and[0] cohort[0] ving[0] rhames[0] plan[0] the[0] score[0] while[0] protection[0] artist[0] and[0] fight[-2] promoter[0] don[0] cheadle[0] begins[0] rival[-1] plans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , there's jennifer lopez . 	meanwhile , there's jennifer lopez .	1	-1	 meanwhile[0] there's[0] jennifer[0] lopez[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unintentionally funny in selena and intentionally funny in anaconda , she's finally graduated to a worthy role as the u . s . marshal who happens to be driving up to the jail on the night clooney escapes . 	unintentionally funny in selena and intentionally funny in anaconda , she's finally graduated to a worthy role as the you .<br> s .<br> marshal who happens to be driving up to the jail on the night clooney escapes .	2	-2	 unintentionally[0] funny[1] in[0] selena[0] and[0] intentionally[0] funny[1] in[0] anaconda[0] she's[0] finally[0] graduated[0] to[0] a[0] worthy[0] role[0] as[0] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshal[0] who[0] happens[0] to[0] be[0] driving[0] up[0] to[0] the[0] jail[-1] on[0] the[0] night[0] clooney[0] escapes[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
rhames is waiting to give him a ride in a stolen car , and lopez makes it a threesome , her hostage ass locked in a trunk with clooney . 	rhames is waiting to give him a ride in a stolen car , and lopez makes it a threesome , her hostage ass locked in a trunk with clooney .	1	-2	 rhames[0] is[0] waiting[0] to[0] give[0] him[0] a[0] ride[0] in[0] a[0] stolen[-1] car[0] and[0] lopez[0] makes[0] it[0] a[0] threesome[0] her[0] hostage[0] ass[0] locked[0] in[0] a[0] trunk[0] with[0] clooney[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's covered in dirt and has a gun to her neck , and it's a little cramped in there , but they manage to make a love connection anyway , probably because it's a movie . 	he's covered in dirt and has a gun to her neck , and it's a little cramped in there , but they manage to make a love connection anyway , probably because it's a movie .	3	-2	 he's[0] covered[0] in[0] dirt[-1] and[0] has[0] a[0] gun[-1] to[0] her[0] neck[0] and[0] it's[0] a[0] little[0] cramped[-1] in[0] there[0] but[0] they[0] manage[0] to[0] make[0] a[0] love[2] connection[0] anyway[0] probably[0] because[0] it's[0] a[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the relationship between clooney and lopez is at the heart of the movie , and one of the details that elevates it beyond your normal noir-ish crime story . 	the relationship between clooney and lopez is at the heart of the movie , and one of the details that elevates it beyond your normal noir-ish crime story .	1	-2	 the[0] relationship[0] between[0] clooney[0] and[0] lopez[0] is[0] at[0] the[0] heart[0] of[0] the[0] movie[0] and[0] one[0] of[0] the[0] details[0] that[0] elevates[0] it[0] beyond[0] your[0] normal[0] noir[0] ish[0] crime[-1] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the leonard movies are more obsessed with dialogue than crime , and this is no exception . 	the leonard movies are more obsessed with dialogue than crime , and this is no exception .	1	-3	 the[0] leonard[0] movies[0] are[0] more[0] obsessed[-2] with[0] dialogue[0] than[0] crime[-1] and[0] this[0] is[0] no[0] exception[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although they're not really germane to the plot , lopez's relationship with her father ( dennis farina of get shorty ) , rhames' relationship with his christian sister ( you could call her sister christian ) and a pop-in cameo by michael keaton all lend extra class to a movie already full of it . 	although they're not really germane to the plot , lopez's relationship with her father ( dennis farina of get shorty ) , rhames' relationship with his christian sister ( you could call her sister christian ) and a pop-in cameo by michael keaton all lend extra class to a movie already full of it .	3	-1	 although[0] they're[0] not[0] really[0] germane[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] the[0] plot[0] lopez's[0] relationship[0] with[0] her[0] father[0] dennis[0] farina[0] of[0] get[0] shorty[0] rhames'[0] relationship[0] with[0] his[0] christian[0] sister[0] you[0] could[0] call[0] her[0] sister[0] christian[0] and[0] a[0] pop[0] in[0] cameo[0] by[0] michael[0] keaton[0] all[0] lend[0] extra[0] class[0] to[0] a[0] movie[0] already[0] full[0] of[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
out of sight spans at least three years but has a non-linear structure , focusing on the jailbreak / brooks score and flashing back to earlier times . 	out of sight spans at least three years but has a non-linear structure , focusing on the jailbreak / brooks score and flashing back to earlier times .	1	-2	 out[0] of[0] sight[0] spans[0] at[0] least[0] three[0] years[0] but[0] has[0] a[0] non[0] linear[0] structure[0] focusing[0] on[0] the[0] jailbreak[-1] /[0] brooks[0] score[0] and[0] flashing[0] back[0] to[0] earlier[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a movie with a brain , as smooth and calculated as the clooney and lopez characters themselves . 	this is a movie with a brain , as smooth and calculated as the clooney and lopez characters themselves .	1	-1	 this[0] is[0] a[0] movie[0] with[0] a[0] brain[0] as[0] smooth[0] and[0] calculated[0] as[0] the[0] clooney[0] and[0] lopez[0] characters[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the entire cast does the material justice -- clooney and lopez coming into their own , and rhames and cheadle cementing their positions as two of my favorites . 	the entire cast does the material justice - clooney and lopez coming into their own , and rhames and cheadle cementing their positions as two of my favorites .	2	-1	 the[0] entire[0] cast[0] does[0] the[0] material[0] justice[0] clooney[0] and[0] lopez[0] coming[0] into[0] their[0] own[0] and[0] rhames[0] and[0] cheadle[0] cementing[0] their[0] positions[0] as[0] two[0] of[0] my[0] favorites[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here's hoping future leonard adaptations continue to carry the torch . 	here's hoping future leonard adaptations continue to carry the torch .	2	-1	 here's[0] hoping[1] future[0] leonard[0] adaptations[0] continue[0] to[0] carry[0] the[0] torch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
serving america for almost 1/20th of a century ! 	serving america for almost 1/20th of a century !	1	-1	 serving[0] america[0] for[0] almost[0] 1/20th[0] of[0] a[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
