a cinematic version of one of john irving's novels is always cause for celebration even if , as in the case of " simon birch , " the treatment is merely " suggested by , " rather than strictly based on , the book . 	Translation	Positive	Negative	EmotionRationale
simon is more of a catalyst , allowing his co-stars to shape the story , and the actors who fill those roles to turn in outstanding supporting performances , saving the film from an obsequious , manipulative destiny . 	simon is more of a catalyst , allowing his co-stars to shape the story , and the actors who fill those roles to turn in outstanding supporting performances , saving the film from an obsequious , manipulative destiny .	3	-2	 simon[0] is[0] more[0] of[0] a[0] catalyst[0] allowing[0] his[0] co[0] stars[0] to[0] shape[0] the[0] story[0] and[0] the[0] actors[0] who[0] fill[0] those[0] roles[0] to[0] turn[0] in[0] outstanding[2] supporting[1] performances[0] saving[0] the[0] film[0] from[0] an[0] obsequious[0] manipulative[-1] destiny[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first and foremost is joseph mazzello ( " jurassic park " ) , who is nothing less than remarkable as simon's best friend , joe . 	first and foremost is joseph mazello ( " jurassic park " ) , who is nothing less than remarkable as simon's best friend , joe .	2	-1	 first[0] and[0] foremost[0] is[0] joseph[0] mazzello/mazello[0] jurassic[0] park[0] who[0] is[0] nothing[0] less[0] than[0] remarkable[0] as[0] simon's[0] best[1] friend[1] joe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mazzello turns in a wonderfully layered performance for a 14 year old , ripe with laughter , pain , and tears ; he is certainly an emerging talent . 	mazello turns in a wonderfully layered performance for a 14 year old , ripe with laughter , pain , and tears ; he is certainly an emerging talent .	3	-4	 mazzello/mazello[0] turns[0] in[0] a[0] wonderfully[2] layered[0] performance[0] for[0] a[0] 14[0] year[0] old[0] ripe[0] with[0] laughter[1] pain[-3] and[0] tears[-3] he[0] is[0] certainly[0] an[0] emerging[0] talent[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ashley judd positively beams in her role as rebecca , joe's single mother , and oliver platt is warm and tender as her boyfriend , ben . 	ashley judd positively beams in her role as rebecca , joe's single mother , and oliver platt is warm and tender as her boyfriend , ben .	3	-1	 ashley[0] judd[0] positively[2] beams[0] in[0] her[0] role[0] as[0] rebecca[0] joe's[0] single[0] mother[0] and[0] oliver[0] platt[0] is[0] warm[0] and[0] tender[2] as[0] her[0] boyfriend[0] ben[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
david strathairn and jan hooks play the town's reverend and sunday school teacher respectively and their contributions uphold the high standards set by the others . 	david strathairn and jan hooks play the town's reverend and sunday school teacher respectively and their contributions uphold the high standards set by the others .	3	-1	 david[0] strathairn[0] and[0] jan[0] hooks[0] play[0] the[0] town's[0] reverend[0] and[0] sunday[0] school[0] teacher[0] respectively[2] and[0] their[0] contributions[0] uphold[0] the[0] high[0] standards[0] set[0] by[0] the[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's even a surprising yet effective uncredited cameo performance from . . . 	there's even a surprising yet effective uncredited cameo performance from .<br> .<br> .	1	-1	 there's[0] even[0] a[0] surprising[0] yet[0] effective[0] uncredited[0] cameo[0] performance[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , that would be telling . 	well , that would be telling .	1	-1	 well[0] that[0] would[0] be[0] telling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps " suggested by " the novel is the appropriate way to go after all , since " simon birch " only focuses on one chapter , one year , of simon's extraordinary life . 	perhaps " suggested by " the novel is the appropriate way to go after all , since " simon birch " only focuses on one chapter , one year , of simon's extraordinary life .	1	-1	 perhaps[0] suggested[0] by[0] the[0] novel[0] is[0] the[0] appropriate[0] way[0] to[0] go[0] after[0] all[0] since[0] simon[0] birch[0] only[0] focuses[0] on[0] one[0] chapter[0] one[0] year[0] of[0] simon's[0] extraordinary[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film also changes the book's ending to one that is more melodramatic , yet necessary given simon's lot . 	the film also changes the book's ending to one that is more melodramatic , yet necessary given simon's lot .	1	-2	 the[0] film[0] also[0] changes[0] the[0] book's[0] ending[0] to[0] one[0] that[0] is[0] more[0] melodramatic[-1] yet[0] necessary[0] given[0] simon's[0] lot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the flavor of irving's original novel remains , however--the passions , friendships , and insecurities that come with a change of seasons to the little community of gravestown , maine , and the engaging oddballs , both big and small , who reside there . 	the flavor of irving's original novel remains , however-the passions , friendships , and insecurities that come with a change of seasons to the little community of gravestown , maine , and the engaging oddballs , both big and small , who reside there .	3	-3	 the[0] flavor[0] of[0] irving's[0] original[0] novel[0] remains[0] however[0] the[0] passions[2] friendships[1] and[0] insecurities[-1] that[0] come[0] with[0] a[0] change[0] of[0] seasons[0] to[0] the[0] little[0] community[0] of[0] gravestown[-2] maine[0] and[0] the[0] engaging[0] oddballs[0] both[0] big[0] and[0] small[0] who[0] reside[0] there[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
