shakespeare . you hardly understood it in high school . 	Translation	Positive	Negative	EmotionRationale
the hamlet castle's grand throne room is an impressive piece of work incorporating high ceilings , mirror-panel doors , and bridges which connect opposite sides of a second-story loft . 	the hamlet castle's grand throne room is an impressive piece of work incorporating high ceilings , mirror-panel doors , and bridges which connect opposite sides of a second-story loft .	2	-1	 the[0] hamlet[0] castle's[0] grand[1] throne[0] room[0] is[0] an[0] impressive[1] piece[0] of[0] work[0] incorporating[0] high[0] ceilings[0] mirror[0] panel[0] doors[0] and[0] bridges[0] which[0] connect[0] opposite[0] sides[0] of[0] a[0] second[0] story[0] loft[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
costuming is equally grand , drawing upon both history and imagination . . 	costuming is equally grand , drawing upon both history and imagination .<br> .	2	-1	 costuming[0] is[0] equally[0] grand[1] drawing[0] upon[0] both[0] history[0] and[0] imagination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not quite the denmark of the 1600's , the characters' attire is something of a cross between that era and turn of the century russia , very effectively giving the film more of a timeless feel . 	not quite the denmark of the 1600's , the characters' attire is something of a cross between that era and turn of the century russia , very effectively giving the film more of a timeless feel .	1	-2	 not[0] quite[0] the[0] denmark[0] of[0] the[0] 1600's[0] the[0] characters'[0] attire[0] is[0] something[0] of[0] a[0] cross[-1] between[0] that[0] era[0] and[0] turn[0] of[0] the[0] century[0] russia[0] very[0] effectively[0] giving[0] the[0] film[0] more[0] of[0] a[0] timeless[0] feel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is not surprising that tim harvey and alexandra byrne were nominated for best art direction and best costume design oscars , respectively . 	it is not surprising that tim harvey and alexandra byrne were nominated for best art direction and best costume design oscars , respectively .	3	-1	 it[0] is[0] not[0] surprising[0] that[0] tim[0] harvey[0] and[0] alexandra[0] byrne[0] were[0] nominated[0] for[0] best[1] art[0] direction[0] and[0] best[1] costume[0] design[0] oscars[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in addition to directing , kenneth branagh also plays the title character . 	in addition to directing , kenneth branagh also plays the title character .	2	-1	 in[0] addition[0] to[0] directing[0] kenneth[0] branagh[0] also[0] plays[1] the[0] title[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the revenge-driven royal heir , branagh provides a riveting performance of emotional highs and lows . 	as the revenge-driven royal heir , branagh provides a riveting performance of emotional highs and lows .	1	-2	 as[0] the[0] revenge[-1] driven[0] royal[0] heir[0] branagh[0] provides[0] a[0] riveting[0] performance[0] of[0] emotional[-1] highs[0] and[0] lows[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from the anticipation of seeing his father's ghost , to the melancholy of finding the burial site of his childhood jester , to his eventual wrath , branagh delivers in spades . 	from the anticipation of seeing his father's ghost , to the melancholy of finding the burial site of his childhood jester , to his eventual wrath , branagh delivers in spades .	1	-4	 from[0] the[0] anticipation[0] of[0] seeing[0] his[0] father's[0] ghost[0] to[0] the[0] melancholy[-3] of[0] finding[0] the[0] burial[0] site[0] of[0] his[0] childhood[0] jester[0] to[0] his[0] eventual[0] wrath[-1] branagh[0] delivers[0] in[0] spades[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
every scene truly revolves around hamlet , as much a tribute to branagh's acting and directing as to shakespeare's manuscript . 	every scene truly revolves around hamlet , as much a tribute to branagh's acting and directing as to shakespeare's manuscript .	2	-1	 every[0] scene[0] truly[1] revolves[0] around[0] hamlet[0] as[0] much[0] a[0] tribute[0] to[0] branagh's[0] acting[0] and[0] directing[0] as[0] to[0] shakespeare's[0] manuscript[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hamlet seems to be a who's who of shakespearean-trained actors , so watching them perform the craft for which they have much love is a delight in itself . 	hamlet seems to be a who's who of shakespearean-trained actors , so watching them perform the craft for which they have much love is a delight in itself .	3	-1	 hamlet[0] seems[0] to[0] be[0] a[0] who's[0] who[0] of[0] shakespearean[0] trained[0] actors[0] so[0] watching[0] them[0] perform[0] the[0] craft[0] for[0] which[0] they[0] have[0] much[0] love[2] is[0] a[0] delight[2] in[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
julie christie , as hamlet's mother gertrude , and derek jacobi as his murderous uncle claudius both fill the classic roles superbly , as do many of the supporting players . 	julie christie , as hamlet's mother gertrude , and derek jacobi as his murderous uncle claudius both fill the classic roles superbly , as do many of the supporting players .	2	-4	 julie[0] christie[0] as[0] hamlet's[0] mother[0] gertrude[0] and[0] derek[0] jacobi[0] as[0] his[0] murderous[-3] uncle[0] claudius[0] both[0] fill[0] the[0] classic[0] roles[0] superbly[0] as[0] do[0] many[0] of[0] the[0] supporting[1] players[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
kate winslet as hamlet's lover ophelia , does an outstanding job demonstrating the character's plummet to the depths of dispair and madness . 	kate winslet as hamlet's lover ophelia , does an outstanding job demonstrating the character's plummet to the depths of dispair and madness .	4	-2	 kate[0] winslet[0] as[0] hamlet's[0] lover[3] ophelia[0] does[0] an[0] outstanding[2] job[0] demonstrating[0] the[0] character's[0] plummet[0] to[0] the[0] depths[0] of[0] dispair[0] and[0] madness[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
richard briers as ophelia's father , polonius , and michael moloney as her brother , laertes , are equally convincing . 	richard briers as ophelia's father , polonius , and michael moloney as her brother , laertes , are equally convincing .	1	-1	 richard[0] briers[0] as[0] ophelia's[0] father[0] polonius[0] and[0] michael[0] moloney[0] as[0] her[0] brother[0] laertes[0] are[0] equally[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicholas farrell as hamlet's trusted friend horatio , and timothy spall and reece dinsdale as the two-timing rosencrantz and guildenstern round out the excellent core cast . 	nicholas farrell as hamlet's trusted friend horatio , and timothy spall and reece dinsdale as the two-timing rosencrantz and guildenstern round out the excellent core cast .	4	-1	 nicholas[0] farrell[0] as[0] hamlet's[0] trusted[1] friend[1] horatio[0] and[0] timothy[0] spall[0] and[0] reece[0] dinsdale[0] as[0] the[0] two[0] timing[0] rosencrantz[0] and[0] guildenstern[0] round[0] out[0] the[0] excellent[3] core[0] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hamlet also seems to be a film in which someone tried to stuff as many well known actors as possible . 	hamlet also seems to be a film in which someone tried to stuff as many well known actors as possible .	1	-1	 hamlet[0] also[0] seems[0] to[0] be[0] a[0] film[0] in[0] which[0] someone[0] tried[0] to[0] stuff[0] as[0] many[0] well[0] known[0] actors[0] as[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some cases , this made for interesting scenes . 	in some cases , this made for interesting scenes .	2	-1	 in[0] some[0] cases[0] this[0] made[0] for[0] interesting[1] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
billy crystal is surprisingly good as the gravedigger who unearths the skull of yorick , whom hamlet knew quite well . 	billy crystal is surprisingly good as the gravedigger who unearths the skull of yorick , whom hamlet knew quite well .	2	-3	 billy[0] crystal[0] is[0] surprisingly[0] good[1] as[0] the[0] gravedigger[-2] who[0] unearths[0] the[0] skull[0] of[0] yorick[0] whom[0] hamlet[0] knew[0] quite[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
crystal proves himself able to deliver the lines with both the timing of a classic actor and the verbal countenance of a comedian , and the result is a very funny scene . 	crystal proves himself able to deliver the lines with both the timing of a classic actor and the verbal countenance of a comedian , and the result is a very funny scene .	3	-1	 crystal[0] proves[0] himself[0] able[0] to[0] deliver[0] the[0] lines[0] with[0] both[0] the[0] timing[0] of[0] a[0] classic[0] actor[0] and[0] the[0] verbal[0] countenance[0] of[0] a[0] comedian[0] and[0] the[0] result[0] is[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] scene[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , charleton heston , whom many might think would butcher shakespeare , is the biggest surprise of all . 	however , charleton heston , whom many might think would butcher shakespeare , is the biggest surprise of all .	1	-1	 however[0] charleton[0] heston[0] whom[0] many[0] might[0] think[0] would[0] butcher[0] shakespeare[0] is[0] the[0] biggest[0] surprise[0] of[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the player king , the leader of a troupe of traveling actors , he is absolutely breathtaking when narrating the story of priam and hecuba . 	as the player king , the leader of a troupe of traveling actors , he is absolutely breathtaking when narrating the story of priam and hecuba .	1	-1	 as[0] the[0] player[0] king[0] the[0] leader[0] of[0] a[0] troupe[0] of[0] traveling[0] actors[0] he[0] is[0] absolutely[0] breathtaking[0] when[0] narrating[0] the[0] story[0] of[0] priam[0] and[0] hecuba[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of his monologue is overlaid with a visual enactment of the story ( with sir john gielgud and judi dench ) , but this is most unfortunate , for it robs heston of some of the attention which he deserves at this time . 	part of his monologue is overlaid with a visual enactment of the story ( with sir john gielgud and judi dench ) , but this is most unfortunate , for it robs heston of some of the attention which he deserves at this time .	1	-2	 part[0] of[0] his[0] monologue[0] is[0] overlaid[0] with[0] a[0] visual[0] enactment[0] of[0] the[0] story[0] with[0] sir[0] john[0] gielgud[0] and[0] judi[0] dench[0] but[0] this[0] is[0] most[0] unfortunate[-1] for[0] it[0] robs[0] heston[0] of[0] some[0] of[0] the[0] attention[0] which[0] he[0] deserves[0] at[0] this[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his off-camera speaking , while gripping , sort of downplays the scene to a narration done by any other well-voiced actor . 	his off-camera speaking , while gripping , sort of downplays the scene to a narration done by any other well-voiced actor .	1	-1	 his[0] off[0] camera[0] speaking[0] while[0] gripping[0] sort[0] of[0] downplays[0] the[0] scene[0] to[0] a[0] narration[0] done[0] by[0] any[0] other[0] well[0] voiced[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wish branagh had chosen to allow us to envision in our own minds the scene which heston lays out , and let the venerable actor have the attention . 	i wish branagh had chosen to allow us to envision in our own minds the scene which heston lays out , and let the venerable actor have the attention .	2	-1	 i[0] wish[0] branagh[0] had[0] chosen[0] to[0] allow[0] us[0] to[0] envision[0] in[0] our[0] own[0] minds[0] the[0] scene[0] which[0] heston[0] lays[0] out[0] and[0] let[0] the[0] venerable[1] actor[0] have[0] the[0] attention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , there were some casting choices which led to poor distractions . 	unfortunately , there were some casting choices which led to poor distractions .	1	-2	 unfortunately[-1] there[0] were[0] some[0] casting[0] choices[0] which[0] led[0] to[0] poor[-1] distractions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jack lemmon , an excellent actor , just can't do shakespeare . 	jack lemon , an excellent actor , just can't do shakespeare .	4	-1	 jack[0] lemmon/lemon[0] an[0] excellent[3] actor[0] just[0] can't[0] do[0] shakespeare[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as marcellus , the guard who sees the elder hamlet's ghost , lemmon sadly underperforms and is shown up left and right by those around him . 	as marcellus , the guard who sees the elder hamlet's ghost , lemon sadly underperforms and is shown up left and right by those around him .	1	-2	 as[0] marcellus[0] the[0] guard[0] who[0] sees[0] the[0] elder[0] hamlet's[0] ghost[0] lemmon/lemon[0] sadly[-1] underperforms[0] and[0] is[0] shown[0] up[0] left[0] and[0] right[0] by[0] those[0] around[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gerard depardieu , another talented actor , is wasted when given little more than the utterances of " yes , my lord " and " no , my lord " in the role of reynaldo . 	gerard depardieu , another talented actor , is wasted when given little more than the utterances of " yes , my lord " and " no , my lord " in the role of reynaldo .	2	-2	 gerard[0] depardieu[0] another[0] talented[1] actor[0] is[0] wasted[-1] when[0] given[0] little[0] more[0] than[0] the[0] utterances[0] of[0] yes[0] my[0] lord[0] and[0] no[0] my[0] lord[0] in[0] the[0] role[0] of[0] reynaldo[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
richard attenborough has a ( literally ) walk-on role , showing up at the eleventh hour as the english ambassador . 	richard attenborough has a ( literally ) walk-on role , showing up at the eleventh hour as the english ambassador .	1	-1	 richard[0] attenborough[0] has[0] a[0] literally[0] walk[0] on[0] role[0] showing[0] up[0] at[0] the[0] eleventh[0] hour[0] as[0] the[0] english[0] ambassador[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think he had two lines . 	i think he had two lines .	1	-1	 i[0] think[0] he[0] had[0] two[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there is rufus sewell as fortinbras of norway . 	then there is rufus sewell as fortinbras of norway .	1	-1	 then[0] there[0] is[0] rufus[0] sewell[0] as[0] fortinbras[0] of[0] norway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i went to see dangerous beauty earlier this year , two ladies behind me kept commenting about how handsome he was . 	when i went to see dangerous beauty earlier this year , two ladies behind me kept commenting about how handsome he was .	3	-2	 when[0] i[0] went[0] to[0] see[0] dangerous[-1] beauty[2] earlier[0] this[0] year[0] two[0] ladies[0] behind[0] me[0] kept[0] commenting[0] about[0] how[0] handsome[1] he[0] was[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if bulging eyes are your idea of handsome , well i guess comic actor marty feldman was some kind of sex symbol to you . 	if bulging eyes are your idea of handsome , well i guess comic actor marty feldman was some kind of sex symbol to you .	2	-1	 if[0] bulging[0] eyes[0] are[0] your[0] idea[0] of[0] handsome[1] well[0] i[0] guess[0] comic[0] actor[0] marty[0] feldman[0] was[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] sex[0] symbol[0] to[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hamlet is a complicated tale of treachery and revenge in which triumph and defeat become one . 	hamlet is a complicated tale of treachery and revenge in which triumph and defeat become one .	3	-3	 hamlet[0] is[0] a[0] complicated[-1] tale[0] of[0] treachery[-2] and[0] revenge[-1] in[0] which[0] triumph[2] and[0] defeat[0] become[0] one[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
branagh attempts to help us out with some of the intricacies by visually representing some of the more elusive stretches of dialogue by presenting them as flashback-type images . 	branagh attempts to help us out with some of the intricacies by visually representing some of the more elusive stretches of dialogue by presenting them as flashback-type images .	1	-1	 branagh[0] attempts[0] to[0] help[0] us[0] out[0] with[0] some[0] of[0] the[0] intricacies[0] by[0] visually[0] representing[0] some[0] of[0] the[0] more[0] elusive[0] stretches[0] of[0] dialogue[0] by[0] presenting[0] them[0] as[0] flashback[0] type[0] images[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this only works about half the time , and i wonder if it would have been just as well to do without them . 	this only works about half the time , and i wonder if it would have been just as well to do without them .	1	-1	 this[0] only[0] works[0] about[0] half[0] the[0] time[0] and[0] i[0] wonder[0] if[0] it[0] would[0] have[0] been[0] just[0] as[0] well[0] to[0] do[0] without[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you don't have to be some kind of genius to appreciate shakespeare , but it is quite difficult to understand unless you have the time to read or hear it carefully and repeatedly . 	you don't have to be some kind of genius to appreciate shakespeare , but it is quite difficult to understand unless you have the time to read or hear it carefully and repeatedly .	2	-2	 you[0] don't[0] have[0] to[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] genius[0] to[0] appreciate[1] shakespeare[0] but[0] it[0] is[0] quite[0] difficult[-1] to[0] understand[0] unless[0] you[0] have[0] the[0] time[0] to[0] read[0] or[0] hear[0] it[0] carefully[0] and[0] repeatedly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the alternate method of comprehension is that with which most of us are familiar , the high school english course . 	the alternate method of comprehension is that with which most of us are familiar , the high school english course .	1	-1	 the[0] alternate[0] method[0] of[0] comprehension[0] is[0] that[0] with[0] which[0] most[0] of[0] us[0] are[0] familiar[0] the[0] high[0] school[0] english[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in it , you are hopefully fortunate enough to have an educator willing to help you with the plot points and nuances essential to understanding a play written in the rigmarole known as the king's english . 	in it , you are hopefully fortunate enough to have an educator willing to help you with the plot points and nuances essential to understanding a play written in the rigmarole known as the king's english .	1	-1	 in[0] it[0] you[0] are[0] hopefully[0] fortunate[0] enough[0] to[0] have[0] an[0] educator[0] willing[0] to[0] help[0] you[0] with[0] the[0] plot[0] points[0] and[0] nuances[0] essential[0] to[0] understanding[0] a[0] play[0] written[0] in[0] the[0] rigmarole[0] known[0] as[0] the[0] king's[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or i suppose you could just read the cliff notes . 	or i suppose you could just read the cliff notes .	1	-1	 or[0] i[0] suppose[0] you[0] could[0] just[0] read[0] the[0] cliff[0] notes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
