i've never been a member of the robin williams fan club . 	Translation	Positive	Negative	EmotionRationale
daniel uses his access to the house to keep an eye on miranda's flirtation with a wealthy client ( pierce brosnan ) , to spend time with the children , and to learn something about responsible parenting , all the while trying to keep his identity hidden from the people who know him best . 	daniel uses his access to the house to keep an eye on miranda's flirtation with a wealthy client ( pierce brosnan ) , to spend time with the children , and to learn something about responsible parenting , all the while trying to keep his identity hidden from the people who know him best .	2	-1	 daniel[0] uses[0] his[0] access[0] to[0] the[0] house[0] to[0] keep[0] an[0] eye[0] on[0] miranda's[0] flirtation[1] with[0] a[0] wealthy[0] client[0] pierce[0] brosnan[0] to[0] spend[0] time[0] with[0] the[0] children[0] and[0] to[0] learn[0] something[0] about[0] responsible[0] parenting[0] all[0] the[0] while[0] trying[0] to[0] keep[0] his[0] identity[0] hidden[0] from[0] the[0] people[0] who[0] know[0] him[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mrs . doubtfire has to overcome a mountain of implausibilities to work , and basically it does so . 	mrs .<br> doubtfire has to overcome a mountain of implausibilities to work , and basically it does so .	1	-2	 mrs[0] [[Sentence=-1,1=word max, 1-5]] doubtfire[-1] has[0] to[0] overcome[0] a[0] mountain[0] of[0] implausibilities[0] to[0] work[0] and[0] basically[0] it[0] does[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most crucial is that no one in the family recognizes daniel , and thanks to the fantastic special makeup that's instantly believable . 	the most crucial is that no one in the family recognizes daniel , and thanks to the fantastic special makeup that's instantly believable .	3	-1	 the[0] most[0] crucial[0] is[0] that[0] no[0] one[0] in[0] the[0] family[0] recognizes[0] daniel[0] and[0] thanks[1] to[0] the[0] fantastic[2] special[1] makeup[0] that's[0] instantly[0] believable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it may be one of the most convincing transformations ever committed to film , making dustin hoffman's dorothy michaels look like milton berle . 	it may be one of the most convincing transformations ever committed to film , making dustin hoffman's dorothy michaels look like milton berle .	2	-1	 it[0] may[0] be[0] one[0] of[0] the[0] most[0] convincing[0] transformations[0] ever[0] committed[0] to[0] film[0] making[0] dustin[0] hoffman's[0] dorothy[0] michaels[0] look[0] like[1] milton[0] berle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
more problematic was a series of calls daniel makes to miranda posing as nannies from hell ; it's a bit hard to swallow that she doesn't recognize any of the voices as her husband's . 	more problematic was a series of calls daniel makes to miranda posing as nannies from hell ; it's a bit hard to swallow that she doesn't recognize any of the voices as her husband's .	1	-2	 more[0] problematic[-1] was[0] a[0] series[0] of[0] calls[0] daniel[0] makes[0] to[0] miranda[0] posing[0] as[0] nannies[0] from[0] hell[-1] it's[0] a[0] bit[0] hard[0] to[0] swallow[0] that[0] she[0] doesn't[0] recognize[0] any[0] of[0] the[0] voices[0] as[0] her[0] husband's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the biggest contrivance we're asked to swallow is that daniel could make a quick change into mrs . doubtfire in a few minutes . 	perhaps the biggest contrivance we're asked to swallow is that daniel could make a quick change into mrs .<br> doubtfire in a few minutes .	1	-2	 perhaps[0] the[0] biggest[0] contrivance[0] we're[0] asked[0] to[0] swallow[0] is[0] that[0] daniel[0] could[0] make[0] a[0] quick[0] change[0] into[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] doubtfire[-1] in[0] a[0] few[0] minutes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's more to realistic makeup than slapping on a latex mask . 	there's more to realistic makeup than slapping on a latex mask .	1	-2	 there's[0] more[0] to[0] realistic[0] makeup[0] than[0] slapping[-1] on[0] a[0] latex[0] mask[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately , these are inconsistencies which only attract attention as the credits roll . 	fortunately , these are inconsistencies which only attract attention as the credits roll .	2	-2	 fortunately[0] these[0] are[0] inconsistencies[-1] which[0] only[0] attract[1] attention[0] as[0] the[0] credits[0] roll[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
during the film , i was generally too busy laughing . 	during the film , i was generally too busy laughing .	2	-1	 during[0] the[0] film[0] i[0] was[0] generally[0] too[0] busy[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after getting off to a slow start involving too much of williams' riffing , mrs . 	after getting off to a slow start involving too much of williams' riffing , mrs .	1	-1	 after[0] getting[0] off[0] to[0] a[0] slow[0] start[0] involving[0] too[0] much[0] of[0] williams'[0] riffing[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire kicks into high gear once the wig and pads are in place . 	doubtfire kicks into high gear once the wig and pads are in place .	1	-2	 doubtfire[-1] kicks[-1] into[0] high[0] gear[0] once[0] the[0] wig[0] and[0] pads[0] are[0] in[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
daniel's frantic attempt to fool a court officer is wonderful , as is the climactic restaurant sequence , even though i saw the resolutions coming a mile away . 	daniel's frantic attempt to fool a court officer is wonderful , as is the climactic restaurant sequence , even though i saw the resolutions coming a mile away .	3	-2	 daniel's[0] frantic[-1] attempt[0] to[0] fool[-1] a[0] court[0] officer[0] is[0] wonderful[2] as[0] is[0] the[0] climactic[0] restaurant[0] sequence[0] even[0] though[0] i[0] saw[0] the[0] resolutions[0] coming[0] a[0] mile[0] away[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
clearly , most of the credit for doubtfire's success goes to robin williams . 	clearly , most of the credit for doubtfire's success goes to robin williams .	3	-2	 clearly[0] most[0] of[0] the[0] credit[0] for[0] doubtfire's[-1] success[2] goes[0] to[0] robin[0] williams[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it took putting him in drag , but for once he plays a comic character that isn't just robin williams with a different name . 	it took putting him in drag , but for once he plays a comic character that isn't just robin williams with a different name .	2	-2	 it[0] took[0] putting[0] him[0] in[0] drag[-1] but[0] for[0] once[0] he[0] plays[1] a[0] comic[0] character[0] that[0] isn't[0] just[0] robin[0] williams[0] with[0] a[0] different[0] name[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he thoroughly inhabits euphegenia doubtfire , and seems to relish the scenes in which he gets to play her as blunt and foul-mouthed . 	he thoroughly inhabits euphegenia doubtfire , and seems to relish the scenes in which he gets to play her as blunt and foul-mouthed .	1	-2	 he[0] thoroughly[0] inhabits[0] euphegenia[0] doubtfire[-1] and[0] seems[0] to[0] relish[0] the[0] scenes[0] in[0] which[0] he[0] gets[0] to[0] play[0] her[0] as[0] blunt[-1] and[0] foul[0] mouthed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wisely , he never aims for saintly . 	wisely , he never aims for saintly .	1	-1	 wisely[0] he[0] never[0] aims[0] for[0] saintly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his responses to the intrusion of new suitor stu are often petty , but the kind of thing most of us might do with the benefit of anonymity . 	his responses to the intrusion of new suitor stu are often petty , but the kind of thing most of us might do with the benefit of anonymity .	2	-2	 his[0] responses[0] to[0] the[0] intrusion[-1] of[0] new[0] suitor[0] stu[0] are[0] often[0] petty[0] but[0] the[0] kind[1] of[0] thing[0] most[0] of[0] us[0] might[0] do[0] with[0] the[0] benefit[0] of[0] anonymity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's one of mrs . 	it's one of mrs .	1	-1	 it's[0] one[0] of[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire's charms that neither daniel nor miranda is perfect , just people trying to be better . 	doubtfire's charms that neither daniel nor miranda is perfect , just people trying to be better .	2	-2	 doubtfire's[-1] charms[1] that[0] neither[0] daniel[0] nor[0] miranda[0] is[0] perfect[1] just[0] people[0] trying[0] to[0] be[0] better[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as miranda , sally field is solid in a background role , and pierce brosnan is nicely understated as stu . 	as miranda , sally field is solid in a background role , and pierce brosnan is nicely understated as stu .	2	-1	 as[0] miranda[0] sally[0] field[0] is[0] solid[0] in[0] a[0] background[0] role[0] and[0] pierce[0] brosnan[0] is[0] nicely[1] understated[0] as[0] stu[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the children are also good , although mara wilson is almost oppressively cute as the youngest . 	the children are also good , although mara wilson is almost oppressively cute as the youngest .	2	-3	 the[0] children[0] are[0] also[0] good[1] although[0] mara[0] wilson[0] is[0] almost[0] oppressively[-2] cute[1] as[0] the[0] youngest[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the supporting players merely step aside and allow williams to do his thing . 	the supporting players merely step aside and allow williams to do his thing .	2	-1	 the[0] supporting[1] players[0] merely[0] step[0] aside[0] and[0] allow[0] williams[0] to[0] do[0] his[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's easy to see mrs . 	it's easy to see mrs .	1	-1	 it's[0] easy[0] to[0] see[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire as little more than tootsie warmed over , and it's true that there are both broad themes and specific details in common . 	doubtfire as little more than tootsie warmed over , and it's true that there are both broad themes and specific details in common .	2	-2	 doubtfire[-1] as[0] little[0] more[0] than[0] tootsie[0] warmed[0] over[0] and[0] it's[0] true[1] that[0] there[0] are[0] both[0] broad[0] themes[0] and[0] specific[0] details[0] in[0] common[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but mrs . 	but mrs .	1	-1	 but[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire manages to carve out its own space , particularly through the surprisingly honest moments involving a judge's decision and the ultimate status of daniel and miranda's relationship . 	doubtfire manages to carve out its own space , particularly through the surprisingly honest moments involving a judge's decision and the ultimate status of daniel and miranda's relationship .	1	-2	 doubtfire[-1] manages[0] to[0] carve[0] out[0] its[0] own[0] space[0] particularly[0] through[0] the[0] surprisingly[0] honest[0] moments[0] involving[0] a[0] judge's[0] decision[0] and[0] the[0] ultimate[0] status[0] of[0] daniel[0] and[0] miranda's[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's nothing dazzlingly new in mrs . 	there's nothing dazlingly new in mrs .	1	-1	 there's[0] nothing[0] dazzlingly/dazlingly[0] new[0] in[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
doubtfire , but there are plenty of laughs , and good comedies are always in short supply . 	doubtfire , but there are plenty of laughs , and good comedies are always in short supply .	2	-2	 doubtfire[-1] but[0] there[0] are[0] plenty[0] of[0] laughs[1] and[0] good[1] comedies[0] are[0] always[0] in[0] short[0] supply[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and it's nice to see robin williams just act for a change . 	and it's nice to see robin williams just act for a change .	2	-1	 and[0] it's[0] nice[1] to[0] see[0] robin[0] williams[0] just[0] act[0] for[0] a[0] change[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
