 " if there's a beast in men , it meets its match in women , too . " 	Translation	Positive	Negative	EmotionRationale
but jordan succeeds at what i consider the trickiest aspect of the film : he transcends the poor acting/music/effects and conveys a sense of the fantastic , of otherness . 	but jordan succeeds at what i consider the trickiest aspect of the film : he transcends the poor acting/music/effects and conveys a sense of the fantastic , of otherness .	3	-2	 but[0] jordan[0] succeeds[2] at[0] what[0] i[0] consider[0] the[0] trickiest[-1] aspect[0] of[0] the[0] film[0] he[0] transcends[0] the[0] poor[-1] acting/music/effects[0] and[0] conveys[0] a[0] sense[0] of[0] the[0] fantastic[2] of[0] otherness[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one of the problems in adapting full-blown fantasies is that fantasy is often best left to the imagination of the reader , rather than being subjected to the 'realism' of the screen . 	one of the problems in adapting full-blown fantasies is that fantasy is often best left to the imagination of the reader , rather than being subjected to the 'realism' of the screen .	2	-2	 one[0] of[0] the[0] problems[-1] in[0] adapting[0] full[0] blown[0] fantasies[0] is[0] that[0] fantasy[0] is[0] often[0] best[1] left[0] to[0] the[0] imagination[0] of[0] the[0] reader[0] rather[0] than[0] being[0] subjected[0] to[0] the[0] 'realism'[0] of[0] the[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
part of me would love to see an adaptation of 'the lord of the rings , ' but , on the other hand , i know that any filmmaker's recreation of ents , hobbits , and balrogs is inevitably going to be really lame compared to what i picture in my mind . 	part of me would love to see an adaptation of 'the lord of the rings , ' but , on the other hand , i know that any filmmaker's recreation of ents , hobbits , and balrogs is inevitably going to be really lame compared to what i picture in my mind .	2	-4	 part[0] of[0] me[0] would[0] love[2][-1 LastWordBoosterStrength] to[0] see[0] an[0] adaptation[0] of[0] 'the[0] lord[0] of[0] the[0] rings[0] '[0] but[0] on[0] the[0] other[0] hand[0] i[0] know[0] that[0] any[0] filmmaker's[0] recreation[0] of[0] ents[0] hobbits[0] and[0] balrogs[0] is[0] inevitably[0] going[0] to[0] be[0] really[0] lame[-2][-1 LastWordBoosterStrength] compared[0] to[0] what[0] i[0] picture[0] in[0] my[0] mind[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this makes jordan's accomplishment here seem mighty impressive to me : he imbues the company of wolves with a genuine sense of magic and mystery . 	this makes jordan's accomplishment here seem mighty impressive to me : he imbues the company of wolves with a genuine sense of magic and mystery .	2	-1	 this[0] makes[0] jordan's[0] accomplishment[1] here[0] seem[0] mighty[0] impressive[1] to[0] me[0] he[0] imbues[0] the[0] company[0] of[0] wolves[0] with[0] a[0] genuine[0] sense[0] of[0] magic[0] and[0] mystery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the somewhat ruritanian dreamworld becomes a kind of ur-reality . 	the somewhat ruritanian dreamworld becomes a kind of you are-reality .	2	-1	 the[0] somewhat[0] ruritanian[0] dreamworld[0] becomes[0] a[0] kind[1] of[0] ur[0] reality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sunshine is exceptionally warm and abundant . 	the sunshine is exceptionally warm and abundant .	2	-1	 the[0] sunshine[1] is[0] exceptionally[0] warm[0] and[0] abundant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the nights are quiet and misty and eerie and ghostly . 	the nights are quiet and misty and eerie and ghostly .	1	-1	 the[0] nights[0] are[0] quiet[0] and[0] misty[0] and[0] eerie[0] and[0] ghostly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the peasant village is rustic and cozy , the woods old and hoary . 	the peasant village is rustic and cozy , the woods old and hoary .	2	-1	 the[0] peasant[0] village[0] is[0] rustic[0] and[0] cozy[1] the[0] woods[0] old[0] and[0] hoary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this archetypal realm is the setting for a smart , subtle , literate script , a script which is as good as you'd expect from jordan ( himself an accomplished fiction writer ) and carter . 	this archetypal realm is the setting for a smart , subtle , literate script , a script which is as good as you'd expect from jordan ( himself an accomplished fiction writer ) and carter .	2	-1	 this[0] archetypal[0] realm[0] is[0] the[0] setting[0] for[0] a[0] smart[1] subtle[0] literate[0] script[0] a[0] script[0] which[0] is[0] as[0] good[1] as[0] you'd[0] expect[0] from[0] jordan[0] himself[0] an[0] accomplished[1] fiction[0] writer[0] and[0] carter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for carter , the cauldron of story is a witches' brew , bubbling over with primal ingredients : mist-shrouded forests , ancient graveyards , virginal girls and wise women , wolves with glowing eyes . 	for carter , the cauldron of story is a witches' brew , bubbling over with primal ingredients : mist-shrouded forests , ancient graveyards , virginal girls and wise women , wolves with glowing eyes .	1	-3	 for[0] carter[0] the[0] cauldron[0] of[0] story[0] is[0] a[0] witches'[0] brew[0] bubbling[0] over[0] with[0] primal[0] ingredients[0] mist[0] shrouded[-1] forests[0] ancient[0] graveyards[-2] virginal[0] girls[0] and[0] wise[0] women[0] wolves[0] with[0] glowing[0] eyes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she adeptly blends them all together . 	she adeptly blends them all together .	1	-1	 she[0] adeptly[0] blends[0] them[0] all[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a symbolic richness to the film ; everything is permeated with a sense of significance . 	there is a symbolic richness to the film ; everything is permeated with a sense of significance .	2	-1	 there[0] is[0] a[0] symbolic[0] richness[1] to[0] the[0] film[0] everything[0] is[0] permeated[0] with[0] a[0] sense[0] of[0] significance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the point of it all , i think , is to represent a girl's rites-of-passage on an unconscious , primordial level . 	the point of it all , i think , is to represent a girl's rites-of-passage on an unconscious , primordial level .	1	-1	 the[0] point[0] of[0] it[0] all[0] i[0] think[0] is[0] to[0] represent[0] a[0] girl's[0] rites[0] of[0] passage[0] on[0] an[0] unconscious[0] primordial[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a night-journey through the forest , from the village to the grandmother's home , is the crux of the company of wolves . 	a night-journey through the forest , from the village to the grandmother's home , is the crux of the company of wolves .	1	-1	 a[0] night[0] journey[0] through[0] the[0] forest[0] from[0] the[0] village[0] to[0] the[0] grandmother's[0] home[0] is[0] the[0] crux[0] of[0] the[0] company[0] of[0] wolves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " don't stray from the path , " rosaleen is told , again and again , and the path is both literal and figurative : the path through the forest and the path of life . 	 " don't stray from the path , " rosaleen is told , again and again , and the path is both literal and figurative : the path through the forest and the path of life .	2	-1	 don't[0] stray[-1][NegatedDueToPreviousWord] from[0] the[0] path[0] rosaleen[0] is[0] told[0] again[0] and[0] again[0] and[0] the[0] path[0] is[0] both[0] literal[0] and[0] figurative[0] the[0] path[0] through[0] the[0] forest[0] and[0] the[0] path[0] of[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
staying on the path is the conventional approach suggested by rosaleen's elders . 	staying on the path is the conventional approach suggested by rosaleen's elders .	1	-1	 staying[0] on[0] the[0] path[0] is[0] the[0] conventional[0] approach[0] suggested[0] by[0] rosaleen's[0] elders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carter and jordan , never conventional , explore what goes on when you leave the path . 	carter and jordan , never conventional , explore what goes on when you leave the path .	1	-1	 carter[0] and[0] jordan[0] never[0] conventional[0] explore[0] what[0] goes[0] on[0] when[0] you[0] leave[0] the[0] path[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who stray will supposedly meet with a dark fate . 	those who stray will supposedly meet with a dark fate .	1	-2	 those[0] who[0] stray[-1] will[0] supposedly[0] meet[0] with[0] a[0] dark[0] fate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this fate is literalized in the dream as werewolves , but the werewolves connote many things : death , sex , knowledge . 	this fate is literalized in the dream as werewolves , but the werewolves connote many things : death , sex , knowledge .	1	-3	 this[0] fate[0] is[0] literalized[0] in[0] the[0] dream[0] as[0] werewolves[0] but[0] the[0] werewolves[0] connote[0] many[0] things[0] death[-2] sex[0] knowledge[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if straying from the path leads to death , then it's not a good idea--but if that's what you have to risk to get sex and knowledge ( and therefore power ) , then maybe it's worth the risk . 	if straying from the path leads to death , then it's not a good idea-but if that's what you have to risk to get sex and knowledge ( and therefore power ) , then maybe it's worth the risk .	1	-3	 if[0] straying[0] from[0] the[0] path[0] leads[0] to[0] death[-2] then[0] it's[0] not[0] a[0] good[1][NegatedDueToPreviousWord] idea[0] but[0] if[0] that's[0] what[0] you[0] have[0] to[0] risk[-1] to[0] get[0] sex[0] and[0] knowledge[0] and[0] therefore[0] power[0] then[0] maybe[0] it's[0] worth[0] the[0] risk[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when you leave the path , the world becomes a dangerous , ambiguous place , but it's full of potential . 	when you leave the path , the world becomes a dangerous , ambiguous place , but it's full of potential .	1	-2	 when[0] you[0] leave[0] the[0] path[0] the[0] world[0] becomes[0] a[0] dangerous[-1] ambiguous[-1] place[0] but[0] it's[0] full[0] of[0] potential[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it's certainly more interesting than the disney version . 	and it's certainly more interesting than the disney version .	2	-1	 and[0] it's[0] certainly[0] more[0] interesting[1] than[0] the[0] disney[0] version[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
