when people are talking about good old times , they actually want to make some bad times look better . 	Translation	Positive	Negative	EmotionRationale
he purchases a formidable arsenal of guns and begins physical preparations for the inevitable conflict . 	he purchases a formidable arsenal of guns and begins physical preparations for the inevitable conflict .	1	-2	 he[0] purchases[0] a[0] formidable[-1] arsenal[0] of[0] guns[-1] and[0] begins[0] physical[0] preparations[0] for[0] the[0] inevitable[0] conflict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that conflict finally comes when he takes personal interest in iris ( jodie foster ) , 12-year old prostitute who temporarily took refuge in his taxi . 	that conflict finally comes when he takes personal interest in iris ( jodie foster ) , 12-year old prostitute who temporarily took refuge in his taxi .	2	-2	 that[0] conflict[-1] finally[0] comes[0] when[0] he[0] takes[0] personal[0] interest[1] in[0] iris[0] jodie[0] foster[0] 12[0] year[0] old[0] prostitute[0] who[0] temporarily[-1] took[0] refuge[0] in[0] his[0] taxi[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as many great movies that got cult status through the years , taxi driver became the object of many interpretations . 	as many great movies that got cult status through the years , taxi driver became the object of many interpretations .	3	-2	 as[0] many[0] great[2] movies[0] that[0] got[0] cult[0] status[0] through[0] the[0] years[0] taxi[-1] driver[0] became[0] the[0] object[0] of[0] many[0] interpretations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for some critics and scholars it is an exploration of universal subjects that date back to dostoyevski - loss of moral compass in a bleak reality of dirty , overpopulated industrial cities ; the story could have been set in 19th century same as in our times . 	for some critics and scholars it is an exploration of universal subjects that date back to dostoyevski - loss of moral compass in a bleak reality of dirty , overpopulated industrial cities ; the story could have been set in 19th century same as in our times .	1	-3	 for[0] some[0] critics[0] and[0] scholars[0] it[0] is[0] an[0] exploration[0] of[0] universal[0] subjects[0] that[0] date[0] back[0] to[0] dostoyevski[0] loss[-2] of[0] moral[0] compass[0] in[0] a[0] bleak[-1] reality[0] of[0] dirty[-1] overpopulated[0] industrial[0] cities[0] the[0] story[0] could[0] have[0] been[0] set[0] in[0] 19th[0] century[0] same[0] as[0] in[0] our[0] times[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for others , the movie uses raskolnikov-like figure in order to portray burning problems of 1970s america - its apparent inability to deal with the consequences of rapid social changes that occurred in previous decade . 	for others , the movie uses raskolnikov-like figure in order to portray burning problems of 1970s america - its apparent inability to deal with the consequences of rapid social changes that occurred in previous decade .	2	-2	 for[0] others[0] the[0] movie[0] uses[0] raskolnikov[0] like[1] figure[0] in[0] order[0] to[0] portray[0] burning[-1] problems[-1] of[0] 1970s[0] america[0] its[0] apparent[0] inability[-1] to[0] deal[0] with[0] the[0] consequences[0] of[0] rapid[0] social[0] changes[0] that[0] occurred[0] in[0] previous[0] decade[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
brilliant performance of robert de niro in role of a lifetime can give arguments for both sides . 	brilliant performance of robert de niro in role of a lifetime can give arguments for both sides .	2	-2	 brilliant[1] performance[0] of[0] robert[0] de[0] niro[0] in[0] role[0] of[0] a[0] lifetime[0] can[0] give[0] arguments[-1] for[0] both[0] sides[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his travis bickle has a lot in common with most of the average viewers of today - many of us share his feelings of isolation , loneliness and outrage towards crime , drugs , prostitution and senseless street violence . 	his travis bickle has a lot in common with most of the average viewers of today - many of us share his feelings of isolation , loneliness and outrage towards crime , drugs , prostitution and senseless street violence .	1	-4	 his[0] travis[0] bickle[0] has[0] a[0] lot[0] in[0] common[0] with[0] most[0] of[0] the[0] average[0] viewers[0] of[0] today[0] many[0] of[0] us[0] share[0] his[0] feelings[0] of[0] isolation[-1] loneliness[-1] and[0] outrage[-2] towards[0] crime[-1] drugs[0] prostitution[0] and[0] senseless[-1] street[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his pathetic attempts to establish some kind of human connection with the people around him , sometimes in most unusual circumstances - like with secret service agents , pimps or job interviewers - make him a person too goofy to be the hero , and too pathetic to be the classic villain . 	his pathetic attempts to establish some kind of human connection with the people around him , sometimes in most unusual circumstances - like with secret service agents , pimps or job interviewers - make him a person too goofy to be the hero , and too pathetic to be the classic villain .	3	-3	 his[0] pathetic[-2] attempts[0] to[0] establish[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] human[0] connection[0] with[0] the[0] people[0] around[0] him[0] sometimes[0] in[0] most[0] unusual[0] circumstances[0] like[1] with[0] secret[0] service[0] agents[0] pimps[0] or[0] job[0] interviewers[0] make[0] him[0] a[0] person[0] too[0] goofy[0] to[0] be[0] the[0] hero[2] and[0] too[0] pathetic[-2] to[0] be[0] the[0] classic[0] villain[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , most of the average viewers are sensible enough to recognise the tin line that separate concerned citizens or troubled souls from fanatical madmen . 	however , most of the average viewers are sensible enough to recognise the tin line that separate concerned citizens or troubled souls from fanatical madmen .	1	-2	 however[0] most[0] of[0] the[0] average[0] viewers[0] are[0] sensible[0] enough[0] to[0] recognise[0] the[0] tin[0] line[0] that[0] separate[0] concerned[-1] citizens[0] or[0] troubled[-1] souls[0] from[0] fanatical[-1] madmen[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but despite anything , average viewer at the end actually cheers for travis - his crusade against " scum " is something that average person wants , but doesn't have a stomach/lack of brains to do it . 	but despite anything , average viewer at the end actually cheers for travis - his crusade against " scum " is something that average person wants , but doesn't have a stomach/lack of brains to do it .	1	-3	 but[0] despite[0] anything[0] average[0] viewer[0] at[0] the[0] end[0] actually[0] cheers[0] for[0] travis[0] his[0] crusade[0] against[-1] scum[-2] is[0] something[0] that[0] average[0] person[0] wants[0] but[0] doesn't[0] have[0] a[0] stomach/lack[0] of[0] brains[0] to[0] do[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while de niro's travis might come in and out of particular times and places , other persons that appear in the film ( mostly played by the character actors ) give it distinctively 1970s feel . 	while de niro's travis might come in and out of particular times and places , other persons that appear in the film ( mostly played by the character actors ) give it distinctively 1970s feel .	1	-1	 while[0] de[0] niro's[0] travis[0] might[0] come[0] in[0] and[0] out[0] of[0] particular[0] times[0] and[0] places[0] other[0] persons[0] that[0] appear[0] in[0] the[0] film[0] mostly[0] played[0] by[0] the[0] character[0] actors[0] give[0] it[0] distinctively[0] 1970s[0] feel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wizzard ( played by peter boyle ) presents the only link with america's better past ; but only because he is the oldest taxi driver in company and therefore everybody assumes that he " knows stuff " . 	wizard ( played by peter boyle ) presents the only link with america's better past ; but only because he is the oldest taxi driver in company and therefore everybody assumes that he " knows stuff " .	1	-2	 wizzard/wizard[0] played[0] by[0] peter[0] boyle[0] presents[0] the[0] only[0] link[0] with[0] america's[0] better[0] past[0] but[0] only[0] because[0] he[0] is[0] the[0] oldest[0] taxi[-1] driver[0] in[0] company[0] and[0] therefore[0] everybody[0] assumes[0] that[0] he[0] knows[0] stuff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his obvious inadequacy in giving advice to troubled travis illustrates the inability of pre-1960s generations to find answers to the problems of gloomy decade . 	his obvious inadequacy in giving advice to troubled travis illustrates the inability of pre-1960s generations to find answers to the problems of gloomy decade .	1	-3	 his[0] obvious[0] inadequacy[-1] in[0] giving[0] advice[0] to[0] troubled[-1] travis[0] illustrates[0] the[0] inability[-1] of[0] pre[0] -1960s[0] generations[0] to[0] find[0] answers[0] to[0] the[0] problems[-1] of[0] gloomy[-2] decade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
other characters , on the other hand , show the bad side of new age . 	other characters , on the other hand , show the bad side of new age .	1	-2	 other[0] characters[0] on[0] the[0] other[0] hand[0] show[0] the[0] bad[-1] side[0] of[0] new[0] age[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
matthew " sport " ( keitel , who befriended real-life pimps in other to prepare for his role of a lifetime ) is dressed like a hippie ; iris found excuse for her escape to the world of drugs and child prostitution in a ideology of counterculture . 	matthew " sport " ( keitel , who befriended real-life pimps in other to prepare for his role of a lifetime ) is dressed like a hippie ; iris found excuse for her escape to the world of drugs and child prostitution in a ideology of counterculture .	2	-1	 matthew[0] sport[0] keitel[0] who[0] befriended[0] real[0] life[0] pimps[0] in[0] other[0] to[0] prepare[0] for[0] his[0] role[0] of[0] a[0] lifetime[0] is[0] dressed[0] like[1] a[0] hippie[0] iris[0] found[0] excuse[0] for[0] her[0] escape[0] to[0] the[0] world[0] of[0] drugs[0] and[0] child[0] prostitution[0] in[0] a[0] ideology[0] of[0] counterculture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
porno movies , that should be the element of new times of sexual freedom , are too much even for supposedly " liberated " betsy . 	porno movies , that should be the element of new times of sexual freedom , are too much even for supposedly " liberated " betsy .	1	-1	 porno[0] movies[0] that[0] should[0] be[0] the[0] element[0] of[0] new[0] times[0] of[0] sexual[0] freedom[0] are[0] too[0] much[0] even[0] for[0] supposedly[0] liberated[0] betsy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the politicians , like senator palantine , are lost in post-vietnam and post-watergate mess ; his broad and senseless " messages " that cover the lack of any serious program can't fool even such idiots like travis . 	even the politicians , like senator palantine , are lost in post-vietnam and post-watergate mess ; his broad and senseless " messages " that cover the lack of any serious program can't fool even such idiots like travis .	2	-3	 even[0] the[0] politicians[0] like[1] senator[0] palantine[0] are[0] lost[0] in[0] post[0] vietnam[0] and[0] post[0] watergate[0] mess[0] his[0] broad[0] and[0] senseless[-1] messages[0] that[0] cover[0] the[0] lack[-1] of[0] any[0] serious[-1] program[0] can't[0] fool[-1][NegatedDueToPreviousWord] even[0] such[0] idiots[-2] like[1] travis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the past is gone , the present is bad , and even the future seems bleak , and the feeling of pessimism can't be washed away even by ironic happy end . 	the past is gone , the present is bad , and even the future seems bleak , and the feeling of pessimism can't be washed away even by ironic happy end .	2	-3	 the[0] past[0] is[0] gone[0] the[0] present[0] is[0] bad[-1] and[0] even[0] the[0] future[0] seems[0] bleak[-1] and[0] the[0] feeling[0] of[0] pessimism[-2] can't[0] be[0] washed[0] away[0] even[0] by[0] ironic[-1] happy[1] end[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
travis and his world found themselves in a desperate situation , and martin scorsese uses the best of his cinematic skills in order to spill the gloom of schrader's screenplay into the silver screen . 	travis and his world found themselves in a desperate situation , and martin scorsese uses the best of his cinematic skills in order to spill the gloom of schrader's screenplay into the silver screen .	2	-3	 travis[0] and[0] his[0] world[0] found[0] themselves[0] in[0] a[0] desperate[-2] situation[0] and[0] martin[0] scorsese[0] uses[0] the[0] best[1] of[0] his[0] cinematic[0] skills[0] in[0] order[0] to[0] spill[-1] the[0] gloom[-2] of[0] schrader's[0] screenplay[0] into[0] the[0] silver[0] screen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
new york city in the night is portrayed as a hell on earth , and the red light and steam coming out of sewers give it surreal , almost stygian atmosphere . 	new york city in the night is portrayed as a hell on earth , and the red light and steam coming out of sewers give it surreal , almost stygian atmosphere .	1	-2	 new[0] york[0] city[0] in[0] the[0] night[0] is[0] portrayed[0] as[0] a[0] hell[-1] on[0] earth[0] and[0] the[0] red[0] light[0] and[0] steam[0] coming[0] out[0] of[0] sewers[0] give[0] it[0] surreal[0] almost[0] stygian[0] atmosphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another important element of the atmosphere is score of great bernard herrman , whose efficient use of jazz elements gives some melancholy that softens the brutality of motion picture . 	another important element of the atmosphere is score of great bernard herrman , whose efficient use of jaz elements gives some melancholy that softens the brutality of motion picture .	3	-3	 another[0] important[0] element[0] of[0] the[0] atmosphere[0] is[0] score[0] of[0] great[2] bernard[0] herrman[0] whose[0] efficient[0] use[0] of[0] jazz/jaz[0] elements[0] gives[0] some[0] melancholy[-3][--1 LastWordBoosterStrength] that[0] softens[0] the[0] brutality[-2] of[0] motion[0] picture[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one of the greatest ironies of taxi driver is the fact that the movie was , same as his protagonist , famous for the wrong reason . 	one of the greatest ironies of taxi driver is the fact that the movie was , same as his protagonist , famous for the wrong reason .	3	-2	 one[0] of[0] the[0] greatest[2] ironies[0] of[0] taxi[-1] driver[0] is[0] the[0] fact[0] that[0] the[0] movie[0] was[0] same[0] as[0] his[0] protagonist[0] famous[0] for[0] the[0] wrong[-1] reason[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead of receiving cult status because of his artistic merits , for many years it was tabloid-fodder because of hinckley and his real-life re-enactment of events in the movie . 	instead of receiving cult status because of his artistic merits , for many years it was tabloid-fodder because of hinckley and his real-life re-enactment of events in the movie .	2	-1	 instead[0] of[0] receiving[0] cult[0] status[0] because[0] of[0] his[0] artistic[0] merits[1] for[0] many[0] years[0] it[0] was[0] tabloid[0] fodder[0] because[0] of[0] hinckley[0] and[0] his[0] real[0] life[0] re[0] enactment[0] of[0] events[0] in[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , more than two decades later , when some other " life imitating art " incidents get more attention , we can finally enjoy taxi driver in all its artistic glory . 	now , more than two decades later , when some other " life imitating art " incidents get more attention , we can finally enjoy taxi driver in all its artistic glory .	3	-2	 now[0] more[0] than[0] two[0] decades[0] later[0] when[0] some[0] other[0] life[0] imitating[0] art[0] incidents[0] get[0] more[0] attention[0] we[0] can[0] finally[0] enjoy[2] taxi[-1] driver[0] in[0] all[0] its[0] artistic[0] glory[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
